aS_vs_dI_abscissa,aS_vs_dI_spline,aS_vs_dI_regression,aS_vs_dS_abscissa,aS_vs_dS_spline,aS_vs_dS_regression,aS_vs_initT_abscissa,aS_vs_initT_spline,aS_vs_initT_regression,aS_vs_lBt0_abscissa,aS_vs_lBt0_spline,aS_vs_lBt0_regression,aS_vs_w_abscissa,aS_vs_w_spline,aS_vs_w_regression,dI_vs_aS_abscissa,dI_vs_aS_spline,dI_vs_aS_regression,dI_vs_dS_abscissa,dI_vs_dS_spline,dI_vs_dS_regression,dI_vs_initT_abscissa,dI_vs_initT_spline,dI_vs_initT_regression,dI_vs_lBt0_abscissa,dI_vs_lBt0_spline,dI_vs_lBt0_regression,dI_vs_w_abscissa,dI_vs_w_spline,dI_vs_w_regression,dS_vs_aS_abscissa,dS_vs_aS_spline,dS_vs_aS_regression,dS_vs_dI_abscissa,dS_vs_dI_spline,dS_vs_dI_regression,dS_vs_initT_abscissa,dS_vs_initT_spline,dS_vs_initT_regression,dS_vs_lBt0_abscissa,dS_vs_lBt0_spline,dS_vs_lBt0_regression,dS_vs_w_abscissa,dS_vs_w_spline,dS_vs_w_regression,initT_vs_aS_abscissa,initT_vs_aS_spline,initT_vs_aS_regression,initT_vs_dI_abscissa,initT_vs_dI_spline,initT_vs_dI_regression,initT_vs_dS_abscissa,initT_vs_dS_spline,initT_vs_dS_regression,initT_vs_lBt0_abscissa,initT_vs_lBt0_spline,initT_vs_lBt0_regression,initT_vs_w_abscissa,initT_vs_w_spline,initT_vs_w_regression,lBt0_vs_aS_abscissa,lBt0_vs_aS_spline,lBt0_vs_aS_regression,lBt0_vs_dI_abscissa,lBt0_vs_dI_spline,lBt0_vs_dI_regression,lBt0_vs_dS_abscissa,lBt0_vs_dS_spline,lBt0_vs_dS_regression,lBt0_vs_initT_abscissa,lBt0_vs_initT_spline,lBt0_vs_initT_regression,lBt0_vs_w_abscissa,lBt0_vs_w_spline,lBt0_vs_w_regression,w_vs_aS_abscissa,w_vs_aS_spline,w_vs_aS_regression,w_vs_dI_abscissa,w_vs_dI_spline,w_vs_dI_regression,w_vs_dS_abscissa,w_vs_dS_spline,w_vs_dS_regression,w_vs_initT_abscissa,w_vs_initT_spline,w_vs_initT_regression,w_vs_lBt0_abscissa,w_vs_lBt0_spline,w_vs_lBt0_regression
-4.03236,-0.0255396,-0.024499,-0.390462,0.00822399,0.0061608,-10.7999,0.0287791,-0.0112719,-0.245956,0.016787,0.00924193,-1.79338,-0.0437592,-0.00364176,-0.153563,-0.0256679,-0.755548,-0.390462,0.647022,0.355411,-10.7999,0.124502,-0.0398967,-0.245956,-0.111122,-1.53344,-1.79338,-0.976644,0.693845,-0.153563,0.0766734,0.0141444,-4.03236,0.0336707,0.0151819,-10.7999,-0.12126,-0.0640438,-0.245956,-0.110935,-0.0324635,-1.79338,-0.054525,-0.0151044,-0.153563,0.55752,-0.261889,-4.03236,0.955916,-0.0848623,-0.390462,-4.49476,-1.0815,-0.245956,-1.23682,-0.891932,-1.79338,-0.861395,-0.346461,-0.153563,0.0931555,0.012785,-4.03236,-0.025431,-0.0494956,-0.390462,0.0223059,-0.0237373,-10.7999,0.035434,-0.0378256,-1.79338,-0.0245058,0.0522525,-0.153563,-0.594424,-0.00192333,-4.03236,-0.0189433,0.14681,-0.390462,-0.352306,-0.0669947,-10.7999,-0.840012,-0.0833424,-0.245956,0.367662,0.356219
-3.93637,-0.0166541,-0.0239706,-0.382733,0.0122235,0.00599816,-10.6393,0.024556,-0.0111349,-0.241023,0.020334,0.00901497,-1.75998,-0.0367352,-0.00361282,-0.150065,0.0512144,-0.737183,-0.382733,0.570491,0.349181,-10.6393,0.0698177,-0.0387095,-0.241023,-0.291454,-1.5019,-1.75998,-0.875952,0.681731,-0.150065,0.0453154,0.0138444,-3.93637,0.0138926,0.0148513,-10.6393,-0.120871,-0.0630721,-0.241023,-0.106448,-0.0317896,-1.75998,-0.0467281,-0.0148033,-0.150065,0.205551,-0.25648,-3.93637,0.729348,-0.0835136,-0.382733,-4.29824,-1.0607,-0.241023,-1.13666,-0.874605,-1.75998,-0.744525,-0.340557,-0.150065,0.0704753,0.0124925,-3.93637,-0.0280454,-0.0483261,-0.382733,0.0186678,-0.0232664,-10.6393,0.0296036,-0.0372601,-1.75998,-0.0143695,0.0512869,-0.150065,-0.474083,-0.00165504,-3.93637,-0.0245879,0.143578,-0.382733,-0.29824,-0.0654811,-10.6393,-0.788977,-0.0819558,-0.241023,0.39086,0.349273
-3.84038,-0.00776849,-0.0234421,-0.375003,0.016223,0.00583552,-10.4788,0.0203328,-0.0109978,-0.23609,0.0238809,0.00878801,-1.72659,-0.0297111,-0.00358388,-0.146567,0.0859035,-0.718818,-0.375003,0.493961,0.342951,-10.4788,0.0151337,-0.0375223,-0.23609,-0.471786,-1.47036,-1.72659,-0.775261,0.669616,-0.146567,0.0206597,0.0135445,-3.84038,-0.00588547,0.0145206,-10.4788,-0.120482,-0.0621004,-0.23609,-0.101961,-0.0311157,-1.72659,-0.0389311,-0.0145022,-0.146567,-0.0567819,-0.251071,-3.84038,0.502779,-0.0821648,-0.375003,-4.10173,-1.0399,-0.23609,-1.0365,-0.857278,-1.72659,-0.627655,-0.334652,-0.146567,0.0516118,0.0122,-3.84038,-0.0306598,-0.0471565,-0.375003,0.0150296,-0.0227955,-10.4788,0.0237732,-0.0366945,-1.72659,-0.00423331,0.0503214,-0.146567,-0.369177,-0.00138675,-3.84038,-0.0302324,0.140346,-0.375003,-0.244173,-0.0639674,-10.4788,-0.737942,-0.0805691,-0.23609,0.414058,0.342326
-3.7444,0.00111708,-0.0229136,-0.367273,0.0202225,0.00567288,-10.3182,0.0161096,-0.0108608,-0.231157,0.0274279,0.00856105,-1.6932,-0.0226871,-0.00355495,-0.143069,0.0397988,-0.700453,-0.367273,0.41743,0.336721,-10.3182,-0.0395503,-0.0363352,-0.231157,-0.652119,-1.43883,-1.6932,-0.674569,0.657502,-0.143069,0.0088377,0.0132445,-3.7444,-0.0256636,0.0141899,-10.3182,-0.120093,-0.0611286,-0.231157,-0.0974733,-0.0304417,-1.6932,-0.0311342,-0.014201,-0.143069,-0.147477,-0.245661,-3.7444,0.27621,-0.080816,-0.367273,-3.90521,-1.01909,-0.231157,-0.936337,-0.839951,-1.6932,-0.510786,-0.328747,-0.143069,0.0400565,0.0119076,-3.7444,-0.0332743,-0.045987,-0.367273,0.0113914,-0.0223246,-10.3182,0.0179428,-0.036129,-1.6932,0.00590293,0.0493558,-0.143069,-0.293829,-0.00111846,-3.7444,-0.035877,0.137113,-0.367273,-0.190107,-0.0624537,-10.3182,-0.686907,-0.0791825,-0.231157,0.437256,0.335379
-3.64841,0.00647016,-0.0223851,-0.359544,0.0242219,0.00551024,-10.1577,0.0118864,-0.0107238,-0.226224,0.0309749,0.00833408,-1.6598,-0.015663,-0.00352601,-0.139571,-0.00630586,-0.682088,-0.359544,0.3409,0.33049,-10.1577,-0.0942343,-0.035148,-0.226224,-0.832451,-1.40729,-1.6598,-0.573877,0.645388,-0.139571,-0.00298426,0.0129445,-3.64841,-0.0373813,0.0138593,-10.1577,-0.119703,-0.0601569,-0.226224,-0.0929861,-0.0297678,-1.6598,-0.0233373,-0.0138999,-0.139571,-0.238173,-0.240252,-3.64841,0.100944,-0.0794672,-0.359544,-3.7087,-0.998294,-0.226224,-0.836176,-0.822624,-1.6598,-0.393916,-0.322842,-0.139571,0.0285013,0.0116151,-3.64841,-0.0334738,-0.0448175,-0.359544,0.00775326,-0.0218538,-10.1577,0.0121125,-0.0355635,-1.6598,0.0160392,0.0483903,-0.139571,-0.218482,-0.000850167,-3.64841,-0.0347387,0.133881,-0.359544,-0.13604,-0.06094,-10.1577,-0.635872,-0.0777958,-0.226224,0.460454,0.328432
-3.55242,0.00639261,-0.0218567,-0.351814,0.0282214,0.0053476,-9.99711,0.00766323,-0.0105868,-0.22129,0.0345218,0.00810712,-1.62641,-0.00863896,-0.00349707,-0.136073,-0.0524105,-0.663723,-0.351814,0.264369,0.32426,-9.99711,-0.148918,-0.0339608,-0.22129,-1.01278,-1.37575,-1.62641,-0.473185,0.633274,-0.136073,-0.0148062,0.0126446,-3.55242,-0.0366889,0.0135286,-9.99711,-0.119314,-0.0591852,-0.22129,-0.0884988,-0.0290938,-1.62641,-0.0155403,-0.0135988,-0.136073,-0.328868,-0.234843,-3.55242,0.00450513,-0.0781185,-0.351814,-3.51218,-0.977493,-0.22129,-0.736015,-0.805298,-1.62641,-0.277047,-0.316938,-0.136073,0.016946,0.0113226,-3.55242,-0.0300581,-0.043648,-0.351814,0.00411509,-0.0213829,-9.99711,0.00628208,-0.0349979,-1.62641,0.0261754,0.0474247,-0.136073,-0.143134,-0.000581875,-3.55242,-0.0231121,0.130649,-0.351814,-0.0819741,-0.0594263,-9.99711,-0.584837,-0.0764092,-0.22129,0.483652,0.321485
-3.45644,0.00355006,-0.0213282,-0.344085,0.0296518,0.00518495,-9.83655,0.00344005,-0.0104498,-0.216357,0.0380688,0.00788016,-1.59301,-0.0016149,-0.00346813,-0.132575,-0.137304,-0.645358,-0.344085,0.226171,0.31803,-9.83655,-0.203602,-0.0327736,-0.216357,-1.19312,-1.34421,-1.59301,-0.372494,0.62116,-0.132575,-0.0191498,0.0123446,-3.45644,-0.0295505,0.013198,-9.83655,-0.118925,-0.0582135,-0.216357,-0.0840116,-0.0284199,-1.59301,-0.00774338,-0.0132977,-0.132575,-0.329285,-0.229434,-3.45644,-0.0520785,-0.0767697,-0.344085,-3.32897,-0.956693,-0.216357,-0.635854,-0.787971,-1.59301,-0.160177,-0.311033,-0.132575,0.00986028,0.0110302,-3.45644,-0.0254665,-0.0424785,-0.344085,0.00247347,-0.020912,-9.83655,0.000451699,-0.0344324,-1.59301,0.0363116,0.0464592,-0.132575,-0.0861907,-0.000313583,-3.45644,-0.00573061,0.127417,-0.344085,-0.0532427,-0.0579126,-9.83655,-0.533802,-0.0750225,-0.216357,0.50685,0.314538
-3.36045,-0.000711398,-0.0207997,-0.336355,0.0285092,0.00502231,-9.676,0.00100804,-0.0103128,-0.211424,0.0414801,0.0076532,-1.55962,0.00540915,-0.0034392,-0.129077,-0.252827,-0.626993,-0.336355,0.22636,0.311799,-9.676,-0.207903,-0.0315864,-0.211424,-1.36621,-1.31267,-1.55962,-0.271802,0.609045,-0.129077,-0.0163868,0.0120446,-3.36045,-0.0190536,0.0128673,-9.676,-0.118415,-0.0572418,-0.211424,-0.0794968,-0.0277459,-1.55962,5.35591e-05,-0.0129966,-0.129077,-0.251229,-0.224025,-3.36045,-0.0883213,-0.0754209,-0.336355,-3.15909,-0.935892,-0.211424,-0.540251,-0.770644,-1.55962,-0.0433074,-0.305128,-0.129077,0.00718048,0.0107377,-3.36045,-0.0205356,-0.041309,-0.336355,0.00283132,-0.0204411,-9.676,-0.00214185,-0.0338669,-1.55962,0.0464479,0.0454936,-0.129077,-0.047626,-4.52908e-05,-3.36045,0.014769,0.124185,-0.336355,-0.0498834,-0.056399,-9.676,-0.495064,-0.0736359,-0.211424,0.527962,0.307591
-3.26446,-0.00551832,-0.0202713,-0.328625,0.0273666,0.00485967,-9.51545,0.000325835,-0.0101758,-0.206491,0.0408558,0.00742623,-1.52622,0.0124332,-0.00341026,-0.125579,-0.371066,-0.608628,-0.328625,0.22655,0.305569,-9.51545,-0.162985,-0.0303992,-0.206491,-1.32394,-1.28113,-1.52622,-0.17111,0.596931,-0.125579,-0.0109298,0.0117446,-3.26446,-0.00719023,0.0125366,-9.51545,-0.117787,-0.0562701,-0.206491,-0.0741627,-0.027072,-1.52622,0.0078505,-0.0126954,-0.125579,-0.153872,-0.218616,-3.26446,-0.116911,-0.0740721,-0.328625,-2.98921,-0.915091,-0.206491,-0.580233,-0.753317,-1.52622,0.0735622,-0.299223,-0.125579,0.00639716,0.0104452,-3.26446,-0.0158681,-0.0401395,-0.328625,0.00318917,-0.0199703,-9.51545,-0.00157333,-0.0333013,-1.52622,0.0565841,0.0445281,-0.125579,-0.0172957,0.000223001,-3.26446,0.036713,0.120953,-0.328625,-0.046524,-0.0548853,-9.51545,-0.468339,-0.0722492,-0.206491,0.487027,0.300644
-3.16847,-0.0111272,-0.0197428,-0.320896,0.0262241,0.00469703,-9.3549,-0.000356372,-0.0100388,-0.201558,0.0402315,0.00719927,-1.49283,0.013823,-0.00338132,-0.122081,-0.483271,-0.590263,-0.320896,0.22674,0.299339,-9.3549,-0.118067,-0.029212,-0.201558,-1.28167,-1.24959,-1.49283,-0.0861619,0.584817,-0.122081,-0.00387341,0.0114447,-3.16847,0.00673827,0.012206,-9.3549,-0.11716,-0.0552983,-0.201558,-0.0688286,-0.026398,-1.49283,0.00995265,-0.0123943,-0.122081,-0.0540364,-0.213207,-3.16847,-0.13437,-0.0727234,-0.320896,-2.81933,-0.894291,-0.201558,-0.620214,-0.73599,-1.49283,0.107382,-0.293318,-0.122081,0.00693437,0.0101527,-3.16847,-0.0118799,-0.03897,-0.320896,0.00354703,-0.0194994,-9.3549,-0.00100481,-0.0327358,-1.49283,0.0581526,0.0435625,-0.122081,0.00705584,0.000491293,-3.16847,0.060963,0.117721,-0.320896,-0.0431647,-0.0533716,-9.3549,-0.441615,-0.0708626,-0.201558,0.446092,0.293697
