initT_abscissa,initT_cdf,aS_abscissa,aS_cdf,dS_abscissa,dS_cdf,lBt0_abscissa,lBt0_cdf,dI_abscissa,dI_cdf,w_abscissa,w_cdf,split
-15.6661,0.00196078,0.960647,0,0.00344341,0,-4.61859,0,0.04915,0.00196078,0.0121016,0.00196078,All
-14.6234,0.00392157,1.35919,0.00196078,0.00447285,0.00196078,-4.31656,0.00196078,0.0679342,0.00392157,0.015932,0.00392157,All
-12.533,0.00588235,1.36709,0.00392157,0.00466712,0.00392157,-4.28218,0.00392157,0.0755638,0.00588235,0.0186145,0.00588235,All
-12.0492,0.00784314,1.38488,0.00588235,0.00480397,0.00588235,-4.26412,0.00588235,0.081459,0.00784314,0.0186388,0.00784314,All
-11.9042,0.00980392,1.38736,0.00784314,0.00491855,0.00784314,-4.24976,0.00784314,0.0966467,0.00980392,0.0217774,0.00980392,All
-11.6131,0.0117647,1.38771,0.00980392,0.00494299,0.00980392,-4.23586,0.00980392,0.105686,0.0117647,0.0220391,0.0117647,All
-11.4466,0.0137255,1.38843,0.0117647,0.00495642,0.0117647,-4.23352,0.0117647,0.105706,0.0137255,0.0238482,0.0137255,All
-11.2798,0.0156863,1.39241,0.0137255,0.00504518,0.0137255,-4.2334,0.0137255,0.107224,0.0156863,0.0257601,0.0156863,All
-11.0494,0.0176471,1.39613,0.0156863,0.00506103,0.0156863,-4.23198,0.0156863,0.109774,0.0176471,0.0262194,0.0176471,All
-10.8795,0.0196078,1.40018,0.0176471,0.00514784,0.0176471,-4.23127,0.0176471,0.112848,0.0196078,0.0268937,0.0196078,All
-10.7146,0.0215686,1.40439,0.0196078,0.00515817,0.0196078,-4.22992,0.0196078,0.113205,0.0215686,0.0275725,0.0215686,All
-10.4184,0.0235294,1.41012,0.0215686,0.00517045,0.0215686,-4.22984,0.0215686,0.115254,0.0235294,0.0276187,0.0235294,All
-10.2671,0.0254902,1.41113,0.0235294,0.00518403,0.0235294,-4.22822,0.0235294,0.120592,0.0254902,0.027744,0.0254902,All
-10.2011,0.027451,1.41263,0.0254902,0.00521428,0.0254902,-4.22694,0.0254902,0.132072,0.027451,0.0277837,0.027451,All
-10.1547,0.0294118,1.41299,0.027451,0.00524717,0.027451,-4.22115,0.027451,0.135941,0.0294118,0.0279661,0.0294118,All
-10.1462,0.0313725,1.41307,0.0294118,0.005286,0.0294118,-4.21817,0.0294118,0.138901,0.0313725,0.0282544,0.0313725,All
-9.86493,0.0333333,1.41353,0.0313725,0.00528666,0.0313725,-4.21662,0.0313725,0.140276,0.0333333,0.028402,0.0333333,All
-9.77502,0.0352941,1.41364,0.0333333,0.00529406,0.0333333,-4.21346,0.0333333,0.142012,0.0352941,0.0288484,0.0352941,All
-9.63392,0.0372549,1.41395,0.0352941,0.00530988,0.0352941,-4.21212,0.0352941,0.143314,0.0372549,0.0289967,0.0372549,All
-9.54368,0.0392157,1.41637,0.0372549,0.00532257,0.0372549,-4.21105,0.0372549,0.144484,0.0392157,0.0291306,0.0392157,All
-9.36842,0.0411765,1.41761,0.0392157,0.00536891,0.0392157,-4.20783,0.0392157,0.146462,0.0411765,0.0291536,0.0411765,All
-9.3422,0.0431373,1.42248,0.0411765,0.0054354,0.0411765,-4.20711,0.0411765,0.146716,0.0431373,0.0291793,0.0431373,All
-9.28375,0.045098,1.42281,0.0431373,0.00547253,0.0431373,-4.20301,0.0431373,0.158327,0.045098,0.0293183,0.045098,All
-9.18829,0.0470588,1.42775,0.045098,0.00547671,0.045098,-4.20183,0.045098,0.160314,0.0470588,0.0298774,0.0470588,All
-9.18621,0.0490196,1.42831,0.0470588,0.00548182,0.0470588,-4.20038,0.0470588,0.163994,0.0490196,0.0301932,0.0490196,All
-9.09594,0.0509804,1.4294,0.0490196,0.00549121,0.0490196,-4.19363,0.0490196,0.167692,0.0509804,0.0305339,0.0509804,All
-9.08237,0.0529412,1.43053,0.0509804,0.00552629,0.0509804,-4.19116,0.0509804,0.16804,0.0529412,0.0308088,0.0529412,All
-9.07895,0.054902,1.43162,0.0529412,0.00556611,0.0529412,-4.19031,0.0529412,0.170294,0.054902,0.0315637,0.054902,All
-8.89806,0.0568627,1.4322,0.054902,0.00556825,0.054902,-4.18859,0.054902,0.171852,0.0568627,0.0319831,0.0568627,All
-8.89604,0.0588235,1.43231,0.0568627,0.00556953,0.0568627,-4.18565,0.0568627,0.173987,0.0588235,0.0322452,0.0588235,All
-8.82789,0.0607843,1.43295,0.0588235,0.00557793,0.0588235,-4.18466,0.0588235,0.174088,0.0607843,0.0325337,0.0607843,All
-8.71163,0.0627451,1.43615,0.0607843,0.00557797,0.0607843,-4.18443,0.0607843,0.178859,0.0627451,0.0326294,0.0627451,All
-8.69503,0.0647059,1.43713,0.0627451,0.00558138,0.0627451,-4.18386,0.0627451,0.184974,0.0647059,0.0327672,0.0647059,All
-8.67908,0.0666667,1.438,0.0647059,0.00558198,0.0647059,-4.18366,0.0647059,0.185225,0.0666667,0.0331341,0.0666667,All
