initT_abscissa,initT_pdf,initT_cdf,aS_abscissa,aS_pdf,aS_cdf,dS_abscissa,dS_pdf,dS_cdf,lBt0_abscissa,lBt0_pdf,lBt0_cdf,dI_abscissa,dI_pdf,dI_cdf,w_abscissa,w_pdf,w_cdf,split
-15.6661,1.114e-05,5.99103e-06,0.960647,1.03953e-12,8.32667e-15,0.00344341,3.03769e-05,1.91256e-09,-4.61859,1.08879e-10,1.19083e-12,0.04915,0.344232,0.0106585,0.0121016,0.457911,0.000945683,All
-15.5055,1.47811e-05,8.05884e-06,0.977352,7.49746e-12,6.33937e-14,0.00353677,0.000119327,8.02904e-09,-4.60752,2.90896e-10,3.24463e-12,0.05874,0.370576,0.0140902,0.0153137,1.18215,0.00347772,All
-15.345,1.95294e-05,1.07964e-05,0.994057,4.88521e-11,4.34874e-13,0.00363014,0.000427617,3.07421e-08,-4.59645,7.61765e-10,8.6684e-12,0.06833,0.392353,0.0177516,0.0185258,2.25425,0.00891564,All
-15.1844,2.5694e-05,1.44054e-05,1.01076,2.88871e-10,2.708e-12,0.0037235,0.00140648,1.08018e-07,-4.58538,1.95521e-09,2.27079e-11,0.0779199,0.410752,0.0216048,0.0217378,3.56363,0.0182142,All
-15.0239,3.36615e-05,1.91431e-05,1.02747,1.55676e-09,1.53735e-11,0.00381686,0.00426958,3.50268e-07,-4.57431,4.91877e-09,5.83286e-11,0.0875099,0.426585,0.0256216,0.0249499,4.97263,0.0319149,All
-14.8633,4.39133e-05,2.53362e-05,1.04417,7.67685e-09,7.98934e-11,0.00391022,0.0120231,1.05363e-06,-4.56324,1.21286e-08,1.46913e-10,0.0970999,0.440431,0.0297803,0.028162,6.35769,0.0501322,All
-14.7028,5.70453e-05,3.33976e-05,1.06088,3.4772e-08,3.81531e-10,0.00400358,0.0315545,2.95407e-06,-4.55217,2.93125e-08,3.62844e-10,0.10669,0.452713,0.0340641,0.031374,7.62688,0.0726322,All
-14.5422,7.3791e-05,4.38466e-05,1.07758,1.45184e-07,1.68038e-09,0.00409694,0.0775138,7.75355e-06,-4.5411,6.94361e-08,8.7876e-10,0.11628,0.463746,0.0384594,0.0345861,8.72231,0.0989412,All
-14.3817,9.5049e-05,5.73331e-05,1.09429,5.60685e-07,6.84922e-09,0.0041903,0.178934,1.91285e-05,-4.53003,1.61216e-07,2.08698e-09,0.12587,0.473774,0.0429555,0.0377981,9.61512,0.128448,All
-14.2211,0.000121914,7.46666e-05,1.11099,2.00921e-06,2.59208e-08,0.00428366,0.389572,4.45231e-05,-4.51895,3.66877e-07,4.8604e-09,0.13546,0.482987,0.0475437,0.0410102,10.2984,0.160485,All
-14.0606,0.00015571,9.68502e-05,1.1277,6.70127e-06,9.1364e-08,0.00437703,0.802663,9.81105e-05,-4.50788,8.1832e-07,1.11005e-08,0.14505,0.491533,0.052217,0.0442223,10.78,0.19439,All
-13.9,0.000198036,0.000125121,1.1444,2.08624e-05,3.00818e-07,0.00447039,1.56996,0.000205338,-4.49681,1.78902e-06,2.48621e-08,0.15464,0.499534,0.0569696,0.0474343,11.0772,0.22954,All
-13.7395,0.000250801,0.000160998,1.16111,6.07906e-05,9.27794e-07,0.00456375,2.92355,0.000409396,-4.48574,3.83352e-06,5.46098e-08,0.16423,0.507087,0.0617966,0.0506464,11.2117,0.265377,All
-13.5789,0.000316283,0.000206334,1.17781,0.000166226,2.68769e-06,0.00465711,5.19726,0.000779742,-4.47467,8.05138e-06,1.17639e-07,0.17382,0.514273,0.0666943,0.0538585,11.2074,0.301417,All
-13.4184,0.000397176,0.000263381,1.19452,0.000427585,7.33151e-06,0.00475047,8.84233,0.00142239,-4.4636,1.65742e-05,2.48536e-07,0.18341,0.521159,0.0716594,0.0570705,11.0876,0.337251,All
-13.2578,0.00049665,0.000334861,1.21122,0.00103711,1.88777e-05,0.00484383,14.4312,0.00249118,-4.45253,3.34414e-05,5.14992e-07,0.193,0.527802,0.0766893,0.0602826,10.8744,0.372544,All
-13.0973,0.000618413,0.000424047,1.22793,0.00237727,4.59897e-05,0.00493719,22.6427,0.00419857,-4.44146,6.61343e-05,1.04664e-06,0.20259,0.534249,0.081782,0.0634947,10.5877,0.40703,All
-12.9367,0.000766773,0.000534856,1.24463,0.00516062,0.000106241,0.00503055,34.2237,0.00682394,-4.43039,0.000128191,2.08639e-06,0.21218,0.540541,0.0869357,0.0667067,10.245,0.440501,All
-12.7762,0.000946708,0.000671947,1.26134,0.010631,0.000233221,0.00512392,49.9258,0.0107172,-4.41932,0.000243546,4.07952e-06,0.22177,0.546713,0.0921492,0.0699188,9.86152,0.472802,All
-12.6156,0.00116393,0.000840839,1.27804,0.0208226,0.000487509,0.00521728,70.4195,0.0162955,-4.40825,0.000453516,7.82449e-06,0.23136,0.552797,0.0974214,0.0731308,9.44992,0.503823,All
-12.4551,0.00142494,0.00104803,1.29475,0.0388491,0.000972276,0.00531064,96.196,0.0240308,-4.39718,0.000827742,1.47215e-05,0.24095,0.558819,0.102752,0.0763429,9.02082,0.533491,All
-12.2945,0.0017371,0.00130112,1.31145,0.0691631,0.00185359,0.005404,127.466,0.0344288,-4.38611,0.00148077,2.7172e-05,0.25054,0.564804,0.108139,0.079555,8.58291,0.561764,All
-12.134,0.00210871,0.00160899,1.32815,0.117691,0.00338416,0.00549736,164.077,0.0479983,-4.37504,0.00259638,4.92017e-05,0.26013,0.570772,0.113584,0.082767,8.14319,0.588627,All
-11.9734,0.00254899,0.00198191,1.34486,0.191726,0.00592747,0.00559072,205.451,0.0652143,-4.36397,0.00446211,8.74082e-05,0.26972,0.576743,0.119087,0.0859791,7.70721,0.614081,All
-11.8129,0.00306817,0.0024317,1.36156,0.299471,0.00997738,0.00568408,250.58,0.0864779,-4.3529,0.00751626,0.000152357,0.27931,0.582735,0.124646,0.0891912,7.2793,0.638148,All
-11.6523,0.00367749,0.00297192,1.37827,0.449156,0.0161665,0.00577744,298.05,0.112076,-4.34183,0.0124095,0.000260577,0.288899,0.588764,0.130264,0.0924032,6.86276,0.660857,All
-11.4918,0.00438919,0.00361802,1.39497,0.647763,0.0252565,0.00587081,346.129,0.14215,-4.33076,0.0200814,0.000437323,0.298489,0.594845,0.135939,0.0956153,6.46002,0.68225,All
-11.3312,0.00521648,0.00438748,1.41168,0.899486,0.0381047,0.00596417,392.884,0.176665,-4.31969,0.0318512,0.000720263,0.308079,0.600991,0.141673,0.0988274,6.07281,0.702373,All
-11.1707,0.0061735,0.00529998,1.42838,1.20417,0.0556041,0.00605753,436.33,0.215407,-4.30861,0.0495163,0.00116422,0.317669,0.607217,0.147466,0.102039,5.70228,0.72128,All
-11.0101,0.00727521,0.00637754,1.44509,1.55608,0.0786,0.00615089,474.579,0.257976,-4.29754,0.07545,0.00184703,0.327259,0.613533,0.15332,0.105251,5.34912,0.739024,All
-10.8496,0.0085373,0.00764464,1.46179,1.94328,0.10779,0.00624425,505.993,0.303808,-4.28647,0.112684,0.00287637,0.336849,0.619953,0.159234,0.108464,5.01367,0.755662,All
-10.689,0.00997598,0.00912833,1.4785,2.34797,0.143623,0.00633761,529.296,0.352203,-4.2754,0.16495,0.00439735,0.346439,0.626488,0.165211,0.111676,4.69594,0.771252,All
-10.5285,0.0116078,0.0108583,1.4952,2.7477,0.186208,0.00643097,543.66,0.402361,-4.26433,0.236664,0.00660022,0.356029,0.633149,0.171251,0.114888,4.39575,0.785848,All
-10.3679,0.0134495,0.0128668,1.51191,3.1176,0.235257,0.00652433,548.743,0.453428,-4.25326,0.332816,0.00972747,0.365619,0.639947,0.177355,0.1181,4.11272,0.799509,All
-10.2074,0.0155176,0.0151891,1.52861,3.43303,0.290062,0.0066177,544.682,0.504539,-4.24219,0.458738,0.014079,0.375209,0.646893,0.183525,0.121312,3.84635,0.812287,All
-10.0468,0.0178279,0.0178625,1.54532,3.67247,0.349529,0.00671106,532.052,0.554865,-4.23112,0.619749,0.0200139,0.384799,0.653999,0.189763,0.124524,3.59607,0.824235,All
-9.88626,0.0203957,0.0209274,1.56202,3.81998,0.412246,0.00680442,511.788,0.603647,-4.22005,0.820648,0.0279482,0.394389,0.661275,0.196069,0.127736,3.3612,0.835405,All
-9.72571,0.0232346,0.0244261,1.57873,3.86699,0.476593,0.00689778,485.094,0.650227,-4.20898,1.06509,0.0383448,0.403979,0.668732,0.202447,0.130948,3.14105,0.845844,All
-9.56515,0.0263569,0.0284032,1.59543,3.81296,0.540877,0.00699114,453.337,0.694067,-4.19791,1.3549,0.0516981,0.413569,0.676381,0.208896,0.13416,2.9349,0.855598,All
-9.4046,0.0297724,0.032905,1.61214,3.6651,0.60346,0.0070845,417.951,0.734762,-4.18684,1.68935,0.0685088,0.423159,0.684235,0.21542,0.137372,2.74202,0.864712,All
-9.24405,0.0334883,0.0379792,1.62884,3.43704,0.66288,0.00717786,380.341,0.772039,-4.17577,2.06452,0.0892527,0.432749,0.692305,0.222021,0.140584,2.56169,0.873227,All
-9.0835,0.0375087,0.0436745,1.64555,3.14694,0.717944,0.00727122,341.814,0.805752,-4.1647,2.47292,0.114343,0.442339,0.700602,0.228699,0.143796,2.39319,0.881182,All
-8.92295,0.0418343,0.0500397,1.66225,2.81523,0.767786,0.00736459,303.522,0.835871,-4.15363,2.90329,0.144087,0.451929,0.709141,0.235459,0.147008,2.23582,0.888613,All
-8.7624,0.0464615,0.0571237,1.67896,2.46246,0.811884,0.00745795,266.426,0.862464,-4.14256,3.34088,0.178651,0.461519,0.717933,0.242301,0.15022,2.08891,0.895556,All
-8.60185,0.0513824,0.0649743,1.69566,2.10739,0.850044,0.00755131,231.284,0.88568,-4.13149,3.76809,0.21802,0.471109,0.726992,0.24923,0.153432,1.95181,0.902043,All
-8.4413,0.0565844,0.0736377,1.71237,1.76575,0.882367,0.00764467,198.647,0.905728,-4.12042,4.16555,0.261971,0.480699,0.736333,0.256246,0.156645,1.82389,0.908104,All
-8.28075,0.0620495,0.0831577,1.72907,1.44942,0.909179,0.00773803,168.874,0.922861,-4.10935,4.51349,0.310066,0.490289,0.74597,0.263353,0.159857,1.70458,0.913769,All
