rep,id_var,standEta_initT_simulated,standEta_aS_simulated,standEta_dS_simulated,standEta_lBt0_simulated,standEta_dI_simulated,standEta_w_simulated,filter
1,35,-0.756805,0.282141,0.419275,0,-0.0312631,0,0
2,35,-0.558445,0.483456,0.342329,0,0.0036298,0,0
3,35,-0.419129,-0.490599,1.46024,0,0.0454952,0,0
4,35,-2.18935,-0.874459,1.29368,0,0.0558342,0,0
5,35,-0.0174098,-0.451429,-2.25814,0,0.0117521,0,0
6,35,-0.233915,-0.814943,-2.01883,0,-0.0521671,0,0
7,35,-0.0117818,0.00689061,0.532006,0,0.0248803,0,0
8,35,-1.81442,-0.0444983,-0.535379,0,-0.0749257,0,0
9,35,0.117684,-0.254268,-0.8235,0,0.0120335,0,0
10,35,-0.986169,0.336747,0.1581,0,-0.0445467,0,0
1,36,1.76976,-0.0027557,0.46983,0,0.0421876,0,0
2,36,1.76421,0.574381,-1.30994,0,-0.0204113,0,0
3,36,1.76421,1.28274,-0.401654,0,-0.0086337,0,0
4,36,1.61497,0.0150774,0.81538,0,0.054347,0,0
5,36,1.68237,0.489293,-1.52752,0,-0.035451,0,0
6,36,1.88649,0.3023,-1.37434,0,0.0269604,0,0
7,36,1.73727,0.682038,0.637268,0,0.0337606,0,0
8,36,1.78847,1.21445,-0.660086,0,0.0244309,0,0
9,36,1.74904,-0.410978,0.156767,0,0.0310484,0,0
10,36,1.85159,1.14936,-0.0677286,0,0.0517871,0,0
1,37,0.0879253,0.126168,-0.0346328,0,-0.0454737,0,0
2,37,1.06835,1.26223,0.744937,0,-0.0028388,0,0
3,37,-0.158373,1.47587,0.429711,0,-0.0463951,0,0
4,37,-0.480328,0.35794,2.16771,0,-0.0538154,0,0
5,37,0.868169,-0.999373,0.0198179,0,0.00963973,0,0
6,37,0.169072,2.3327,-0.0243689,0,-0.0645511,0,0
7,37,0.510143,-1.20645,1.09064,0,0.0434904,0,0
8,37,-0.0004403,-0.188217,1.97632,0,0.0259512,0,0
9,37,0.129716,-0.0553927,-0.158289,0,-0.0683484,0,0
10,37,1.10959,0.3257,-0.802602,0,0.0336834,0,0
1,38,-1.27661,0.885362,-0.0663026,0,-0.018221,0,0
2,38,-2.66748,-0.0799394,0.120892,0,-0.0656903,0,0
3,38,-1.15226,-0.279121,0.674227,0,-0.0173568,0,0
4,38,-0.80974,0.00781719,0.919245,0,-0.0237268,0,0
5,38,0.279568,0.0687842,-0.250374,0,0.00181184,0,0
6,38,-0.410799,0.319167,0.237382,0,-0.0188025,0,0
7,38,-1.47467,2.42769,0.266112,0,-0.0596704,0,0
8,38,-0.724638,-1.27836,-1.87822,0,-0.0438529,0,0
9,38,-0.66543,-0.1343,-0.760824,0,-0.0171033,0,0
10,38,-0.367748,0.352869,0.67004,0,0.0143261,0,0
1,39,-0.922406,0.638304,-0.072873,0,-0.0815697,0,0
2,39,-0.187929,-0.44229,1.83554,0,-0.0623443,0,0
3,39,-0.260048,1.16835,1.82213,0,-0.0329864,0,0
4,39,-1.17085,-0.0802888,2.07975,0,-0.0264266,0,0
5,39,-0.786681,-0.181545,1.92178,0,-0.0546434,0,0
6,39,-0.951514,-1.7089,1.16163,0,-0.0181888,0,0
7,39,-0.981944,0.095625,0.601663,0,-0.0833715,0,0
8,39,-0.628792,0.662026,-0.378267,0,-0.09214,0,0
9,39,-0.64587,0.305042,1.17215,0,-0.0464516,0,0
10,39,-0.812135,-1.17829,-0.0664491,0,-0.0529809,0,0
1,40,-0.288799,-1.39073,-1.55228,0,-0.043867,0,0
2,40,-0.332685,-1.72228,-0.219393,0,0.0231733,0,0
3,40,-0.890214,-0.297794,0.916261,0,-0.000740941,0,0
4,40,-0.537998,-0.598886,1.26845,0,-0.0109229,0,0
5,40,-0.392962,-1.59962,-1.09464,0,-0.0227687,0,0
6,40,-0.28046,-1.85246,-0.28597,0,0.0144106,0,0
7,40,-0.450445,-0.374632,0.37449,0,-0.0117294,0,0
8,40,-0.685074,0.769321,-1.01034,0,-0.0621636,0,0
9,40,-1.15527,0.904211,-0.425376,0,-0.036556,0,0
10,40,-1.46892,-1.32874,1.5588,0,-0.02976,0,0
1,41,0.288317,-0.378454,1.70581,0,0.021222,0,0
2,41,0.524341,0.632557,0.663396,0,-0.0203824,0,0
3,41,0.193466,-0.691149,0.271119,0,-0.0117282,0,0
4,41,-0.00392729,-0.897136,0.802315,0,-0.00303543,0,0
5,41,0.67653,0.36991,-1.14785,0,-0.0285352,0,0
6,41,0.729194,-0.465102,-0.152165,0,0.00466717,0,0
7,41,1.17277,-0.00893748,-0.520657,0,-0.00889449,0,0
8,41,0.54691,0.201621,0.934229,0,-0.0340536,0,0
9,41,0.0226287,-0.350462,1.67008,0,-0.00134944,0,0
10,41,0.732706,-0.0591151,0.0118834,0,-0.0156408,0,0
1,42,-0.364056,-0.583805,-0.927342,0,-0.0473893,0,0
2,42,-0.161915,-0.388577,0.627743,0,-0.0417599,0,0
3,42,0.794079,0.184772,-0.404783,0,-0.0436533,0,0
4,42,1.05146,-0.645226,-1.34073,0,0.00812804,0,0
5,42,0.491795,-1.25301,-1.03452,0,-0.0254091,0,0
6,42,0.229199,-0.23058,-0.107746,0,-0.0243924,0,0
7,42,0.925557,1.55218,-1.14679,0,-0.0313648,0,0
8,42,-0.35687,-0.0530247,0.827994,0,-0.0230447,0,0
9,42,0.170751,-1.18812,-0.280745,0,-0.0489095,0,0
10,42,-0.688899,0.357894,0.181954,0,-0.0808027,0,0
1,43,0.744289,-0.313334,0.665162,0,-0.0549106,0,0
2,43,0.30511,0.256932,1.34658,0,-0.0175205,0,0
3,43,0.612427,-0.471212,0.366159,0,-0.0174328,0,0
4,43,0.365166,0.0749362,-0.00151999,0,-0.0582894,0,0
5,43,0.282483,0.289346,0.852033,0,-0.0929546,0,0
6,43,0.58095,-0.463898,0.277759,0,-0.0651242,0,0
7,43,0.546829,0.139709,1.06364,0,-0.0185073,0,0
8,43,0.294426,-1.24734,1.40273,0,-0.0388968,0,0
9,43,1.27431,-1.48996,0.063354,0,0.0561022,0,0
10,43,1.31501,-0.643752,-1.05938,0,0.00462629,0,0
1,44,-0.383977,1.32131,-0.496781,0,0.0515105,0,0
2,44,-1.63356,0.267786,0.273668,0,0.0311578,0,0
3,44,0.0764682,-1.45432,0.298494,0,0.0648548,0,0
4,44,-0.815019,1.00653,0.642868,0,0.0212932,0,0
5,44,-2.14033,0.598313,-0.00140997,0,-0.0115092,0,0
6,44,0.331592,0.889503,0.79011,0,0.0630403,0,0
7,44,-0.561353,0.43415,-1.2569,0,0.0750422,0,0
8,44,0.562809,-0.0262508,-0.555576,0,0.08204,0,0
9,44,-0.414049,1.58995,0.799161,0,0.0171421,0,0
10,44,0.890629,0.796921,-0.471409,0,0.0604612,0,0
1,45,0.886298,-0.745063,0.593532,0,-0.00895242,0,0
2,45,1.12765,-0.364235,0.827355,0,0.0252123,0,0
3,45,1.10327,1.14564,0.347784,0,-0.0224562,0,0
4,45,0.931633,-1.4126,0.819011,0,-0.00357706,0,0
5,45,0.860223,0.530876,-0.0189197,0,-0.0140086,0,0
6,45,0.829048,-0.285881,0.303937,0,0.00749556,0,0
7,45,0.768864,0.828365,-1.03946,0,-0.0396632,0,0
8,45,0.66334,-0.9818,1.08304,0,0.0348275,0,0
9,45,1.0792,-1.01497,0.6845,0,0.0011312,0,0
10,45,0.490092,0.0193277,2.43713,0,0.00817723,0,0
1,46,-0.572685,-1.01896,-1.2484,0,-0.0352313,0,0
2,46,-0.556154,0.197605,-1.36337,0,-0.110491,0,0
3,46,-0.540191,0.618635,0.777842,0,-0.0168681,0,0
4,46,0.302786,0.114237,2.36774,0,0.0522077,0,0
5,46,-0.049272,-0.903632,1.4727,0,0.055428,0,0
6,46,0.410235,1.8894,0.642526,0,0.045666,0,0
7,46,0.209991,0.552777,-1.32735,0,-0.0324108,0,0
8,46,0.231499,-0.240201,-1.19625,0,0.0224816,0,0
9,46,1.06129,1.60687,-1.08986,0,0.034056,0,0
10,46,-0.805709,0.450313,-0.80717,0,-0.0177665,0,0
1,47,0.842605,-0.0761897,0.281639,0,-0.00163323,0,0
2,47,1.20168,-1.07826,1.15238,0,0.0508385,0,0
3,47,0.893528,0.474181,2.10711,0,0.040682,0,0
4,47,1.01012,0.0275267,-0.116869,0,0.0118892,0,0
5,47,0.607702,-1.59362,1.88256,0,0.0336693,0,0
6,47,0.255911,1.48995,0.00685209,0,-0.0523006,0,0
7,47,0.782667,0.6807,-0.376161,0,-0.0673686,0,0
8,47,0.931652,0.356452,-0.445009,0,-0.0410026,0,0
9,47,0.566343,-0.635424,-0.538114,0,-0.0466838,0,0
10,47,0.822659,0.372886,-0.76229,0,-0.0288032,0,0
1,48,1.2394,-0.221618,-0.446685,0,-0.00408169,0,0
2,48,-0.290274,-0.551847,-0.786047,0,-0.0374537,0,0
3,48,0.0909504,0.327869,2.48261,0,-0.00668869,0,0
4,48,-0.245049,-0.741642,0.646999,0,-0.0390672,0,0
5,48,-0.802519,0.252479,0.289532,0,-0.0892653,0,0
6,48,0.558933,0.072468,0.600823,0,-0.0481108,0,0
7,48,0.866219,-0.589993,-0.0832972,0,-0.0195383,0,0
8,48,0.358987,0.0155295,1.0788,0,-0.0406417,0,0
9,48,0.0837852,-2.06688,-0.0424818,0,-0.0368294,0,0
10,48,0.703919,0.228837,-0.185878,0,-0.0231278,0,0
1,49,1.72924,1.78165,0.532855,0,0.00672028,0,0
2,49,1.61384,-0.0619933,-0.0521205,0,0.0185947,0,0
3,49,1.43766,-0.481842,0.337743,0,0.0144614,0,0
4,49,1.91018,0.8519,0.317582,0,0.0135247,0,0
5,49,1.63792,1.80945,1.10683,0,0.0138305,0,0
