iteration,convergenceIndicator,phase,a,aS_pop,b,dI_pop,dS_pop,initT_pop,lBt0_pop,omega_aS,omega_dI,omega_dS,omega_initT,omega_lBt0,omega_w,w_pop
1,1563.9,1,0.164862,1.70882,0.0766793,0.7999,0.0060865,-4.46659,-4.12258,0.0489719,2.06296,0.0757278,2.22551,0.0889839,0.46744,0.0717275
2,1549.33,1,0.156619,1.70516,0.0728453,0.823104,0.00616679,-4.6346,-4.10512,0.0531868,2.01072,0.0738103,2.16916,0.0873502,0.455604,0.0699402
3,1451.55,1,0.148788,1.70633,0.069203,0.832256,0.00628391,-4.93511,-4.11684,0.05184,1.95981,0.0726111,2.26047,0.0851384,0.444068,0.0717044
4,1414.27,1,0.141349,1.70017,0.0657429,0.814159,0.00631875,-5.10392,-4.10349,0.0505274,1.91019,0.0766245,2.35349,0.0850782,0.432824,0.0747189
5,1414.82,1,0.134281,1.69037,0.0624557,0.839987,0.00628143,-4.93341,-4.08464,0.0506836,1.86182,0.0746844,2.32404,0.082924,0.443313,0.0802357
6,1405.63,1,0.127567,1.68876,0.059333,0.830226,0.00626908,-4.57198,-4.07986,0.0617156,1.81468,0.0757714,2.26519,0.0808243,0.43797,0.0768801
7,1350.06,1,0.121189,1.69832,0.0563663,0.833349,0.00643119,-4.40318,-4.08429,0.0609093,1.9959,0.080047,2.20784,0.0787778,0.536082,0.079891
8,1306.99,1,0.115129,1.69413,0.053548,0.868471,0.00642502,-4.64915,-4.09359,0.0593671,1.94536,0.0780202,2.15193,0.0767831,0.522508,0.0777535
9,1257.95,1,0.109373,1.69577,0.0508706,0.83565,0.00634378,-4.63646,-4.09909,0.0578639,1.8961,0.0829321,2.09744,0.0748389,0.509278,0.0772598
10,1205.56,1,0.103904,1.70612,0.0483271,0.809713,0.00633928,-4.47686,-4.10117,0.0563987,2.01214,0.0808322,2.04434,0.0733657,0.496382,0.0794898
11,1217.43,1,0.0987091,1.7096,0.0459107,0.811176,0.00637502,-4.95301,-4.10674,0.0549707,1.96119,0.0871105,2.37533,0.0732187,0.496275,0.0809233
12,1189.17,1,0.0937737,1.70597,0.0436152,0.887745,0.00630314,-4.81246,-4.10972,0.0535788,1.91153,0.0849048,2.41026,0.0713648,0.552647,0.0854545
13,1187.6,1,0.089085,1.70218,0.0414344,0.895787,0.00641797,-5.12153,-4.10365,0.0522221,1.86313,0.0827549,2.34923,0.0709952,0.548714,0.0871431
14,1159.68,1,0.0846307,1.70505,0.0393627,0.932472,0.00624647,-4.82283,-4.11588,0.0508999,2.20426,0.0806595,2.28974,0.0704294,0.555162,0.0906389
15,1152.73,1,0.0803992,1.69992,0.0373946,0.932289,0.0062464,-5.07413,-4.12231,0.049611,2.14844,0.0786172,2.4612,0.0801536,0.597288,0.0917486
16,1130.07,1,0.0763792,1.69459,0.0355248,0.927807,0.00627865,-4.93638,-4.11709,0.0483549,2.09404,0.0766266,2.45019,0.0781241,0.582164,0.0891493
17,1107.39,1,0.0725603,1.69519,0.0337486,0.932108,0.00642964,-5.22896,-4.11745,0.0471305,2.16418,0.0773133,2.49619,0.0761459,0.727368,0.0920125
