rep,id,eta_initT,eta_aS,eta_dS,eta_tau,eta_lBt0,eta_lp,eta_dI,eta_w,data
1,35,-1.866959,0.018405,0.046401,0.000000,-0.054755,0.000000,-2.325673,-0.380587,thai
2,35,-1.377627,0.031538,0.037886,0.000000,0.006357,0.000000,-2.024534,1.240647,thai
3,35,-1.033948,-0.032004,0.161605,0.000000,0.079682,0.000000,-2.456093,0.852623,thai
4,35,-5.400889,-0.057045,0.143172,0.000000,0.097790,0.000000,-2.653424,-0.726732,thai
5,35,-0.042948,-0.029449,-0.249910,0.000000,0.020583,0.000000,-2.316197,-0.213926,thai
6,35,-0.577043,-0.053163,-0.223425,0.000000,-0.091367,0.000000,-2.297233,-0.043054,thai
7,35,-0.029064,0.000450,0.058877,0.000000,0.043576,0.000000,-1.897857,0.391261,thai
8,35,-4.475981,-0.002903,-0.059251,0.000000,-0.131227,0.000000,-2.405190,-0.437937,thai
9,35,0.290314,-0.016587,-0.091137,0.000000,0.021076,0.000000,-2.401863,-0.228854,thai
10,35,-2.432777,0.021968,0.017497,0.000000,-0.078020,0.000000,-2.305875,-0.197094,thai
1,36,4.365809,-0.000180,0.051996,0.000000,0.073889,0.000000,0.319196,-0.316693,thai
2,36,4.352118,0.037470,-0.144971,0.000000,-0.035749,0.000000,1.970781,0.182754,thai
3,36,4.352118,0.083680,-0.044451,0.000000,-0.015121,0.000000,4.311523,0.033205,thai
4,36,3.983955,0.000984,0.090239,0.000000,0.095185,0.000000,-0.244716,-0.427602,thai
5,36,4.150233,0.031919,-0.169052,0.000000,-0.062090,0.000000,0.419349,-0.234207,thai
6,36,4.653787,0.019721,-0.152099,0.000000,0.047219,0.000000,0.682117,-0.002800,thai
7,36,4.285672,0.044493,0.070527,0.000000,0.059129,0.000000,1.965994,0.059805,thai
8,36,4.411963,0.079225,-0.073052,0.000000,0.042789,0.000000,1.673162,-0.122498,thai
9,36,4.314701,-0.026810,0.017350,0.000000,0.054379,0.000000,1.215548,-0.029950,thai
10,36,4.567690,0.074978,-0.007496,0.000000,0.090702,0.000000,2.181833,-0.187531,thai
1,37,0.216903,0.008231,-0.003833,0.000000,-0.079644,0.000000,-1.353891,0.660882,thai
2,37,2.635501,0.082341,0.082443,0.000000,-0.004972,0.000000,-1.015849,0.698412,thai
3,37,-0.390691,0.096278,0.047556,0.000000,-0.081258,0.000000,-2.283263,0.311228,thai
4,37,-1.184920,0.023350,0.239902,0.000000,-0.094254,0.000000,-2.671949,0.711680,thai
5,37,2.141683,-0.065194,0.002193,0.000000,0.016883,0.000000,-2.291142,0.446467,thai
6,37,0.417083,0.152174,-0.002697,0.000000,-0.113057,0.000000,-1.924536,0.696539,thai
7,37,1.258470,-0.078703,0.120702,0.000000,0.076170,0.000000,-2.071938,0.157031,thai
8,37,-0.001086,-0.012278,0.218720,0.000000,0.045452,0.000000,-2.857914,-0.919536,thai
9,37,0.319996,-0.003614,-0.017518,0.000000,-0.119707,0.000000,-1.866884,1.472522,thai
10,37,2.737235,0.021247,-0.088824,0.000000,0.058994,0.000000,-2.138269,-0.219733,thai
1,38,-3.149261,0.057757,-0.007338,0.000000,-0.031913,0.000000,2.117667,-0.149147,thai
2,38,-6.580404,-0.005215,0.013379,0.000000,-0.115052,0.000000,1.479630,0.061848,thai
3,38,-2.842510,-0.018208,0.074617,0.000000,-0.030399,0.000000,1.253922,-0.001148,thai
4,38,-1.997545,0.000510,0.101733,0.000000,-0.041556,0.000000,-0.191097,0.126238,thai
5,38,0.689665,0.004487,-0.027709,0.000000,0.003173,0.000000,3.191590,0.533341,thai
6,38,-1.013399,0.020821,0.026271,0.000000,-0.032931,0.000000,-0.599380,0.386885,thai
7,38,-3.637864,0.158370,0.029451,0.000000,-0.104509,0.000000,1.636502,-0.323213,thai
8,38,-1.787607,-0.083394,-0.207863,0.000000,-0.076805,0.000000,0.150700,0.454606,thai
9,38,-1.641546,-0.008761,-0.084201,0.000000,-0.029955,0.000000,1.615756,-0.397292,thai
10,38,-0.907197,0.023019,0.074154,0.000000,0.025091,0.000000,-1.391761,-0.521509,thai
1,39,-2.275479,0.041640,-0.008065,0.000000,-0.142864,0.000000,1.242727,0.121647,thai
2,39,-0.463601,-0.028853,0.203140,0.000000,-0.109192,0.000000,0.593338,0.677971,thai
3,39,-0.641512,0.076217,0.201656,0.000000,-0.057773,0.000000,2.874224,0.015463,thai
4,39,-2.888368,-0.005238,0.230168,0.000000,-0.046284,0.000000,2.323269,-0.123196,thai
5,39,-1.940661,-0.011843,0.212685,0.000000,-0.095704,0.000000,1.093702,0.068415,thai
6,39,-2.347286,-0.111480,0.128558,0.000000,-0.031856,0.000000,1.664304,-0.113267,thai
7,39,-2.422354,0.006238,0.066586,0.000000,-0.146019,0.000000,1.231197,0.037431,thai
8,39,-1.551165,0.043187,-0.041863,0.000000,-0.161377,0.000000,2.123633,0.141184,thai
9,39,-1.593294,0.019899,0.129723,0.000000,-0.081357,0.000000,3.332474,-0.282521,thai
10,39,-2.003452,-0.076866,-0.007354,0.000000,-0.092792,0.000000,1.771860,-0.130022,thai
1,40,-0.712437,-0.090724,-0.171792,0.000000,-0.076830,0.000000,-2.494930,0.881008,thai
2,40,-0.820698,-0.112353,-0.024280,0.000000,0.040586,0.000000,-2.848415,0.248801,thai
3,40,-2.196066,-0.019427,0.101403,0.000000,-0.001298,0.000000,-1.840832,0.254828,thai
4,40,-1.327185,-0.039068,0.140381,0.000000,-0.019131,0.000000,-2.626807,0.268956,thai
5,40,-0.969397,-0.104351,-0.121144,0.000000,-0.039878,0.000000,-2.153288,-0.119886,thai
6,40,-0.691866,-0.120845,-0.031649,0.000000,0.025239,0.000000,-2.952639,0.528519,thai
7,40,-1.111201,-0.024439,0.041445,0.000000,-0.020543,0.000000,-2.894327,0.460099,thai
8,40,-1.690007,0.050187,-0.111815,0.000000,-0.108875,0.000000,-3.205466,0.513056,thai
9,40,-2.849940,0.058986,-0.047077,0.000000,-0.064025,0.000000,-2.882874,0.571902,thai
10,40,-3.623679,-0.086680,0.172513,0.000000,-0.052123,0.000000,-2.740607,0.412031,thai
1,41,0.711247,-0.024688,0.188783,0.000000,0.037169,0.000000,2.324501,0.816705,thai
2,41,1.293495,0.041265,0.073418,0.000000,-0.035698,0.000000,1.137441,0.224354,thai
3,41,0.477259,-0.045087,0.030005,0.000000,-0.020541,0.000000,2.433953,0.135684,thai
4,41,-0.009688,-0.058525,0.088793,0.000000,-0.005316,0.000000,-1.006150,0.037294,thai
5,41,1.668928,0.024131,-0.127033,0.000000,-0.049977,0.000000,1.096964,0.602634,thai
6,41,1.798846,-0.030341,-0.016840,0.000000,0.008174,0.000000,-0.147819,0.375836,thai
7,41,2.893101,-0.000583,-0.057621,0.000000,-0.015578,0.000000,-1.008333,0.183712,thai
8,41,1.349170,0.013153,0.103392,0.000000,-0.059642,0.000000,0.198288,1.089830,thai
9,41,0.055823,-0.022862,0.184828,0.000000,-0.002363,0.000000,1.433092,0.651902,thai
10,41,1.807510,-0.003856,0.001315,0.000000,-0.027394,0.000000,0.001729,0.408347,thai
1,42,-0.898087,-0.038085,-0.102629,0.000000,-0.082999,0.000000,1.210717,0.367806,thai
2,42,-0.399428,-0.025349,0.069473,0.000000,-0.073140,0.000000,-0.837575,0.672271,thai
3,42,1.958911,0.012054,-0.044798,0.000000,-0.076456,0.000000,-1.499343,-0.383472,thai
4,42,2.593831,-0.042091,-0.148379,0.000000,0.014236,0.000000,-0.783820,0.455179,thai
5,42,1.213208,-0.081740,-0.114491,0.000000,-0.044502,0.000000,-0.909262,0.371178,thai
6,42,0.565411,-0.015042,-0.011924,0.000000,-0.042722,0.000000,-1.604625,-0.517385,thai
7,42,2.283254,0.101257,-0.126916,0.000000,-0.054933,0.000000,-1.525123,-0.457652,thai
8,42,-0.880361,-0.003459,0.091635,0.000000,-0.040361,0.000000,-0.944312,0.330068,thai
9,42,0.421225,-0.077507,-0.031070,0.000000,-0.085662,0.000000,-1.857185,0.093890,thai
10,42,-1.699443,0.023347,0.020137,0.000000,-0.141520,0.000000,1.977365,0.525281,thai
1,43,1.836083,-0.020440,0.073614,0.000000,-0.096172,0.000000,-1.942758,0.554506,thai
2,43,0.752676,0.016761,0.149027,0.000000,-0.030686,0.000000,-3.131856,-0.337734,thai
3,43,1.510793,-0.030740,0.040523,0.000000,-0.030532,0.000000,-2.466873,0.460717,thai
4,43,0.900827,0.004888,-0.000168,0.000000,-0.102090,0.000000,-2.428382,0.328015,thai
5,43,0.696857,0.018875,0.094295,0.000000,-0.162803,0.000000,-2.525060,-0.409539,thai
6,43,1.433143,-0.030262,0.030740,0.000000,-0.114060,0.000000,-2.868561,0.393518,thai
7,43,1.348971,0.009114,0.117714,0.000000,-0.032414,0.000000,-2.698685,0.423639,thai
8,43,0.726318,-0.081370,0.155241,0.000000,-0.068125,0.000000,-2.551217,0.137214,thai
9,43,3.143592,-0.097198,0.007011,0.000000,0.098259,0.000000,-2.832504,-0.767692,thai
10,43,3.243999,-0.041995,-0.117242,0.000000,0.008103,0.000000,-2.725772,-0.170213,thai
1,44,-0.947232,0.086196,-0.054979,0.000000,0.090217,0.000000,1.902591,0.841731,thai
2,44,-4.029824,0.017469,0.030287,0.000000,0.054571,0.000000,1.321847,0.627127,thai
3,44,0.188639,-0.094872,0.033035,0.000000,0.113589,0.000000,0.375582,0.791216,thai
4,44,-2.010566,0.065661,0.071147,0.000000,0.037294,0.000000,-0.478178,0.446547,thai
5,44,-5.279966,0.039031,-0.000156,0.000000,-0.020158,0.000000,2.988944,0.636013,thai
6,44,0.818003,0.058027,0.087442,0.000000,0.110411,0.000000,1.042977,0.667411,thai
7,44,-1.384799,0.028322,-0.139102,0.000000,0.131431,0.000000,-0.544082,0.528487,thai
8,44,1.388391,-0.001712,-0.061486,0.000000,0.143687,0.000000,-0.164784,0.458450,thai
9,44,-1.021416,0.103720,0.088444,0.000000,0.030023,0.000000,0.046460,0.564069,thai
10,44,2.197088,0.051987,-0.052171,0.000000,0.105894,0.000000,3.607838,0.964206,thai
1,45,2.186405,-0.048604,0.065687,0.000000,-0.015680,0.000000,-0.391232,0.234032,thai
2,45,2.781801,-0.023761,0.091564,0.000000,0.044158,0.000000,-0.287788,-0.199362,thai
3,45,2.721646,0.074736,0.038489,0.000000,-0.039330,0.000000,0.008716,-0.149565,thai
4,45,2.298241,-0.092151,0.090640,0.000000,-0.006265,0.000000,-0.110413,0.048739,thai
5,45,2.122080,0.034632,-0.002094,0.000000,-0.024535,0.000000,4.496782,-0.270069,thai
6,45,2.045174,-0.018649,0.033637,0.000000,0.013128,0.000000,0.263722,-0.330152,thai
7,45,1.896707,0.054038,-0.115037,0.000000,-0.069467,0.000000,1.066933,-0.002893,thai
8,45,1.636392,-0.064048,0.119861,0.000000,0.060998,0.000000,1.429029,-0.471231,thai
9,45,2.662280,-0.066211,0.075754,0.000000,0.001981,0.000000,-0.291547,-0.136737,thai
10,45,1.209005,0.001261,0.269718,0.000000,0.014322,0.000000,-1.032356,-0.760346,thai
1,46,-1.412754,-0.066472,-0.138161,0.000000,-0.061705,0.000000,-1.895842,0.331401,thai
2,46,-1.371973,0.012891,-0.150885,0.000000,-0.193517,0.000000,-2.095841,0.095937,thai
3,46,-1.332596,0.040357,0.086084,0.000000,-0.029543,0.000000,1.321690,1.168722,thai
4,46,0.746940,0.007452,0.262039,0.000000,0.091438,0.000000,-1.946746,0.166725,thai
5,46,-0.121549,-0.058948,0.162985,0.000000,0.097078,0.000000,0.831195,0.466461,thai
6,46,1.012007,0.123255,0.071109,0.000000,0.079981,0.000000,0.173810,0.985431,thai
7,46,0.518025,0.036060,-0.146899,0.000000,-0.056765,0.000000,-0.593611,0.527702,thai
8,46,0.571083,-0.015670,-0.132390,0.000000,0.039375,0.000000,2.253929,0.139117,thai
9,46,2.618087,0.104824,-0.120616,0.000000,0.059647,0.000000,3.995580,1.101813,thai
10,46,-1.987600,0.029376,-0.089330,0.000000,-0.031117,0.000000,-0.427017,0.221944,thai
1,47,2.078620,-0.004970,0.031169,0.000000,-0.002860,0.000000,-1.593257,0.468648,thai
2,47,2.964412,-0.070341,0.127534,0.000000,0.089040,0.000000,-0.270121,0.544817,thai
3,47,2.204241,0.030933,0.233195,0.000000,0.071252,0.000000,1.270140,0.442430,thai
4,47,2.491872,0.001796,-0.012934,0.000000,0.020823,0.000000,-1.310756,0.196090,thai
5,47,1.499137,-0.103960,0.208344,0.000000,0.058969,0.000000,-0.095546,0.572571,thai
6,47,0.631305,0.097197,0.000758,0.000000,-0.091601,0.000000,0.919461,0.361355,thai
7,47,1.930758,0.044405,-0.041630,0.000000,-0.117991,0.000000,2.172006,0.585508,thai
8,47,2.298289,0.023253,-0.049249,0.000000,-0.071813,0.000000,0.564263,0.608576,thai
9,47,1.397110,-0.041452,-0.059553,0.000000,-0.081763,0.000000,2.549444,0.509887,thai
10,47,2.029414,0.024325,-0.084363,0.000000,-0.050447,0.000000,-1.232157,0.256497,thai
1,48,3.057472,-0.014457,-0.049435,0.000000,-0.007149,0.000000,-1.692213,0.690905,thai
2,48,-0.716076,-0.036000,-0.086992,0.000000,-0.065598,0.000000,2.024982,0.060092,thai
3,48,0.224365,0.021389,0.274751,0.000000,-0.011715,0.000000,-1.023980,0.092404,thai
4,48,-0.604510,-0.048381,0.071604,0.000000,-0.068423,0.000000,-1.407772,-0.396789,thai
5,48,-1.979731,0.016470,0.032043,0.000000,-0.156342,0.000000,1.621959,0.469120,thai
6,48,1.378829,0.004727,0.066493,0.000000,-0.084263,0.000000,0.713565,0.660935,thai
7,48,2.136872,-0.038488,-0.009219,0.000000,-0.034220,0.000000,-0.940202,0.714223,thai
