aS_vs_dI_abscissa,aS_vs_dI_spline,aS_vs_dI_regression,aS_vs_dS_abscissa,aS_vs_dS_spline,aS_vs_dS_regression,aS_vs_initT_abscissa,aS_vs_initT_spline,aS_vs_initT_regression,aS_vs_lBt0_abscissa,aS_vs_lBt0_spline,aS_vs_lBt0_regression,aS_vs_n_abscissa,aS_vs_n_spline,aS_vs_n_regression,dI_vs_aS_abscissa,dI_vs_aS_spline,dI_vs_aS_regression,dI_vs_dS_abscissa,dI_vs_dS_spline,dI_vs_dS_regression,dI_vs_initT_abscissa,dI_vs_initT_spline,dI_vs_initT_regression,dI_vs_lBt0_abscissa,dI_vs_lBt0_spline,dI_vs_lBt0_regression,dI_vs_n_abscissa,dI_vs_n_spline,dI_vs_n_regression,dS_vs_aS_abscissa,dS_vs_aS_spline,dS_vs_aS_regression,dS_vs_dI_abscissa,dS_vs_dI_spline,dS_vs_dI_regression,dS_vs_initT_abscissa,dS_vs_initT_spline,dS_vs_initT_regression,dS_vs_lBt0_abscissa,dS_vs_lBt0_spline,dS_vs_lBt0_regression,dS_vs_n_abscissa,dS_vs_n_spline,dS_vs_n_regression,initT_vs_aS_abscissa,initT_vs_aS_spline,initT_vs_aS_regression,initT_vs_dI_abscissa,initT_vs_dI_spline,initT_vs_dI_regression,initT_vs_dS_abscissa,initT_vs_dS_spline,initT_vs_dS_regression,initT_vs_lBt0_abscissa,initT_vs_lBt0_spline,initT_vs_lBt0_regression,initT_vs_n_abscissa,initT_vs_n_spline,initT_vs_n_regression,lBt0_vs_aS_abscissa,lBt0_vs_aS_spline,lBt0_vs_aS_regression,lBt0_vs_dI_abscissa,lBt0_vs_dI_spline,lBt0_vs_dI_regression,lBt0_vs_dS_abscissa,lBt0_vs_dS_spline,lBt0_vs_dS_regression,lBt0_vs_initT_abscissa,lBt0_vs_initT_spline,lBt0_vs_initT_regression,lBt0_vs_n_abscissa,lBt0_vs_n_spline,lBt0_vs_n_regression,n_vs_aS_abscissa,n_vs_aS_spline,n_vs_aS_regression,n_vs_dI_abscissa,n_vs_dI_spline,n_vs_dI_regression,n_vs_dS_abscissa,n_vs_dS_spline,n_vs_dS_regression,n_vs_initT_abscissa,n_vs_initT_spline,n_vs_initT_regression,n_vs_lBt0_abscissa,n_vs_lBt0_spline,n_vs_lBt0_regression
-1.44928,-0.908784,-0.850415,-3.93879,0.165057,0.140683,-25.1756,0.112552,0.0903792,-1.73754,0.210382,0.142212,-1.57329,0.937122,0.560277,-0.952007,-1.36887,-1.35886,-3.93879,0.467411,0.211538,-25.1756,0.421364,0.139708,-1.73754,0.478708,0.210874,-1.57329,1.56437,1.17958,-0.952007,0.892298,0.479553,-1.44928,0.791325,0.476002,-25.1756,-0.265106,-0.0131237,-1.73754,-3.97191,-4.13832,-1.57329,-0.883347,-0.324855,-0.952007,1.35786,1.78074,-1.44928,0.620112,1.85798,-3.93879,2.85599,0.373827,-1.73754,0.598087,0.303201,-1.57329,-5.08207,-1.0427,-0.952007,0.412448,0.187985,-1.44928,0.35173,0.183563,-3.93879,-1.67098,-1.63433,-25.1756,-0.162906,-0.014385,-1.57329,-0.332287,-0.117912,-0.952007,1.10177,1.0019,-1.44928,1.25195,1.35302,-3.93879,-0.727765,-0.151796,-25.1756,-0.613477,-0.144721,-1.73754,-0.552613,-0.135707
-1.4171,-0.895509,-0.831387,-3.85292,0.192572,0.137788,-24.7995,0.0873173,0.0891784,-1.70108,0.191719,0.13939,-1.53751,0.818214,0.547604,-0.930477,-1.36051,-1.32832,-3.85292,0.495746,0.206979,-24.7995,0.333022,0.137707,-1.70108,0.486334,0.206496,-1.53751,1.42262,1.15256,-0.930477,0.707544,0.467959,-1.4171,0.723095,0.464622,-24.7995,-0.207055,-0.0134929,-1.70108,-3.94434,-4.05136,-1.53751,-0.653423,-0.318261,-0.930477,1.46186,1.74656,-1.4171,0.94075,1.82249,-3.85292,0.9812,0.371203,-1.70108,1.27516,0.302171,-1.53751,-5.24414,-1.01287,-0.930477,0.325685,0.183362,-1.4171,0.321588,0.179093,-3.85292,-1.65195,-1.59876,-24.7995,-0.127835,-0.0144443,-1.53751,-0.244563,-0.115623,-0.930477,1.14242,0.979073,-1.4171,1.24831,1.32269,-3.85292,-0.667782,-0.148831,-24.7995,-0.492775,-0.142834,-1.70108,-0.648254,-0.133191
-1.38492,-0.872525,-0.81236,-3.76705,0.206274,0.134893,-24.4234,0.0620824,0.0879776,-1.66461,0.174595,0.136569,-1.50172,0.752508,0.534932,-0.908947,-1.34986,-1.29779,-3.76705,0.501321,0.202419,-24.4234,0.244679,0.135706,-1.66461,0.486996,0.202117,-1.50172,1.33902,1.12554,-0.908947,0.539754,0.456364,-1.38492,0.668171,0.453243,-24.4234,-0.149005,-0.0138621,-1.66461,-3.90724,-3.96439,-1.50172,-0.539096,-0.311667,-0.908947,1.5449,1.71238,-1.38492,1.2045,1.787,-3.76705,0.117943,0.368579,-1.66461,1.83671,0.301141,-1.50172,-4.98155,-0.983035,-0.908947,0.246169,0.178739,-1.38492,0.295166,0.174622,-3.76705,-1.62089,-1.56318,-24.4234,-0.092764,-0.0145036,-1.50172,-0.202018,-0.113335,-0.908947,1.17624,0.956248,-1.38492,1.2486,1.29236,-3.76705,-0.619224,-0.145866,-24.4234,-0.372072,-0.140946,-1.66461,-0.720495,-0.130675
-1.35274,-0.848077,-0.793332,-3.68117,0.206232,0.131998,-24.0473,0.0368475,0.0867768,-1.62815,0.165343,0.133747,-1.46594,0.686802,0.52226,-0.887417,-1.3268,-1.26725,-3.68117,0.485362,0.19786,-24.0473,0.156336,0.133705,-1.62815,0.471995,0.197738,-1.46594,1.25542,1.09851,-0.887417,0.463652,0.444769,-1.35274,0.615254,0.441863,-24.0473,-0.0909553,-0.0142313,-1.62815,-3.83895,-3.87742,-1.46594,-0.42477,-0.305073,-0.887417,1.51868,1.67819,-1.35274,1.45967,1.75151,-3.68117,0.223855,0.365955,-1.62815,2.0225,0.300111,-1.46594,-4.71895,-0.953202,-0.887417,0.2061,0.174116,-1.35274,0.269305,0.170152,-3.68117,-1.57883,-1.52761,-24.0473,-0.0576929,-0.0145628,-1.46594,-0.159473,-0.111047,-0.887417,1.17299,0.933423,-1.35274,1.24948,1.26204,-3.68117,-0.583368,-0.1429,-24.0473,-0.25137,-0.139059,-1.62815,-0.721291,-0.12816
-1.32057,-0.821844,-0.774305,-3.5953,0.206189,0.129103,-23.6712,0.0206539,0.085576,-1.59169,0.162311,0.130926,-1.43015,0.621095,0.509587,-0.865887,-1.29598,-1.23671,-3.5953,0.469403,0.1933,-23.6712,0.0952118,0.131705,-1.59169,0.448661,0.193359,-1.43015,1.17182,1.07149,-0.865887,0.444788,0.433174,-1.32057,0.565224,0.430484,-23.6712,-0.0566241,-0.0146005,-1.59169,-3.74956,-3.79046,-1.43015,-0.310444,-0.298478,-0.865887,1.42539,1.64401,-1.32057,1.70112,1.71602,-3.5953,0.329767,0.363331,-1.59169,1.95503,0.29908,-1.43015,-4.45635,-0.92337,-0.865887,0.190736,0.169494,-1.32057,0.244342,0.165682,-3.5953,-1.53677,-1.49203,-23.6712,-0.0367754,-0.0146221,-1.43015,-0.116927,-0.108758,-0.865887,1.14656,0.910599,-1.32057,1.25063,1.23171,-3.5953,-0.547512,-0.139935,-23.6712,-0.166662,-0.137171,-1.59169,-0.675421,-0.125644
-1.28839,-0.78908,-0.755277,-3.50943,0.206147,0.126209,-23.2952,0.00874918,0.0843752,-1.55522,0.159279,0.128104,-1.39437,0.555389,0.496915,-0.844357,-1.26516,-1.20618,-3.50943,0.453444,0.18874,-23.2952,0.0472388,0.129704,-1.55522,0.425327,0.18898,-1.39437,1.08822,1.04447,-0.844357,0.425924,0.421579,-1.28839,0.526362,0.419104,-23.2952,-0.033169,-0.0149697,-1.55522,-3.66017,-3.70349,-1.39437,-0.196117,-0.291884,-0.844357,1.33211,1.60982,-1.28839,1.88796,1.68053,-3.50943,0.435679,0.360707,-1.55522,1.88756,0.29805,-1.39437,-4.19376,-0.893538,-0.844357,0.175372,0.164871,-1.28839,0.222956,0.161211,-3.50943,-1.49471,-1.45646,-23.2952,-0.0223418,-0.0146814,-1.39437,-0.0743816,-0.10647,-0.844357,1.12013,0.887774,-1.28839,1.2522,1.20138,-3.50943,-0.511656,-0.136969,-23.2952,-0.0993816,-0.135284,-1.55522,-0.629551,-0.123128
-1.25621,-0.75359,-0.73625,-3.42356,0.206104,0.123314,-22.9191,0.000384854,0.0831744,-1.51876,0.156247,0.125283,-1.35858,0.489682,0.484242,-0.822827,-1.23057,-1.17564,-3.42356,0.437485,0.184181,-22.9191,0.0101229,0.127703,-1.51876,0.401993,0.184601,-1.35858,1.00462,1.01745,-0.822827,0.434788,0.409985,-1.25621,0.494514,0.407725,-22.9191,-0.0186914,-0.0153389,-1.51876,-3.57078,-3.61652,-1.35858,-0.0817907,-0.28529,-0.822827,1.2109,1.57564,-1.25621,2.03464,1.64504,-3.42356,0.541591,0.358083,-1.51876,1.82008,0.29702,-1.35858,-3.93116,-0.863705,-0.822827,0.172294,0.160248,-1.25621,0.204207,0.156741,-3.42356,-1.45265,-1.42089,-22.9191,-0.0132603,-0.0147407,-1.35858,-0.0318362,-0.104181,-0.822827,1.08233,0.864949,-1.25621,1.25156,1.17105,-3.42356,-0.4758,-0.134004,-22.9191,-0.0464885,-0.133396,-1.51876,-0.583681,-0.120612
-1.22403,-0.718004,-0.717222,-3.33769,0.206061,0.120419,-22.543,-0.00797948,0.0819736,-1.4823,0.153215,0.122461,-1.3228,0.423976,0.47157,-0.801297,-1.18782,-1.1451,-3.33769,0.421526,0.179621,-22.543,-0.026993,0.125702,-1.4823,0.37866,0.180222,-1.3228,0.921021,0.990422,-0.801297,0.503362,0.39839,-1.22403,0.463743,0.396345,-22.543,-0.00421376,-0.015708,-1.4823,-3.48139,-3.52956,-1.3228,0.0325358,-0.278695,-0.801297,1.02953,1.54146,-1.22403,2.1738,1.60955,-3.33769,0.647504,0.355459,-1.4823,1.75261,0.29599,-1.3228,-3.66856,-0.833873,-0.801297,0.195673,0.155626,-1.22403,0.185952,0.15227,-3.33769,-1.41059,-1.38531,-22.543,-0.00417872,-0.0148,-1.3228,0.0107093,-0.101893,-0.801297,1.02003,0.842124,-1.22403,1.25001,1.14072,-3.33769,-0.439944,-0.131039,-22.543,0.00640452,-0.131509,-1.4823,-0.537811,-0.118097
-1.19185,-0.681856,-0.698195,-3.25181,0.206019,0.117524,-22.1669,-0.0131939,0.0807728,-1.44583,0.150183,0.11964,-1.28701,0.403728,0.458897,-0.779767,-1.14507,-1.11457,-3.25181,0.405567,0.175062,-22.1669,-0.0541025,0.123701,-1.44583,0.355326,0.175843,-1.28701,0.887064,0.963399,-0.779767,0.571936,0.386795,-1.19185,0.439198,0.384966,-22.1669,0.0028169,-0.0160772,-1.44583,-3.392,-3.44259,-1.28701,0.0598731,-0.272101,-0.779767,0.848171,1.50727,-1.19185,2.2694,1.57406,-3.25181,0.753416,0.352835,-1.44583,1.68514,0.29496,-1.28701,-3.08318,-0.804041,-0.779767,0.219052,0.151003,-1.19185,0.170561,0.1478,-3.25181,-1.36853,-1.34974,-22.1669,0.000472465,-0.0148593,-1.28701,0.019925,-0.0996044,-0.779767,0.957727,0.8193,-1.19185,1.24317,1.1104,-3.25181,-0.404087,-0.128073,-22.1669,0.0459878,-0.129621,-1.44583,-0.49194,-0.115581
-1.15967,-0.646637,-0.679167,-3.16594,0.205976,0.114629,-21.7908,-0.0119286,0.0795721,-1.40937,0.147151,0.116818,-1.25123,0.419894,0.446225,-0.758237,-1.10121,-1.08403,-3.16594,0.389608,0.170502,-21.7908,-0.0606272,0.121701,-1.40937,0.331992,0.171464,-1.25123,0.892854,0.936376,-0.758237,0.648452,0.3752,-1.15967,0.41651,0.373586,-21.7908,-0.00547173,-0.0164464,-1.40937,-3.3026,-3.35563,-1.25123,0.0228539,-0.265507,-0.758237,0.66376,1.47309,-1.15967,2.34736,1.53857,-3.16594,0.859328,0.350211,-1.40937,1.61767,0.29393,-1.25123,-2.25733,-0.774208,-0.758237,0.246295,0.14638,-1.15967,0.156333,0.14333,-3.16594,-1.32647,-1.31416,-21.7908,-0.00399018,-0.0149186,-1.25123,0.00482518,-0.097316,-0.758237,0.892007,0.796475,-1.15967,1.2328,1.08007,-3.16594,-0.368231,-0.125108,-21.7908,0.0581912,-0.127734,-1.40937,-0.44607,-0.113065
