initT_abscissa,initT_cdf,aS_abscissa,aS_cdf,dS_abscissa,dS_cdf,lBt0_abscissa,lBt0_cdf,dI_abscissa,dI_cdf,n_abscissa,n_cdf,split
-40.8529,0.00204082,0.242062,0,1.34007e-05,0.00204082,-6.32913,0.00204082,0.355501,0,0.0173222,0,All
-39.7242,0.00408163,0.300958,0.00204082,1.408e-05,0.00408163,-6.30511,0.00408163,0.362767,0.00204082,0.0177338,0.00204082,All
-39.1782,0.00612245,0.302439,0.00408163,1.43642e-05,0.00612245,-6.26272,0.00612245,0.376213,0.00408163,0.0180256,0.00408163,All
-37.9672,0.00816327,0.315671,0.00612245,1.52993e-05,0.00816327,-6.25306,0.00816327,0.409388,0.00612245,0.0180345,0.00612245,All
-36.2665,0.0102041,0.31781,0.00816327,1.53405e-05,0.0102041,-6.23777,0.0102041,0.420151,0.00816327,0.0231143,0.00816327,All
-36.0768,0.0122449,0.340128,0.0102041,4.19937e-05,0.0122449,-5.72221,0.0122449,0.42241,0.0102041,0.0237744,0.0102041,All
-36.021,0.0142857,0.362097,0.0122449,4.8187e-05,0.0142857,-5.71814,0.0142857,0.424443,0.0122449,0.0240279,0.0122449,All
-35.8245,0.0163265,0.363912,0.0142857,5.00521e-05,0.0163265,-5.71682,0.0163265,0.452264,0.0142857,0.0240441,0.0142857,All
-34.0151,0.0183673,0.367398,0.0163265,5.29188e-05,0.0183673,-5.67267,0.0183673,0.476532,0.0163265,0.0244686,0.0163265,All
-33.6344,0.0204082,0.376836,0.0183673,5.57645e-05,0.0204082,-5.66003,0.0204082,0.480521,0.0183673,0.0246109,0.0183673,All
-33.5807,0.022449,0.37967,0.0204082,5.78658e-05,0.022449,-5.64757,0.022449,0.482707,0.0204082,0.0252983,0.0204082,All
-33.5158,0.0244898,0.395102,0.022449,5.80502e-05,0.0244898,-5.61723,0.0244898,0.512748,0.022449,0.0255844,0.022449,All
-33.3314,0.0265306,0.399969,0.0244898,5.92259e-05,0.0265306,-5.61594,0.0265306,0.521044,0.0244898,0.0257826,0.0244898,All
-32.966,0.0285714,0.406531,0.0265306,6.02907e-05,0.0285714,-5.60993,0.0285714,0.521224,0.0265306,0.0266284,0.0265306,All
-32.8671,0.0306122,0.409329,0.0285714,6.06027e-05,0.0306122,-5.60166,0.0306122,0.529939,0.0285714,0.0268497,0.0285714,All
-32.7061,0.0326531,0.419916,0.0306122,6.0967e-05,0.0326531,-5.59337,0.0326531,0.533042,0.0306122,0.0273444,0.0306122,All
-32.6571,0.0346939,0.420755,0.0326531,6.13719e-05,0.0346939,-5.58731,0.0346939,0.536556,0.0326531,0.0281294,0.0326531,All
-32.4973,0.0367347,0.425178,0.0346939,6.15424e-05,0.0367347,-5.58632,0.0367347,0.536923,0.0346939,0.0294031,0.0346939,All
-32.1774,0.0387755,0.425923,0.0367347,6.27743e-05,0.0387755,-5.57454,0.0387755,0.538035,0.0367347,0.029528,0.0367347,All
-32.1744,0.0408163,0.429487,0.0387755,6.27959e-05,0.0408163,-5.57235,0.0408163,0.542105,0.0387755,0.0295516,0.0387755,All
-32.0784,0.0428571,0.436004,0.0408163,6.36711e-05,0.0428571,-5.5679,0.0428571,0.549083,0.0408163,0.029685,0.0408163,All
-31.8421,0.044898,0.440259,0.0428571,6.53303e-05,0.044898,-5.5669,0.044898,0.551255,0.0428571,0.0299016,0.0428571,All
-31.4453,0.0469388,0.442435,0.044898,6.62129e-05,0.0469388,-5.5649,0.0469388,0.55552,0.044898,0.0303189,0.044898,All
-31.3252,0.0489796,0.44492,0.0469388,6.63651e-05,0.0489796,-5.56193,0.0489796,0.559301,0.0469388,0.0307735,0.0469388,All
-31.001,0.0510204,0.447859,0.0489796,6.69999e-05,0.0510204,-5.55656,0.0510204,0.574398,0.0489796,0.0307815,0.0489796,All
-30.8488,0.0530612,0.450539,0.0510204,6.74191e-05,0.0530612,-5.53832,0.0530612,0.602319,0.0510204,0.0312608,0.0510204,All
-30.6797,0.055102,0.451186,0.0530612,6.84438e-05,0.055102,-5.53691,0.055102,0.64458,0.0530612,0.0334179,0.0530612,All
-30.5111,0.0571429,0.458441,0.055102,6.94975e-05,0.0571429,-5.5351,0.0571429,0.644709,0.055102,0.0335957,0.055102,All
-30.4429,0.0591837,0.460593,0.0571429,6.9679e-05,0.0591837,-5.53282,0.0591837,0.646788,0.0571429,0.0337752,0.0571429,All
