initT_abscissa,initT_pdf,initT_cdf,aS_abscissa,aS_pdf,aS_cdf,dS_abscissa,dS_pdf,dS_cdf,lBt0_abscissa,lBt0_pdf,lBt0_cdf,dI_abscissa,dI_pdf,dI_cdf,n_abscissa,n_pdf,n_cdf,split
-40.8529,0.000475118,0.00118551,0.242062,0.0210636,0.000511877,1.34007e-05,339.345,0.00195391,-6.32913,0.00694159,0.00119766,0.355501,0.0655134,0.00447302,0.0173222,1.92105,0.00806949,All
-40.4768,0.00054486,0.00137705,0.265236,0.0432077,0.0012339,0.000679412,430.147,0.49624,-6.29267,0.00840616,0.00147672,0.440523,0.133251,0.0127859,0.0233381,3.79772,0.0251953,All
-40.1007,0.000623554,0.00159647,0.28841,0.0787636,0.00261821,0.00134542,192.547,0.688324,-6.25621,0.0101385,0.00181394,0.525545,0.2143,0.0275095,0.0293539,5.5926,0.0535789,All
-39.7246,0.000712143,0.00184732,0.311583,0.130505,0.00500973,0.00201144,106.711,0.783981,-6.21974,0.0121783,0.00221982,0.610567,0.29698,0.0492696,0.0353698,7.01533,0.0917236,All
-39.3485,0.000811644,0.00213351,0.334757,0.199937,0.0088038,0.00267745,66.5218,0.84019,-6.18328,0.0145691,0.00270633,0.695588,0.372234,0.077795,0.0413857,7.98706,0.137074,All
-38.9724,0.000923142,0.00245933,0.35793,0.286992,0.0144128,0.00334346,44.7094,0.876563,-6.14682,0.0173588,0.00328714,0.78061,0.43462,0.112198,0.0474016,8.5404,0.18698,All
-38.5963,0.00104779,0.00282953,0.381104,0.390008,0.0222287,0.00400947,31.6765,0.901657,-6.11035,0.0205988,0.00397772,0.865632,0.48184,0.151267,0.0534175,8.75103,0.239143,All
-38.2202,0.00118683,0.00324927,0.404277,0.505956,0.0325887,0.00467548,23.3412,0.919786,-6.07389,0.0243446,0.00479549,0.950654,0.513818,0.193698,0.0594333,8.70183,0.29175,All
-37.8441,0.00134154,0.00372421,0.427451,0.630816,0.0457473,0.0053415,17.7316,0.933347,-6.03743,0.0286548,0.00575995,1.03568,0.531821,0.238242,0.0654492,8.46729,0.34347,All
-37.468,0.00151331,0.0042605,0.450624,0.760025,0.0618588,0.00600751,13.8034,0.943775,-6.00096,0.0335916,0.00689281,1.1207,0.5378,0.28379,0.0714651,8.10834,0.393378,All
-37.0919,0.00170354,0.00486482,0.473798,0.888914,0.0809697,0.00667352,10.9633,0.951974,-5.9645,0.0392194,0.00821808,1.20572,0.533926,0.329412,0.077481,7.67216,0.440874,All
-36.7159,0.00191374,0.00554439,0.496972,1.01308,0.103021,0.00733953,8.85527,0.95854,-5.92804,0.0456045,0.00976215,1.29074,0.522326,0.374362,0.0834969,7.1939,0.485604,All
-36.3398,0.00214546,0.00630701,0.520145,1.12865,0.127856,0.00800554,7.25573,0.963881,-5.89157,0.0528142,0.0115539,1.37576,0.504926,0.418066,0.0895127,6.69895,0.527396,All
-35.9637,0.00240027,0.00716107,0.543319,1.23247,0.155239,0.00867155,6.01902,0.968285,-5.85511,0.0609159,0.0136246,1.46078,0.483389,0.460104,0.0955286,6.20509,0.566207,All
-35.5876,0.00267982,0.00811556,0.566492,1.32221,0.184869,0.00933757,5.04721,0.971957,-5.81865,0.0699757,0.0160079,1.54581,0.459099,0.500186,0.101544,5.72433,0.602081,All
-35.2115,0.00298576,0.0091801,0.589666,1.39631,0.216399,0.0100036,4.27268,0.975052,-5.78218,0.0800573,0.0187401,1.63083,0.433176,0.538125,0.10756,5.26443,0.635122,All
-34.8354,0.00331978,0.0103649,0.612839,1.45399,0.249457,0.0106696,3.64765,0.977682,-5.74572,0.0912203,0.0218594,1.71585,0.4065,0.573823,0.113576,4.83009,0.665472,All
-34.4593,0.00368356,0.0116809,0.636013,1.49515,0.283659,0.0113356,3.13765,0.979936,-5.70926,0.103519,0.0254063,1.80087,0.379748,0.607246,0.119592,4.42376,0.693293,All
-34.0832,0.0040788,0.0131396,0.659187,1.52022,0.318628,0.0120016,2.71737,0.981881,-5.67279,0.116999,0.029423,1.88589,0.353427,0.638409,0.125608,4.04637,0.718756,All
-33.7071,0.00450713,0.0147531,0.68236,1.53011,0.354,0.0126676,2.36792,0.983571,-5.63633,0.131699,0.0339535,1.97091,0.327904,0.667366,0.131624,3.69778,0.742036,All
-33.331,0.0049702,0.0165342,0.705534,1.52602,0.389436,0.0133336,2.07501,0.985048,-5.59987,0.147646,0.0390426,2.05594,0.303432,0.694197,0.13764,3.37715,0.763303,All
-32.9549,0.00546955,0.0184962,0.728707,1.50939,0.424629,0.0139996,1.82769,0.986345,-5.5634,0.164852,0.0447361,2.14096,0.280181,0.718998,0.143656,3.08319,0.782722,All
-32.5788,0.00600668,0.020653,0.751881,1.48177,0.459307,0.0146657,1.61745,0.987491,-5.52694,0.183319,0.0510801,2.22598,0.258248,0.741877,0.149672,2.81436,0.80045,All
-32.2027,0.00658296,0.0230192,0.775054,1.44479,0.493233,0.0153317,1.43762,0.988506,-5.49048,0.203027,0.0581201,2.311,0.237681,0.76295,0.155687,2.56896,0.816631,All
-31.8266,0.00719968,0.0256097,0.798228,1.40001,0.526209,0.0159977,1.28294,0.989411,-5.45401,0.223944,0.0659009,2.39602,0.218487,0.782332,0.161703,2.34526,0.831402,All
-31.4505,0.00785797,0.0284399,0.821401,1.34899,0.558071,0.0166637,1.14918,0.99022,-5.41755,0.246015,0.0744656,2.48104,0.200647,0.800141,0.167719,2.14157,0.844889,All
-31.0744,0.00855877,0.0315257,0.844575,1.29314,0.588693,0.0173297,1.03295,0.990946,-5.38109,0.269165,0.083855,2.56607,0.184118,0.816488,0.173735,1.95621,0.857206,All
-30.6984,0.00930288,0.0348832,0.867749,1.23378,0.617978,0.0179957,0.931493,0.991599,-5.34462,0.293301,0.0941069,2.65109,0.168847,0.831484,0.179751,1.78763,0.868459,All
-30.3223,0.0100909,0.0385287,0.890922,1.17208,0.645857,0.0186617,0.842554,0.992189,-5.30816,0.318307,0.105255,2.73611,0.15477,0.845233,0.185767,1.63433,0.878745,All
-29.9462,0.010923,0.0424789,0.914096,1.10908,0.67229,0.0193277,0.764279,0.992724,-5.2717,0.344044,0.117329,2.82113,0.141817,0.857834,0.191783,1.49494,0.888151,All
-29.5701,0.0117995,0.0467505,0.937269,1.04568,0.697257,0.0199938,0.695135,0.993209,-5.23523,0.370356,0.130352,2.90615,0.129918,0.869378,0.197799,1.3682,0.896757,All
-29.194,0.01272,0.0513599,0.960443,0.982629,0.720757,0.0206598,0.633842,0.993651,-5.19877,0.397065,0.144343,2.99118,0.119,0.879953,0.203814,1.25294,0.904636,All
-28.8179,0.0136842,0.0563238,0.983616,0.920567,0.742807,0.0213258,0.579331,0.994055,-5.16231,0.423976,0.159311,3.0762,0.108993,0.889639,0.20983,1.14809,0.911853,All
-28.4418,0.014691,0.0616583,1.00679,0.86001,0.763435,0.0219918,0.530701,0.994424,-5.12584,0.450876,0.175262,3.16122,0.0998279,0.898511,0.215846,1.05268,0.918468,All
-28.0657,0.0157395,0.0673794,1.02996,0.801365,0.78268,0.0226578,0.48719,0.994763,-5.08938,0.47754,0.192189,3.24624,0.0914404,0.906636,0.221862,0.965817,0.924536,All
-27.6896,0.0168281,0.0735024,1.05314,0.744949,0.800593,0.0233238,0.448151,0.995074,-5.05292,0.503731,0.210081,3.33126,0.0837681,0.91408,0.227878,0.886706,0.930104,All
-27.3135,0.0179549,0.0800421,1.07631,0.690992,0.817226,0.0239898,0.413033,0.995361,-5.01645,0.529206,0.228916,3.41628,0.0767529,0.920899,0.233894,0.814617,0.935218,All
-26.9374,0.0191177,0.0870124,1.09948,0.639654,0.832638,0.0246558,0.381363,0.995625,-4.97999,0.553717,0.248663,3.50131,0.0703402,0.927148,0.23991,0.74889,0.939918,All
-26.5613,0.0203139,0.0944264,1.12266,0.591033,0.846893,0.0253218,0.352734,0.99587,-4.94353,0.577015,0.269282,3.58633,0.0644793,0.932876,0.245926,0.688931,0.94424,All
-26.1852,0.0215405,0.102296,1.14583,0.545175,0.860052,0.0259879,0.326796,0.996096,-4.90706,0.598858,0.290725,3.67135,0.0591234,0.938127,0.251941,0.6342,0.948218,All
-25.8091,0.0227941,0.110632,1.169,0.502085,0.872182,0.0266539,0.303246,0.996305,-4.8706,0.619009,0.312934,3.75637,0.054229,0.942942,0.257957,0.584211,0.95188,All
-25.433,0.024071,0.119444,1.19218,0.461729,0.883344,0.0273199,0.28182,0.9965,-4.83414,0.637246,0.335844,3.84139,0.0497562,0.94736,0.263973,0.538524,0.955255,All
-25.0569,0.0253671,0.128741,1.21535,0.424051,0.893602,0.0279859,0.262287,0.996681,-4.79767,0.653362,0.359381,3.92641,0.0456684,0.951414,0.269989,0.496742,0.958368,All
-24.6809,0.0266779,0.138527,1.23853,0.388968,0.903017,0.0286519,0.244448,0.99685,-4.76121,0.667171,0.383463,4.01144,0.0419318,0.955136,0.276005,0.458506,0.961239,All
-24.3048,0.0279987,0.148809,1.2617,0.356383,0.911649,0.0293179,0.228125,0.997007,-4.72475,0.678512,0.408005,4.09646,0.0385158,0.958553,0.282021,0.423493,0.963891,All
