initT_abscissa,initT_cdf,aS_abscissa,aS_cdf,dS_abscissa,dS_cdf,lBt0_abscissa,lBt0_cdf,dI_abscissa,dI_cdf,n_abscissa,n_cdf,split
-4,0,-4,0,-4,0,-4,0,-4,0,-4,0,All
-3.03933,0.00204082,-2.67256,0.00204082,-2.88551,0.00204082,-3.03626,0.00204082,-2.57812,0.00204082,-2.37038,0.00204082,All
-2.90307,0.00408163,-2.65878,0.00408163,-2.84928,0.00408163,-2.99428,0.00408163,-2.51338,0.00408163,-2.34579,0.00408163,All
-2.83716,0.00612245,-2.53856,0.00612245,-2.83464,0.00612245,-2.9202,0.00612245,-2.36304,0.00612245,-2.34504,0.00612245,All
-2.69095,0.00816327,-2.5196,0.00816327,-2.78844,0.00816327,-2.90332,0.00816327,-2.31688,0.00816327,-1.97115,0.00816327,All
-2.48564,0.0102041,-2.32908,0.0102041,-2.78647,0.0102041,-2.87661,0.0102041,-2.30734,0.0102041,-1.92872,0.0102041,All
-2.46274,0.0122449,-2.15337,0.0122449,-2.04874,0.0122449,-1.9757,0.0122449,-2.2988,0.0122449,-1.91275,0.0122449,All
-2.456,0.0142857,-2.13933,0.0142857,-1.94795,0.0142857,-1.96858,0.0142857,-2.18586,0.0142857,-1.91173,0.0142857,All
-2.43228,0.0163265,-2.11257,0.0163265,-1.92013,0.0163265,-1.96628,0.0163265,-2.09288,0.0163265,-1.88536,0.0163265,All
-2.21384,0.0183673,-2.04137,0.0183673,-1.87933,0.0183673,-1.88913,0.0183673,-2.07805,0.0183673,-1.87663,0.0183673,All
-2.16788,0.0204082,-2.02033,0.0204082,-1.84096,0.0204082,-1.86703,0.0204082,-2.06998,0.0204082,-1.83512,0.0204082,All
-2.16139,0.022449,-1.90848,0.022449,-1.81386,0.022449,-1.84526,0.022449,-1.96258,0.022449,-1.81818,0.022449,All
-2.15356,0.0244898,-1.87412,0.0244898,-1.81153,0.0244898,-1.79224,0.0244898,-1.93403,0.0244898,-1.80655,0.0244898,All
-2.1313,0.0265306,-1.82843,0.0265306,-1.79684,0.0265306,-1.79,0.0265306,-1.93341,0.0265306,-1.75792,0.0265306,All
-2.08719,0.0285714,-1.80918,0.0285714,-1.78379,0.0285714,-1.77949,0.0285714,-1.90392,0.0285714,-1.74545,0.0285714,All
-2.07524,0.0306122,-1.73749,0.0306122,-1.78001,0.0306122,-1.76504,0.0306122,-1.89353,0.0306122,-1.71794,0.0306122,All
-2.05582,0.0326531,-1.73189,0.0326531,-1.77562,0.0326531,-1.75055,0.0326531,-1.88184,0.0326531,-1.6753,0.0326531,All
-2.04989,0.0346939,-1.70253,0.0346939,-1.77077,0.0346939,-1.73997,0.0346939,-1.88062,0.0346939,-1.60858,0.0346939,All
-2.0306,0.0367347,-1.69762,0.0367347,-1.76874,0.0367347,-1.73824,0.0367347,-1.87694,0.0367347,-1.60219,0.0367347,All
-1.99198,0.0387755,-1.67422,0.0387755,-1.75422,0.0387755,-1.71766,0.0387755,-1.86354,0.0387755,-1.60099,0.0387755,All
-1.99162,0.0408163,-1.63195,0.0408163,-1.75396,0.0408163,-1.71382,0.0408163,-1.84078,0.0408163,-1.59421,0.0408163,All
-1.98003,0.0428571,-1.60468,0.0428571,-1.74382,0.0428571,-1.70604,0.0428571,-1.83376,0.0428571,-1.58325,0.0428571,All
-1.9515,0.044898,-1.59084,0.044898,-1.72498,0.044898,-1.7043,0.044898,-1.82005,0.044898,-1.56237,0.044898,All
-1.9036,0.0469388,-1.57512,0.0469388,-1.71515,0.0469388,-1.7008,0.0469388,-1.80798,0.0469388,-1.53995,0.0469388,All
-1.8891,0.0489796,-1.55664,0.0489796,-1.71347,0.0489796,-1.69561,0.0489796,-1.7606,0.0489796,-1.53956,0.0489796,All
-1.84997,0.0510204,-1.53989,0.0510204,-1.70649,0.0510204,-1.68624,0.0510204,-1.67617,0.0510204,-1.51628,0.0510204,All
-1.83159,0.0530612,-1.53586,0.0530612,-1.70192,0.0530612,-1.65436,0.0530612,-1.55554,0.0530612,-1.41574,0.0530612,All
-1.81117,0.055102,-1.49108,0.055102,-1.69087,0.055102,-1.65189,0.055102,-1.55518,0.055102,-1.40775,0.055102,All
-1.79082,0.0571429,-1.47793,0.0571429,-1.67968,0.0571429,-1.64874,0.0571429,-1.54946,0.0571429,-1.39972,0.0571429,All
-1.78258,0.0591837,-1.46736,0.0591837,-1.67777,0.0591837,-1.64475,0.0591837,-1.54832,0.0591837,-1.38879,0.0591837,All
-1.7795,0.0612245,-1.46633,0.0612245,-1.67707,0.0612245,-1.6406,0.0612245,-1.54463,0.0612245,-1.36644,0.0612245,All
-1.77573,0.0632653,-1.45288,0.0632653,-1.67159,0.0632653,-1.61906,0.0632653,-1.51538,0.0632653,-1.35572,0.0632653,All
-1.77023,0.0653061,-1.4057,0.0653061,-1.66493,0.0653061,-1.61235,0.0653061,-1.4758,0.0653061,-1.35522,0.0653061,All
-1.76064,0.0673469,-1.40036,0.0673469,-1.64786,0.0673469,-1.60962,0.0673469,-1.44935,0.0673469,-1.33543,0.0673469,All
-1.75852,0.0693878,-1.39253,0.0693878,-1.61905,0.0693878,-1.60959,0.0693878,-1.44218,0.0693878,-1.32166,0.0693878,All
-1.69682,0.0714286,-1.37944,0.0714286,-1.60533,0.0714286,-1.59457,0.0714286,-1.41745,0.0714286,-1.31817,0.0714286,All
-1.67989,0.0734694,-1.36995,0.0734694,-1.60364,0.0734694,-1.59425,0.0734694,-1.40771,0.0734694,-1.30927,0.0734694,All
-1.65895,0.0755102,-1.36401,0.0755102,-1.59488,0.0755102,-1.59145,0.0755102,-1.39256,0.0755102,-1.28845,0.0755102,All
-1.65522,0.077551,-1.35557,0.077551,-1.59411,0.077551,-1.58975,0.077551,-1.38652,0.077551,-1.2863,0.077551,All
-1.64934,0.0795918,-1.34031,0.0795918,-1.57973,0.0795918,-1.58898,0.0795918,-1.3838,0.0795918,-1.26812,0.0795918,All
-1.63504,0.0816327,-1.32794,0.0816327,-1.56867,0.0816327,-1.56638,0.0816327,-1.38082,0.0816327,-1.26277,0.0816327,All
-1.60888,0.0836735,-1.28623,0.0836735,-1.55688,0.0836735,-1.55397,0.0836735,-1.37253,0.0836735,-1.25363,0.0836735,All
-1.60187,0.0857143,-1.27133,0.0857143,-1.54737,0.0857143,-1.54266,0.0857143,-1.35006,0.0857143,-1.25342,0.0857143,All
-1.59379,0.0877551,-1.26851,0.0877551,-1.52732,0.0877551,-1.52883,0.0877551,-1.34744,0.0877551,-1.24526,0.0877551,All
-1.55608,0.0897959,-1.26752,0.0897959,-1.51011,0.0897959,-1.51807,0.0897959,-1.34074,0.0897959,-1.24318,0.0897959,All
-1.54136,0.0918367,-1.26545,0.0918367,-1.50962,0.0918367,-1.50782,0.0918367,-1.32762,0.0918367,-1.23844,0.0918367,All
-1.51984,0.0938776,-1.26478,0.0938776,-1.50852,0.0938776,-1.50265,0.0938776,-1.32326,0.0938776,-1.2314,0.0938776,All
-1.49075,0.0959184,-1.26428,0.0959184,-1.5084,0.0959184,-1.47928,0.0959184,-1.29527,0.0959184,-1.23059,0.0959184,All
-1.47311,0.0979592,-1.26221,0.0979592,-1.50804,0.0979592,-1.47751,0.0979592,-1.24649,0.0979592,-1.22433,0.0979592,All
-1.45584,0.1,-1.23924,0.1,-1.50801,0.1,-1.47443,0.1,-1.22401,0.1,-1.22214,0.1,All
-1.42836,0.102041,-1.22235,0.102041,-1.49204,0.102041,-1.46772,0.102041,-1.21986,0.102041,-1.21982,0.102041,All
-1.42264,0.104082,-1.21976,0.104082,-1.48068,0.104082,-1.46525,0.104082,-1.20563,0.104082,-1.21778,0.104082,All
