rep,ID,eta_initT_simulated,eta_dS_simulated,eta_lBt0_simulated,eta_dI_simulated,eta_n_simulated,split,color,filter
1,10066,-3.89421,0,-0.908097,0,-0.63565,All,#4682B4,0
2,10066,-0.082996,0,-1.47697,0,-0.665502,All,#4682B4,0
3,10066,-1.42241,0,-0.88526,0,-0.616576,All,#4682B4,0
4,10066,-2.43214,0,-1.50398,0,-0.681454,All,#4682B4,0
5,10066,-1.42066,0,-0.544308,0,-0.511576,All,#4682B4,0
6,10066,-2.10756,0,-1.38072,0,-0.672665,All,#4682B4,0
7,10066,-1.98353,0,-0.766887,0,-0.560286,All,#4682B4,0
8,10066,-3.0057,0,-1.29861,0,-0.668192,All,#4682B4,0
9,10066,-2.89842,0,-0.638824,0,-0.503045,All,#4682B4,0
10,10066,-2.40154,0,-1.4913,0,-0.670753,All,#4682B4,0
1,10203,4.38792,0,1.19549,0,0.731742,All,#4682B4,0
2,10203,-0.253929,0,1.07199,0,0.611403,All,#4682B4,0
3,10203,3.18626,0,1.24674,0,0.746715,All,#4682B4,0
4,10203,2.44067,0,0.960037,0,0.576419,All,#4682B4,0
5,10203,-2.77268,0,1.18129,0,0.656475,All,#4682B4,0
6,10203,2.25097,0,1.08744,0,0.582075,All,#4682B4,0
7,10203,1.07593,0,1.06741,0,0.661207,All,#4682B4,0
8,10203,1.02181,0,1.09737,0,0.649542,All,#4682B4,0
9,10203,1.73529,0,0.920341,0,0.615371,All,#4682B4,0
10,10203,0.829449,0,1.02432,0,0.655579,All,#4682B4,0
1,10220,1.64059,0,2.41773,0,0.983997,All,#4682B4,0
2,10220,3.10548,0,2.38818,0,1.00312,All,#4682B4,0
3,10220,3.14211,0,2.36324,0,0.94769,All,#4682B4,0
4,10220,1.97923,0,2.37673,0,1.00083,All,#4682B4,0
5,10220,2.34951,0,2.2649,0,0.907695,All,#4682B4,0
6,10220,1.82012,0,2.42996,0,1.0257,All,#4682B4,0
7,10220,3.24032,0,2.251,0,0.916897,All,#4682B4,0
8,10220,3.84957,0,2.10433,0,0.858183,All,#4682B4,0
9,10220,2.39821,0,2.26527,0,0.91931,All,#4682B4,0
10,10220,3.37956,0,2.19623,0,0.91463,All,#4682B4,0
1,10428,-4.58296,0,0.910658,0,0.0840636,All,#4682B4,0
2,10428,-3.46692,0,0.212465,0,-0.160842,All,#4682B4,0
3,10428,-3.39835,0,0.825584,0,0.089757,All,#4682B4,0
4,10428,-0.229355,0,0.377171,0,-0.0461023,All,#4682B4,0
5,10428,-1.95652,0,0.736936,0,0.0455371,All,#4682B4,0
6,10428,-0.469277,0,0.317344,0,-0.034962,All,#4682B4,0
7,10428,-3.1773,0,0.841421,0,0.0482172,All,#4682B4,0
8,10428,-2.25032,0,0.530877,0,0.015787,All,#4682B4,0
9,10428,-3.10437,0,0.731204,0,0.0511524,All,#4682B4,0
10,10428,-2.52998,0,0.517868,0,-0.0128836,All,#4682B4,0
1,10435,-1.63068,0,-1.35383,0,-0.624338,All,#4682B4,0
2,10435,-3.50826,0,-0.773238,0,-0.431973,All,#4682B4,0
3,10435,-1.09126,0,-1.32939,0,-0.599196,All,#4682B4,0
4,10435,-5.39323,0,-0.567905,0,-0.384485,All,#4682B4,0
5,10435,-0.731015,0,-1.31109,0,-0.587944,All,#4682B4,0
6,10435,-6.11921,0,-0.698035,0,-0.415415,All,#4682B4,0
7,10435,-2.28346,0,-1.233,0,-0.586905,All,#4682B4,0
8,10435,-3.17414,0,-0.700056,0,-0.412679,All,#4682B4,0
9,10435,-2.4104,0,-1.17324,0,-0.573547,All,#4682B4,0
10,10435,-3.01059,0,-0.812102,0,-0.409682,All,#4682B4,0
1,10463,4.54279,0,-0.988302,0,-0.330587,All,#4682B4,0
2,10463,4.61483,0,-0.647011,0,-0.344157,All,#4682B4,0
3,10463,5.12203,0,-1.02293,0,-0.280283,All,#4682B4,0
4,10463,4.57872,0,-0.686473,0,-0.383471,All,#4682B4,0
5,10463,5.16478,0,-1.092,0,-0.296414,All,#4682B4,0
6,10463,3.88933,0,-0.654293,0,-0.3006,All,#4682B4,0
7,10463,3.25181,0,-0.744387,0,-0.247573,All,#4682B4,0
8,10463,4.11715,0,-0.703872,0,-0.309143,All,#4682B4,0
9,10463,4.14084,0,-0.730713,0,-0.301251,All,#4682B4,0
10,10463,4.3401,0,-0.627149,0,-0.288069,All,#4682B4,0
1,10723,-5.29708,0,0.505339,0,0.0858762,All,#4682B4,0
2,10723,1.31506,0,0.826272,0,0.370113,All,#4682B4,0
3,10723,0.284509,0,0.216726,0,-0.023577,All,#4682B4,0
