dI_vs_dS_abscissa,dI_vs_dS_spline,dI_vs_dS_regression,dI_vs_initT_abscissa,dI_vs_initT_spline,dI_vs_initT_regression,dI_vs_lBt0_abscissa,dI_vs_lBt0_spline,dI_vs_lBt0_regression,dI_vs_n_abscissa,dI_vs_n_spline,dI_vs_n_regression,dS_vs_dI_abscissa,dS_vs_dI_spline,dS_vs_dI_regression,dS_vs_initT_abscissa,dS_vs_initT_spline,dS_vs_initT_regression,dS_vs_lBt0_abscissa,dS_vs_lBt0_spline,dS_vs_lBt0_regression,dS_vs_n_abscissa,dS_vs_n_spline,dS_vs_n_regression,initT_vs_dI_abscissa,initT_vs_dI_spline,initT_vs_dI_regression,initT_vs_dS_abscissa,initT_vs_dS_spline,initT_vs_dS_regression,initT_vs_lBt0_abscissa,initT_vs_lBt0_spline,initT_vs_lBt0_regression,initT_vs_n_abscissa,initT_vs_n_spline,initT_vs_n_regression,lBt0_vs_dI_abscissa,lBt0_vs_dI_spline,lBt0_vs_dI_regression,lBt0_vs_dS_abscissa,lBt0_vs_dS_spline,lBt0_vs_dS_regression,lBt0_vs_initT_abscissa,lBt0_vs_initT_spline,lBt0_vs_initT_regression,lBt0_vs_n_abscissa,lBt0_vs_n_spline,lBt0_vs_n_regression,n_vs_dI_abscissa,n_vs_dI_spline,n_vs_dI_regression,n_vs_dS_abscissa,n_vs_dS_spline,n_vs_dS_regression,n_vs_initT_abscissa,n_vs_initT_spline,n_vs_initT_regression,n_vs_lBt0_abscissa,n_vs_lBt0_spline,n_vs_lBt0_regression
-2.12718,0.7223,0.223554,-8.81117,-0.372621,-0.0375388,-1.08303,-0.627721,-0.539807,-1.55857,0.347705,0.474539,-1.56526,-0.604023,0.265233,-8.81117,-0.888057,-0.370839,-1.08303,-1.91916,-1.90526,-1.55857,1.55289,0.201012,-1.56526,0.363613,-0.025467,-2.12718,-0.055542,-0.363509,-1.08303,-0.00914265,-0.538931,-1.55857,1.23239,0.604128,-1.56526,-0.541567,-0.341002,-2.12718,-0.483483,-0.690982,-8.81117,-0.560348,-0.173503,-1.55857,0.628083,0.0710965,-1.56526,0.456722,0.356019,-2.12718,-0.0833349,0.105483,-8.81117,-0.2767,0.139952,-1.08303,0.0751975,0.0966913
-2.08115,0.381895,0.219279,-8.65828,-0.353228,-0.0363869,-1.06173,-0.593848,-0.528482,-1.52113,0.35115,0.463676,-1.52506,-0.60375,0.257493,-8.65828,-0.789904,-0.36522,-1.06173,-1.92043,-1.86822,-1.52113,1.5076,0.195077,-1.52506,-0.117767,-0.021364,-2.08115,0.298527,-0.352453,-1.06173,0.204125,-0.525487,-1.52113,1.54265,0.592724,-1.52506,-0.566339,-0.3327,-2.08115,-0.58412,-0.675984,-8.65828,-0.538742,-0.170736,-1.52113,0.608969,0.069077,-1.52506,0.403927,0.346387,-2.08115,0.0379474,0.102576,-8.65828,-0.31323,0.137113,-1.06173,0.0812063,0.0942486
-2.03512,0.0999302,0.215004,-8.50538,-0.333835,-0.035235,-1.04043,-0.57093,-0.517157,-1.48369,0.363327,0.452813,-1.48486,-0.603478,0.249752,-8.50538,-0.691752,-0.3596,-1.04043,-1.90737,-1.83117,-1.48369,1.44652,0.189142,-1.48486,-0.599146,-0.017261,-2.03512,0.587967,-0.341397,-1.04043,0.326025,-0.512043,-1.48369,1.74257,0.581321,-1.48486,-0.59111,-0.324398,-2.03512,-0.665597,-0.660986,-8.50538,-0.517136,-0.167969,-1.48369,0.588004,0.0670575,-1.48486,0.351131,0.336756,-2.03512,0.128822,0.09967,-8.50538,-0.34976,0.134275,-1.04043,0.0875891,0.091806
-1.98908,0.0070289,0.210728,-8.35249,-0.30051,-0.0340831,-1.01913,-0.568212,-0.505832,-1.44626,0.38084,0.44195,-1.44467,-0.589643,0.242012,-8.35249,-0.648318,-0.35398,-1.01913,-1.86704,-1.79413,-1.44626,1.37384,0.183208,-1.44467,-0.990482,-0.013158,-1.98908,0.66885,-0.33034,-1.01913,0.279619,-0.498598,-1.44626,1.87227,0.569918,-1.44467,-0.605418,-0.316096,-1.98908,-0.684978,-0.645988,-8.35249,-0.490288,-0.165203,-1.44626,0.565102,0.0650381,-1.44467,0.309088,0.327124,-1.98908,0.122252,0.0967635,-8.35249,-0.33879,0.131436,-1.01913,0.0927828,0.0893633
-1.94305,0.0213479,0.206453,-8.19959,-0.264941,-0.0329312,-0.997826,-0.565493,-0.494507,-1.40882,0.404408,0.431088,-1.40447,-0.52697,0.234271,-8.19959,-0.613699,-0.34836,-0.997826,-1.82672,-1.75709,-1.40882,1.28321,0.177273,-1.40447,-1.05757,-0.009055,-1.94305,0.633334,-0.319284,-0.997826,0.233213,-0.485154,-1.40882,1.9155,0.558515,-1.40447,-0.582043,-0.307794,-1.94305,-0.668736,-0.63099,-8.19959,-0.462597,-0.162436,-1.40882,0.538012,0.0630186,-1.40447,0.305762,0.317493,-1.94305,0.0637351,0.0938571,-8.19959,-0.320166,0.128598,-0.997826,0.0979766,0.0869206
-1.89702,0.1109,0.202178,-8.0467,-0.229371,-0.0317792,-0.976526,-0.562775,-0.483181,-1.37139,0.431302,0.420225,-1.36427,-0.442001,0.226531,-8.0467,-0.579081,-0.34274,-0.976526,-1.7864,-1.72005,-1.37139,1.18039,0.171338,-1.36427,-0.971503,-0.00495201,-1.89702,0.518319,-0.308227,-0.976526,0.186807,-0.47171,-1.37139,1.90789,0.547112,-1.36427,-0.540569,-0.299493,-1.89702,-0.627025,-0.615992,-8.0467,-0.434905,-0.159669,-1.37139,0.507659,0.0609991,-1.36427,0.318994,0.307861,-1.89702,-0.0273962,0.0909506,-8.0467,-0.301542,0.125759,-0.976526,0.10317,0.084478
-1.85099,0.238824,0.197902,-7.8938,-0.193801,-0.0306273,-0.955226,-0.565948,-0.471856,-1.33395,0.462392,0.409362,-1.32407,-0.344201,0.21879,-7.8938,-0.544463,-0.33712,-0.955226,-1.73732,-1.683,-1.33395,1.05576,0.165403,-1.32407,-0.791471,-0.00084902,-1.85099,0.366115,-0.297171,-0.955226,0.0915131,-0.458266,-1.33395,1.82698,0.535709,-1.32407,-0.48766,-0.291191,-1.85099,-0.571595,-0.600994,-7.8938,-0.407213,-0.156902,-1.33395,0.470517,0.0589797,-1.32407,0.340481,0.29823,-1.85099,-0.129231,0.0880441,-7.8938,-0.282919,0.12292,-0.955226,0.106177,0.0820353
-1.80496,0.369411,0.193627,-7.7409,-0.158232,-0.0294754,-0.933925,-0.5758,-0.460531,-1.29652,0.495335,0.398499,-1.28387,-0.243117,0.21105,-7.7409,-0.509844,-0.3315,-0.933925,-1.67821,-1.64596,-1.29652,0.914903,0.159468,-1.28387,-0.583054,0.00325397,-1.80496,0.217338,-0.286115,-0.933925,-0.0591767,-0.444822,-1.29652,1.7043,0.524306,-1.28387,-0.431065,-0.282889,-1.80496,-0.513908,-0.585996,-7.7409,-0.379521,-0.154135,-1.29652,0.427643,0.0569602,-1.28387,0.363135,0.288598,-1.80496,-0.221204,0.0851376,-7.7409,-0.264295,0.120082,-0.933925,0.106472,0.0795926
-1.75893,0.4682,0.189352,-7.58801,-0.122662,-0.0283235,-0.912625,-0.586575,-0.449206,-1.25908,0.529551,0.387636,-1.24368,-0.14224,0.203309,-7.58801,-0.475226,-0.32588,-0.912625,-1.61601,-1.60892,-1.25908,0.749271,0.153533,-1.24368,-0.361881,0.00735696,-1.75893,0.111829,-0.275058,-0.912625,-0.217118,-0.431377,-1.25908,1.5335,0.512902,-1.24368,-0.372157,-0.274587,-1.75893,-0.464884,-0.570998,-7.58801,-0.35183,-0.151368,-1.25908,0.37518,0.0549407,-1.24368,0.382541,0.278967,-1.75893,-0.282326,0.0822312,-7.58801,-0.245672,0.117243,-0.912625,0.102489,0.0771499
-1.71289,0.502676,0.185076,-7.43511,-0.0870924,-0.0271716,-0.891325,-0.596035,-0.437881,-1.22165,0.56364,0.376774,-1.20348,-0.0500865,0.195569,-7.43511,-0.440608,-0.32026,-0.891325,-1.55425,-1.57188,-1.22165,0.567575,0.147599,-1.20348,-0.182921,0.01146,-1.71289,0.0860406,-0.264002,-0.891325,-0.363768,-0.417933,-1.22165,1.34106,0.501499,-1.20348,-0.317232,-0.266285,-1.71289,-0.434991,-0.556,-7.43511,-0.324138,-0.148602,-1.22165,0.315987,0.0529213,-1.20348,0.391603,0.269335,-1.71289,-0.293953,0.0793247,-7.43511,-0.227048,0.114405,-0.891325,0.0955345,0.0747073
