initT_abscissa,initT_cdf,dS_abscissa,dS_cdf,lBt0_abscissa,lBt0_cdf,dI_abscissa,dI_cdf,n_abscissa,n_cdf,split
-18.4474,0.00204082,8.99064e-05,0.00204082,-5.92092,0,0.439827,0,0.0194116,0,All
-18.1204,0.00408163,9.72937e-05,0.00408163,-5.6813,0.00204082,0.495668,0.00204082,0.0204109,0.00204082,All
-15.7554,0.00612245,0.000101109,0.00612245,-5.67478,0.00408163,0.554329,0.00408163,0.0211983,0.00408163,All
-15.6278,0.00816327,0.000104327,0.00816327,-5.66533,0.00612245,0.582086,0.00612245,0.021769,0.00612245,All
-15.5999,0.0102041,0.000106203,0.0102041,-5.66514,0.00816327,0.591222,0.00816327,0.0230089,0.00816327,All
-15.5094,0.0122449,0.000107302,0.0122449,-5.64024,0.0102041,0.595067,0.0102041,0.0242044,0.0102041,All
-15.385,0.0142857,0.00010921,0.0142857,-5.56352,0.0122449,0.609541,0.0122449,0.0248031,0.0122449,All
-15.377,0.0163265,0.000110855,0.0163265,-5.53339,0.0142857,0.643223,0.0142857,0.0257882,0.0142857,All
-15.3124,0.0183673,0.000113033,0.0183673,-5.50352,0.0163265,0.644245,0.0163265,0.0258762,0.0163265,All
-15.295,0.0204082,0.000115243,0.0204082,-5.48499,0.0183673,0.660323,0.0183673,0.0259553,0.0183673,All
-15.111,0.022449,0.000116308,0.022449,-5.47109,0.0204082,0.664865,0.0204082,0.0262425,0.0204082,All
-15.0761,0.0244898,0.000118985,0.0244898,-5.45575,0.022449,0.685782,0.022449,0.0265005,0.022449,All
-15.0294,0.0265306,0.000121952,0.0265306,-5.45253,0.0244898,0.692742,0.0244898,0.0267552,0.0244898,All
-14.9333,0.0285714,0.000123022,0.0285714,-5.43804,0.0265306,0.694958,0.0265306,0.0279069,0.0265306,All
-14.762,0.0306122,0.000123555,0.0306122,-5.43496,0.0285714,0.696771,0.0285714,0.0279574,0.0285714,All
-14.7508,0.0326531,0.000124349,0.0326531,-5.42913,0.0306122,0.699531,0.0306122,0.0281396,0.0306122,All
-14.7505,0.0346939,0.00012713,0.0346939,-5.41901,0.0326531,0.700166,0.0326531,0.0287059,0.0326531,All
-14.5107,0.0367347,0.000129781,0.0367347,-5.40935,0.0346939,0.709384,0.0346939,0.0290736,0.0346939,All
