initT_abscissa,initT_pdf,dS_abscissa,dS_pdf,lBt0_abscissa,lBt0_pdf,dI_abscissa,dI_pdf,n_abscissa,n_pdf,split
-18.1183,0.00647165,0.000274235,1109.08,-5.63546,0.116136,1.06132,0.31812,0.038024,7.37532,All
-17.4602,0,0.000642894,439.013,-5.54377,0.0696814,2.19264,0.210825,0.0732503,5.68262,All
-16.8021,0,0.00101155,352.365,-5.45209,0.209044,3.32395,0.133648,0.108476,6.1058,All
-16.144,0,0.00138021,207.953,-5.3604,0.418088,4.45527,0.105413,0.143703,3.32494,All
-15.4859,0.0258866,0.00174887,184.847,-5.26872,0.534224,5.58658,0.0640004,0.178929,3.26449,All
-14.8277,0.0258866,0.00211753,115.53,-5.17704,0.510997,6.7179,0.0188237,0.214155,1.26952,All
-14.1696,0.0258866,0.00248618,57.7648,-5.08535,0.394861,7.84921,0.0112942,0.249381,0.967255,All
-13.5115,0.0355941,0.00285484,92.4237,-4.99367,0.48777,8.98052,0.0131766,0.284608,0.423174,All
-12.8534,0.0841314,0.0032235,34.6589,-4.90199,0.627132,10.1118,0.0112942,0.319834,0.604535,All
-12.1953,0.119725,0.00359216,17.3294,-4.8103,0.603905,11.2432,0.0112942,0.35506,0.423174,All
-11.5372,0.119725,0.00396082,28.8824,-4.71862,0.766495,12.3745,0.00752946,0.390286,0.120907,All
-10.879,0.110018,0.00432947,17.3294,-4.62694,1.13813,13.5058,0.00752946,0.425513,0,All
-10.2209,0.13914,0.00469813,23.1059,-4.53525,1.20781,14.6371,0.00188237,0.460739,0,All
-9.56281,0.168263,0.00506679,23.1059,-4.44357,0.696814,15.7684,0.00188237,0.495965,0,All
-8.90469,0.161791,0.00543545,5.77648,-4.35188,0.766495,16.8997,0,0.531191,0,All
-8.24658,0.11649,0.00580411,23.1059,-4.2602,0.534224,18.031,0,0.566418,0,All
-7.58846,0.0873672,0.00617277,11.553,-4.16852,0.371634,19.1624,0.00188237,0.601644,0,All
-6.93035,0.090603,0.00654142,0,-4.07683,0.48777,20.2937,0.00188237,0.63687,0,All
-6.27223,0.090603,0.00691008,23.1059,-3.98515,0.557451,21.425,0,0.672096,0,All
-5.61411,0.0808956,0.00727874,23.1059,-3.89347,0.232271,22.5563,0,0.707322,0,All
-4.956,0.0485373,0.0076474,11.553,-3.80178,0.301953,23.6876,0,0.742549,0,All
-4.29788,0.0355941,0.00801606,11.553,-3.7101,0.232271,24.8189,0,0.777775,0,All
-3.63976,0.0129433,0.00838471,17.3294,-3.61842,0.116136,25.9502,0.00188237,0.813001,0.0604535,All
