initT_abscissa,initT_pdf,initT_cdf,dS_abscissa,dS_pdf,dS_cdf,lBt0_abscissa,lBt0_pdf,lBt0_cdf,dI_abscissa,dI_pdf,dI_cdf,n_abscissa,n_pdf,n_cdf,split
-18.4474,0.00101839,0.000835598,8.99064e-05,457.889,0.0164854,-5.92092,0.0129064,0.00183998,0.439827,0.0912283,0.0113012,0.0194116,1.76297,0.00847412,All
-18.2945,0.00120704,0.00100536,0.000175554,782.856,0.0719248,-5.8942,0.0152779,0.00221574,0.703221,0.198443,0.0499872,0.0276055,3.76717,0.0310802,All
-18.1416,0.00142639,0.00120626,0.000261202,869.979,0.143828,-5.86748,0.0180231,0.00265976,0.966616,0.267178,0.11229,0.0357995,5.53748,0.0695215,All
-17.9887,0.00168059,0.00144331,0.00034685,851.284,0.217997,-5.84076,0.0211886,0.00318264,1.23001,0.29584,0.187185,0.0439935,6.76122,0.120308,All
-17.8358,0.00197421,0.00172218,0.000432498,791.495,0.288509,-5.81404,0.0248243,0.00379627,1.49341,0.297249,0.265749,0.0521874,7.43168,0.178803,All
-17.6829,0.00231224,0.00204927,0.000518146,719.001,0.353228,-5.78732,0.028984,0.00451393,1.7568,0.283022,0.342412,0.0603814,7.65697,0.240881,All
-17.53,0.00270011,0.00243178,0.000603793,646.055,0.411664,-5.7606,0.0337243,0.00535036,2.02019,0.261045,0.414171,0.0685754,7.56397,0.303418,All
-17.3771,0.00314367,0.00287778,0.000689441,577.716,0.464029,-5.73388,0.0391051,0.00632187,2.28359,0.236121,0.479675,0.0767693,7.26233,0.364271,All
-17.2242,0.00364923,0.00339625,0.000775089,515.788,0.510809,-5.70716,0.0451886,0.00744641,2.54698,0.210988,0.538543,0.0849633,6.83598,0.422094,All
-17.0713,0.0042235,0.00399718,0.000860737,460.594,0.552574,-5.68044,0.052039,0.0087436,2.81038,0.187099,0.590932,0.0931573,6.3449,0.476124,All
-16.9184,0.00487364,0.00469163,0.000946385,411.812,0.58989,-5.65372,0.0597219,0.0102348,3.07377,0.165145,0.637275,0.101351,5.82998,0.52601,All
