initT_abscissa,initT_cdf,dS_abscissa,dS_cdf,lBt0_abscissa,lBt0_cdf,dI_abscissa,dI_cdf,n_abscissa,n_cdf,split
-4,0,-4,0,-4,0,-4,0,-4,0,All
-3.14319,0.00204082,-2.13244,0.00204082,-2.37819,0.00204082,-2.11833,0.00204082,-2.31332,0.00204082,All
-3.02653,0.00408163,-2.05328,0.00408163,-2.36388,0.00408163,-1.96696,0.00408163,-2.25714,0.00408163,All
-2.18289,0.00612245,-2.01471,0.00612245,-2.34313,0.00612245,-1.90083,0.00612245,-2.2177,0.00612245,All
-2.13737,0.00816327,-1.98331,0.00816327,-2.34271,0.00816327,-1.87976,0.00816327,-2.13549,0.00816327,All
-2.12743,0.0102041,-1.96544,0.0102041,-2.28802,0.0102041,-1.87098,0.0102041,-2.0603,0.0102041,All
-2.09512,0.0122449,-1.95512,0.0122449,-2.11957,0.0122449,-1.83846,0.0122449,-2.02404,0.0122449,All
-2.05075,0.0142857,-1.93746,0.0142857,-2.05339,0.0142857,-1.76567,0.0142857,-1.96623,0.0142857,All
-2.04791,0.0163265,-1.92247,0.0163265,-1.98782,0.0163265,-1.76352,0.0163265,-1.96117,0.0163265,All
-2.02484,0.0183673,-1.90296,0.0183673,-1.94712,0.0183673,-1.73016,0.0183673,-1.95664,0.0183673,All
-2.01866,0.0204082,-1.88355,0.0204082,-1.91661,0.0204082,-1.72088,0.0204082,-1.94031,0.0204082,All
-1.95301,0.022449,-1.87433,0.022449,-1.88291,0.022449,-1.67896,0.022449,-1.92579,0.022449,All
-1.94055,0.0244898,-1.85152,0.0244898,-1.87585,0.0244898,-1.6653,0.0244898,-1.91159,0.0244898,All
-1.92391,0.0265306,-1.82683,0.0265306,-1.84402,0.0265306,-1.66097,0.0265306,-1.84904,0.0265306,All
-1.88961,0.0285714,-1.81807,0.0285714,-1.83726,0.0285714,-1.65745,0.0285714,-1.84635,0.0285714,All
-1.8285,0.0306122,-1.81374,0.0306122,-1.82447,0.0306122,-1.6521,0.0306122,-1.83671,0.0306122,All
-1.82453,0.0326531,-1.80731,0.0326531,-1.80224,0.0326531,-1.65087,0.0326531,-1.80714,0.0326531,All
-1.82441,0.0346939,-1.78514,0.0346939,-1.78103,0.0346939,-1.63317,0.0346939,-1.78824,0.0346939,All
-1.73887,0.0367347,-1.76445,0.0367347,-1.77165,0.0367347,-1.56668,0.0367347,-1.76882,0.0367347,All
-1.70127,0.0387755,-1.74947,0.0387755,-1.74077,0.0387755,-1.5651,0.0387755,-1.76273,0.0387755,All
-1.66531,0.0408163,-1.74792,0.0408163,-1.71599,0.0408163,-1.56501,0.0408163,-1.75668,0.0408163,All
-1.63486,0.0428571,-1.73012,0.0428571,-1.68597,0.0428571,-1.55401,0.0428571,-1.73767,0.0428571,All
-1.62742,0.044898,-1.72548,0.044898,-1.68384,0.044898,-1.54505,0.044898,-1.73373,0.044898,All
-1.6267,0.0469388,-1.72492,0.0469388,-1.67236,0.0469388,-1.52419,0.0469388,-1.69677,0.0469388,All
-1.59434,0.0489796,-1.72177,0.0489796,-1.65514,0.0489796,-1.49433,0.0489796,-1.69007,0.0489796,All
-1.59171,0.0510204,-1.70238,0.0510204,-1.65324,0.0510204,-1.48869,0.0510204,-1.68723,0.0510204,All
-1.51607,0.0530612,-1.68421,0.0530612,-1.65013,0.0530612,-1.47925,0.0530612,-1.67618,0.0530612,All
-1.49375,0.055102,-1.67636,0.055102,-1.64969,0.055102,-1.47785,0.055102,-1.65563,0.055102,All
-1.48953,0.0571429,-1.62991,0.0571429,-1.63614,0.0571429,-1.44895,0.0571429,-1.65032,0.0571429,All
-1.45495,0.0591837,-1.62396,0.0591837,-1.62827,0.0591837,-1.44878,0.0591837,-1.64539,0.0591837,All
-1.38917,0.0612245,-1.61531,0.0612245,-1.62566,0.0612245,-1.36549,0.0612245,-1.62789,0.0612245,All
-1.38868,0.0632653,-1.61258,0.0632653,-1.61583,0.0632653,-1.35614,0.0632653,-1.62424,0.0632653,All
