initT_abscissa,initT_pdf,dS_abscissa,dS_pdf,lBt0_abscissa,lBt0_pdf,dI_abscissa,dI_pdf,n_abscissa,n_pdf,split
-3.0258,0.0181417,-2.03312,0.0750496,-2.27753,0.0528882,-2.00125,0.0272829,-2.19373,0.0356163,All
-2.79103,0,-1.8345,0.139378,-2.0762,0.0317329,-1.76709,0.118226,-1.95457,0.0979447,All
-2.55627,0,-1.63587,0.182263,-1.87488,0.0951987,-1.53292,0.118226,-1.7154,0.151369,All
-2.3215,0,-1.43725,0.225149,-1.67355,0.190397,-1.29876,0.136414,-1.47624,0.258218,All
-2.08673,0.0725669,-1.23862,0.246592,-1.47222,0.243286,-1.0646,0.300112,-1.23707,0.267122,All
-1.85196,0.0725669,-1.03999,0.300198,-1.2709,0.232708,-0.830435,0.44562,-0.997905,0.231506,All
-1.61719,0.0725669,-0.841366,0.332362,-1.06957,0.17982,-0.596272,0.509281,-0.75874,0.204794,All
-1.38243,0.0997795,-0.64274,0.47174,-0.868247,0.22213,-0.362109,0.272829,-0.519574,0.347259,All
-1.14766,0.235842,-0.444114,0.364527,-0.666922,0.285596,-0.127946,0.3183,-0.280408,0.276026,All
-0.91289,0.335622,-0.245487,0.278756,-0.465596,0.275018,0.106217,0.336489,-0.0412425,0.311642,All
-0.678122,0.335622,-0.0468607,0.214427,-0.264271,0.349062,0.34038,0.354678,0.197923,0.543148,All
-0.443354,0.308409,0.151766,0.300198,-0.0629452,0.518304,0.574543,0.300112,0.437089,0.347259,All
-0.208586,0.390047,0.350392,0.375248,0.13838,0.550037,0.808706,0.400149,0.676255,0.311642,All
0.0261817,0.471685,0.549019,0.321641,0.339706,0.317329,1.04287,0.218263,0.91542,0.373971,All
0.26095,0.453543,0.747645,0.321641,0.541031,0.349062,1.27703,0.19098,1.15459,0.213698,All
0.495718,0.326551,0.946271,0.203706,0.742357,0.243286,1.51119,0.100037,1.39375,0.160273,All
0.730486,0.244913,1.1449,0.214427,0.943683,0.169242,1.74536,0.0727544,1.63292,0.0979447,All
0.965254,0.253984,1.34352,0.214427,1.14501,0.22213,1.97952,0.090943,1.87208,0.0979447,All
1.20002,0.253984,1.54215,0.0964923,1.34633,0.253863,2.21368,0.0636601,2.11125,0.0267122,All
1.43479,0.226771,1.74078,0.085771,1.54766,0.105776,2.44785,0.0545658,2.35041,0,All
1.66956,0.136063,1.9394,0.085771,1.74898,0.137509,2.68201,0,2.58958,0,All
1.90433,0.0997795,2.13803,0.0750496,1.95031,0.105776,2.91617,0.0181886,2.82875,0,All
2.13909,0.0362834,2.33666,0.128656,2.15164,0.0528882,3.15034,0.0090943,3.06791,0.00890407,All
