rep,ID,standEta_initT_simulated,standEta_dS_simulated,standEta_lBt0_simulated,standEta_dI_simulated,standEta_n_simulated,filter
1,10066,-1.38917,0,-1.99407,0,-0.94347,0
2,10066,-0.0296069,0,-3.24324,0,-0.987779,0
3,10066,-0.507413,0,-1.94392,0,-0.915159,0
4,10066,-0.86761,0,-3.30254,0,-1.01146,0
5,10066,-0.506788,0,-1.19523,0,-0.759313,0
6,10066,-0.751824,0,-3.03187,0,-0.998411,0
7,10066,-0.707579,0,-1.68399,0,-0.831611,0
8,10066,-1.07221,0,-2.85157,0,-0.99177,0
9,10066,-1.03394,0,-1.40278,0,-0.746649,0
10,10066,-0.856694,0,-3.2747,0,-0.995572,0
1,10203,1.56529,0,2.62515,0,1.0861,0
2,10203,-0.0905832,0,2.35396,0,0.907481,0
3,10203,1.13663,0,2.73768,0,1.10832,0
4,10203,0.870654,0,2.10812,0,0.855556,0
5,10203,-0.98909,0,2.59396,0,0.97438,0
6,10203,0.802982,0,2.38788,0,0.863951,0
7,10203,0.383812,0,2.3439,0,0.981403,0
8,10203,0.364509,0,2.40968,0,0.964089,0
9,10203,0.619025,0,2.02095,0,0.913371,0
10,10203,0.295887,0,2.24927,0,0.97305,0
1,10220,0.585244,0,5.30902,0,1.46051,0
2,10220,1.10781,0,5.24414,0,1.48889,0
3,10220,1.12088,0,5.18936,0,1.40662,0
4,10220,0.706045,0,5.219,0,1.48549,0
5,10220,0.838135,0,4.97342,0,1.34726,0
6,10220,0.649288,0,5.33589,0,1.5224,0
7,10220,1.15591,0,4.94291,0,1.36091,0
8,10220,1.37324,0,4.62083,0,1.27377,0
9,10220,0.855505,0,4.97425,0,1.36449,0
10,10220,1.20558,0,4.82264,0,1.35755,0
1,10428,-1.63486,0,1.99969,0,0.124772,0
2,10428,-1.23674,0,0.466546,0,-0.238731,0
3,10428,-1.21229,0,1.81288,0,0.133223,0
4,10428,-0.0818173,0,0.82822,0,-0.0684278,0
5,10428,-0.697945,0,1.61822,0,0.0675889,0
6,10428,-0.167404,0,0.696846,0,-0.0518927,0
7,10428,-1.13343,0,1.84765,0,0.0715669,0
8,10428,-0.802749,0,1.16574,0,0.0234321,0
9,10428,-1.10741,0,1.60563,0,0.0759235,0
10,10428,-0.902512,0,1.13717,0,-0.0191226,0
1,10435,-0.58171,0,-2.97283,0,-0.926681,0
2,10435,-1.25149,0,-1.69793,0,-0.64116,0
3,10435,-0.389282,0,-2.91916,0,-0.889363,0
4,10435,-1.92391,0,-1.24705,0,-0.570675,0
5,10435,-0.260773,0,-2.87899,0,-0.872662,0
6,10435,-2.18289,0,-1.5328,0,-0.616583,0
7,10435,-0.814574,0,-2.70752,0,-0.87112,0
8,10435,-1.1323,0,-1.53723,0,-0.612523,0
9,10435,-0.859855,0,-2.57628,0,-0.851294,0
10,10435,-1.07396,0,-1.78327,0,-0.608075,0
1,10463,1.62054,0,-2.17018,0,-0.490677,0
2,10463,1.64624,0,-1.42075,0,-0.510819,0
3,10463,1.82717,0,-2.24621,0,-0.416013,0
4,10463,1.63336,0,-1.50741,0,-0.569171,0
5,10463,1.84242,0,-2.39789,0,-0.439955,0
6,10463,1.38743,0,-1.43674,0,-0.446169,0
7,10463,1.16001,0,-1.63458,0,-0.367463,0
8,10463,1.4687,0,-1.54561,0,-0.458849,0
9,10463,1.47715,0,-1.60455,0,-0.447135,0
10,10463,1.54823,0,-1.37714,0,-0.42757,0
1,10723,-1.88961,0,1.10966,0,0.127463,0
2,10723,0.469117,0,1.81439,0,0.549344,0
3,10723,0.101492,0,0.475903,0,-0.0349945,0
4,10723,0.392819,0,1.79557,0,0.487073,0
5,10723,0.472727,0,0.54825,0,0.13738,0
6,10723,0.527691,0,1.15926,0,0.340435,0
7,10723,-0.0122227,0,0.67429,0,0.129682,0
8,10723,0.265482,0,1.6216,0,0.442827,0
9,10723,-0.173219,0,0.874665,0,0.131463,0
10,10723,-0.0633272,0,1.86155,0,0.388882,0
1,10739,-0.967556,0,-0.0992446,0,-0.651676,0
2,10739,0.156177,0,-2.44881,0,-1.06389,0
3,10739,-0.305696,0,-0.249627,0,-0.601224,0
4,10739,0.288691,0,-2.78919,0,-1.09883,0
5,10739,-0.681793,0,-1.28043,0,-0.896354,0
6,10739,0.904621,0,-2.95903,0,-1.15989,0
7,10739,0.752272,0,-1.72858,0,-0.863335,0
8,10739,0.325459,0,-2.91015,0,-1.19751,0
9,10739,0.458951,0,-1.71417,0,-0.847224,0
10,10739,0.212511,0,-2.15154,0,-0.996135,0
1,10742,0.524068,0,-1.53922,0,-0.686951,0
2,10742,0.0984034,0,-1.29259,0,-0.7139,0
3,10742,0.0908463,0,-1.04888,0,-0.599813,0
4,10742,-0.252545,0,-1.16571,0,-0.756508,0
5,10742,-0.190538,0,-1.50622,0,-0.685631,0
6,10742,-0.118135,0,-1.09423,0,-0.740025,0
7,10742,0.238925,0,-0.989183,0,-0.586364,0
8,10742,-0.247187,0,-1.48953,0,-0.807496,0
9,10742,0.189007,0,-0.413038,0,-0.433891,0
10,10742,0.133837,0,-1.67627,0,-0.792732,0
1,40007,0.969571,0,-3.08074,0,-1.26795,0
2,40007,0.837051,0,-0.2919,0,-0.548186,0
3,40007,0.969977,0,-3.27527,0,-1.24643,0
4,40007,0.539889,0,0.564809,0,-0.428415,0
5,40007,0.795632,0,-3.00759,0,-1.2955,0
6,40007,0.42287,0,0.223489,0,-0.517108,0
7,40007,0.942073,0,-2.79755,0,-1.23321,0
8,40007,-0.00867873,0,-0.100902,0,-0.621242,0
9,40007,0.380017,0,-2.25407,0,-1.11748,0
10,40007,0.0268513,0,0.0810336,0,-0.587175,0
1,40061,1.99303,0,3.78754,0,1.34706,0
2,40061,1.91247,0,2.21619,0,0.846467,0
3,40061,2.04273,0,3.75258,0,1.25471,0
4,40061,1.68914,0,2.29237,0,0.842354,0
5,40061,1.85763,0,3.57374,0,1.16957,0
6,40061,1.65467,0,2.43754,0,0.974213,0
7,40061,1.74505,0,3.54105,0,1.12363,0
8,40061,1.2793,0,2.28505,0,0.891258,0
9,40061,1.46822,0,4.00633,0,1.17753,0
10,40061,1.91104,0,2.18466,0,0.814982,0
1,40094,-1.25879,0,3.1716,0,0.445066,0
2,40094,-0.688468,0,2.83733,0,0.329655,0
3,40094,-2.13737,0,3.32808,0,0.447179,0
4,40094,-0.930269,0,2.66879,0,0.308372,0
5,40094,-0.661027,0,2.98136,0,0.402549,0
6,40094,-0.13265,0,2.37547,0,0.324366,0
7,40094,-0.894773,0,3.69351,0,0.485622,0
8,40094,-0.762041,0,2.69753,0,0.348865,0
9,40094,-0.582176,0,3.63181,0,0.627812,0
10,40094,-0.773151,0,3.05373,0,0.484351,0
1,40100,-0.133766,0,-3.25638,0,-1.31612,0
2,40100,0.0396847,0,-3.5323,0,-1.20385,0
3,40100,0.00473192,0,-2.46344,0,-1.1006,0
4,40100,0.961146,0,-4.34435,0,-1.27272,0
5,40100,-0.254568,0,-2.15661,0,-1.0443,0
6,40100,0.24731,0,-3.95884,0,-1.38795,0
7,40100,-0.501835,0,-1.83892,0,-0.957424,0
8,40100,-0.680315,0,-3.83215,0,-1.43269,0
9,40100,-0.452289,0,-2.13507,0,-1.05829,0
10,40100,-1.14008,0,-3.09729,0,-1.34363,0
1,40123,0.160682,0,4.92154,0,0.872301,0
2,40123,0.315563,0,4.58272,0,0.809914,0
3,40123,0.840401,0,4.84589,0,0.874877,0
4,40123,0.177756,0,4.22951,0,0.719669,0
5,40123,0.747832,0,4.17475,0,0.716964,0
6,40123,0.0554143,0,3.97945,0,0.622087,0
7,40123,0.384827,0,4.20357,0,0.685123,0
8,40123,1.15079,0,4.35584,0,0.811395,0
9,40123,0.748961,0,4.54778,0,0.829657,0
10,40123,0.760761,0,3.96615,0,0.697696,0
1,40168,-0.229736,0,-1.84671,0,-0.911873,0
2,40168,0.748502,0,0.649789,0,-0.134162,0
3,40168,0.438248,0,-0.75741,0,-0.515689,0
4,40168,0.175262,0,0.552236,0,-0.315635,0
5,40168,0.964382,0,-0.591807,0,-0.446151,0
6,40168,-0.391417,0,0.763885,0,-0.327118,0
7,40168,0.882292,0,-0.737223,0,-0.343326,0
8,40168,-0.0207494,0,1.18993,0,-0.134207,0
9,40168,1.00671,0,-0.162764,0,-0.335296,0
10,40168,0.608869,0,1.19594,0,-0.0734969,0
1,40231,-0.908906,0,0.69385,0,0.0240459,0
2,40231,0.134661,0,0.780975,0,0.022307,0
3,40231,-1.27987,0,0.851328,0,0.0130857,0
4,40231,-0.836996,0,0.446761,0,-0.00688031,0
5,40231,-0.526239,0,0.674453,0,0.0200805,0
