popPred_spline_abscissa,popPred_spline,popPred_ciAbscissa,popPred_piLower,popPred_piUpper,indivPred_spline_abscissa,indivPred_spline,indivPred_ciAbscissa,indivPred_piLower,indivPred_piUpper,split
4.47818,4.72032,4.47818,3.9425,5.01385,0.659792,0.855036,0.659792,0.124118,1.19547,All
4.51809,4.74751,4.51809,3.98242,5.05377,0.693611,0.882802,0.693611,0.157937,1.22929,All
4.52819,4.67029,4.52819,3.99252,5.06387,0.729164,0.91199,0.729164,0.19349,1.26484,All
4.55836,4.69395,4.55836,4.02269,5.09404,0.766538,0.942674,0.766538,0.230864,1.30221,All
4.57821,4.79753,4.57821,4.04253,5.11388,0.805828,0.974932,0.805828,0.270154,1.3415,All
4.59899,4.73364,4.59899,4.06332,5.13466,0.807245,0.976095,0.807245,0.271571,1.34292,All
4.62822,4.70193,4.62822,4.09255,5.1639,0.847133,1.00884,0.847133,0.311458,1.38281,All
4.63998,4.75248,4.63998,4.10431,5.17566,0.890554,1.044,0.890554,0.35488,1.42623,All
4.67824,4.75995,4.67824,4.14256,5.21391,0.936201,1.08043,0.936201,0.400527,1.47187,All
4.68134,4.77777,4.68134,4.14566,5.21701,0.954698,1.09519,0.954698,0.419024,1.49037,All
4.72306,4.96927,4.72306,4.18739,5.25874,0.984187,1.11873,0.984187,0.448513,1.51986,All
4.72825,4.97142,4.72825,4.19258,5.26393,1.03463,1.15881,1.03463,0.49896,1.57031,All
4.76516,4.96321,4.76516,4.22949,5.30083,1.08767,1.20081,1.08767,0.551992,1.62334,All
4.77827,4.93308,4.77827,4.24259,5.31394,1.10215,1.21228,1.10215,0.566477,1.63783,All
4.80763,4.87236,4.80763,4.27196,5.34331,1.14342,1.24496,1.14342,0.607742,1.67909,All
4.82828,4.90581,4.82828,4.29261,5.36396,1.20202,1.29138,1.20202,0.66635,1.7377,All
4.85048,4.94176,4.85048,4.31481,5.38616,1.2496,1.3291,1.2496,0.71393,1.78528,All
4.8783,5.0035,4.8783,4.34262,5.41397,1.26364,1.34029,1.26364,0.727961,1.79931,All
4.89372,5.04566,4.89372,4.35804,5.42939,1.32841,1.39212,1.32841,0.792731,1.86408,All
4.92831,5.14027,4.92831,4.39264,5.46399,1.3965,1.44706,1.3965,0.860821,1.93217,All
4.93734,5.13482,4.93734,4.40166,5.47301,1.39706,1.44752,1.39706,0.861383,1.93273,All
4.97833,5.07576,4.97833,4.44265,5.514,1.46807,1.50555,1.46807,0.932401,2.00375,All
4.98134,5.07142,4.98134,4.44567,5.51702,1.54332,1.56802,1.54332,1.00765,2.079,All
5.02574,4.99572,5.02574,4.49007,5.56142,1.54451,1.56902,1.54451,1.00884,2.08018,All
5.02834,4.99027,5.02834,4.49267,5.56402,1.62243,1.63504,1.62243,1.08676,2.1581,All
5.07054,4.90185,5.07054,4.53486,5.60621,1.69196,1.69527,1.69196,1.15629,2.22764,All
5.07836,4.88545,5.07836,4.54268,5.61403,1.70559,1.70722,1.70559,1.16992,2.24126,All
5.11573,4.88435,5.11573,4.58006,5.6514,1.79301,1.78532,1.79301,1.25734,2.32869,All
5.12837,4.91395,5.12837,4.5927,5.66405,1.83942,1.82781,1.83942,1.30374,2.37509,All
5.16133,4.99107,5.16133,4.62565,5.697,1.88492,1.87024,1.88492,1.34924,2.42059,All
5.17839,5.03101,5.17839,4.64272,5.71406,1.98153,1.96302,1.98153,1.44586,2.51721,All
5.20733,5.09568,5.20733,4.67166,5.743,1.98687,1.96826,1.98687,1.45119,2.52254,All
5.2284,5.12692,5.2284,4.69273,5.76408,2.0831,2.06493,2.0831,1.54742,2.61877,All
5.25374,5.16448,5.25374,4.71807,5.78942,2.13432,2.11819,2.13432,1.59865,2.67,All
5.27842,5.20106,5.27842,4.74275,5.81409,2.18987,2.17735,2.18987,1.6542,2.72555,All
5.30057,5.2339,5.30057,4.7649,5.83625,2.28177,2.27721,2.28177,1.7461,2.81745,All
