iteration,convergenceIndicator,phase,a,aS_pop,dI_pop,dS_pop,initT_pop,lBt0_pop,n_pop,omega_dI,omega_dS,omega_initT,omega_lBt0,omega_n
1,2814.3,1,0.335,1.62,2.35,0.000983,-10,-4.57,0.02,0.802,0.808,3.15,0.395,0.64
2,1823.33,1,0.593989,1.61832,2.28672,0.00113211,-11.8025,-4.47658,0.0542997,0.782251,0.787541,4.08406,0.412005,0.756941
3,1813.09,1,0.593374,1.61392,2.33199,0.00105961,-11.6393,-4.48309,0.0596456,0.762444,0.7676,4.21129,0.409753,0.768852
4,1779.51,1,0.57835,1.61837,2.39293,0.00102544,-11.7262,-4.48842,0.0656941,0.767198,0.748164,4.10465,0.423899,0.808087
5,1763.43,1,0.563705,1.62188,2.32673,0.00106877,-11.826,-4.47602,0.0719283,0.747772,0.72922,4.5898,0.431386,0.830388
6,1690.66,1,0.549432,1.61626,2.39983,0.00104381,-11.7404,-4.50997,0.076658,0.728838,0.755075,4.51311,0.420463,0.83379
7,1622.71,1,0.53552,1.61823,2.4427,0.00104054,-11.9362,-4.53115,0.0762233,0.710383,0.735956,4.39884,0.409816,0.812678
8,1586.61,1,0.52196,1.61716,2.3764,0.00101171,-11.8778,-4.52957,0.0811227,0.692396,0.717321,4.44201,0.39944,0.819792
9,1564.31,1,0.508744,1.62172,2.46119,0.00101212,-11.8684,-4.54574,0.0839192,0.674864,0.699158,4.62535,0.389325,0.837681
10,1531.49,1,0.495862,1.61943,2.49587,0.00103532,-11.4957,-4.54635,0.0826454,0.721226,0.682071,4.55272,0.379468,0.81647
11,1506.49,1,0.483307,1.62263,2.53523,0.00101849,-11.234,-4.55649,0.0837554,0.733851,0.664801,4.43744,0.369859,0.795797
12,1492.89,1,0.471069,1.62233,2.47131,0.000999756,-11.7174,-4.55504,0.0828865,0.754836,0.652911,4.73622,0.366206,0.775647
13,1457.4,1,0.459142,1.61735,2.41507,0.00100748,-11.9094,-4.5579,0.0808358,0.735723,0.667901,4.62224,0.366647,0.756007
14,1447.12,1,0.44752,1.62405,2.3235,0.00105305,-12.1321,-4.54901,0.0879236,0.760244,0.65602,5.01658,0.379416,0.736864
15,1418.54,1,0.438299,1.61607,2.32706,0.0010445,-12.3657,-4.55649,0.0863923,0.761487,0.673945,5.0182,0.369809,0.718206
16,1397.64,1,0.432845,1.61425,2.30899,0.00103196,-12.0755,-4.56818,0.0876729,0.786016,0.66435,4.97183,0.360445,0.700021
17,1366.88,1,0.427259,1.61569,2.29568,0.000989872,-11.9553,-4.58664,0.0876156,0.766114,0.664508,4.88818,0.351318,0.691168
18,1357.52,1,0.422319,1.61819,2.17771,0.000989726,-11.9392,-4.58831,0.0884566,0.762402,0.647683,4.89497,0.342423,0.723942
19,1339.37,1,0.418314,1.61758,2.08093,0.000989819,-11.7049,-4.61021,0.0865606,0.750554,0.647978,4.79715,0.333753,0.705612
20,1327.22,1,0.413942,1.61697,2.09901,0.000987167,-11.9373,-4.60651,0.0852669,0.778582,0.639507,5.01312,0.325302,0.687745
21,1303.75,1,0.408418,1.61938,2.08123,0.000995865,-11.7829,-4.60148,0.0842059,0.773165,0.623502,4.99988,0.317065,0.686684
22,1304.75,1,0.411539,1.61969,2.08651,0.000989385,-12.0035,-4.6165,0.0843433,0.753588,0.626579,5.17173,0.309037,0.671946
23,1286.66,1,0.40861,1.619,2.08694,0.0010036,-11.9484,-4.61387,0.0847411,0.734507,0.610714,5.05003,0.302554,0.666586
24,1283.94,1,0.407016,1.62037,2.07152,0.00101292,-11.8628,-4.62042,0.085702,0.715909,0.611616,4.97066,0.306966,0.669851
25,1241.65,1,0.399095,1.62374,2.0928,0.00104604,-11.7112,-4.62946,0.0871667,0.697782,0.596129,4.8448,0.299194,0.666658
26,1251,1,0.399207,1.62385,2.05808,0.00103956,-12.0433,-4.63719,0.0886812,0.723672,0.5837,4.92358,0.291618,0.66913
27,1242.14,1,0.398204,1.62262,2.02489,0.00104025,-11.9624,-4.63898,0.0883656,0.705349,0.589398,4.90124,0.284234,0.662583
28,1250.02,1,0.402336,1.62523,2.0568,0.00104217,-11.7095,-4.63991,0.0916326,0.689818,0.586093,4.77714,0.283854,0.681082
29,1231.48,1,0.393416,1.62353,2.1119,0.00107391,-11.9505,-4.62884,0.0916897,0.685118,0.60892,4.78028,0.288434,0.688305
30,1209.01,1,0.387586,1.62653,2.1634,0.00105576,-12.0088,-4.62714,0.0906834,0.691497,0.593502,4.82038,0.286126,0.699918
31,1220.24,1,0.394601,1.62661,2.2401,0.00100533,-11.384,-4.62948,0.0897301,0.687061,0.578474,4.69832,0.296505,0.690694
32,1235.9,1,0.397861,1.6287,2.18801,0.00101316,-11.4898,-4.62856,0.0889218,0.736377,0.563827,4.57936,0.293727,0.688113
33,1209.71,1,0.388311,1.6306,2.14263,0.00100514,-11.5262,-4.62735,0.091707,0.765766,0.549551,4.49487,0.291318,0.692604
34,1199.79,1,0.387415,1.63434,2.14105,0.00102899,-11.6863,-4.62123,0.0924528,0.766364,0.535636,4.38106,0.285565,0.69455
35,1223.28,1,0.392885,1.63272,2.12024,0.00101331,-11.7934,-4.63312,0.0938416,0.749132,0.543032,4.4856,0.294057,0.690789
36,1217.22,1,0.393191,1.6269,2.19799,0.00101841,-11.6926,-4.6138,0.0901567,0.731208,0.549232,4.37202,0.287985,0.682193
37,1202.58,1,0.387757,1.63365,2.18802,0.00103037,-11.7233,-4.61716,0.0913249,0.742372,0.54927,4.5172,0.280693,0.693373
38,1215.5,1,0.390342,1.6313,2.21357,0.00100901,-11.7314,-4.61122,0.0886928,0.740313,0.551922,4.59345,0.285117,0.69688
39,1195.62,1,0.380458,1.62554,2.15147,0.00103605,-11.8344,-4.6087,0.088621,0.728158,0.558814,5.03401,0.301125,0.695995
40,1185.32,1,0.379229,1.62315,2.15568,0.0010802,-11.7033,-4.59067,0.0882216,0.743831,0.544664,4.90655,0.301785,0.682868
41,1196.16,1,0.380129,1.62507,2.21578,0.00106945,-11.6705,-4.58312,0.0889487,0.760048,0.540766,4.89303,0.297877,0.724482
42,1229.89,1,0.38806,1.62328,2.21572,0.00107254,-11.5988,-4.58141,0.0925837,0.749364,0.558295,5.02229,0.300317,0.739332
43,1223.28,1,0.387982,1.62029,2.19786,0.00106608,-11.598,-4.58151,0.093681,0.776389,0.548504,4.89512,0.292713,0.72937
44,1219.81,1,0.386229,1.62136,2.27239,0.00106463,-11.574,-4.58207,0.0895906,0.783846,0.56761,5.03961,0.287781,0.710902
45,1226.38,1,0.389505,1.61586,2.25368,0.00103916,-11.718,-4.58837,0.0894778,0.778116,0.573513,4.912,0.285389,0.693887
46,1230.55,1,0.392435,1.61945,2.27543,0.00102974,-11.3219,-4.57976,0.0922305,0.760468,0.585494,4.78762,0.287941,0.676318
47,1198.12,1,0.384531,1.61542,2.22639,0.00103255,-11.3759,-4.59539,0.091468,0.767941,0.580582,4.70025,0.28065,0.659193
48,1200.85,1,0.386004,1.61602,2.20736,0.0010405,-11.4907,-4.59733,0.0890546,0.748496,0.572826,4.6963,0.276217,0.679504
49,1185,1,0.380246,1.60726,2.20735,0.00104468,-11.5907,-4.60292,0.0883537,0.753359,0.563071,4.87673,0.276898,0.673361
50,1189.6,1,0.381613,1.60681,2.19135,0.00102704,-11.9031,-4.60437,0.0894579,0.774439,0.568096,4.75325,0.271949,0.679306
51,1192.85,1,0.383529,1.61285,2.21039,0.00100002,-11.6705,-4.60335,0.087892,0.75483,0.600244,4.63289,0.277085,0.662105
52,1178.08,1,0.380961,1.61741,2.24334,0.000994596,-11.4828,-4.60803,0.0883319,0.750639,0.593286,4.51559,0.27744,0.660436
53,1197.11,1,0.382306,1.61684,2.29361,0.00103866,-11.6236,-4.59144,0.0903097,0.74662,0.579384,4.67605,0.284433,0.706519
54,1203.89,1,0.379113,1.61988,2.23205,0.00106448,-11.8108,-4.59381,0.0914517,0.78122,0.597436,5.09822,0.282996,0.722425
55,1200.66,1,0.381951,1.61778,2.22565,0.00110339,-11.6771,-4.59444,0.0909151,0.770975,0.582309,4.96913,0.285837,0.716835
56,1188.2,1,0.37864,1.61858,2.20164,0.00109984,-11.8652,-4.59353,0.0927262,0.761584,0.567564,4.84331,0.284574,0.723071
57,1185.83,1,0.376003,1.61676,2.19887,0.0010947,-11.9315,-4.59249,0.0896973,0.782032,0.563699,5.0253,0.288231,0.706144
58,1180.44,1,0.374762,1.61289,2.19236,0.00109797,-11.9444,-4.58296,0.0895257,0.788765,0.558718,4.90849,0.293804,0.701404
59,1189.71,1,0.378321,1.615,2.21468,0.00106636,-11.6688,-4.59321,0.0894593,0.806898,0.565198,4.78421,0.289917,0.712789
60,1195.76,1,0.378222,1.61277,2.19987,0.0010726,-11.9158,-4.58998,0.0894494,0.786467,0.55628,5.13273,0.294764,0.71129
61,1186.73,1,0.380212,1.60962,2.22048,0.00108106,-11.8901,-4.59203,0.0913702,0.766554,0.555512,5.00277,0.287301,0.69328
62,1181.28,1,0.378661,1.60862,2.23324,0.00107438,-11.737,-4.587,0.0911959,0.756453,0.546785,4.8761,0.287452,0.678985
63,1187.48,1,0.380312,1.60408,2.22702,0.00104568,-11.777,-4.58918,0.0893962,0.752637,0.554098,4.85686,0.293643,0.663608
64,1172.91,1,0.374979,1.60637,2.17714,0.00102865,-11.7932,-4.59798,0.0895721,0.763627,0.555986,4.89076,0.292786,0.673815
65,1175.16,1,0.374664,1.60665,2.2037,0.0010264,-11.5431,-4.59682,0.0924283,0.746672,0.561116,4.76692,0.302479,0.705156
66,1177.12,1,0.376475,1.60136,2.22713,0.0010407,-11.5785,-4.60117,0.0918009,0.738199,0.574777,4.68341,0.297962,0.687301
67,1183.64,1,0.379217,1.60593,2.23549,0.00103409,-11.3196,-4.60425,0.0923384,0.731618,0.571601,4.56482,0.302744,0.70738
68,1169.2,1,0.375941,1.6027,2.17807,0.0010463,-11.3391,-4.59363,0.0904294,0.74233,0.557128,4.55748,0.303279,0.689469
69,1169.29,1,0.378166,1.60196,2.15288,0.00104081,-11.209,-4.60078,0.0877078,0.755411,0.556522,4.44208,0.299746,0.672011
70,1176.02,1,0.380536,1.60071,2.17479,0.0010203,-11.2736,-4.62738,0.092502,0.752765,0.561525,4.32961,0.292157,0.6653
71,1175.97,1,0.379162,1.60027,2.20047,0.00101971,-11.1558,-4.62188,0.0929176,0.757088,0.568437,4.26252,0.294146,0.676844
72,1182.64,1,0.380432,1.60159,2.16952,0.0010094,-11.3573,-4.62456,0.0944939,0.772981,0.577165,4.30231,0.293186,0.664785
73,1190.66,1,0.379952,1.59905,2.16121,0.000998782,-11.7027,-4.6323,0.0908815,0.766634,0.601683,4.67286,0.298775,0.647952
74,1170.2,1,0.373507,1.59605,2.16135,0.00101569,-11.5364,-4.62294,0.0918076,0.747222,0.600513,4.69715,0.302831,0.660947
75,1189.42,1,0.377953,1.5941,2.12482,0.00101424,-11.6406,-4.6298,0.0920834,0.757159,0.59045,4.88307,0.30332,0.659857
76,1186.21,1,0.378322,1.60007,2.13741,0.00103026,-11.6112,-4.62525,0.0934108,0.74211,0.586473,4.75943,0.302511,0.667002
77,1196.88,1,0.382154,1.60032,2.18824,0.00102316,-11.523,-4.62294,0.0925986,0.729608,0.613108,4.63892,0.300941,0.673579
78,1191.39,1,0.382443,1.59937,2.2157,0.00101513,-11.4136,-4.62457,0.0910068,0.75901,0.620506,4.52146,0.296538,0.656524
79,1179.54,1,0.379464,1.59783,2.14232,0.00100392,-11.3377,-4.62009,0.0918347,0.752158,0.604794,4.40697,0.297328,0.670121
80,1177.05,1,0.380161,1.59958,2.20322,0.00103571,-11.1001,-4.60506,0.0940299,0.735769,0.593611,4.29538,0.302493,0.66777
81,1194.86,1,0.384357,1.60016,2.24619,0.00103495,-10.9881,-4.60717,0.0954531,0.747529,0.589658,4.18662,0.309201,0.669376
82,1191.55,1,0.380196,1.59796,2.31358,0.00102648,-10.8041,-4.59698,0.0975477,0.790058,0.592168,4.08061,0.320568,0.690791
83,1178.97,1,0.376589,1.59986,2.29691,0.00102868,-10.7823,-4.60679,0.0986179,0.770053,0.602181,4.02776,0.313407,0.707155
84,1193.85,1,0.382291,1.60008,2.28967,0.00101237,-10.8553,-4.61575,0.097053,0.753992,0.586934,4.10082,0.312181,0.69499
85,1145.87,1,0.372611,1.59983,2.23445,0.00100862,-11.1177,-4.62103,0.0964239,0.7349,0.572072,3.99699,0.31675,0.692983
86,1137.58,1,0.371812,1.59645,2.2004,0.00100834,-11.1831,-4.62485,0.0943818,0.716292,0.557587,3.89578,0.30873,0.689367
87,1140.28,1,0.370669,1.59252,2.17705,0.00100469,-11.3069,-4.62334,0.0976202,0.74656,0.552558,3.86345,0.306041,0.701017
88,1137.65,1,0.36928,1.59324,2.15549,0.00100975,-11.3166,-4.62548,0.0940983,0.756244,0.561156,3.97632,0.302267,0.685614
89,1139.67,1,0.367587,1.59295,2.2177,0.00101808,-11.3493,-4.61189,0.0954984,0.764287,0.56795,4.03104,0.312632,0.693298
90,1122.95,1,0.364595,1.58786,2.10478,0.00102028,-11.3492,-4.62441,0.0947101,0.759796,0.557648,3.92897,0.308246,0.694825
91,1108.06,1,0.359614,1.58432,2.1457,0.000991972,-11.5929,-4.62511,0.091976,0.748781,0.564269,4.03717,0.306676,0.700857
92,1109.49,1,0.360403,1.58795,2.09682,0.000981538,-11.2297,-4.62687,0.0931619,0.776694,0.567221,3.93495,0.30938,0.690789
93,1114.72,1,0.361644,1.5955,2.12745,0.00097665,-11.0833,-4.62915,0.0945031,0.789524,0.567919,3.83532,0.30757,0.70381
