parameter,value,se_lin,rse_lin
initT_pop,-9.63620422187933379,0.65260869715650738,6.77246644145146792
aS_pop,1.40972903589135479,0.50093451558551561,35.53409930787022830
dS_pop,0.00075441943909565,0.00015254465707779,20.22013871496336535
tau_pop,0.05000000000000001,,
lBt0_pop,-4.59827033751339531,0.11106431468049431,2.41534982783449204
lp_pop,4.59999999999999964,,
dI_pop,2.37123437796163872,0.50557209979467344,21.32105136858185546
n_pop,0.09699263527964457,0.01937236893118760,19.97303081345723896
V0_pop,0.02000000000000000,,
omega_initT,2.80326221967768507,0.50889485847563576,18.15366592905274956
omega_dS,0.99753417838742264,0.14741285463532477,14.77772469647375964
omega_lBt0,0.45539990809130693,0.05582835816696578,12.25919399082800787
omega_dI,0.73891194833106755,0.09176328472287115,12.41870359927606060
omega_n,0.67373624969352519,0.08338237720046544,12.37611561473723931
a,0.32566670611985127,0.01088343678088666,3.34189420544615245
