rep,id_var,eta_initT_simulated,eta_aS_simulated,eta_dS_simulated,eta_lBt0_simulated,eta_lk_simulated,eta_lae_simulated,eta_lw_simulated,eta_dE_simulated,split,color,filter
1,35,-2.92977,-0.0126832,-0.0100142,0,0.00712587,0,0,0.0127077,All,#4682B4,0
2,35,-5.15242,0.00538873,0.0149815,0,-0.0153478,0,0,-0.365407,All,#4682B4,0
3,35,-3.02735,0.000423555,0.0277551,0,0.00539966,0,0,0.167578,All,#4682B4,0
4,35,-2.8336,-0.00234638,-0.0229014,0,-0.00242889,0,0,0.193496,All,#4682B4,0
5,35,-4.46525,0.00640976,-0.00912824,0,0.00720142,0,0,-0.128839,All,#4682B4,0
6,35,-3.93041,0.00775611,0.0053864,0,-0.000105335,0,0,-0.0718926,All,#4682B4,0
7,35,-2.31708,-0.00541595,-0.041409,0,0.00442901,0,0,0.277607,All,#4682B4,0
8,35,-4.27561,-0.0237629,0.0356016,0,0.00686189,0,0,-0.259931,All,#4682B4,0
9,35,-1.98145,-0.0123509,-0.0428972,0,-0.00412387,0,0,-0.625227,All,#4682B4,0
10,35,-7.19179,-0.0122109,0.0616407,0,-0.00538747,0,0,-0.494876,All,#4682B4,0
1,36,5.88975,0.0123817,0.0117233,0,0.0132798,0,0,0.928115,All,#4682B4,0
2,36,2.89853,-0.00112991,0.0138092,0,0.000810525,0,0,0.558005,All,#4682B4,0
3,36,4.00282,0.000184821,-0.0506711,0,-0.0125415,0,0,1.08181,All,#4682B4,0
4,36,6.66188,0.0267488,-0.0109435,0,-0.00364706,0,0,0.231545,All,#4682B4,0
5,36,6.50746,0.0177976,-0.0217849,0,-0.00919831,0,0,-0.213947,All,#4682B4,0
6,36,8.45018,0.0131828,-0.0455433,0,0.00817382,0,0,0.483509,All,#4682B4,0
7,36,4.85361,0.00478108,0.0136768,0,-0.00866879,0,0,0.816241,All,#4682B4,0
8,36,3.13131,-0.0117652,0.00307831,0,-0.00768325,0,0,0.948544,All,#4682B4,0
9,36,7.36283,-0.00304323,-0.0171281,0,0.0039831,0,0,0.424839,All,#4682B4,0
10,36,3.41614,0.0113428,-0.0110279,0,-0.00998079,0,0,0.655717,All,#4682B4,0
1,37,0.0619702,0.0193413,-0.00544265,0,0.000121372,0,0,-0.524994,All,#4682B4,0
2,37,-0.971825,-0.023585,0.0012348,0,0.0118007,0,0,0.291978,All,#4682B4,0
3,37,0.876044,0.0198921,0.0105498,0,0.00874472,0,0,0.134029,All,#4682B4,0
4,37,1.31716,0.00214644,-0.0388939,0,0.0132597,0,0,-0.42381,All,#4682B4,0
5,37,2.64955,0.0089456,-0.0346361,0,0.0144843,0,0,-0.235061,All,#4682B4,0
6,37,0.680126,0.0084769,-0.0498137,0,-0.0126442,0,0,-0.0680364,All,#4682B4,0
7,37,0.995194,-0.0145291,-0.042138,0,0.0151826,0,0,-0.162117,All,#4682B4,0
8,37,-0.356953,-0.00999291,0.0253895,0,0.000989562,0,0,-0.595597,All,#4682B4,0
9,37,0.10392,-0.0105355,-0.0327799,0,-0.000707289,0,0,-0.406767,All,#4682B4,0
10,37,1.18295,0.0283359,-0.0146814,0,0.00266145,0,0,-0.683256,All,#4682B4,0
1,38,0.000410804,-0.00122455,0.0240236,0,0.00707137,0,0,-0.16702,All,#4682B4,0
2,38,-3.31513,0.00532726,0.0529527,0,-0.00980262,0,0,0.421577,All,#4682B4,0
3,38,1.65899,0.0113884,-0.004037,0,0.0115455,0,0,0.506599,All,#4682B4,0
4,38,-0.157231,0.00357332,0.0258479,0,0.014511,0,0,0.0178408,All,#4682B4,0
5,38,-0.900796,-0.000776156,0.0380083,0,0.00463644,0,0,0.411218,All,#4682B4,0
6,38,-1.43898,0.0011256,0.0153667,0,0.00796146,0,0,0.832813,All,#4682B4,0
7,38,0.797113,0.0041204,-0.0344916,0,-0.00169696,0,0,-0.013846,All,#4682B4,0
8,38,0.974169,-0.00335044,-0.0135975,0,-0.0019757,0,0,-0.504855,All,#4682B4,0
9,38,0.634025,-0.000165612,-0.0200098,0,0.00106173,0,0,0.169572,All,#4682B4,0
10,38,0.094507,0.0139259,-0.015952,0,0.00459066,0,0,-0.189955,All,#4682B4,0
1,39,-6.3064,-0.0208182,-0.0361848,0,0.00176799,0,0,1.36378,All,#4682B4,0
2,39,-2.53931,0.00977178,-0.0393101,0,0.00635179,0,0,1.40071,All,#4682B4,0
3,39,-7.82027,-0.0143708,0.0247638,0,0.0099679,0,0,1.38856,All,#4682B4,0
4,39,-5.50787,0.00587885,-0.0366104,0,-0.011224,0,0,1.0878,All,#4682B4,0
5,39,-0.361792,0.000657445,0.0199439,0,-0.0163364,0,0,0.944953,All,#4682B4,0
6,39,4.90111,0.00699789,0.00819641,0,0.0086376,0,0,0.234415,All,#4682B4,0
7,39,-0.133947,-0.0104701,-0.0227319,0,0.00466563,0,0,0.844804,All,#4682B4,0
8,39,0.437687,-0.0291513,-0.0270299,0,0.0028811,0,0,0.876199,All,#4682B4,0
9,39,-4.22404,8.77495e-05,-0.0139555,0,-0.0107373,0,0,1.11395,All,#4682B4,0
10,39,-0.28561,0.0239841,9.97472e-05,0,-0.00312107,0,0,1.03705,All,#4682B4,0
1,40,-1.67241,0.00661169,-0.0560573,0,0.00226602,0,0,0.0789541,All,#4682B4,0
2,40,-1.26587,0.00614174,-9.50205e-06,0,-0.0087119,0,0,0.331539,All,#4682B4,0
3,40,-2.99147,-0.0381534,0.0326941,0,0.00822322,0,0,-0.0460432,All,#4682B4,0
4,40,-3.58665,-0.00598086,0.00692118,0,-0.003568,0,0,0.562262,All,#4682B4,0
5,40,-2.10843,-0.0133408,0.00821863,0,0.00990133,0,0,0.401177,All,#4682B4,0
6,40,-1.33861,0.0297616,0.0101561,0,0.00489303,0,0,0.0995588,All,#4682B4,0
7,40,-4.51379,-0.00883293,0.06408,0,-0.00263821,0,0,0.182959,All,#4682B4,0
8,40,-4.92827,-0.00723284,0.0105665,0,-0.0113958,0,0,0.555573,All,#4682B4,0
9,40,-2.07364,-0.000378236,0.00609566,0,0.00503961,0,0,-0.142552,All,#4682B4,0
10,40,-0.257575,-0.0171116,-0.0238584,0,0.00082448,0,0,0.0411315,All,#4682B4,0
1,41,2.18067,-0.001333,-0.0312817,0,0.00641263,0,0,0.220209,All,#4682B4,0
2,41,2.96111,-0.0110229,-0.0196265,0,0.0116253,0,0,-0.166461,All,#4682B4,0
3,41,3.72931,0.00679605,-0.0171496,0,-0.00845185,0,0,-0.376231,All,#4682B4,0
4,41,4.42802,0.00748516,-0.0662598,0,0.0140202,0,0,-0.519451,All,#4682B4,0
5,41,2.08411,0.00709051,0.00101107,0,-0.00259678,0,0,-0.186731,All,#4682B4,0
6,41,2.61423,-0.0157452,0.00259509,0,0.0111133,0,0,-0.67306,All,#4682B4,0
7,41,1.17363,-0.00689014,-0.0352335,0,-0.00362896,0,0,-0.00122084,All,#4682B4,0
8,41,2.20354,0.0056952,0.030651,0,0.00771179,0,0,0.14348,All,#4682B4,0
9,41,3.25333,0.000583212,-0.00285137,0,0.0147623,0,0,0.1648,All,#4682B4,0
10,41,2.63664,0.0029933,0.00857214,0,0.00263686,0,0,0.554952,All,#4682B4,0
1,42,3.03015,0.0135692,-0.00996307,0,0.0108614,0,0,0.22338,All,#4682B4,0
2,42,1.85219,0.00392337,-0.0161778,0,0.00131081,0,0,0.308378,All,#4682B4,0
3,42,0.990366,0.0253635,0.0118015,0,-0.000618118,0,0,-0.446183,All,#4682B4,0
4,42,2.48517,0.00594582,0.0473002,0,0.00482044,0,0,-0.361511,All,#4682B4,0
5,42,1.59835,-0.0153838,0.0020419,0,0.0116069,0,0,-0.228877,All,#4682B4,0
6,42,1.39453,0.0204938,0.00988994,0,0.000345678,0,0,-0.112456,All,#4682B4,0
7,42,2.66639,0.0223373,-0.00813449,0,0.00541067,0,0,0.395071,All,#4682B4,0
8,42,3.03178,-0.00200935,-0.0133364,0,0.0028801,0,0,-1.02947,All,#4682B4,0
9,42,1.65887,0.0102999,0.0168644,0,0.0117397,0,0,-0.458949,All,#4682B4,0
10,42,3.47263,0.0230753,0.050336,0,0.00142292,0,0,-0.42018,All,#4682B4,0
1,43,3.32256,0.0219166,0.00632661,0,0.00431091,0,0,-0.718035,All,#4682B4,0
2,43,-0.5378,0.00801027,0.0651526,0,0.000238625,0,0,-0.0579194,All,#4682B4,0
3,43,1.63897,-0.0020776,-0.012043,0,-0.00503515,0,0,0.230935,All,#4682B4,0
4,43,3.08199,0.00746159,0.0172662,0,0.00481261,0,0,0.403722,All,#4682B4,0
5,43,4.92254,0.00799089,-0.0206272,0,0.00716459,0,0,-0.618227,All,#4682B4,0
6,43,1.48995,0.0194466,-0.000797539,0,-0.00502034,0,0,0.0388219,All,#4682B4,0
