aS_vs_dE_abscissa,aS_vs_dE_spline,aS_vs_dE_regression,aS_vs_dS_abscissa,aS_vs_dS_spline,aS_vs_dS_regression,aS_vs_initT_abscissa,aS_vs_initT_spline,aS_vs_initT_regression,aS_vs_lBt0_abscissa,aS_vs_lBt0_spline,aS_vs_lBt0_regression,aS_vs_lae_abscissa,aS_vs_lae_spline,aS_vs_lae_regression,aS_vs_lk_abscissa,aS_vs_lk_spline,aS_vs_lk_regression,aS_vs_lw_abscissa,aS_vs_lw_spline,aS_vs_lw_regression,dE_vs_aS_abscissa,dE_vs_aS_spline,dE_vs_aS_regression,dE_vs_dS_abscissa,dE_vs_dS_spline,dE_vs_dS_regression,dE_vs_initT_abscissa,dE_vs_initT_spline,dE_vs_initT_regression,dE_vs_lBt0_abscissa,dE_vs_lBt0_spline,dE_vs_lBt0_regression,dE_vs_lae_abscissa,dE_vs_lae_spline,dE_vs_lae_regression,dE_vs_lk_abscissa,dE_vs_lk_spline,dE_vs_lk_regression,dE_vs_lw_abscissa,dE_vs_lw_spline,dE_vs_lw_regression,dS_vs_aS_abscissa,dS_vs_aS_spline,dS_vs_aS_regression,dS_vs_dE_abscissa,dS_vs_dE_spline,dS_vs_dE_regression,dS_vs_initT_abscissa,dS_vs_initT_spline,dS_vs_initT_regression,dS_vs_lBt0_abscissa,dS_vs_lBt0_spline,dS_vs_lBt0_regression,dS_vs_lae_abscissa,dS_vs_lae_spline,dS_vs_lae_regression,dS_vs_lk_abscissa,dS_vs_lk_spline,dS_vs_lk_regression,dS_vs_lw_abscissa,dS_vs_lw_spline,dS_vs_lw_regression,initT_vs_aS_abscissa,initT_vs_aS_spline,initT_vs_aS_regression,initT_vs_dE_abscissa,initT_vs_dE_spline,initT_vs_dE_regression,initT_vs_dS_abscissa,initT_vs_dS_spline,initT_vs_dS_regression,initT_vs_lBt0_abscissa,initT_vs_lBt0_spline,initT_vs_lBt0_regression,initT_vs_lae_abscissa,initT_vs_lae_spline,initT_vs_lae_regression,initT_vs_lk_abscissa,initT_vs_lk_spline,initT_vs_lk_regression,initT_vs_lw_abscissa,initT_vs_lw_spline,initT_vs_lw_regression,lBt0_vs_aS_abscissa,lBt0_vs_aS_spline,lBt0_vs_aS_regression,lBt0_vs_dE_abscissa,lBt0_vs_dE_spline,lBt0_vs_dE_regression,lBt0_vs_dS_abscissa,lBt0_vs_dS_spline,lBt0_vs_dS_regression,lBt0_vs_initT_abscissa,lBt0_vs_initT_spline,lBt0_vs_initT_regression,lBt0_vs_lae_abscissa,lBt0_vs_lae_spline,lBt0_vs_lae_regression,lBt0_vs_lk_abscissa,lBt0_vs_lk_spline,lBt0_vs_lk_regression,lBt0_vs_lw_abscissa,lBt0_vs_lw_spline,lBt0_vs_lw_regression,lae_vs_aS_abscissa,lae_vs_aS_spline,lae_vs_aS_regression,lae_vs_dE_abscissa,lae_vs_dE_spline,lae_vs_dE_regression,lae_vs_dS_abscissa,lae_vs_dS_spline,lae_vs_dS_regression,lae_vs_initT_abscissa,lae_vs_initT_spline,lae_vs_initT_regression,lae_vs_lBt0_abscissa,lae_vs_lBt0_spline,lae_vs_lBt0_regression,lae_vs_lk_abscissa,lae_vs_lk_spline,lae_vs_lk_regression,lae_vs_lw_abscissa,lae_vs_lw_spline,lae_vs_lw_regression,lk_vs_aS_abscissa,lk_vs_aS_spline,lk_vs_aS_regression,lk_vs_dE_abscissa,lk_vs_dE_spline,lk_vs_dE_regression,lk_vs_dS_abscissa,lk_vs_dS_spline,lk_vs_dS_regression,lk_vs_initT_abscissa,lk_vs_initT_spline,lk_vs_initT_regression,lk_vs_lBt0_abscissa,lk_vs_lBt0_spline,lk_vs_lBt0_regression,lk_vs_lae_abscissa,lk_vs_lae_spline,lk_vs_lae_regression,lk_vs_lw_abscissa,lk_vs_lw_spline,lk_vs_lw_regression,lw_vs_aS_abscissa,lw_vs_aS_spline,lw_vs_aS_regression,lw_vs_dE_abscissa,lw_vs_dE_spline,lw_vs_dE_regression,lw_vs_dS_abscissa,lw_vs_dS_spline,lw_vs_dS_regression,lw_vs_initT_abscissa,lw_vs_initT_spline,lw_vs_initT_regression,lw_vs_lBt0_abscissa,lw_vs_lBt0_spline,lw_vs_lBt0_regression,lw_vs_lae_abscissa,lw_vs_lae_spline,lw_vs_lae_regression,lw_vs_lk_abscissa,lw_vs_lk_spline,lw_vs_lk_regression
-2.35915,0.00857578,-1.06043e-05,-0.0806939,0.00859771,0.00110915,-11.7255,-0.00580895,-0.00333742,-0.0184332,0.00537887,0.00186921,-0.474866,0.0104126,0.00323895,-1.46241,-0.00540554,0.00146016,-1.71196,0.0071318,0.00200432,-0.0433407,0.458755,-0.186063,-0.0806939,0.295777,0.199373,-11.7255,0.435804,0.329814,-0.0184332,-0.829554,-0.239443,-0.474866,0.107828,-0.0998423,-1.46241,1.2408,0.900048,-1.71196,-0.153521,0.659109,-0.0433407,0.0102867,-0.00026134,-2.35915,-0.00561675,0.00356059,-11.7255,-0.00566548,0.00409174,-0.0184332,0.00260528,0.000765668,-0.474866,0.0102994,0.000575635,-1.46241,-0.0164886,0.00316865,-1.71196,-0.0103559,-0.00773874,-0.0433407,2.06946,-0.836934,-2.35915,1.96112,0.627639,-0.0806939,2.06253,0.476804,-0.0184332,2.20351,-0.979702,-0.474866,0.758211,0.518926,-1.46241,-0.487087,0.69,-1.71196,-4.33789,-1.43679,-0.0433407,-0.0038337,0.00104654,-2.35915,0.00413112,-0.000291729,-0.0806939,-0.00265743,0.000903845,-11.7255,0.000638777,-0.00240179,-0.474866,2.79337e-05,0.00120814,-1.46241,-0.00164736,0.000281764,-1.71196,0.00663228,0.00261519,-0.0433407,0.0787164,0.0483901,-2.35915,-0.0424132,0.0231287,-0.0806939,0.0332556,0.0315827,-11.7255,0.0389369,0.0509919,-0.0184332,-0.00908575,0.0376587,-1.46241,-0.078343,0.00118045,-1.71196,0.0349656,0.0109608,-0.0433407,0.148823,0.0545884,-2.35915,-0.295441,0.316127,-0.0806939,0.382877,0.105113,-11.7255,-0.278316,0.161919,-0.0184332,-0.326491,0.0211549,-0.474866,-0.0337258,-0.0571134,-1.71196,-0.141014,0.0478296,-0.0433407,0.223468,0.0279282,-2.35915,-0.169042,0.217225,-0.0806939,-0.0771424,-0.16145,-11.7255,-0.5919,-0.313378,-0.0184332,0.27878,0.132383,-0.474866,-0.373442,-0.0770553,-1.46241,0.255215,-0.00173093
-2.29712,0.00641607,1.15791e-05,-0.0789933,0.00667305,0.00110264,-11.5044,-0.00402567,-0.00325923,-0.0179718,0.00175285,0.00184314,-0.465862,0.0102847,0.00319503,-1.43349,-0.00408938,0.00144744,-1.67801,0.00570781,0.00198021,-0.0423386,0.334629,-0.183716,-0.0789933,0.287461,0.193364,-11.5044,0.444688,0.322025,-0.0179718,-0.356452,-0.235608,-0.465862,0.0462718,-0.0995328,-1.43349,1.12665,0.881008,-1.67801,-0.0901391,0.644215,-0.0423386,0.00728177,-0.00027518,-2.29712,-0.0046019,0.00343985,-11.5044,-0.00911716,0.00399804,-0.0179718,0.0093328,0.000725631,-0.465862,0.00995422,0.000549549,-1.43349,-0.0126752,0.00309039,-1.67801,-0.00947978,-0.00760085,-0.0423386,1.2198,-0.818301,-2.29712,1.51045,0.610097,-0.0789933,2.2962,0.4663,-0.0179718,1.06088,-0.956132,-0.465862,0.591471,0.509276,-1.43349,-0.298676,0.676318,-1.67801,-4.08506,-1.40827,-0.0423386,-0.00276954,0.00103246,-2.29712,0.0037826,-0.000272158,-0.0789933,-0.00146335,0.000893677,-11.5044,0.000544715,-0.00234839,-0.465862,0.000107902,0.00119404,-1.43349,-0.00153789,0.000284569,-1.67801,0.00641479,0.00257125,-0.0423386,0.071905,0.0478467,-2.29712,-0.0264812,0.0231649,-0.0789933,0.015103,0.0314309,-11.5044,0.0484899,0.0504908,-0.0179718,0.0158887,0.0373358,-1.43349,-0.0723246,0.00163141,-1.67801,0.0403532,0.0112318,-0.0423386,0.110148,0.054038,-2.29712,-0.167476,0.30834,-0.0789933,0.267117,0.10352,-11.5044,-0.28234,0.159434,-0.0179718,-0.198896,0.0213797,-0.465862,-0.0118592,-0.0555362,-1.67801,-0.0940298,0.0474786,-0.0423386,0.155467,0.0268164,-2.29712,-0.103834,0.210733,-0.0789933,0.00385055,-0.158458,-11.5044,-0.59584,-0.307858,-0.0179718,0.23238,0.12863,-0.465862,-0.355391,-0.0760452,-1.43349,0.233753,-0.0021051
-2.2351,0.00425636,3.37625e-05,-0.0772926,0.0049901,0.00109613,-11.2833,-0.00263976,-0.00318104,-0.0175104,0.000196129,0.00181707,-0.456857,0.0101569,0.00315112,-1.40457,-0.00277321,0.00143472,-1.64406,0.00428383,0.0019561,-0.0413364,0.236239,-0.181369,-0.0772926,0.276341,0.187355,-11.2833,0.454104,0.314237,-0.0175104,-0.123647,-0.231773,-0.456857,-0.0152841,-0.0992234,-1.40457,1.0125,0.861969,-1.64406,-0.0267576,0.629322,-0.0413364,0.00516766,-0.000289019,-2.2351,-0.00358704,0.00331911,-11.2833,-0.0113083,0.00390433,-0.0175104,0.0116568,0.000685594,-0.456857,0.00960907,0.000523464,-1.40457,-0.00886178,0.00301213,-1.64406,-0.00860367,-0.00746296,-0.0413364,0.582594,-0.799669,-2.2351,1.05977,0.592554,-0.0772926,2.44082,0.455796,-0.0175104,0.435541,-0.932562,-0.456857,0.42473,0.499626,-1.40457,-0.110264,0.662636,-1.64406,-3.83223,-1.37974,-0.0413364,-0.00187726,0.00101839,-2.2351,0.00343407,-0.000252588,-0.0772926,-0.000427093,0.000883508,-11.2833,0.000505653,-0.00229498,-0.456857,0.00018787,0.00117995,-1.40457,-0.00142843,0.000287374,-1.64406,0.0061973,0.00252731,-0.0413364,0.0641517,0.0473034,-2.2351,-0.0105493,0.023201,-0.0772926,-0.00019714,0.0312791,-11.2833,0.0551619,0.0499898,-0.0175104,0.0247608,0.0370128,-1.40457,-0.0663062,0.00208236,-1.64406,0.0457408,0.0115028,-0.0413364,0.0814354,0.0534876,-2.2351,-0.0395114,0.300554,-0.0772926,0.166362,0.101927,-11.2833,-0.279867,0.15695,-0.0175104,-0.121509,0.0216046,-0.456857,0.0100073,-0.0539591,-1.64406,-0.0470455,0.0471275,-0.0413364,0.106993,0.0257046,-2.2351,-0.0386262,0.204241,-0.0772926,0.0691811,-0.155467,-11.2833,-0.594317,-0.302339,-0.0175104,0.207245,0.124876,-0.456857,-0.337339,-0.0750352,-1.40457,0.212291,-0.00247927
-2.17307,0.00209665,5.59459e-05,-0.075592,0.00392412,0.00108962,-11.0622,-0.00125385,-0.00310285,-0.0170491,-0.0013606,0.001791,-0.447853,0.0100291,0.0031072,-1.37565,-0.00145704,0.001422,-1.61011,0.00285984,0.001932,-0.0403342,0.145656,-0.179022,-0.075592,0.25806,0.181346,-11.0622,0.46352,0.306448,-0.0170491,0.109157,-0.227938,-0.447853,-0.0768399,-0.0989139,-1.37565,0.898352,0.84293,-1.61011,0.036624,0.614429,-0.0403342,0.00332377,-0.000302858,-2.17307,-0.00257219,0.00319837,-11.0622,-0.0134994,0.00381062,-0.0170491,0.0139808,0.000645557,-0.447853,0.00926392,0.000497378,-1.37565,-0.00504835,0.00293386,-1.61011,-0.00772756,-0.00732507,-0.0403342,0.0098285,-0.781037,-2.17307,0.6091,0.575012,-0.075592,2.35815,0.445292,-0.0170491,-0.189798,-0.908992,-0.447853,0.25799,0.489976,-1.37565,0.0781466,0.648954,-1.61011,-3.57939,-1.35122,-0.0403342,-0.00103712,0.00100431,-2.17307,0.00308554,-0.000233017,-0.075592,0.000206353,0.000873339,-11.0622,0.000466591,-0.00224157,-0.447853,0.000267838,0.00116586,-1.37565,-0.00131897,0.000290179,-1.61011,0.00597981,0.00248337,-0.0403342,0.0561127,0.04676,-2.17307,0.00538263,0.0232372,-0.075592,-0.00821687,0.0311273,-11.0622,0.0618338,0.0494887,-0.0170491,0.0336329,0.0366898,-1.37565,-0.0602878,0.00253332,-1.61011,0.0511284,0.0117737,-0.0403342,0.0557454,0.0529372,-2.17307,0.0884536,0.292768,-0.075592,0.103906,0.100334,-11.0622,-0.277394,0.154465,-0.0170491,-0.0441222,0.0218294,-0.447853,0.0318738,-0.052382,-1.61011,-6.11195e-05,0.0467765,-0.0403342,0.0644425,0.0245928,-2.17307,0.0265818,0.197749,-0.075592,0.0945351,-0.152475,-11.0622,-0.592793,-0.296819,-0.0170491,0.182111,0.121123,-0.447853,-0.319288,-0.0740251,-1.37565,0.190829,-0.00285345
-2.11105,-6.30653e-05,7.81293e-05,-0.0738914,0.00285813,0.00108311,-10.8411,0.000132054,-0.00302465,-0.0165877,-0.00291732,0.00176494,-0.438849,0.00990121,0.00306328,-1.34673,-0.000140877,0.00140928,-1.57616,0.00143585,0.00190789,-0.039332,0.0598062,-0.176675,-0.0738914,0.23978,0.175336,-10.8411,0.472936,0.298659,-0.0165877,0.341962,-0.224103,-0.438849,-0.138396,-0.0986044,-1.34673,0.784204,0.823891,-1.57616,0.100006,0.599535,-0.039332,0.00164267,-0.000316698,-2.11105,-0.00155734,0.00307763,-10.8411,-0.0156906,0.00371691,-0.0165877,0.0163048,0.00060552,-0.438849,0.00891876,0.000471292,-1.34673,-0.00123493,0.0028556,-1.57616,-0.00685145,-0.00718718,-0.039332,-0.523342,-0.762405,-2.11105,0.158427,0.557469,-0.0738914,2.27548,0.434788,-0.0165877,-0.815137,-0.885422,-0.438849,0.0912492,0.480326,-1.34673,0.266558,0.635272,-1.57616,-3.32656,-1.3227,-0.039332,-0.000231497,0.000990239,-2.11105,0.00273702,-0.000213447,-0.0738914,0.000839799,0.000863171,-10.8411,0.000427529,-0.00218817,-0.438849,0.000347806,0.00115176,-1.34673,-0.0012095,0.000292984,-1.57616,0.00576232,0.00243942,-0.039332,0.0479774,0.0462167,-2.11105,0.0213146,0.0232734,-0.0738914,-0.0162366,0.0309755,-10.8411,0.0685058,0.0489877,-0.0165877,0.0425051,0.0363669,-1.34673,-0.0542695,0.00298427,-1.57616,0.056516,0.0120447,-0.039332,0.031921,0.0523868,-2.11105,0.216418,0.284981,-0.0738914,0.0414504,0.0987411,-10.8411,-0.274921,0.151981,-0.0165877,0.0332648,0.0220542,-0.438849,0.0537403,-0.0508049,-1.57616,0.0469232,0.0464254,-0.039332,0.0254308,0.023481,-2.11105,0.0917898,0.191257,-0.0738914,0.119889,-0.149484,-10.8411,-0.591269,-0.291299,-0.0165877,0.156977,0.11737,-0.438849,-0.301237,-0.0730151,-1.34673,0.169367,-0.00322762
-2.04902,-0.0011344,0.000100313,-0.0721907,0.00244449,0.0010766,-10.62,0.00151796,-0.00294646,-0.0161263,-0.00347191,0.00173887,-0.429845,0.00977337,0.00301937,-1.31781,0.00117529,0.00139656,-1.54222,1.18684e-05,0.00188378,-0.0383298,-0.00117904,-0.174328,-0.0721907,0.217907,0.169327,-10.62,0.482352,0.29087,-0.0161263,0.45644,-0.220268,-0.429845,-0.199952,-0.098295,-1.31781,0.670056,0.804851,-1.54222,0.163387,0.584642,-0.0383298,0.000814627,-0.000330537,-2.04902,0.000563178,0.00295689,-10.62,-0.0178817,0.00362321,-0.0161263,0.016516,0.000565483,-0.429845,0.00857361,0.000445206,-1.31781,0.00257849,0.00277734,-1.54222,-0.00597534,-0.00704929,-0.0383298,-0.847388,-0.743772,-2.04902,-0.374765,0.539927,-0.0721907,1.99123,0.424285,-0.0161263,-1.17857,-0.861851,-0.429845,-0.0754914,0.470675,-1.31781,0.454969,0.621589,-1.54222,-3.07373,-1.29418,-0.0383298,0.00038659,0.000976164,-2.04902,0.00207349,-0.000193877,-0.0721907,0.00103194,0.000853002,-10.62,0.000388467,-0.00213476,-0.429845,0.000427774,0.00113767,-1.31781,-0.00110004,0.00029579,-1.54222,0.00554483,0.00239548,-0.0383298,0.0394968,0.0456733,-2.04902,0.0401512,0.0233096,-0.0721907,-0.0165647,0.0308237,-10.62,0.0751778,0.0484867,-0.0161263,0.044275,0.0360439,-1.31781,-0.0482511,0.00343522,-1.54222,0.0619037,0.0123157,-0.0383298,0.017968,0.0518364,-2.04902,0.3034,0.277195,-0.0721907,0.0212941,0.0971481,-10.62,-0.272448,0.149496,-0.0161263,0.084237,0.022279,-0.429845,0.0756068,-0.0492278,-1.54222,0.0939076,0.0460743,-0.0383298,0.00490233,0.0223692,-2.04902,0.178686,0.184766,-0.0721907,0.106008,-0.146493,-10.62,-0.589745,-0.285779,-0.0161263,0.140925,0.113616,-0.429845,-0.283186,-0.072005,-1.31781,0.147905,-0.00360179
-1.987,-0.000109115,0.000122496,-0.0704901,0.00226694,0.00107009,-10.3989,0.00236427,-0.00286827,-0.0156649,-0.00276774,0.0017128,-0.42084,0.00964553,0.00297545,-1.28889,0.00218947,0.00138384,-1.50827,-0.00141212,0.00185967,-0.0373277,-0.0482185,-0.171981,-0.0704901,0.194735,0.163318,-10.3989,0.490493,0.283081,-0.0156649,0.422149,-0.216433,-0.42084,-0.261507,-0.0979855,-1.28889,0.57709,0.785812,-1.50827,0.226769,0.569748,-0.0373277,0.000458923,-0.000344376,-1.987,0.00481361,0.00283615,-10.3989,-0.0184575,0.0035295,-0.0156649,0.014075,0.000525446,-0.42084,0.00822846,0.00041912,-1.28889,0.00565134,0.00269908,-1.50827,-0.00509922,-0.0069114,-0.0373277,-1.05102,-0.72514,-1.987,-1.06692,0.522384,-0.0704901,1.63402,0.413781,-0.0156649,-1.21217,-0.838281,-0.42084,-0.242232,0.461025,-1.28889,0.576179,0.607907,-1.50827,-2.8209,-1.26566,-0.0373277,0.000882203,0.000962089,-1.987,0.000803142,-0.000174306,-0.0704901,0.00106436,0.000842833,-10.3989,0.000406414,-0.00208136,-0.42084,0.000507742,0.00112357,-1.28889,-0.000892838,0.000298595,-1.50827,0.00532734,0.00235154,-0.0373277,0.0312775,0.04513,-1.987,0.0645835,0.0233458,-0.0704901,-0.014109,0.0306718,-10.3989,0.0780473,0.0479856,-0.0156649,0.037176,0.035721,-1.28889,-0.0422236,0.00388618,-1.50827,0.0672913,0.0125866,-0.0373277,0.00974933,0.051286,-1.987,0.311431,0.269408,-0.0704901,0.0164467,0.0955552,-10.3989,-0.261325,0.147012,-0.0156649,0.101874,0.0225038,-0.42084,0.0974733,-0.0476506,-1.50827,0.140892,0.0457233,-0.0373277,-0.00556786,0.0212575,-1.987,0.30736,0.178274,-0.0704901,0.0779262,-0.143501,-10.3989,-0.580536,-0.280259,-0.0156649,0.136193,0.109863,-0.42084,-0.265135,-0.070995,-1.28889,0.134894,-0.00397596
-1.92498,0.000959527,0.000144679,-0.0687894,0.00208939,0.00106358,-10.1778,0.00302273,-0.00279008,-0.0152036,-0.00187064,0.00168673,-0.411836,0.00951769,0.00293153,-1.25997,0.0026199,0.00137112,-1.47432,-0.00257111,0.00183556,-0.0363255,-0.0873727,-0.169634,-0.0687894,0.171563,0.157309,-10.1778,0.49819,0.275292,-0.0152036,0.363166,-0.212598,-0.411836,-0.323063,-0.0976761,-1.25997,0.525071,0.766773,-1.47432,0.28731,0.554855,-0.0363255,0.000366183,-0.000358215,-1.92498,0.00847028,0.0027154,-10.1778,-0.0184711,0.00343579,-0.0152036,0.0112467,0.000485409,-0.411836,0.00788331,0.000393034,-1.25997,0.00729261,0.00262081,-1.47432,-0.00435558,-0.00677351,-0.0363255,-1.18448,-0.706508,-1.92498,-1.6663,0.504842,-0.0687894,1.2768,0.403277,-0.0152036,-1.18419,-0.814711,-0.411836,-0.408972,0.451375,-1.25997,0.567486,0.594225,-1.47432,-2.59121,-1.23714,-0.0363255,0.00129693,0.000948014,-1.92498,-0.000335639,-0.000154736,-0.0687894,0.00109678,0.000832665,-10.1778,0.000444207,-0.00202795,-0.411836,0.000587711,0.00110948,-1.25997,-0.000496696,0.0003014,-1.47432,0.00506915,0.00230759,-0.0363255,0.023512,0.0445867,-1.92498,0.0841638,0.023382,-0.0687894,-0.0116533,0.03052,-10.1778,0.0795933,0.0474846,-0.0152036,0.0293913,0.035398,-1.25997,-0.0361787,0.00433713,-1.47432,0.0711287,0.0128576,-0.0363255,0.00490625,0.0507356,-1.92498,0.313437,0.261622,-0.0687894,0.0115993,0.0939622,-10.1778,-0.24719,0.144528,-0.0152036,0.11237,0.0227286,-0.411836,0.11934,-0.0460735,-1.47432,0.182235,0.0453722,-0.0363255,-0.0105582,0.0201457,-1.92498,0.425718,0.171782,-0.0687894,0.0498448,-0.14051,-10.1778,-0.568652,-0.274739,-0.0152036,0.132018,0.10611,-0.411836,-0.247083,-0.069985,-1.25997,0.138219,-0.00435013
-1.86295,0.00184704,0.000166863,-0.0670888,0.00191184,0.00105707,-9.95674,0.00344702,-0.00271189,-0.0147422,-0.000509698,0.00166066,-0.402832,0.00938985,0.00288762,-1.23105,0.00286912,0.0013584,-1.44037,-0.0026158,0.00181146,-0.0353233,-0.11653,-0.167287,-0.0670888,0.148391,0.1513,-9.95674,0.503075,0.267503,-0.0147422,0.24426,-0.208764,-0.402832,-0.384619,-0.0973666,-1.23105,0.486202,0.747734,-1.44037,0.335352,0.539962,-0.0353233,0.000604681,-0.000372055,-1.86295,0.0097669,0.00259466,-9.95674,-0.0178925,0.00334208,-0.0147422,0.00749294,0.000445372,-0.402832,0.00753816,0.000366948,-1.23105,0.00844711,0.00254255,-1.44037,-0.00417013,-0.00663562,-0.0353233,-1.22785,-0.687876,-1.86295,-1.92424,0.487299,-0.0670888,0.919591,0.392773,-0.0147422,-1.00489,-0.791141,-0.402832,-0.575713,0.441725,-1.23105,0.522744,0.580543,-1.44037,-2.45866,-1.20861,-0.0353233,0.00160302,0.000933939,-1.86295,-0.000930318,-0.000135165,-0.0670888,0.0011292,0.000822496,-9.95674,0.000486769,-0.00197454,-0.402832,0.000667679,0.00109538,-1.23105,-6.5638e-05,0.000304205,-1.44037,0.00464301,0.00226365,-0.0353233,0.0164817,0.0440433,-1.86295,0.086312,0.0234182,-0.0670888,-0.00919767,0.0303682,-9.95674,0.0796133,0.0469835,-0.0147422,0.0201579,0.035075,-1.23105,-0.030182,0.00478809,-1.44037,0.0684361,0.0131286,-0.0353233,0.00441246,0.0501853,-1.86295,0.307272,0.253835,-0.0670888,0.00675193,0.0923693,-9.95674,-0.229497,0.142043,-0.0147422,0.105094,0.0229534,-0.402832,0.141206,-0.0444964,-1.44037,0.199742,0.0450211,-0.0353233,-0.0087095,0.0190339,-1.86295,0.502321,0.16529,-0.0670888,0.0217633,-0.137519,-9.95674,-0.553134,-0.269219,-0.0147422,0.128837,0.102356,-0.402832,-0.229032,-0.0689749,-1.23105,0.145406,-0.0047243
-1.80093,0.00209255,0.000189046,-0.0653882,0.00190967,0.00105056,-9.73564,0.00356075,-0.00263369,-0.0142808,0.000851245,0.00163459,-0.393828,0.00887373,0.0028437,-1.20213,0.00295324,0.00134568,-1.40642,-0.00242796,0.00178735,-0.0343211,-0.142423,-0.16494,-0.0653882,0.127035,0.14529,-9.73564,0.504233,0.259714,-0.0142808,0.125354,-0.204929,-0.393828,-0.386315,-0.0970571,-1.20213,0.459531,0.728694,-1.40642,0.377567,0.525068,-0.0343211,0.000947046,-0.000385894,-1.80093,0.00810219,0.00247392,-9.73564,-0.0165289,0.00324838,-0.0142808,0.00373917,0.000405335,-0.393828,0.0065668,0.000340862,-1.20213,0.0091371,0.00246429,-1.40642,-0.00410793,-0.00649773,-0.0343211,-1.23966,-0.669244,-1.80093,-1.78573,0.469757,-0.0653882,0.535264,0.382269,-0.0142808,-0.825598,-0.767571,-0.393828,-0.629943,0.432075,-1.20213,0.447288,0.566861,-1.40642,-2.34514,-1.18009,-0.0343211,0.00186164,0.000919864,-1.80093,-0.000817435,-0.000115595,-0.0653882,0.00103223,0.000812327,-9.73564,0.000535657,-0.00192114,-0.393828,0.000748696,0.00108129,-1.20213,0.000385426,0.00030701,-1.40642,0.00420009,0.00221971,-0.0343211,0.0100075,0.0435,-1.80093,0.0687614,0.0234544,-0.0653882,-0.00467866,0.0302164,-9.73564,0.0776098,0.0464825,-0.0142808,0.0109245,0.0347521,-1.20213,-0.0242559,0.00523904,-1.40642,0.0643153,0.0133995,-0.0343211,0.00547577,0.0496349,-1.80093,0.309374,0.246049,-0.0653882,0.014537,0.0907764,-9.73564,-0.207084,0.139559,-0.0142808,0.0978173,0.0231782,-0.393828,0.143188,-0.0429193,-1.40642,0.21162,0.0446701,-0.0343211,-0.0048428,0.0179221,-1.80093,0.525651,0.158798,-0.0653882,-0.0147453,-0.134527,-9.73564,-0.532795,-0.263699,-0.0142808,0.125656,0.098603,-0.393828,-0.203783,-0.0679649,-1.20213,0.155509,-0.00509848
