initT_abscissa,initT_pdf,aS_abscissa,aS_pdf,dS_abscissa,dS_pdf,lBt0_abscissa,lBt0_pdf,lk_abscissa,lk_pdf,lae_abscissa,lae_pdf,lw_abscissa,lw_pdf,dE_abscissa,dE_pdf,split
-22.189,0.00429979,12.8771,0.175578,0.0114565,67.4714,-4.7578,2.06055,-5.3635,0.0164362,0.576027,0.0527908,-0.0056086,0.0140014,0.178218,2.29693,All
-21.2373,0.00429979,12.9354,0.175578,0.0115475,44.9809,-4.75581,4.1211,-5.23901,0.0657447,0.614785,0.0527908,0.140523,0.0280027,0.502458,0.454338,All
-20.2856,0.00214989,12.9937,0.0702314,0.0116384,179.924,-4.75383,15.4541,-5.11453,0.0821809,0.653542,0.105582,0.286654,0.0420041,0.826698,0.214549,All
-19.3339,0.00214989,13.0519,0.24581,0.0117294,404.828,-4.75184,20.6055,-4.99005,0.0657447,0.6923,0.316745,0.432785,0.0840082,1.15094,0.132515,All
-18.3822,0.00859957,13.1102,0.632082,0.0118204,337.357,-4.74986,27.8174,-4.86556,0.147926,0.731057,0.369536,0.578916,0.0980096,1.47518,0.0315513,All
-17.4305,0.0236488,13.1685,0.702314,0.0119114,629.733,-4.74787,33.9991,-4.74108,0.328724,0.769814,0.580699,0.725047,0.350034,1.79942,0.0126205,All
-16.4788,0.0343983,13.2267,1.54509,0.0120023,472.3,-4.74589,35.0293,-4.61659,0.410905,0.808572,0.844653,0.871178,0.322031,2.12366,0.0378615,All
-15.5271,0.0494476,13.285,1.61532,0.0120933,764.676,-4.7439,54.6046,-4.49211,0.443777,0.847329,0.950235,1.01731,0.476047,2.4479,0,All
-14.5754,0.0472977,13.3433,1.65044,0.0121843,1057.05,-4.74191,46.3624,-4.36763,0.657447,0.886087,1.10861,1.16344,0.518051,2.77214,0,All
-13.6237,0.0924454,13.4015,2.21229,0.0122753,1034.56,-4.73993,49.4532,-4.24314,0.608139,0.924844,1.47814,1.30957,0.756074,3.09638,0.0126205,All
-12.672,0.0924454,13.4598,1.68555,0.0123662,1124.52,-4.73794,49.4532,-4.11866,0.608139,0.963601,2.00605,1.4557,0.658064,3.42062,0,All
-11.7204,0.137593,13.5181,2.2474,0.0124572,1416.9,-4.73596,47.3926,-3.99418,0.657447,1.00236,2.74512,1.60183,0.588057,3.74486,0.00631026,All
-10.7687,0.124694,13.5763,1.68555,0.0125482,1147.01,-4.73397,42.2413,-3.86969,0.772501,1.04112,3.22024,1.74796,0.602059,4.0691,0,All
-9.81697,0.146193,13.6346,0.913008,0.0126391,652.223,-4.73198,30.9082,-3.74521,0.69032,1.07987,2.79791,1.8941,0.756074,4.39334,0,All
-8.86528,0.0838459,13.6929,1.08859,0.0127301,764.676,-4.73,25.7569,-3.62073,0.69032,1.11863,3.27303,2.04023,0.448044,4.71757,0,All
-7.91359,0.109645,13.7511,0.596967,0.0128211,562.262,-4.72801,19.5752,-3.49624,0.624575,1.15739,1.63652,2.18636,0.336033,5.04181,0,All
-6.9619,0.0451478,13.8094,0.386273,0.0129121,292.376,-4.72603,10.3027,-3.37176,0.378032,1.19615,1.21419,2.33249,0.336033,5.36605,0,All
-6.0102,0.0322484,13.8677,0.0702314,0.013003,179.924,-4.72404,3.09082,-3.24727,0.476649,1.2349,1.10861,2.47862,0.238023,5.69029,0,All
-5.05851,0.00859957,13.9259,0.140463,0.013094,157.433,-4.72205,4.1211,-3.12279,0.246543,1.27366,0.63349,2.62475,0.182018,6.01453,0,All
-4.10682,0.0150493,13.9842,0.0351157,0.013185,112.452,-4.72007,2.06055,-2.99831,0.180798,1.31242,1.05582,2.77088,0.112011,6.33877,0.00631026,All
-3.15513,0.00859957,14.0424,0,0.013276,22.4905,-4.71808,0,-2.87382,0.0821809,1.35118,0.580699,2.91701,0.0840082,6.66301,0.00631026,All
-2.20344,0.0150493,14.1007,0,0.0133669,22.4905,-4.7161,0,-2.74934,0.0657447,1.38993,0.475118,3.06315,0.0840082,6.98725,0,All
-1.25175,0.00859957,14.159,0.0351157,0.0134579,22.4905,-4.71411,1.03027,-2.62486,0.0821809,1.42869,0.316745,3.20928,0.0280027,7.31149,0.00631026,All
