initT_abscissa,initT_cdf,aS_abscissa,aS_cdf,dS_abscissa,dS_cdf,lBt0_abscissa,lBt0_cdf,lk_abscissa,lk_cdf,lae_abscissa,lae_cdf,lw_abscissa,lw_cdf,dE_abscissa,dE_cdf,split
-4,0,-4,0,-4,0,-4,0,-4,0,-4,0,-4,0,-4,0,All
-3.57993,0.00196078,-2.7677,0.00196078,-2.61522,0.00196078,-2.47541,0.00196078,-2.89935,0.00196078,-3.03506,0.00196078,-3.01138,0.00196078,-1.79847,0.00196078,All
-3.53861,0.00392157,-2.6888,0.00392157,-2.5205,0.00392157,-2.42608,0.00392157,-2.57487,0.00392157,-2.55405,0.00392157,-2.60522,0.00392157,-1.57821,0.00392157,All
-3.22498,0.00588235,-2.52564,0.00588235,-2.38011,0.00588235,-2.19383,0.00588235,-2.4886,0.00588235,-2.52308,0.00588235,-2.54571,0.00588235,-1.48781,0.00588235,All
-3.06892,0.00784314,-2.50826,0.00784314,-2.14742,0.00784314,-2.19095,0.00784314,-2.46047,0.00784314,-2.3357,0.00784314,-2.48947,0.00784314,-1.47024,0.00784314,All
-2.73307,0.00980392,-2.49146,0.00980392,-2.12767,0.00980392,-2.06108,0.00980392,-2.42679,0.00980392,-2.28368,0.00980392,-2.41053,0.00980392,-1.46594,0.00980392,All
-2.57136,0.0117647,-2.44418,0.0117647,-2.07683,0.0117647,-2.05725,0.0117647,-2.40296,0.0117647,-2.27521,0.0117647,-2.3157,0.0117647,-1.44129,0.0117647,All
-2.38761,0.0137255,-2.43644,0.0137255,-2.05185,0.0137255,-1.8981,0.0137255,-2.36766,0.0137255,-2.24327,0.0137255,-2.18547,0.0137255,-1.42067,0.0137255,All
-2.31518,0.0156863,-2.34904,0.0156863,-2.0487,0.0156863,-1.87512,0.0156863,-2.31329,0.0156863,-2.23878,0.0156863,-2.15467,0.0156863,-1.41868,0.0156863,All
-2.24298,0.0176471,-2.33972,0.0176471,-1.99668,0.0176471,-1.84459,0.0176471,-2.20831,0.0176471,-2.09358,0.0176471,-2.1537,0.0176471,-1.41247,0.0176471,All
-2.19573,0.0196078,-2.21263,0.0196078,-1.98293,0.0196078,-1.82342,0.0196078,-2.17692,0.0196078,-2.08799,0.0196078,-2.13337,0.0196078,-1.41132,0.0196078,All
-2.1066,0.0215686,-2.1288,0.0215686,-1.96115,0.0215686,-1.81665,0.0215686,-2.09547,0.0215686,-2.02777,0.0215686,-2.12268,0.0215686,-1.41053,0.0215686,All
-2.10153,0.0235294,-2.01097,0.0235294,-1.96001,0.0235294,-1.81279,0.0235294,-2.04101,0.0235294,-2.02019,0.0235294,-2.08794,0.0235294,-1.40651,0.0235294,All
-2.0912,0.0254902,-1.86157,0.0254902,-1.922,0.0254902,-1.80196,0.0254902,-2.01597,0.0254902,-2.00646,0.0254902,-1.94777,0.0254902,-1.40199,0.0254902,All
-1.99574,0.027451,-1.80037,0.027451,-1.8276,0.027451,-1.70512,0.027451,-1.94522,0.027451,-1.94106,0.027451,-1.84902,0.027451,-1.40127,0.027451,All
-1.99557,0.0294118,-1.74467,0.0294118,-1.81764,0.0294118,-1.69959,0.0294118,-1.90183,0.0294118,-1.90631,0.0294118,-1.84119,0.0294118,-1.3916,0.0294118,All
-1.98246,0.0313725,-1.6996,0.0313725,-1.81677,0.0313725,-1.69891,0.0313725,-1.86011,0.0313725,-1.87115,0.0313725,-1.78356,0.0313725,-1.37787,0.0313725,All
-1.93135,0.0333333,-1.67789,0.0333333,-1.81325,0.0333333,-1.69801,0.0333333,-1.83377,0.0333333,-1.84865,0.0333333,-1.78221,0.0333333,-1.37787,0.0333333,All
-1.92541,0.0352941,-1.6675,0.0352941,-1.79834,0.0352941,-1.68903,0.0352941,-1.82077,0.0352941,-1.79173,0.0352941,-1.7733,0.0352941,-1.3761,0.0352941,All
-1.91268,0.0372549,-1.62536,0.0372549,-1.78687,0.0372549,-1.68627,0.0372549,-1.78349,0.0372549,-1.77845,0.0372549,-1.75308,0.0372549,-1.37198,0.0372549,All
-1.89047,0.0392157,-1.61019,0.0392157,-1.7758,0.0392157,-1.68422,0.0392157,-1.7579,0.0392157,-1.73953,0.0392157,-1.69924,0.0392157,-1.36358,0.0392157,All
-1.85362,0.0411765,-1.60068,0.0411765,-1.76324,0.0411765,-1.67805,0.0411765,-1.70497,0.0411765,-1.73414,0.0411765,-1.68673,0.0411765,-1.35657,0.0411765,All
-1.8325,0.0431373,-1.57402,0.0431373,-1.697,0.0431373,-1.63817,0.0431373,-1.70296,0.0431373,-1.67717,0.0431373,-1.68271,0.0431373,-1.35377,0.0431373,All
-1.81949,0.045098,-1.56965,0.045098,-1.68094,0.045098,-1.62095,0.045098,-1.68056,0.045098,-1.67421,0.045098,-1.67721,0.045098,-1.34735,0.045098,All
-1.81286,0.0470588,-1.54219,0.0470588,-1.66201,0.0470588,-1.60899,0.0470588,-1.65655,0.0470588,-1.66993,0.0470588,-1.66413,0.0470588,-1.33813,0.0470588,All
-1.80031,0.0490196,-1.51748,0.0490196,-1.64996,0.0490196,-1.57284,0.0490196,-1.63465,0.0490196,-1.66111,0.0490196,-1.65731,0.0490196,-1.33309,0.0490196,All
-1.77676,0.0509804,-1.51475,0.0509804,-1.64512,0.0509804,-1.56511,0.0509804,-1.6159,0.0509804,-1.65397,0.0509804,-1.64029,0.0509804,-1.32789,0.0509804,All
-1.76157,0.0529412,-1.50611,0.0529412,-1.64221,0.0529412,-1.56195,0.0529412,-1.60526,0.0529412,-1.57052,0.0529412,-1.63734,0.0529412,-1.31676,0.0529412,All
-1.7529,0.054902,-1.50532,0.054902,-1.61966,0.054902,-1.54868,0.054902,-1.58102,0.054902,-1.56297,0.054902,-1.62315,0.054902,-1.30781,0.054902,All
-1.75122,0.0568627,-1.5043,0.0568627,-1.61442,0.0568627,-1.5459,0.0568627,-1.5466,0.0568627,-1.54871,0.0568627,-1.62276,0.0568627,-1.30279,0.0568627,All
-1.74715,0.0588235,-1.45743,0.0588235,-1.61221,0.0588235,-1.53036,0.0588235,-1.54329,0.0588235,-1.53069,0.0588235,-1.60796,0.0588235,-1.30026,0.0588235,All
-1.723,0.0607843,-1.41797,0.0607843,-1.60409,0.0607843,-1.52071,0.0607843,-1.54191,0.0607843,-1.50555,0.0607843,-1.58902,0.0607843,-1.29735,0.0607843,All
-1.70171,0.0627451,-1.41105,0.0627451,-1.52672,0.0627451,-1.51754,0.0627451,-1.51631,0.0627451,-1.50255,0.0627451,-1.56368,0.0627451,-1.29708,0.0627451,All
-1.68161,0.0647059,-1.3889,0.0647059,-1.50161,0.0647059,-1.50729,0.0647059,-1.51287,0.0647059,-1.48042,0.0647059,-1.5392,0.0647059,-1.29093,0.0647059,All
-1.68124,0.0666667,-1.38531,0.0666667,-1.48058,0.0666667,-1.49893,0.0666667,-1.49201,0.0666667,-1.45548,0.0666667,-1.52398,0.0666667,-1.28852,0.0666667,All
-1.60394,0.0686275,-1.38342,0.0686275,-1.47602,0.0686275,-1.47173,0.0686275,-1.48729,0.0686275,-1.44186,0.0686275,-1.51742,0.0686275,-1.28619,0.0686275,All
-1.57309,0.0705882,-1.37654,0.0705882,-1.44561,0.0705882,-1.46494,0.0705882,-1.48637,0.0705882,-1.44145,0.0705882,-1.50626,0.0705882,-1.27992,0.0705882,All
