rep,id_var,standEta_initT_simulated,standEta_aS_simulated,standEta_dS_simulated,standEta_lBt0_simulated,standEta_lk_simulated,standEta_lae_simulated,standEta_lw_simulated,standEta_dE_simulated,filter
1,35,-0.89449,-0.809937,-0.324552,0,0.0141276,0,0,0.00968755,0
2,35,-1.57309,0.344119,0.485538,0,-0.0304283,0,0,-0.278564,0
3,35,-0.924283,0.0270478,0.899519,0,0.0107052,0,0,0.127751,0
4,35,-0.86513,-0.149837,-0.742214,0,-0.00481547,0,0,0.14751,0
5,35,-1.36329,0.409321,-0.295838,0,0.0142774,0,0,-0.0982187,0
6,35,-1.2,0.495298,0.174569,0,-0.000208835,0,0,-0.0548065,0
7,35,-0.707431,-0.345857,-1.34203,0,0.00878086,0,0,0.211631,0
8,35,-1.30539,-1.51748,1.15382,0,0.0136042,0,0,-0.198155,0
9,35,-0.604958,-0.788718,-1.39026,0,-0.0081759,0,0,-0.476635,0
10,35,-2.19573,-0.779775,1.99772,0,-0.0106811,0,0,-0.377263,0
1,36,1.7982,0.790681,0.379942,0,0.0263283,0,0,0.707538,0
2,36,0.884951,-0.0721548,0.447545,0,0.00160693,0,0,0.425389,0
3,36,1.2221,0.0118025,-1.64221,0,-0.0248646,0,0,0.824704,0
4,36,2.03394,1.70815,-0.35467,0,-0.00723059,0,0,0.176516,0
5,36,1.9868,1.13654,-0.706029,0,-0.0182364,0,0,-0.1631,0
6,36,2.57993,0.841838,-1.47602,0,0.0162052,0,0,0.368598,0
7,36,1.48186,0.305315,0.443252,0,-0.0171866,0,0,0.622251,0
8,36,0.956024,-0.751315,0.0997654,0,-0.0152327,0,0,0.723111,0
9,36,2.24795,-0.194338,-0.555106,0,0.0078968,0,0,0.323871,0
10,36,1.04298,0.724342,-0.357405,0,-0.0197877,0,0,0.499878,0
1,37,0.0189202,1.23512,-0.176392,0,0.000240631,0,0,-0.400223,0
2,37,-0.296709,-1.50611,0.0400189,0,0.0233957,0,0,0.222586,0
3,37,0.267466,1.27029,0.341911,0,0.0173371,0,0,0.102176,0
4,37,0.402142,0.13707,-1.26052,0,0.0262884,0,0,-0.323086,0
5,37,0.808937,0.571257,-1.12253,0,0.0287163,0,0,-0.179196,0
6,37,0.20765,0.541326,-1.61442,0,-0.0250682,0,0,-0.0518668,0
7,37,0.303843,-0.927812,-1.36565,0,0.0301006,0,0,-0.123588,0
8,37,-0.108982,-0.638137,0.822852,0,0.00196189,0,0,-0.454046,0
9,37,0.0317278,-0.672789,-1.06237,0,-0.00140226,0,0,-0.310094,0
10,37,0.361168,1.8095,-0.475812,0,0.00527653,0,0,-0.520872,0
1,38,0.000125423,-0.0781983,0.778584,0,0.0140196,0,0,-0.127326,0
2,38,-1.01214,0.340193,1.71615,0,-0.0194345,0,0,0.321384,0
3,38,0.506507,0.72725,-0.130836,0,0.0228898,0,0,0.3862,0
4,38,-0.0480042,0.228189,0.837709,0,0.0287692,0,0,0.0136007,0
5,38,-0.275023,-0.0495645,1.23181,0,0.00919212,0,0,0.313487,0
6,38,-0.439336,0.0718795,0.498021,0,0.0157842,0,0,0.634885,0
7,38,0.243367,0.263124,-1.11784,0,-0.00336436,0,0,-0.0105554,0
8,38,0.297424,-0.213956,-0.440683,0,-0.00391697,0,0,-0.38487,0
9,38,0.193575,-0.0105758,-0.6485,0,0.00210496,0,0,0.129271,0
10,38,0.028854,0.889292,-0.516991,0,0.00910135,0,0,-0.14481,0
1,39,-1.92541,-1.32943,-1.17272,0,0.00350517,0,0,1.03966,0
2,39,-0.775277,0.624016,-1.27401,0,0.0125929,0,0,1.06782,0
3,39,-2.38761,-0.917702,0.802573,0,0.0197621,0,0,1.05855,0
4,39,-1.68161,0.375418,-1.18651,0,-0.0222525,0,0,0.82927,0
5,39,-0.110459,0.0419838,0.646363,0,-0.0323882,0,0,0.720373,0
6,39,1.49636,0.446878,0.265638,0,0.0171247,0,0,0.178703,0
7,39,-0.0408955,-0.668608,-0.736722,0,0.00924998,0,0,0.644026,0
8,39,0.133631,-1.86157,-0.876015,0,0.005712,0,0,0.66796,0
9,39,-1.28965,0.0056036,-0.452287,0,-0.0212875,0,0,0.849208,0
10,39,-0.0871997,1.5316,0.00323272,0,-0.00618776,0,0,0.79058,0
1,40,-0.510604,0.422216,-1.81677,0,0.00449257,0,0,0.0601897,0
2,40,-0.386484,0.392205,-0.000307953,0,-0.017272,0,0,0.252745,0
3,40,-0.913328,-2.43644,1.05959,0,0.0163032,0,0,-0.0351005,0
4,40,-1.09504,-0.381932,0.224309,0,-0.00707384,0,0,0.428634,0
5,40,-0.643726,-0.85193,0.266358,0,0.0196302,0,0,0.305833,0
6,40,-0.408693,1.90054,0.32915,0,0.00970082,0,0,0.0758975,0
7,40,-1.37811,-0.564062,2.07677,0,-0.00523045,0,0,0.139477,0
8,40,-1.50465,-0.461882,0.34245,0,-0.0225932,0,0,0.423535,0
9,40,-0.633104,-0.0241538,0.197555,0,0.00999142,0,0,-0.108673,0
10,40,-0.0786404,-1.09273,-0.77323,0,0.0016346,0,0,0.0313561,0
1,41,0.665783,-0.085124,-1.01381,0,0.0127136,0,0,0.167874,0
2,41,0.90406,-0.703914,-0.636076,0,0.0230482,0,0,-0.126899,0
3,41,1.1386,0.433989,-0.555805,0,-0.0167565,0,0,-0.286815,0
4,41,1.35192,0.477995,-2.14742,0,0.0277962,0,0,-0.395998,0
5,41,0.636301,0.452793,0.032768,0,-0.00514832,0,0,-0.142352,0
6,41,0.798152,-1.00547,0.0841045,0,0.022033,0,0,-0.513099,0
7,41,0.358323,-0.439997,-1.14189,0,-0.00719471,0,0,-0.000930694,0
8,41,0.672764,0.36369,0.993372,0,0.0152892,0,0,0.10938,0
9,41,0.993277,0.0372433,-0.0924103,0,0.0292674,0,0,0.125633,0
10,41,0.804995,0.191149,0.277815,0,0.00522779,0,0,0.423061,0
1,42,0.925138,0.866515,-0.322894,0,0.0215335,0,0,0.170291,0
2,42,0.565494,0.250542,-0.524309,0,0.00259879,0,0,0.235089,0
3,42,0.302369,1.61969,0.382478,0,-0.00122547,0,0,-0.340142,0
4,42,0.758748,0.379694,1.53296,0,0.0095569,0,0,-0.275594,0
5,42,0.487992,-0.982391,0.0661762,0,0.0230116,0,0,-0.174482,0
6,42,0.425764,1.30871,0.320524,0,0.000685334,0,0,-0.0857295,0
7,42,0.814077,1.42644,-0.263632,0,0.0107271,0,0,0.301178,0
8,42,0.925635,-0.128315,-0.432222,0,0.00571002,0,0,-0.784806,0
9,42,0.506472,0.657739,0.54656,0,0.023275,0,0,-0.349875,0
10,42,1.06023,1.47356,1.63134,0,0.00282105,0,0,-0.32032,0
1,43,1.01441,1.39957,0.20504,0,0.00854671,0,0,-0.547385,0
2,43,-0.164196,0.511528,2.11154,0,0.000473093,0,0,-0.0441542,0
3,43,0.500397,-0.132673,-0.390304,0,-0.00998259,0,0,0.17605,0
4,43,0.940963,0.47649,0.559582,0,0.00954138,0,0,0.307773,0
5,43,1.5029,0.51029,-0.668511,0,0.0142044,0,0,-0.471298,0
6,43,0.454897,1.24184,-0.0258475,0,-0.00995322,0,0,0.0295954,0
7,43,1.59239,0.948692,-1.39388,0,0.00536241,0,0,0.273896,0
8,43,0.549228,-0.981862,0.0531332,0,0.0171213,0,0,0.611528,0
9,43,-0.203239,-2.7677,0.948168,0,-0.0303718,0,0,0.693466,0
10,43,0.558596,0.0562446,-0.12376,0,-0.0134023,0,0,0.367585,0
1,44,-1.99574,0.710065,0.605255,0,0.00405326,0,0,-0.173671,0
2,44,-2.31518,-0.475663,-1.61966,0,0.0233946,0,0,-0.775179,0
3,44,-0.655825,0.634276,0.483914,0,0.0138247,0,0,-0.0350199,0
4,44,-1.25202,-1.38342,-0.106053,0,-0.0269196,0,0,-0.0801347,0
5,44,-0.530438,0.695845,0.437193,0,0.00838137,0,0,0.0657945,0
