rep,id,initT,aS,r,K,tau,Bt0,pP,pU,g,dI,k,aE,w,dE,E50,data
1,35,-11.3342402482105,0.0366966328462968,0.266897471327932,79.5730442490867,0.113490044750474,0.0001,38385.1017609886,9933.41533039453,23,0.8,0.01,1e-05,1.3910331686065,0.00557102952164357,10.4973358521393,thai
2,35,-7.4113894355788,1.58308273174254e-05,0.421060967821084,85.0109902065429,0.118064532417707,0.0001,44833.316640063,5413.69143077955,23,0.8,0.01,1e-05,0.984782074607079,0.00633983990676683,9.79713164332977,thai
3,35,-7.94240169572968,0.000911049386852919,0.167088110538785,75.1132756675426,0.118658325254227,0.0001,43812.1461125771,14388.9020055077,23,0.8,0.01,1e-05,0.646750590316549,0.00670159347050323,9.77100244137251,thai
4,35,-12.6167441747803,0.00120544902745532,0.108731092234112,65.4870926419136,0.107190301668751,0.0001,48948.7746847992,9241.22811044604,23,0.8,0.01,1e-05,0.475555166167615,0.0711436589886498,9.98645983411179,thai
5,35,-10.6402169556361,2.06742315033558e-07,0.627688352712878,87.5028288163171,0.0782743690536742,0.0001,55108.9661865042,18193.5797335797,23,0.8,0.01,1e-05,0.632932797408176,0.00415313116093247,4.83084091806355,thai
6,35,-6.84800777844762,2.33006089564673e-05,0.537135255411553,100.969365283126,0.0706726066862699,0.0001,58056.4415114773,9791.06730101011,23,0.8,0.01,1e-05,1.306039093021,0.00935755168188431,8.40662359415476,thai
7,35,-8.35206672645196,0.743197826705736,0.269214359116477,96.7285737563464,0.0712216640531083,0.0001,54079.1170150615,9630.65334521747,23,0.8,0.01,1e-05,0.952067099954153,0.00740053861716227,2.07125088901725,thai
8,35,-3.74894647458102,0.000112956473139278,0.888111459650928,145.808198241277,0.0800533781629238,0.0001,43201.0961144206,36117.8164749241,23,0.8,0.01,1e-05,1.99123662564116,0.00563995930624389,27.2328391722656,thai
9,35,-6.13857908115991,6.50350081119265e-05,0.668438055736727,152.765178258985,0.0993834650382113,0.0001,31885.817916107,21989.4548436444,23,0.8,0.01,1e-05,1.22080215309783,0.00235153357612275,7.85911161803771,thai
10,35,-9.83930203208691,0.743859523989644,0.935079003328841,225.281722759482,0.118521929763037,0.0001,27086.7871479578,12004.3533550428,23,0.8,0.01,1e-05,1.42278905562598,0.00365513115135983,6.31520217437084,thai
1,36,1.19424455900412,6082.70109597095,0.309653650498079,106.713837951229,0.00168942191074279,0.0001,73215.4233264893,106862.993881466,23,0.8,0.01,1e-05,0.688996216851261,0.0344390463613051,37.8794098418343,thai
2,36,1.1346740163053,6082.70109597095,0.354853588802253,103.173013563498,0.00185744382908064,0.0001,72573.0900612696,180604.698951865,23,0.8,0.01,1e-05,0.88559264218442,0.0159445947944173,8.47410880318513,thai
3,36,1.12585703882438,5049.16368318472,0.361173216117423,103.069405755042,0.00192554025573062,0.0001,77923.3047160577,49697.7719856597,23,0.8,0.01,1e-05,2.64336556100414,0.0181358926089811,25.167884938139,thai
4,36,1.21358265065851,4018.56356441858,0.349940217126691,85.9114303243134,0.00200315509183734,0.0001,91069.1981660029,189675.963897557,23,0.8,0.01,1e-05,0.658368234261297,0.0977509171392002,13.6386910711407,thai
5,36,1.16283706278364,2951.37160840872,0.355040371684793,92.7890193879892,0.00244383058374083,0.0001,85536.2093738952,78970.3368938234,23,0.8,0.01,1e-05,0.598430034816102,0.0702488722707829,5.11042501301502,thai
6,36,1.16283706278364,3842.87216356954,0.530890784254112,101.707222896015,0.00223308045858979,0.0001,93131.9481866704,147262.305755346,23,0.8,0.01,1e-05,0.506542234139899,0.0277850257964158,11.0346012401519,thai
7,36,1.16283706278364,3842.87216356954,0.517466340505432,99.0451802181381,0.00206358116802889,0.0001,102616.702011889,61426.8846327322,23,0.8,0.01,1e-05,6.93988678887353,0.0214149239110898,8.24660754514367,thai
8,36,1.08495367550745,2527.58834405426,0.517942307014504,89.7194868210769,0.00266500425401704,0.0001,103447.285557548,60566.671199184,23,0.8,0.01,1e-05,3.53922923619102,0.0403904886322321,5.99809101258936,thai
9,36,0.794143868487058,2358.93061906239,0.435755295232312,92.0223001397823,0.00263168290366061,0.0001,94525.7933450162,62313.2384711879,23,0.8,0.01,1e-05,2.54572822687652,0.00421379032900201,8.99227997912454,thai
10,36,-0.620389432800693,1578.56165345021,0.4345159049312,96.2525867256689,0.00331616487375852,0.0001,93342.305106778,20016.6693766087,23,0.8,0.01,1e-05,1.01280607821564,0.0129869876464569,4.56332420623493,thai
1,37,-4.36136856539533,0.0127600094718227,0.226634224396728,134.229050287714,0.0389448983319383,0.0001,72999.2859010689,21768.9804437029,23,0.8,0.01,1e-05,1.48388024389031,0.0230311632078886,2.11134694039416,thai
2,37,-9.90062221968053,0.473458336506707,0.407829796121808,162.093527721975,0.0285379972358637,0.0001,68650.148180967,37335.0456101742,23,0.8,0.01,1e-05,1.39046081658769,0.0214132587309714,1.03013552243506,thai
3,37,-4.7243371582062,8.05652868296075,0.254550606461241,149.231669019914,0.0314159496137775,0.0001,71593.7423118887,32048.9283440773,23,0.8,0.01,1e-05,3.30138570113801,0.0587246351761828,1.35932310993958,thai
4,37,-6.85399957166326,0.000316487009453272,0.694388435470304,144.71199574106,0.0333229849860217,0.0001,69403.6564841615,29084.7283693536,23,0.8,0.01,1e-05,1.88771596914436,0.0739155167289796,14.6310431331509,thai
5,37,-3.23900166622754,0.0292060823217748,0.492734333945355,195.893691208898,0.0477685440549884,0.0001,43265.4793080173,14622.9866305342,23,0.8,0.01,1e-05,1.49996615295429,0.0126227097411256,29.8560078154024,thai
6,37,-1.56515614967915,4.05774628486935,0.245553236800753,238.535565304657,0.0521467864573849,0.0001,34639.1269135547,16794.9660045967,23,0.8,0.01,1e-05,0.5113803797746,0.0121130942585026,4.40063533867843,thai
7,37,-1.99909375002105,0.0679805522682471,0.419206316414722,244.299165866836,0.0525272897479353,0.0001,31025.7966307424,35679.0155320898,23,0.8,0.01,1e-05,1.98849845270585,0.0435096420085098,27.2056261155429,thai
