rep,id,eta_initT,eta_aS,eta_r,eta_K,eta_tau,eta_Bt0,eta_pP,eta_pU,eta_g,eta_dI,eta_k,eta_aE,eta_w,eta_dE,eta_E50,data
1,35,-11.3342402482105,1.30009990980006,-0.244720616862227,-0.547574732414984,0.819692116196873,0,-0.264353596090466,-1.61611864588125,0,0,0,0,0.330046757809064,-1.27815240336519,0.0485364036072673,thai
2,35,-7.4113894355788,-6.44838123681938,0.211192440877095,-0.481469583147166,0.859208354446294,0,-0.10907146739502,-2.22309181054452,0,0,0,0,-0.0153349063418509,-1.14887875672228,-0.0204954396155784,thai
3,35,-7.94240169572968,-2.39574326449198,-0.71306391770026,-0.605252811476459,0.864225141483663,0,-0.132111917982301,-1.24556579004549,0,0,0,0,-0.435794545173394,-1.09338694401608,-0.0231660281728427,thai
4,35,-12.6167441747803,-2.11573295857094,-1.14270740865883,-0.742397063506506,0.76258276960802,0,-0.0212486687404146,-1.68834821622068,0,0,0,0,-0.743272386549267,1.26896892527663,-0.00135493409758555,thai
5,35,-10.6402169556361,-10.7866224880788,0.610458590654173,-0.452579005656646,0.448197201115287,0,0.0972894232002268,-1.01095423547172,0,0,0,0,-0.457391027705838,-1.57186972719062,-0.727564537365,thai
6,35,-6.84800777844762,-6.06186087627537,0.45466473607162,-0.309432971023168,0.346035033924352,0,0.149392661442953,-1.63055253531717,0,0,0,0,0.266998963806706,-0.759548589728783,-0.173565174752131,thai
7,35,-8.35206672645196,4.30837717026252,-0.236077262692277,-0.352341280325666,0.353774037117753,0,0.0784250987890644,-1.6470719371409,0,0,0,0,-0.0491197635294735,-0.994179489889632,-1.57443237401775,thai
8,35,-3.74894647458102,-4.48333782092762,0.957512053742889,0.0580419195308152,0.470670633785286,0,-0.146157137480963,-0.325236730674407,0,0,0,0,0.688755865655174,-1.26585542327503,1.00183847458993,thai
9,35,-6.13857908115991,-5.03541466072878,0.673358531675551,0.104651831959128,0.686962746692954,0,-0.449861673924453,-0.82145999227179,0,0,0,0,0.199508145224275,-2.14066457265515,-0.240911518635756,thai
10,35,-9.83930203208691,4.30926711216996,1.00904582226049,0.49310159230577,0.863074999316758,0,-0.612976955554021,-1.42675364184183,0,0,0,0,0.352619068924528,-1.69960029827103,-0.459625322760133,thai
1,36,1.19424455900412,13.3183743215002,-0.0961307825724018,-0.254099287663776,-3.38763659965987,0,0.381383094526285,0.759524577567202,0,0,0,0,-0.372519498765468,0.54345871576459,1.33182259552544,thai
2,36,1.1346740163053,13.3183743215002,0.0401200794977898,-0.287842805453426,-3.29282174833988,0,0.372571187377995,1.28428765377586,0,0,0,0,-0.121498205905399,-0.226612386119972,-0.165569601223162,thai
3,36,1.12585703882438,13.1321480872529,0.0577724672970469,-0.288847524245173,-3.25681642473632,0,0.443702064660498,-0.00606290259281023,0,0,0,0,0.972052938961376,-0.0978392817943335,0.922983681559166,thai
4,36,1.21358265065851,12.9038499814624,0.0261771326871,-0.470933242214081,-3.217299521968,0,0.59959663152297,1.33329415762072,0,0,0,0,-0.417990877652428,1.58669030776568,0.310325592290233,thai
5,36,1.16283706278364,12.5951954792682,0.0406463070676707,-0.39392182059632,-3.01845628577648,0,0.536916782312203,0.457049294171048,0,0,0,0,-0.51344566170961,1.25631198144607,-0.67130251943572,thai
6,36,1.16283706278364,12.8591455112506,0.442971121718726,-0.302151805701324,-3.10864100160718,0,0.621994279888768,1.08019238410643,0,0,0,0,-0.68014757448557,0.328764961607037,0.0984508101443776,thai
7,36,1.16283706278364,12.8591455112506,0.417359281525066,-0.328674015955841,-3.18758010086702,0,0.718977701700292,0.205824594359968,0,0,0,0,1.93728546154323,0.0683557844409461,-0.192783183865343,thai
8,36,1.08495367550745,12.4401910894091,0.418278660639271,-0.427562137974257,-2.93181735155758,0,0.727039159246099,0.191721756141035,0,0,0,0,1.26390897354955,0.702862053799898,-0.51114383895951,thai
9,36,0.794143868487058,12.3711338537985,0.245495637324899,-0.402219187326625,-2.94439947655566,0,0.636849737278621,0.220150893315958,0,0,0,0,0.934416749298708,-1.55736971522333,-0.106218663858959,thai
10,36,-0.620389432800693,11.969439551475,0.24264735017307,-0.35727427994834,-2.71321404871608,0,0.62425043059722,-0.915457610186003,0,0,0,0,0.0127247737875105,-0.431784367650259,-0.784533742458404,thai
1,37,-4.36136856539533,0.243730927228185,-0.408247827400716,-0.0247024566134846,-0.249875221614571,0,0.378426653495261,-0.83153696436507,0,0,0,0,0.394660443301795,0.141115947378636,-1.555258988795,thai
2,37,-9.90062221968053,3.85747882527856,0.179264722000425,0.16392337243075,-0.560786569777861,0,0.317000285282661,-0.292090559294665,0,0,0,0,0.329635214926044,0.0682780234893275,-2.27289472422809,thai
3,37,-4.7243371582062,6.69165296523924,-0.292085536168255,0.081249796265562,-0.464707291993248,0,0.358984666840385,-0.44475925962276,0,0,0,0,1.1943422897709,1.07712704456101,-1.99559823042617,thai
