initT_abscissa,initT_cdf,aS_abscissa,aS_cdf,dS_abscissa,dS_cdf,lBt0_abscissa,lBt0_cdf,lk_abscissa,lk_cdf,lae_abscissa,lae_cdf,lw_abscissa,lw_cdf,dE_abscissa,dE_cdf,split
-21.245,0.00196078,11.6908,0,0.00614518,0,-5.12278,0,-6.15567,0,-1.61059,0,0.780026,0.00196078,0.0169513,0,All
-20.6963,0.00392157,14.3031,0.00196078,0.00799189,0.00196078,-4.96156,0.00196078,-6.15288,0.00196078,-1.48864,0.00196078,1.50066,0.00392157,0.019487,0.00196078,All
-19.5161,0.00588235,14.4273,0.00392157,0.00805733,0.00392157,-4.96128,0.00392157,-5.97069,0.00392157,-1.44789,0.00392157,1.5306,0.00588235,0.0201698,0.00392157,All
-19.49,0.00784314,14.5517,0.00588235,0.008089,0.00588235,-4.96025,0.00588235,-5.91995,0.00588235,-1.42688,0.00588235,1.5689,0.00784314,0.020799,0.00588235,All
-18.1081,0.00980392,14.5765,0.00784314,0.00811897,0.00784314,-4.95938,0.00784314,-5.90832,0.00784314,-1.41477,0.00784314,1.6506,0.00980392,0.0218756,0.00784314,All
-17.9016,0.0117647,14.5859,0.00980392,0.00813274,0.00980392,-4.95844,0.00980392,-5.90079,0.00980392,-1.29651,0.00980392,1.65224,0.0117647,0.0223496,0.00980392,All
-17.7087,0.0137255,14.6635,0.0117647,0.00813557,0.0117647,-4.95815,0.0117647,-5.88544,0.0117647,-1.27384,0.0117647,1.77039,0.0137255,0.0226224,0.0117647,All
-17.3908,0.0156863,14.6646,0.0137255,0.00813866,0.0137255,-4.95763,0.0137255,-5.87498,0.0137255,-1.26735,0.0137255,1.77476,0.0156863,0.0226398,0.0137255,All
-17.1704,0.0176471,14.6879,0.0156863,0.00818218,0.0156863,-4.95662,0.0156863,-5.86969,0.0156863,-1.26076,0.0156863,1.82114,0.0176471,0.0228229,0.0156863,All
-17.091,0.0196078,14.697,0.0176471,0.00819633,0.0176471,-4.95656,0.0176471,-5.85086,0.0176471,-1.21232,0.0176471,1.82376,0.0196078,0.0235773,0.0176471,All
-16.8888,0.0215686,14.7105,0.0196078,0.00821642,0.0196078,-4.9563,0.0196078,-5.83565,0.0196078,-1.1859,0.0196078,1.99001,0.0215686,0.0241406,0.0196078,All
-16.6072,0.0235294,14.7157,0.0215686,0.00821763,0.0215686,-4.95556,0.0215686,-5.79288,0.0215686,-1.18533,0.0215686,2.06953,0.0235294,0.0241428,0.0215686,All
-16.2761,0.0254902,14.7199,0.0235294,0.00823609,0.0235294,-4.95551,0.0235294,-5.78549,0.0235294,-1.17505,0.0235294,2.08301,0.0254902,0.0242654,0.0235294,All
-16.2385,0.027451,14.7531,0.0254902,0.00824593,0.0254902,-4.95528,0.0254902,-5.76623,0.0254902,-1.16915,0.0254902,2.08552,0.027451,0.024533,0.0254902,All
-16.1813,0.0294118,14.7586,0.027451,0.00827346,0.027451,-4.95467,0.027451,-5.73983,0.027451,-1.16181,0.027451,2.10861,0.0294118,0.0246463,0.027451,All
-16.054,0.0313725,14.7658,0.0294118,0.0082939,0.0294118,-4.95447,0.0294118,-5.73615,0.0294118,-1.14315,0.0294118,2.12893,0.0313725,0.0249344,0.0294118,All
-16.0306,0.0333333,14.7682,0.0313725,0.00831059,0.0313725,-4.9544,0.0313725,-5.70113,0.0313725,-1.12891,0.0313725,2.13043,0.0333333,0.0251744,0.0313725,All
-15.8698,0.0352941,14.7682,0.0333333,0.00832881,0.0333333,-4.95414,0.0333333,-5.69269,0.0333333,-1.12482,0.0333333,2.1486,0.0352941,0.025344,0.0333333,All
-15.7475,0.0372549,14.7783,0.0352941,0.00833321,0.0352941,-4.95414,0.0352941,-5.6862,0.0352941,-1.10898,0.0352941,2.1618,0.0372549,0.0255186,0.0352941,All
-15.7417,0.0392157,14.779,0.0372549,0.00834534,0.0372549,-4.95409,0.0372549,-5.68414,0.0372549,-1.09792,0.0372549,2.17362,0.0392157,0.0256223,0.0372549,All
-15.7151,0.0411765,14.7836,0.0392157,0.00835088,0.0392157,-4.95385,0.0392157,-5.67774,0.0392157,-1.09342,0.0392157,2.17556,0.0411765,0.0256562,0.0392157,All
-15.6358,0.0431373,14.7878,0.0411765,0.00835366,0.0411765,-4.95383,0.0411765,-5.64941,0.0411765,-1.07214,0.0411765,2.17981,0.0431373,0.0261364,0.0411765,All
-15.5018,0.045098,14.7895,0.0431373,0.00835402,0.0431373,-4.95364,0.0431373,-5.61721,0.0431373,-1.0655,0.0431373,2.20051,0.045098,0.026232,0.0431373,All
