rep,id_var,initT_simulated,aS_simulated,dS_simulated,lBt0_simulated,lk_simulated,lae_simulated,lw_simulated,dE_simulated,eta_initT_simulated,eta_aS_simulated,eta_dS_simulated,eta_lBt0_simulated,eta_lk_simulated,eta_lae_simulated,eta_lw_simulated,eta_dE_simulated,data,split,color,filter
1,35,-15.3832,-5.40772,2.74604,0.0181847,-4.73733,-0.0166572,-2.99573,0,-4.95844,-0.0190397,4.6,0,-0.105361,0,-4.24925,0.543684,thai,All,#4682B4,0
2,35,-11.7684,-1.79296,2.74276,0.0149033,-4.73899,-0.0183202,-2.99573,0,-4.92771,0.0116922,4.6,0,-0.105361,0,-4.53091,0.262018,thai,All,#4682B4,0
3,35,-14.2785,-4.30306,2.68006,-0.0477953,-4.73423,-0.0135597,-2.99573,0,-4.93884,0.000561906,4.6,0,-0.105361,0,-5.24216,-0.449226,thai,All,#4682B4,0
4,35,-14.4754,-4.49996,2.72829,0.000434627,-4.694,0.0266727,-2.99573,0,-4.93151,0.00789697,4.6,0,-0.105361,0,-4.86869,-0.0757564,thai,All,#4682B4,0
5,35,-10.7266,-0.751175,2.7314,0.00355001,-4.7814,-0.0607253,-2.99573,0,-4.93406,0.00533918,4.6,0,-0.105361,0,-4.4866,0.306336,thai,All,#4682B4,0
6,35,-12.7499,-2.77442,2.76151,0.0336537,-4.7653,-0.0446299,-2.99573,0,-4.93756,0.00184118,4.6,0,-0.105361,0,-3.84147,0.951459,thai,All,#4682B4,0
7,35,-13.4442,-3.46869,2.70003,-0.0278183,-4.72332,-0.00264479,-2.99573,0,-4.92893,0.0104703,4.6,0,-0.105361,0,-4.54263,0.250301,thai,All,#4682B4,0
8,35,-16.6072,-6.63175,2.72508,-0.0027737,-4.67966,0.0410143,-2.99573,0,-4.94511,-0.00570704,4.6,0,-0.105361,0,-4.32503,0.467908,thai,All,#4682B4,0
9,35,-14.1737,-4.19826,2.7166,-0.0112532,-4.74117,-0.0205005,-2.99573,0,-4.93413,0.00527622,4.6,0,-0.105361,0,-4.60753,0.1854,thai,All,#4682B4,0
10,35,-13.8703,-3.89479,2.74562,0.0177688,-4.72764,-0.00697035,-2.99573,0,-4.9392,0.000206298,4.6,0,-0.105361,0,-5.68414,-0.89121,thai,All,#4682B4,0
1,36,-5.4261,4.54938,2.73712,0.00926699,-4.7312,-0.0105285,-2.99573,0,-4.94023,-0.00082842,4.6,0,-0.105361,0,-4.21859,0.574342,thai,All,#4682B4,0
2,36,-4.79567,5.1798,2.72843,0.000574264,-4.71484,0.00583288,-2.99573,0,-4.92969,0.00970994,4.6,0,-0.105361,0,-4.06939,0.72354,thai,All,#4682B4,0
3,36,-5.63884,4.33664,2.73107,0.00321607,-4.73332,-0.0126511,-2.99573,0,-4.94874,-0.00933961,4.6,0,-0.105361,0,-3.93301,0.859926,thai,All,#4682B4,0
4,36,-4.8254,5.15007,2.72504,-0.00281514,-4.72513,-0.00445965,-2.99573,0,-4.94685,-0.00744365,4.6,0,-0.105361,0,-3.54894,1.24399,thai,All,#4682B4,0
5,36,-5.54847,4.427,2.71178,-0.0160696,-4.6855,0.0351707,-2.99573,0,-4.94302,-0.00362027,4.6,0,-0.105361,0,-4.42312,0.369816,thai,All,#4682B4,0
6,36,-5.21565,4.75983,2.74241,0.014561,-4.68331,0.0373644,-2.99573,0,-4.94845,-0.00905021,4.6,0,-0.105361,0,-4.24104,0.551894,thai,All,#4682B4,0
7,36,-3.98932,5.98615,2.73123,0.00337872,-4.71813,0.00254138,-2.99573,0,-4.92209,0.0173114,4.6,0,-0.105361,0,-5.06674,-0.273805,thai,All,#4682B4,0
8,36,-7.92777,2.0477,2.66048,-0.0673752,-4.69017,0.0304974,-2.99573,0,-4.93805,0.00135672,4.6,0,-0.105361,0,-4.33889,0.454041,thai,All,#4682B4,0
9,36,-5.67441,4.30106,2.72817,0.000318202,-4.69762,0.0230495,-2.99573,0,-4.95414,-0.0147402,4.6,0,-0.105361,0,-3.91887,0.87406,thai,All,#4682B4,0
10,36,-4.15599,5.81948,2.75317,0.0253175,-4.75317,-0.0324979,-2.99573,0,-4.95211,-0.0127119,4.6,0,-0.105361,0,-4.80625,-0.0133123,thai,All,#4682B4,0
1,37,-12.1412,-2.16568,2.71027,-0.0175863,-4.71113,0.00954468,-2.99573,0,-4.93662,0.00278623,4.6,0,-0.105361,0,-5.02186,-0.228931,thai,All,#4682B4,0
2,37,-12.5369,-2.56144,2.72887,0.00102266,-4.7077,0.0129666,-2.99573,0,-4.94456,-0.00515591,4.6,0,-0.105361,0,-4.69151,0.101421,thai,All,#4682B4,0
3,37,-12.789,-2.81349,2.7277,-0.000153076,-4.71796,0.00271366,-2.99573,0,-4.94734,-0.00794164,4.6,0,-0.105361,0,-4.33721,0.455723,thai,All,#4682B4,0
4,37,-13.0056,-3.03014,2.71425,-0.0135997,-4.73086,-0.0101938,-2.99573,0,-4.95528,-0.0158763,4.6,0,-0.105361,0,-4.6143,0.178633,thai,All,#4682B4,0
5,37,-12.9771,-3.00158,2.73372,0.00587114,-4.70569,0.0149825,-2.99573,0,-4.93878,0.000627357,4.6,0,-0.105361,0,-5.13735,-0.344412,thai,All,#4682B4,0
6,37,-9.93903,0.0364472,2.72606,-0.00179558,-4.72922,-0.00854746,-2.99573,0,-4.93606,0.00334022,4.6,0,-0.105361,0,-5.07204,-0.279106,thai,All,#4682B4,0
7,37,-10.7356,-0.760148,2.74351,0.0156602,-4.7744,-0.0537321,-2.99573,0,-4.94121,-0.0018117,4.6,0,-0.105361,0,-5.88544,-1.09251,thai,All,#4682B4,0
8,37,-12.8457,-2.87023,2.69513,-0.0327253,-4.70872,0.0119472,-2.99573,0,-4.93067,0.00873351,4.6,0,-0.105361,0,-4.67173,0.1212,thai,All,#4682B4,0
9,37,-13.9387,-3.96322,2.72644,-0.00141621,-4.67059,0.0500826,-2.99573,0,-4.92314,0.0162611,4.6,0,-0.105361,0,-4.08553,0.707405,thai,All,#4682B4,0
10,37,-9.28758,0.687895,2.70885,-0.0189985,-4.78427,-0.0636036,-2.99573,0,-4.92514,0.0142618,4.6,0,-0.105361,0,-5.07219,-0.279257,thai,All,#4682B4,0
1,38,-10.3093,-0.333807,2.72973,0.00187518,-4.74179,-0.0211192,-2.99573,0,-4.93372,0.00568533,4.6,0,-0.105361,0,-4.8851,-0.092165,thai,All,#4682B4,0
2,38,-12.3428,-2.36736,2.7166,-0.0112539,-4.71385,0.00682083,-2.99573,0,-4.93697,0.00243736,4.6,0,-0.105361,0,-4.09091,0.702027,thai,All,#4682B4,0
3,38,-9.31176,0.663717,2.7075,-0.0203493,-4.76596,-0.0452905,-2.99573,0,-4.92713,0.0122746,4.6,0,-0.105361,0,-5.04168,-0.248745,thai,All,#4682B4,0
4,38,-10.0772,-0.101707,2.7698,0.0419518,-4.68107,0.0396008,-2.99573,0,-4.93847,0.000928159,4.6,0,-0.105361,0,-4.51848,0.274452,thai,All,#4682B4,0
5,38,-8.99927,0.976209,2.74528,0.0174297,-4.7357,-0.0150297,-2.99573,0,-4.94137,-0.00197173,4.6,0,-0.105361,0,-5.73983,-0.946898,thai,All,#4682B4,0
6,38,-10.4416,-0.466118,2.74645,0.0185951,-4.73342,-0.0127533,-2.99573,0,-4.94535,-0.00595078,4.6,0,-0.105361,0,-4.621,0.171933,thai,All,#4682B4,0
7,38,-10.6086,-0.633141,2.71743,-0.0104194,-4.70969,0.0109807,-2.99573,0,-4.92873,0.0106718,4.6,0,-0.105361,0,-4.76327,0.0296641,thai,All,#4682B4,0
8,38,-14.7014,-4.72588,2.71026,-0.0175955,-4.67482,0.0458476,-2.99573,0,-4.95287,-0.0134709,4.6,0,-0.105361,0,-4.55268,0.240249,thai,All,#4682B4,0
9,38,-10.0203,-0.0448662,2.74011,0.0122559,-4.72662,-0.00595288,-2.99573,0,-4.93628,0.00312329,4.6,0,-0.105361,0,-4.52726,0.265676,thai,All,#4682B4,0
10,38,-8.35632,1.61915,2.7518,0.02395,-4.74148,-0.0208049,-2.99573,0,-4.93269,0.00671728,4.6,0,-0.105361,0,-3.88917,0.903763,thai,All,#4682B4,0
1,39,-6.09852,3.87695,2.73848,0.010625,-4.72024,0.00042984,-2.99573,0,-4.94549,-0.00608599,4.6,0,-0.105361,0,-5.07985,-0.286922,thai,All,#4682B4,0
2,39,-8.06932,1.90615,2.76195,0.0340947,-4.65952,0.0611479,-2.99573,0,-4.95938,-0.0199735,4.6,0,-0.105361,0,-4.91168,-0.118752,thai,All,#4682B4,0
3,39,-7.9982,1.97728,2.70897,-0.0188848,-4.70448,0.0161879,-2.99573,0,-4.94256,-0.00315774,4.6,0,-0.105361,0,-4.9032,-0.110264,thai,All,#4682B4,0
4,39,-8.6153,1.36017,2.71003,-0.0178254,-4.59613,0.124543,-2.99573,0,-4.9379,0.00149821,4.6,0,-0.105361,0,-5.18778,-0.394845,thai,All,#4682B4,0
5,39,-6.38072,3.59475,2.73789,0.010042,-4.68219,0.0384848,-2.99573,0,-4.94028,-0.000872609,4.6,0,-0.105361,0,-4.53827,0.254667,thai,All,#4682B4,0
6,39,-7.85739,2.11808,2.74037,0.0125156,-4.69163,0.0290449,-2.99573,0,-4.94719,-0.00779038,4.6,0,-0.105361,0,-4.00343,0.789504,thai,All,#4682B4,0
7,39,-8.81493,1.16055,2.70067,-0.0271846,-4.71948,0.0011912,-2.99573,0,-4.94647,-0.00706275,4.6,0,-0.105361,0,-4.57364,0.219292,thai,All,#4682B4,0
8,39,-6.11381,3.86166,2.71578,-0.0120677,-4.70257,0.0181051,-2.99573,0,-4.93355,0.00585398,4.6,0,-0.105361,0,-4.80907,-0.0161346,thai,All,#4682B4,0
9,39,-12.0317,-2.05619,2.6892,-0.0386525,-4.64236,0.0783119,-2.99573,0,-4.94828,-0.00887584,4.6,0,-0.105361,0,-4.49208,0.300854,thai,All,#4682B4,0
10,39,-6.83213,3.14334,2.72784,-1.58203e-05,-4.74429,-0.0236245,-2.99573,0,-4.95656,-0.0171555,4.6,0,-0.105361,0,-4.63621,0.156724,thai,All,#4682B4,0
1,40,-14.6035,-4.62798,2.73748,0.00963172,-4.69815,0.0225234,-2.99573,0,-4.94326,-0.0038533,4.6,0,-0.105361,0,-4.79122,0.00171494,thai,All,#4682B4,0
2,40,-12.7327,-2.75725,2.74804,0.0201837,-4.69365,0.0270245,-2.99573,0,-4.94584,-0.00643946,4.6,0,-0.105361,0,-4.52236,0.270574,thai,All,#4682B4,0
3,40,-8.85564,1.11983,2.73249,0.00463898,-4.74713,-0.0264593,-2.99573,0,-4.91688,0.0225226,4.6,0,-0.105361,0,-4.33203,0.460901,thai,All,#4682B4,0
