popPred_spline_abscissa,popPred_spline,popPred_ciAbscissa,popPred_piLower,popPred_piUpper,indivPred_spline_abscissa,indivPred_spline,indivPred_ciAbscissa,indivPred_piLower,indivPred_piUpper,split
3.54543,2.95045,3.54543,2.78416,4.30671,0.944229,0.959487,0.944229,0.268722,1.61974,All
3.58975,2.87659,3.58975,2.82701,4.35248,0.98363,0.992241,0.98363,0.306824,1.66044,All
3.60648,2.86345,3.60648,2.84319,4.36977,1.02468,1.02636,1.02468,0.346516,1.70283,All
3.63461,2.8571,3.63461,2.87039,4.39883,1.06743,1.06191,1.06743,0.387864,1.747,All
3.66752,2.84967,3.66752,2.90222,4.43282,1.07117,1.06501,1.07117,0.391476,1.75086,All
3.68004,2.84684,3.68004,2.91432,4.44575,1.11198,1.09893,1.11198,0.430937,1.79301,All
3.72603,2.88557,3.72603,2.9588,4.49326,1.15838,1.139,1.15838,0.475808,1.84094,All
3.72856,2.88878,3.72856,2.96125,4.49588,1.19811,1.17355,1.19811,0.514231,1.88199,All
3.7726,2.94998,3.7726,3.00384,4.54137,1.20671,1.18103,1.20671,0.522552,1.89087,All
3.78961,2.98276,3.78961,3.02028,4.55893,1.25707,1.22542,1.25707,0.571245,1.94289,All
3.81975,3.04089,3.81975,3.04943,4.59007,1.30952,1.27236,1.30952,0.621971,1.99707,All
3.85065,3.10482,3.85065,3.07931,4.62199,1.32505,1.28626,1.32505,0.636985,2.01311,All
3.86749,3.14306,3.86749,3.0956,4.63939,1.36417,1.3216,1.36417,0.674813,2.05352,All
3.91169,3.24552,3.91169,3.13834,4.68505,1.42109,1.37374,1.42109,0.729861,2.11232,All
3.91583,3.25511,3.91583,3.14234,4.68932,1.45199,1.40229,1.45199,0.75974,2.14424,All
3.96477,3.36855,3.96477,3.18967,4.73988,1.48039,1.42868,1.48039,0.787205,2.17358,All
3.97274,3.38701,3.97274,3.19737,4.7481,1.54216,1.48651,1.54216,0.846943,2.23739,All
4.01433,3.47456,4.01433,3.23759,4.79106,1.57893,1.5212,1.57893,0.882494,2.27536,All
4.03378,3.51418,4.03378,3.2564,4.81116,1.60652,1.54734,1.60652,0.909173,2.30386,All
4.0645,3.56432,4.0645,3.28611,4.84289,1.67355,1.61129,1.67355,0.973999,2.37311,All
4.09482,3.60683,4.09482,3.31543,4.87421,1.70587,1.64228,1.70587,1.00525,2.40649,All
4.1153,3.63553,4.1153,3.33523,4.89536,1.74339,1.67839,1.74339,1.04153,2.44525,All
4.15587,3.67671,4.15587,3.37446,4.93727,1.81614,1.74878,1.81614,1.11188,2.52039,All
4.16673,3.68664,4.16673,3.38497,4.94849,1.83281,1.76497,1.83281,1.128,2.53761,All
4.21691,3.727,4.21691,3.43349,5.00033,1.89192,1.8225,1.89192,1.18517,2.59868,All
4.21881,3.72814,4.21881,3.43533,5.00229,1.95975,1.88873,1.95975,1.25076,2.66874,All
4.27154,3.75963,4.27154,3.48632,5.05676,1.97087,1.8996,1.97087,1.26151,2.68023,All
4.27795,3.76302,4.27795,3.49252,5.06338,2.05311,1.9801,2.05311,1.34104,2.76518,All
4.32492,3.78787,4.32492,3.53795,5.1119,2.08669,2.01299,2.08669,1.37351,2.79987,All
