iteration,convergenceIndicator,phase,a,aS_pop,b,dE_pop,dS_pop,initT_pop,lBt0_pop,lae_pop,lk_pop,lw_pop,omega_aS,omega_dE,omega_dS,omega_initT,omega_lBt0,omega_lae,omega_lk,omega_lw
1,1743,1,0.515053,15.808,0.3,0.237323,0.00864434,-9.24501,-4.92068,-0.785652,-4.38773,2.97492,0.0230689,1.65865,0.0846017,0.643092,0.0080311,1.21241,0.276747,0.965077
2,1709.55,1,0.4893,15.7254,0.285,0.160143,0.0086934,-9.12406,-4.92114,-0.609708,-4.40471,3.12027,0.0224848,1.61665,0.0911892,0.670462,0.00782775,1.28906,0.277304,0.940641
3,1645.18,1,0.464835,15.641,0.27075,0.210739,0.00881493,-9.03107,-4.92059,-1.03387,-4.37111,3.19618,0.0219155,1.57694,0.0908733,0.725118,0.00781319,1.25642,0.270283,0.916823
4,1565.74,1,0.441594,15.6194,0.257212,0.189114,0.00901976,-9.11327,-4.92201,-0.993559,-4.32642,3.32394,0.0213605,1.54403,0.0983206,0.706758,0.00761535,1.22461,0.263439,0.893609
5,1564.63,1,0.419514,15.632,0.244352,0.261342,0.00913563,-9.17872,-4.92312,-0.832766,-4.27788,3.29105,0.0208197,1.64587,0.0958311,0.703687,0.00746102,1.1936,0.291364,0.94114
6,1494.84,1,0.398538,15.6117,0.232134,0.282568,0.00914345,-9.19598,-4.92511,-0.984624,-4.25662,3.4461,0.0211834,1.6042,0.0984584,0.707625,0.00768972,1.16338,0.283986,0.91731
7,1418.53,1,0.378611,15.6372,0.220528,0.307925,0.00925872,-9.1064,-4.92657,-1.22146,-4.2257,3.6251,0.0212409,1.56358,0.0959654,0.760948,0.00749502,1.13392,0.290387,0.894083
8,1385.89,1,0.359681,15.7574,0.209501,0.285875,0.00931183,-8.97278,-4.92684,-1.2274,-4.19625,3.53601,0.0207031,1.52399,0.10534,0.741681,0.00844345,1.10521,0.295071,0.871444
9,1278.02,1,0.341697,15.7737,0.199026,0.262739,0.00925229,-9.01677,-4.92633,-1.28466,-4.153,3.52729,0.0201789,1.4854,0.102673,0.722901,0.00822966,1.07722,0.2876,0.849379
10,1259.53,1,0.324612,15.7229,0.189075,0.267585,0.00923473,-8.87516,-4.92587,-1.63771,-4.13278,3.5871,0.0196679,1.44779,0.100073,0.704597,0.0085642,1.04995,0.280318,0.879458
11,1255.28,1,0.308381,15.7477,0.179621,0.254384,0.00937413,-8.83994,-4.92551,-2.10542,-4.17049,3.4296,0.0204856,1.41113,0.097539,0.688889,0.00834735,1.02336,0.311583,0.987264
12,1240.02,1,0.292962,15.7012,0.17064,0.244868,0.00927549,-8.80265,-4.92654,-2.24117,-4.05162,3.32331,0.0240213,1.3754,0.0950693,0.823891,0.00874301,1.00458,0.303693,1.00235
13,1233.16,1,0.278314,15.7616,0.162108,0.195283,0.00928917,-8.84746,-4.92664,-2.21358,-4.08182,3.45432,0.0290851,1.34057,0.0926621,0.928148,0.00944891,0.979139,0.296004,0.976969
14,1198.52,1,0.264398,15.8494,0.154003,0.21025,0.00940019,-8.689,-4.92724,-2.12967,-4.04837,3.26995,0.0283486,1.30663,0.0983458,1.01034,0.00974551,0.954347,0.311289,0.952232
15,1172,1,0.251178,15.8739,0.146302,0.208863,0.00939122,-8.72005,-4.92435,-2.02663,-4.05744,3.18625,0.0276308,1.27354,0.0958557,0.984762,0.0104365,0.930182,0.323576,0.928121
16,1125.42,1,0.23862,15.9239,0.138987,0.198888,0.00936457,-8.74951,-4.9229,-2.27116,-4.13506,3.15282,0.0269312,1.2413,0.0934285,0.959827,0.0102138,0.909165,0.355766,0.90462
17,1070.67,1,0.226689,15.9552,0.132038,0.191661,0.00944821,-8.80349,-4.92155,-2.43401,-4.21772,3.20863,0.0262493,1.29925,0.0910629,0.961356,0.00995521,0.886144,0.346758,0.881715
18,1038.1,1,0.215354,15.974,0.125436,0.18299,0.00952121,-8.75637,-4.92124,-2.5521,-4.19609,3.20118,0.0287234,1.26635,0.0887571,0.937014,0.00970313,0.973606,0.370634,0.859389
19,1060.76,1,0.204586,16.054,0.119164,0.177518,0.00935692,-8.77962,-4.92307,-2.42614,-4.22285,3.19592,0.0291528,1.23429,0.0865097,0.969473,0.0103178,1.04534,0.361249,0.849952
20,1035.49,1,0.194357,15.9777,0.113206,0.208811,0.00939694,-8.83873,-4.92229,-2.44225,-4.29794,3.15939,0.0309864,1.28787,0.0843193,0.944925,0.0100566,1.17513,0.35768,0.92657
21,987.512,1,0.184639,15.946,0.107546,0.175352,0.00945718,-8.94174,-4.91987,-2.56685,-4.25424,3.11051,0.0330083,1.25526,0.0864083,0.920999,0.0105353,1.14537,0.348623,0.904963
22,955.349,1,0.175407,15.8671,0.102168,0.174253,0.00940164,-8.87482,-4.91963,-2.48523,-4.23853,3.07692,0.0337924,1.22347,0.0894118,0.897679,0.0102686,1.11637,0.367206,0.882048
23,973.383,1,0.166637,15.8392,0.0970601,0.170133,0.00942994,-8.95102,-4.91862,-2.46593,-4.23899,3.07778,0.0352076,1.1925,0.0926316,0.93294,0.0101381,1.22643,0.389457,0.863654
24,942.643,1,0.158305,15.822,0.0922071,0.181726,0.00941835,-9.00269,-4.91918,-2.2896,-4.3009,3.13364,0.0343161,1.1623,0.104446,0.923358,0.0103426,1.19538,0.404831,0.892637
25,961.14,1,0.15039,15.7929,0.0875967,0.16929,0.00933072,-9.01406,-4.9201,-2.12188,-4.3255,3.14264,0.0334472,1.14598,0.101802,0.965895,0.0100807,1.16511,0.435902,0.927276
26,928.908,1,0.395321,15.8421,0.0333082,0.185798,0.00929784,-8.75856,-4.92039,-2.08992,-4.38244,3.18436,0.0342484,1.2278,0.0992241,0.942033,0.0103387,1.2067,0.45316,0.903797
27,964.33,1,0.460136,15.8362,0.0207268,0.185146,0.00938052,-8.64692,-4.92019,-2.25723,-4.34724,3.26937,0.0378475,1.25915,0.101947,1.03387,0.0100769,1.28184,0.441685,0.945033
28,923.637,1,0.524651,15.9373,0.00564956,0.191406,0.00934632,-8.67153,-4.92008,-1.96284,-4.41003,3.21488,0.0368892,1.22727,0.0993658,1.0077,0.0109401,1.24938,0.480959,0.921104
