rep,id,initT,aS,dS,tau,lBt0,lp,dI,lk,lae,f,dp,lw,dE,lI50,data
1,35,-8.14481074660627,17.1048373141429,0.00875580979544791,0.05,-4.90340268976265,4.6,0.9,-4.14531956580307,-0.448539564882464,0.9,0.001,-1.40726542445993,1,1.53440049239777e+17,thai
2,35,-9.31009808474972,16.485258454596,0.0085670797221414,0.05,-4.9168268675054,4.6,0.9,-3.55456625062623,-0.653718761655808,0.9,0.001,-1.56483762071803,1,20.4779596636198,thai
3,35,-10.4222742523497,15.78997406737,0.00884606780595153,0.05,-4.91321663068402,4.6,0.9,-3.5502611872697,-0.673052915154357,0.9,0.001,-1.28980542888437,1,4426.4315742488,thai
4,35,-10.0845879970195,16.6583838257308,0.00880983582223438,0.05,-4.90617810794072,4.6,0.9,-3.62250245643683,-0.111091585363003,0.9,0.001,-1.80811882235251,1,1.04777591756966e+37,thai
5,35,-8.70973852762404,17.0740944826287,0.00844825480749502,0.05,-4.90790063989308,4.6,0.9,-3.9917358585957,0.0814595281840825,0.9,0.001,-1.66505723809346,1,137601.293100696,thai
6,35,-12.5392709273357,15.4932218951655,0.00891119079187569,0.05,-4.91372708643314,4.6,0.9,-4.70342630566389,1.00961922613918,0.9,0.001,-1.88596138537526,1,2.23937254979624e+44,thai
7,35,-12.7718122507601,15.5585758411158,0.00888306994533913,0.05,-4.92328220031502,4.6,0.9,-4.88563332183223,0.830735023622346,0.9,0.001,-1.74717879769118,1,2.58557437583108e+15,thai
8,35,-11.4397968952575,16.3434752178441,0.00906246910328258,0.05,-4.91854733016483,4.6,0.9,-4.55203495062807,0.667540317940729,0.9,0.001,-1.7025837796952,1,3.85240679967663,thai
9,35,-12.5337821609725,16.1495698918244,0.0091992696586294,0.05,-4.9153636084131,4.6,0.9,-3.94882050927413,0.483867445661429,0.9,0.001,-1.88859369027418,1,967.555006720579,thai
10,35,-10.0349758563287,16.6509073605013,0.00873673486087256,0.05,-4.91885444172535,4.6,0.9,-4.30363693287418,0.440241288730107,0.9,0.001,-1.5259954236283,1,21.1591275499131,thai
1,36,-3.09123210640223,16.2007484040741,0.00959476523158607,0.05,-4.90695736929754,4.6,0.9,-3.86977051947029,0.37088881924203,0.9,0.001,0.189241237002169,1,30868883.5510523,thai
2,36,-2.38027273833994,16.3573454023409,0.00907786701823115,0.05,-4.90551784598835,4.6,0.9,-3.95393422598024,0.118243414587525,0.9,0.001,0.505407178185222,1,2.59948831012719e-23,thai
3,36,-1.74342501653727,16.5925959243846,0.00902857397596266,0.05,-4.91290787134364,4.6,0.9,-3.92403521872043,-0.666371152253,0.9,0.001,0.46163696297268,1,5282.91214678439,thai
4,36,-2.02653484775162,16.6480261902504,0.00952761792614954,0.05,-4.9046535020046,4.6,0.9,-5.01063350799601,-0.351146862273152,0.9,0.001,0.310137025576201,1,5.64650820965721e+28,thai
5,36,-3.0761951336769,15.4528049186659,0.00881615826152329,0.05,-4.90387496713222,4.6,0.9,-3.99049145422175,1.06079413116138,0.9,0.001,0.0886052896497569,1,3.67223199555407e-11,thai
6,36,-2.33899070764019,16.3353487556848,0.00912269833773593,0.05,-4.90873751618229,4.6,0.9,-4.07152668061605,0.269455959425184,0.9,0.001,0.488068788247522,1,7.88573100275471e-35,thai
7,36,-1.45214502262057,17.0789466518588,0.00887190607033046,0.05,-4.8999479645844,4.6,0.9,-4.07036211658271,1.7616692495877,0.9,0.001,-0.100464659020354,1,91970228665493.4,thai
8,36,-2.73037646742016,16.0294501321493,0.00888964952523959,0.05,-4.90497332103445,4.6,0.9,-3.55507887887516,0.149675188602156,0.9,0.001,0.210032557170387,1,0.728716736980047,thai
9,36,-2.04211976002537,16.8217493510065,0.00928056908395819,0.05,-4.88658272749764,4.6,0.9,-3.34170764228003,-0.569514246173486,0.9,0.001,0.377141353278038,1,7.3528739797762e-38,thai
10,36,-1.77655508352852,17.1674991183206,0.00886186174142717,0.05,-4.91110765413684,4.6,0.9,-3.48374557052937,0.567760044189341,0.9,0.001,-0.202407429465641,1,1.493842418867e+23,thai
1,37,-6.78882038639148,15.5308820091159,0.00874021503929726,0.05,-4.89972717278152,4.6,0.9,-3.73151410901905,-0.048739999841318,0.9,0.001,-1.81414098437611,1,1199.14614657073,thai
2,37,-8.73499948216666,15.4698640834027,0.00899379401980728,0.05,-4.89725601772139,4.6,0.9,-3.62058183191704,-0.263584839118771,0.9,0.001,-1.76185504729837,1,449110.479099225,thai
3,37,-8.87090195942106,15.5117102994965,0.00877826789198859,0.05,-4.91807997381232,4.6,0.9,-3.23500864300242,0.293530821041796,0.9,0.001,-2.2570935504722,1,502569.556831569,thai
4,37,-5.37062471841759,17.9295440887165,0.00933281936704035,0.05,-4.91329980318562,4.6,0.9,-3.11468595851025,0.173336157162673,0.9,0.001,-2.10230315778826,1,5.82483489077151,thai
5,37,-6.27755725341242,17.524661304267,0.00932070718019666,0.05,-4.91363250141053,4.6,0.9,-3.19680924639981,1.04138835487589,0.9,0.001,-3.22073666034679,1,37269908305013.2,thai
6,37,-11.3075489508881,15.0786671644046,0.00913663809338729,0.05,-4.9204783511638,4.6,0.9,-2.91618681250371,-0.128069512594403,0.9,0.001,-2.11167943887954,1,3025585.38807097,thai
7,37,-12.8058962791782,15.3906203602708,0.00981510980013384,0.05,-4.91671744256556,4.6,0.9,-3.50589992479271,0.081129799170204,0.9,0.001,-1.97863085052664,1,496.118269022713,thai
8,37,-9.09670616080332,16.350694329921,0.00928438467398554,0.05,-4.91209883166373,4.6,0.9,-3.41175664850517,-0.0657639392717609,0.9,0.001,-1.71699464953756,1,5.64216399282811,thai
9,37,-11.037021023753,15.5734256872375,0.00880503891418452,0.05,-4.9306591419994,4.6,0.9,-3.42842234179425,-0.827552345837104,0.9,0.001,-1.42792982913525,1,2309.18445591696,thai
10,37,-8.9267141633407,15.2562583093142,0.00881187508800713,0.05,-4.90565676328132,4.6,0.9,-3.99615635843926,-0.504803419221347,0.9,0.001,-1.36634468358782,1,2.20436834489448e+21,thai
1,38,-11.5175876475177,16.5869156003525,0.00951368110893708,0.05,-4.91887626281793,4.6,0.9,-3.6104015142038,0.268020303429432,0.9,0.001,-0.0498493463321201,1,8.431053834094e-22,thai
2,38,-7.91723989531242,16.2221877573307,0.00891816065335034,0.05,-4.91187861358962,4.6,0.9,-3.66851273615053,0.349163952759025,0.9,0.001,-0.0491240696233883,1,8.68175266038006e-28,thai
3,38,-9.65566791939805,15.1934773494857,0.00887264263035678,0.05,-4.90139311877227,4.6,0.9,-3.66118427373176,-0.268827677354315,0.9,0.001,-0.985795809889953,1,5.68879004929409e-10,thai
4,38,-6.99850659425424,16.8301789141426,0.00891173942986921,0.05,-4.91229413502983,4.6,0.9,-3.74396133217365,0.151403011808046,0.9,0.001,0.0435805458295837,1,5.81105430641747e-26,thai
5,38,-6.56344281304978,17.3853237683727,0.00884298589660972,0.05,-4.91311254566385,4.6,0.9,-3.92489609436335,0.764665849097098,0.9,0.001,-0.170580023533104,1,4.63233154097666e-26,thai
6,38,-7.95673074278306,16.7954497372557,0.00930816560430909,0.05,-4.91184020856308,4.6,0.9,-3.51818656520517,0.552667592036103,0.9,0.001,-0.209610280880302,1,1.20553503824594e-08,thai
