rep,id,eta_initT,eta_aS,eta_dS,eta_tau,eta_lBt0,eta_lp,eta_dI,eta_lk,eta_lae,eta_f,eta_dp,eta_lw,eta_dE,eta_lI50,data
1,35,-3.221832,0.011030,-0.004496,0.000000,-0.005738,0.000000,0.000000,-0.638546,-0.395810,0.000000,0.000000,-0.843053,29.170700,19.098166,thai
1,36,7.183603,0.123439,-0.027789,0.000000,0.011366,0.000000,0.000000,0.200472,0.109588,0.000000,0.000000,0.697392,3.535451,5.140443,thai
1,37,1.935057,0.053987,-0.099410,0.000000,-0.004676,0.000000,0.000000,0.254896,-0.144400,0.000000,0.000000,-1.654335,30.777393,15.851962,thai
1,38,-0.009590,-0.016166,-0.047855,0.000000,0.009759,0.000000,0.000000,-0.264839,0.159753,0.000000,0.000000,0.161935,-2.293174,3.332794,thai
1,39,1.464287,-0.046536,-0.004575,0.000000,0.010522,0.000000,0.000000,0.825487,-0.415085,0.000000,0.000000,0.082699,21.000282,16.924544,thai
1,40,-2.748478,-0.016468,0.001089,0.000000,-0.001603,0.000000,0.000000,0.356482,-0.032139,0.000000,0.000000,-1.431791,-0.727727,9.757825,thai
1,41,3.158386,0.051791,-0.065169,0.000000,-0.005098,0.000000,0.000000,0.325150,-0.171904,0.000000,0.000000,0.636817,1.685374,-4.798255,thai
1,42,1.271873,0.017446,-0.040298,0.000000,-0.004623,0.000000,0.000000,0.776470,0.415563,0.000000,0.000000,-0.375249,10.840723,2.958844,thai
1,43,1.874337,-0.000665,-0.005303,0.000000,0.011568,0.000000,0.000000,0.001114,-0.490423,0.000000,0.000000,-0.998028,-1.111816,10.345994,thai
1,44,-4.406257,0.002958,-0.021755,0.000000,0.018102,0.000000,0.000000,0.663712,-0.202897,0.000000,0.000000,0.393553,-2.935922,-5.723062,thai
1,45,0.421298,-0.068067,0.040210,0.000000,0.000454,0.000000,0.000000,-0.223796,-0.043638,0.000000,0.000000,0.767347,-8.278796,-4.929706,thai
1,46,-7.484329,-0.012326,0.094280,0.000000,-0.001563,0.000000,0.000000,-0.316130,0.325739,0.000000,0.000000,0.332086,10.129581,-5.047799,thai
1,47,3.385471,0.014024,-0.031940,0.000000,-0.004351,0.000000,0.000000,0.229324,0.480391,0.000000,0.000000,0.189132,8.374646,-1.689946,thai
1,48,0.621886,-0.016602,-0.014242,0.000000,-0.000904,0.000000,0.000000,0.664974,0.427881,0.000000,0.000000,-0.297622,-7.029231,-3.723779,thai
1,49,4.349998,-0.149987,0.087697,0.000000,0.021978,0.000000,0.000000,-0.479298,-0.502491,0.000000,0.000000,1.149864,-2.597571,-5.286711,thai
1,50,3.571354,0.025700,-0.057383,0.000000,-0.000195,0.000000,0.000000,-0.202390,-0.103797,0.000000,0.000000,-0.471223,18.071479,9.412044,thai
1,51,-0.899431,-0.075522,-0.000735,0.000000,0.003930,0.000000,0.000000,0.272519,0.257315,0.000000,0.000000,0.106087,-4.530511,-0.134621,thai
1,1,1.414440,0.037961,-0.034016,0.000000,0.006772,0.000000,0.000000,0.310293,0.607916,0.000000,0.000000,-0.032392,6.269596,-4.828363,africa
1,2,2.776320,-0.005630,-0.056499,0.000000,0.013464,0.000000,0.000000,0.300018,0.374795,0.000000,0.000000,0.251562,33.335460,-4.786006,africa
1,3,-0.168533,-0.071282,-0.048678,0.000000,-0.003595,0.000000,0.000000,0.414596,-0.086714,0.000000,0.000000,-1.889920,-0.534765,18.912394,africa
1,4,-1.872605,-0.027109,0.024547,0.000000,-0.005383,0.000000,0.000000,-0.028432,-0.780720,0.000000,0.000000,0.858118,21.497397,-8.044414,africa
1,5,-3.615604,-0.012219,0.043644,0.000000,0.013534,0.000000,0.000000,0.171206,0.393194,0.000000,0.000000,-0.011359,-29.921262,-13.600359,africa
