parameter,value
initT_pop,-8.20487289656565544
aS_pop,18.92738199040884339
dS_pop,0.01114890459987489
tau_pop,0.05000000000000001
lBt0_pop,-4.90171771297959058
lp_pop,4.59999999999999964
dI_pop,0.90000000000000002
lk_pop,-2.97814797963505784
lae_pop,-0.69361828541500392
f_pop,0.89999999999999991
dp_pop,0.00100000000000000
lw_pop,-0.46823172936649532
dE_pop,0.99999999999999978
lI50_pop,0.01213045694517872
omega_initT,2.87321012702682532
omega_aS,0.05250592358849081
omega_dS,0.04872263835363366
omega_lBt0,0.01203728044475907
omega_lk,0.47867048253095357
omega_lae,0.36037727594678831
omega_lw,0.84580249250860895
omega_dE,19.28883788726094295
omega_lI50,10.20592838888977738
a,0.38126248028922560
b,0.01564050089690763
