rep,id,initT,aS,dS,tau,lBt0,lp,dI,lk,f,dp,lw,dE,lI50,lod,data
1,35,-8.0773559679873,70,0.052603943617043,0.05,-4.7319819012721,4.6,0.9,-1.81567133299712,0.9,0.001,-0.26441884949422,1,-0.0656453275049247,15,thai
2,35,-7.16717206167378,70,0.0526101823855316,0.05,-4.73207513774195,4.6,0.9,-1.81567133299712,0.9,0.001,-0.134916440187399,1,-0.17723654406541,15,thai
3,35,-7.59180120536055,70,0.0526411162208072,0.05,-4.72945371894918,4.6,0.9,-1.81567133299712,0.9,0.001,0.112773412542873,1,-0.450521328981528,15,thai
4,35,-7.06449104141114,70,0.0527352021222659,0.05,-4.72302327805434,4.6,0.9,-1.81567133299712,0.9,0.001,0.246275314775699,1,-0.555140151602504,15,thai
5,35,-7.75012287811714,70,0.053399147352197,0.05,-4.71714124077831,4.6,0.9,-1.81567133299712,0.9,0.001,0.220786754430473,1,-0.502754231661544,15,thai
6,35,-7.53744217832629,70,0.0525076878915669,0.05,-4.72517598769962,4.6,0.9,-1.81567133299712,0.9,0.001,0.145862966264029,1,-0.429178494935552,15,thai
7,35,-7.44969432535631,70,0.053204497877064,0.05,-4.72417245695654,4.6,0.9,-1.81567133299712,0.9,0.001,0.343498603914146,1,-0.718559299355486,15,thai
8,35,-7.2855840202508,70,0.0519825392806944,0.05,-4.73646047693457,4.6,0.9,-1.81567133299712,0.9,0.001,-0.0419731589400179,1,-0.281363182375359,15,thai
9,35,-7.62539096978357,70,0.0513925414040763,0.05,-4.75492051180013,4.6,0.9,-1.81567133299712,0.9,0.001,-0.126667553578241,1,-0.207002550588028,15,thai
10,35,-8.83090819615878,70,0.0530220391016726,0.05,-4.72205724417816,4.6,0.9,-1.81567133299712,0.9,0.001,0.0387851024217208,1,-0.351018811753496,15,thai
1,36,0.700192576410924,70,0.0469037892111434,0.05,-4.83391960240137,4.6,0.9,-1.81567133299712,0.9,0.001,0.271225869814094,1,0.138079698508711,15,thai
2,36,0.904494368194232,70,0.0471434379949604,0.05,-4.82726087530771,4.6,0.9,-1.81567133299712,0.9,0.001,0.450994137805692,1,0.0385395457161848,15,thai
3,36,-1.82866454737969,70,0.0461608329273997,0.05,-4.84846536801548,4.6,0.9,-1.81567133299712,0.9,0.001,0.396221594278547,1,0.234685186139805,15,thai
4,36,-0.137213187250003,70,0.0472212124664795,0.05,-4.82639254509487,4.6,0.9,-1.81567133299712,0.9,0.001,0.479173068456155,1,-0.124954977172618,15,thai
5,36,-0.563859669132954,70,0.0474845810932094,0.05,-4.82019429699354,4.6,0.9,-1.81567133299712,0.9,0.001,0.499006439599993,1,-0.211212538948381,15,thai
6,36,-0.278780225188314,70,0.0494910207888631,0.05,-4.78731284754489,4.6,0.9,-1.81567133299712,0.9,0.001,0.300928502177031,1,0.435544233725915,15,thai
7,36,0.406612422182675,70,0.0494349636409953,0.05,-4.77834796469858,4.6,0.9,-1.81567133299712,0.9,0.001,0.199425452611336,1,0.0736880971281398,15,thai
8,36,-0.677710146719723,70,0.0494330389362658,0.05,-4.78507220767447,4.6,0.9,-1.81567133299712,0.9,0.001,0.551238356515403,1,-0.0652773731289288,15,thai
9,36,-0.661941303943869,70,0.0481448928032785,0.05,-4.8093934233388,4.6,0.9,-1.81567133299712,0.9,0.001,0.582839381261028,1,-0.259141289777399,15,thai
10,36,0.522792053097464,70,0.0483734182944134,0.05,-4.80791704616052,4.6,0.9,-1.81567133299712,0.9,0.001,0.653067902845479,1,-0.369095192083413,15,thai
1,37,-5.04034782833307,70,0.046820652170477,0.05,-4.83462530697566,4.6,0.9,-1.81567133299712,0.9,0.001,-0.0392111752618645,1,-0.641889440245239,15,thai
2,37,-5.23165799699059,70,0.0509844244081019,0.05,-4.76113620425874,4.6,0.9,-1.81567133299712,0.9,0.001,0.853748683849757,1,-1.32133967106105,15,thai
3,37,-4.24873237182367,70,0.0491479695730674,0.05,-4.78076644397612,4.6,0.9,-1.81567133299712,0.9,0.001,0.503200066530538,1,-0.988805481187653,15,thai
4,37,-4.61511637915633,70,0.0505118816685891,0.05,-4.76950043465851,4.6,0.9,-1.81567133299712,0.9,0.001,0.520106740871199,1,-0.971989086664484,15,thai
5,37,-4.02588141783192,70,0.0505889472472654,0.05,-4.76293292924573,4.6,0.9,-1.81567133299712,0.9,0.001,0.39876678914376,1,-1.16095794050844,15,thai
6,37,-5.45043849986134,70,0.0496660054574192,0.05,-4.78343700966994,4.6,0.9,-1.81567133299712,0.9,0.001,0.595235364637498,1,-0.948502517774229,15,thai
7,37,-4.73324669390914,70,0.0494316754737179,0.05,-4.78529105725794,4.6,0.9,-1.81567133299712,0.9,0.001,0.557261405708141,1,-1.48070625893971,15,thai
8,37,-5.55236807530623,70,0.0495372155772292,0.05,-4.78681193452497,4.6,0.9,-1.81567133299712,0.9,0.001,1.04344973098026,1,-1.5114353554656,15,thai
9,37,-5.11692151632192,70,0.0490875405428679,0.05,-4.78635631747344,4.6,0.9,-1.81567133299712,0.9,0.001,1.04376138856561,1,-1.70064716689991,15,thai
10,37,-5.29959567049775,70,0.0490711704253901,0.05,-4.78953957552379,4.6,0.9,-1.81567133299712,0.9,0.001,0.920735214445162,1,-1.38573214041917,15,thai
1,38,-8.27608194761339,70,0.0435099967218268,0.05,-4.89745200564707,4.6,0.9,-1.81567133299712,0.9,0.001,0.0398569234622046,1,-0.0275437120014858,15,thai
2,38,-8.30711690681421,70,0.0429682464378861,0.05,-4.90071746603515,4.6,0.9,-1.81567133299712,0.9,0.001,-0.0890022254291481,1,0.156134853177007,15,thai
3,38,-7.48430841934296,70,0.0439994358028086,0.05,-4.88930921725513,4.6,0.9,-1.81567133299712,0.9,0.001,0.108537423593103,1,-0.0342793325877,15,thai
4,38,-7.49126121831818,70,0.0430069244242314,0.05,-4.89971502400843,4.6,0.9,-1.81567133299712,0.9,0.001,0.219997854737216,1,-0.107511432457683,15,thai
5,38,-7.17090990009784,70,0.0436230908026241,0.05,-4.89297841577377,4.6,0.9,-1.81567133299712,0.9,0.001,0.22606783728056,1,-0.161516189951128,15,thai
6,38,-6.54231715823464,70,0.043269460351534,0.05,-4.90025298663197,4.6,0.9,-1.81567133299712,0.9,0.001,0.0295626614264764,1,0.169485335297001,15,thai
7,38,-7.28835401044556,70,0.0436421614362645,0.05,-4.8888664740713,4.6,0.9,-1.81567133299712,0.9,0.001,0.089999113653779,1,-0.0727064171351871,15,thai
8,38,-8.5928156936613,70,0.0440495831075162,0.05,-4.88940349084113,4.6,0.9,-1.81567133299712,0.9,0.001,0.181024994884481,1,-0.113484344849455,15,thai
9,38,-8.50128343495762,70,0.0442861537299087,0.05,-4.88539429317211,4.6,0.9,-1.81567133299712,0.9,0.001,0.0978570094239935,1,-0.027911724410887,15,thai
10,38,-5.75049253547834,70,0.0447299385650869,0.05,-4.87062683611974,4.6,0.9,-1.81567133299712,0.9,0.001,0.154648805836636,1,0.0303674837976089,15,thai
1,39,-4.18475622297497,70,0.0381810732316973,0.05,-5.01145942884342,4.6,0.9,-1.81567133299712,0.9,0.001,0.11620155864857,1,-0.0539340502353909,15,thai
2,39,-4.94818631265897,70,0.0389856496952333,0.05,-4.99922759834697,4.6,0.9,-1.81567133299712,0.9,0.001,0.134116204815701,1,-0.0957587767441206,15,thai
3,39,-4.50225643656101,70,0.0390067323887977,0.05,-4.99896215291618,4.6,0.9,-1.81567133299712,0.9,0.001,0.183458234794954,1,-0.194223058352603,15,thai
4,39,-5.47640724779618,70,0.0392396019738184,0.05,-4.99057795001086,4.6,0.9,-1.81567133299712,0.9,0.001,0.143189764957653,1,-0.14393672486222,15,thai
5,39,-4.57806544630011,70,0.0385225523481676,0.05,-5.00679722553995,4.6,0.9,-1.81567133299712,0.9,0.001,-0.124194789344281,1,0.173907892023235,15,thai
6,39,-5.76365797136387,70,0.0376026996955751,0.05,-5.01976699858993,4.6,0.9,-1.81567133299712,0.9,0.001,-0.149721766194293,1,0.230482569210226,15,thai
7,39,-5.59860298241487,70,0.0374387588326614,0.05,-5.03072436770982,4.6,0.9,-1.81567133299712,0.9,0.001,-0.0817657590414664,1,0.180184598736592,15,thai
8,39,-6.87144605684816,70,0.0369846766129756,0.05,-5.03928613886583,4.6,0.9,-1.81567133299712,0.9,0.001,-0.23514804467889,1,0.450343906141533,15,thai
9,39,-5.85662009335408,70,0.0370848476298605,0.05,-5.03822709526688,4.6,0.9,-1.81567133299712,0.9,0.001,-0.225470732510133,1,0.371956317045021,15,thai
10,39,-6.293518960379,70,0.0368614499461324,0.05,-5.04206018958649,4.6,0.9,-1.81567133299712,0.9,0.001,-0.355899996469399,1,0.557339247856921,15,thai
1,40,-11.6281808595602,70,0.0411264309802686,0.05,-4.94591780659836,4.6,0.9,-1.81567133299712,0.9,0.001,0.624875987942939,1,-1.19850481400496,15,thai
2,40,-12.4193199231672,70,0.0410093882414921,0.05,-4.94663321871753,4.6,0.9,-1.81567133299712,0.9,0.001,0.687182250867856,1,-1.17767505500824,15,thai
3,40,-10.0522188503529,70,0.0413445632263167,0.05,-4.9342645192887,4.6,0.9,-1.81567133299712,0.9,0.001,0.52641268453851,1,-1.03021522799513,15,thai
4,40,-10.2369774383094,70,0.0417612111396605,0.05,-4.93325854628522,4.6,0.9,-1.81567133299712,0.9,0.001,0.434080808282644,1,-0.981522583976005,15,thai
5,40,-11.6749494453053,70,0.0425948633687463,0.05,-4.91603045928733,4.6,0.9,-1.81567133299712,0.9,0.001,0.200118624890154,1,-0.655680666085772,15,thai
6,40,-10.3376787464589,70,0.043451040752143,0.05,-4.90134188286915,4.6,0.9,-1.81567133299712,0.9,0.001,0.0884204623940151,1,-0.470848355213663,15,thai
7,40,-8.51542677983231,70,0.043592374885552,0.05,-4.88914404627787,4.6,0.9,-1.81567133299712,0.9,0.001,0.296968760180516,1,-0.795978557543894,15,thai
8,40,-9.40014340406538,70,0.0432871375504791,0.05,-4.90565395291935,4.6,0.9,-1.81567133299712,0.9,0.001,0.416941085090858,1,-0.866907220939229,15,thai
9,40,-9.05906574295918,70,0.0444739521112739,0.05,-4.87736114865525,4.6,0.9,-1.81567133299712,0.9,0.001,0.425540230396122,1,-0.872999271774371,15,thai
10,40,-9.0464147866169,70,0.044746335908756,0.05,-4.8775628116195,4.6,0.9,-1.81567133299712,0.9,0.001,0.13172163033744,1,-0.662747842139248,15,thai
1,41,-2.47537988915199,70,0.0507553779663282,0.05,-4.76361258427696,4.6,0.9,-1.81567133299712,0.9,0.001,0.296998959741874,1,-0.231707755133859,15,thai
2,41,-2.77626507761794,70,0.0515440738554048,0.05,-4.7482767113206,4.6,0.9,-1.81567133299712,0.9,0.001,0.251118046849003,1,-0.258198564530501,15,thai
3,41,-2.80364648068181,70,0.0507433990722648,0.05,-4.75236623234779,4.6,0.9,-1.81567133299712,0.9,0.001,0.509532918279415,1,-0.408893072623418,15,thai
