parameter,value,se_lin,rse_lin
initT_pop,-4.89632423993886,0.538840106954644,11.0049923279054
aS_pop,70,,
dS_pop,0.0480190352801171,0.00303736438021402,6.32533403158908
tau_pop,0.05,,
lBt0_pop,-4.81067475905786,0.0303816173316255,0.631545861096117
lp_pop,4.6,,
dI_pop,0.9,,
lk_pop,-1.81567133299712,0.0550517041491908,3.0320302550747
f_pop,0.9,,
dp_pop,0.001,,
lw_pop,0.373908671812962,0.0919426431199068,24.5895990253734
dE_pop,1,,
lI50_pop,-0.390077106177473,0.11037518355334,28.2957348189315
lod_pop,15,,
omega_initT,3,,
omega_dS,0.0778111383305339,0.133623348245088,171.727790020845
omega_lBt0,0.0682017470846917,0.034450580192681,50.5127532142262
omega_lw,0.563538700408385,0.067899132134393,12.0487079388138
omega_lI50,0.551103104772068,0.0727691403984533,13.2042697216431
corr_lBt0_dS,0.998260977719222,0.526950546699565,52.7868521820332
a,0.401062003167201,0.0153356809689705,3.82376810764024
