rep,id,initT,aS,dS,tau,lBt0,lp,dI,lk,f,dp,lw,dE,lI50,eta_initT,eta_aS,eta_dS,eta_tau,eta_lBt0,eta_lp,eta_dI,eta_lk,eta_f,eta_dp,eta_lw,eta_dE,eta_lI50
1,1,-2.31479123431846,72.7639453434887,0.0525484027256374,0.05,-4.57230172355266,4.6,0.9,-1.34107558055787,0.9,0.001,1.10679559051947,1,-0.835382336199536,-1.24072399878317,0.0387253342026268,-0.0548093773381479,0,0.00662391381209915,0,0,0,0,0,0.670150409255351,0,0.0153705065883698
2,1,-1.72350465529456,87.8420435710108,0.0571897517737385,0.05,-4.54808704089019,4.6,0.9,-1.34107558055787,0.9,0.001,1.09890948423671,1,-0.853797027889077,-0.649437419759274,0.227045000138542,0.029830638665524,0,0.0308385964745694,0,0,0,0,0,0.662264302972591,0,-0.00304418510117144
1,2,-1.54519861773308,90.6850941903504,0.056426485900265,0.05,-4.49063378822478,4.6,0.9,-1.34107558055787,0.9,0.001,0.739907421591941,1,-0.853000793639964,-0.471131382197789,0.258897759673625,0.01639457755982,0,0.088291849139984,0,0,0,0,0,0.303262240327819,0,-0.00224795085205831
2,2,-1.08852333442922,77.0570216898467,0.058507077295309,0.05,-4.44964492690639,4.6,0.9,-1.34107558055787,0.9,0.001,0.4537486942923,1,-0.79782134765958,-0.0144560988939328,0.0960504471653989,0.0526036474538678,0,0.129280710458369,0,0,0,0,0,0.0171035130281784,0,0.0529314951283255
1,3,-0.658883705069779,63.0788227761506,0.0566412122443578,0.05,-4.54055801768255,4.6,0.9,-1.34107558055787,0.9,0.001,0.318998216927975,1,-0.762910357163752,0.415183530465511,-0.104110142523235,0.0201927729022269,0,0.038367619682214,0,0,0,0,0,-0.117646964336147,0,0.0878424856241542
2,3,-1.52281362422495,64.3322826552039,0.0595672043093058,0.05,-4.53372643099919,4.6,0.9,-1.34107558055787,0.9,0.001,0.33348573569834,1,-0.925174261094881,-0.448746388689661,-0.0844336737303433,0.0705610804807133,0,0.045199206365572,0,0,0,0,0,-0.103159445565782,0,-0.0744214183069746
1,4,-2.25977316738019,59.9271051537691,0.0562913703395784,0.05,-4.57587550038921,4.6,0.9,-1.34107558055787,0.9,0.001,0.278781737349137,1,-0.903406842851174,-1.1857059318449,-0.155366332537536,0.0139971645871175,0,0.00305013697555268,0,0,0,0,0,-0.157863443914984,0,-0.0526540000632681
2,4,-1.14234552247091,90.2645210508645,0.0583959831386025,0.05,-4.54544640197935,4.6,0.9,-1.34107558055787,0.9,0.001,0.496322838902124,1,-0.937911388897992,-0.0682782869356191,0.254249240291445,0.0507030267218376,0,0.0334792353854105,0,0,0,0,0,0.0596776576380021,0,-0.0871585461100858
1,5,-1.43680994449824,66.3564341107344,0.0553160523259131,0.05,-4.52573913982804,4.6,0.9,-1.34107558055787,0.9,0.001,0.144581047657418,1,-0.850902308439801,-0.362742708962945,-0.0534545136933078,-0.0034809353262002,0,0.0531864975367187,0,0,0,0,0,-0.292064133606703,0,-0.000149465651895331
2,5,-0.887321284529008,73.9879671575101,0.0569294586509,0.05,-4.55893961580069,4.6,0.9,-1.34107558055787,0.9,0.001,0.0131317779276255,1,-0.846410623358507,0.186745951006282,0.0554072319534313,0.0252688550138744,0,0.0199860215640664,0,0,0,0,0,-0.423513403336496,0,0.00434221942939916
