rep,id_var,eta_initT_simulated,eta_dS_simulated,eta_lBt0_simulated,eta_lw_simulated,eta_lI50_simulated,split,color,filter
1,35,-0.00194183,0,0.773734,0,0.531519,All,#4682B4,0
2,35,-0.0195456,0,0.74278,0,0.495114,All,#4682B4,0
3,35,-0.308766,0,0.713671,0,0.478742,All,#4682B4,0
4,35,0.228446,0,0.674257,0,0.477465,All,#4682B4,0
5,35,-0.31119,0,0.609743,0,0.404013,All,#4682B4,0
6,35,-0.344048,0,0.191831,0,0.13824,All,#4682B4,0
7,35,-0.0271552,0,0.168518,0,0.106422,All,#4682B4,0
8,35,0.0304049,0,0.175205,0,0.105632,All,#4682B4,0
9,35,-0.744607,0,0.356121,0,0.237001,All,#4682B4,0
10,35,-0.0251743,0,0.698926,0,0.476647,All,#4682B4,0
1,36,0.0702639,0,-0.336122,0,-0.230074,All,#4682B4,0
2,36,-0.154097,0,-0.37423,0,-0.254269,All,#4682B4,0
3,36,-0.270397,0,-0.43435,0,-0.305213,All,#4682B4,0
4,36,0.0472421,0,-0.254422,0,-0.186603,All,#4682B4,0
5,36,0.291421,0,-0.329392,0,-0.226093,All,#4682B4,0
6,36,0.206265,0,0.0276252,0,-0.000900685,All,#4682B4,0
7,36,0.588397,0,-0.224263,0,-0.155504,All,#4682B4,0
8,36,0.049908,0,-0.36785,0,-0.240632,All,#4682B4,0
9,36,0.0463003,0,-0.398353,0,-0.271841,All,#4682B4,0
10,36,0.120878,0,-0.33219,0,-0.234117,All,#4682B4,0
1,37,0.255678,0,-0.0251551,0,0.00350503,All,#4682B4,0
2,37,0.19883,0,0.166035,0,0.0984529,All,#4682B4,0
3,37,0.446322,0,0.0460459,0,0.0422799,All,#4682B4,0
4,37,0.00257361,0,0.0109478,0,0.0352587,All,#4682B4,0
5,37,-0.192425,0,-0.351592,0,-0.231274,All,#4682B4,0
6,37,0.152478,0,-0.143426,0,-0.0978719,All,#4682B4,0
7,37,-0.289067,0,-0.120943,0,-0.0954922,All,#4682B4,0
8,37,0.0448312,0,0.0428139,0,0.0187728,All,#4682B4,0
9,37,-0.0523832,0,-0.13906,0,-0.0851,All,#4682B4,0
10,37,-0.0209474,0,-0.203036,0,-0.136446,All,#4682B4,0
1,38,-0.479876,0,0.00607295,0,-0.00322954,All,#4682B4,0
2,38,-0.0381474,0,-0.0730691,0,-0.0403686,All,#4682B4,0
3,38,-0.253589,0,0.214245,0,0.136295,All,#4682B4,0
4,38,-0.379522,0,0.201193,0,0.134125,All,#4682B4,0
5,38,-0.209979,0,0.252432,0,0.163908,All,#4682B4,0
6,38,-0.0339037,0,0.0480997,0,0.0473393,All,#4682B4,0
7,38,-0.177091,0,0.0450883,0,0.043013,All,#4682B4,0
8,38,-0.127617,0,-0.00596074,0,-0.00692621,All,#4682B4,0
9,38,-0.143045,0,-0.0228036,0,-0.0134819,All,#4682B4,0
10,38,0.200809,0,0.181041,0,0.117546,All,#4682B4,0
1,39,0.246739,0,-0.292436,0,-0.203164,All,#4682B4,0
2,39,0.0344343,0,-0.396229,0,-0.256482,All,#4682B4,0
3,39,-0.143828,0,-0.34499,0,-0.249648,All,#4682B4,0
4,39,-0.250378,0,-0.148457,0,-0.114778,All,#4682B4,0
5,39,-0.0955932,0,-0.301789,0,-0.210446,All,#4682B4,0
6,39,0.26251,0,-0.271505,0,-0.171849,All,#4682B4,0
7,39,-0.0652713,0,-0.325773,0,-0.226669,All,#4682B4,0
8,39,-0.256622,0,-0.385567,0,-0.25028,All,#4682B4,0
9,39,-0.0468657,0,-0.470221,0,-0.310644,All,#4682B4,0
10,39,-0.239864,0,-0.570617,0,-0.380688,All,#4682B4,0
1,40,0.169492,0,1.04269,0,0.704683,All,#4682B4,0
2,40,0.166474,0,1.01794,0,0.691401,All,#4682B4,0
