dS_vs_initT_abscissa,dS_vs_initT_spline,dS_vs_initT_regression,dS_vs_lBt0_abscissa,dS_vs_lBt0_spline,dS_vs_lBt0_regression,dS_vs_lI50_abscissa,dS_vs_lI50_spline,dS_vs_lI50_regression,dS_vs_lw_abscissa,dS_vs_lw_spline,dS_vs_lw_regression,initT_vs_dS_abscissa,initT_vs_dS_spline,initT_vs_dS_regression,initT_vs_lBt0_abscissa,initT_vs_lBt0_spline,initT_vs_lBt0_regression,initT_vs_lI50_abscissa,initT_vs_lI50_spline,initT_vs_lI50_regression,initT_vs_lw_abscissa,initT_vs_lw_spline,initT_vs_lw_regression,lBt0_vs_dS_abscissa,lBt0_vs_dS_spline,lBt0_vs_dS_regression,lBt0_vs_initT_abscissa,lBt0_vs_initT_spline,lBt0_vs_initT_regression,lBt0_vs_lI50_abscissa,lBt0_vs_lI50_spline,lBt0_vs_lI50_regression,lBt0_vs_lw_abscissa,lBt0_vs_lw_spline,lBt0_vs_lw_regression,lI50_vs_dS_abscissa,lI50_vs_dS_spline,lI50_vs_dS_regression,lI50_vs_initT_abscissa,lI50_vs_initT_spline,lI50_vs_initT_regression,lI50_vs_lBt0_abscissa,lI50_vs_lBt0_spline,lI50_vs_lBt0_regression,lI50_vs_lw_abscissa,lI50_vs_lw_spline,lI50_vs_lw_regression,lw_vs_dS_abscissa,lw_vs_dS_spline,lw_vs_dS_regression,lw_vs_initT_abscissa,lw_vs_initT_spline,lw_vs_initT_regression,lw_vs_lBt0_abscissa,lw_vs_lBt0_spline,lw_vs_lBt0_regression,lw_vs_lI50_abscissa,lw_vs_lI50_spline,lw_vs_lI50_regression
-0.744607,0.236392,0.0749917,-0.546417,-0.809441,-0.809611,-0.0941591,0.0336402,-0.0184899,-0.523385,0.102452,-0.169218,-0.814578,0.00482826,0.0289773,-0.546417,0.000479206,0.0300789,-0.0941591,0.075079,-0.0288099,-0.523385,0.117146,-0.00234637,-0.814578,-0.547652,-0.548049,-0.744607,0.160305,0.0522137,-0.0941591,0.0141423,-0.0137545,-0.523385,0.0860436,-0.111807,-0.814578,0.0006435,-0.00425535,-0.744607,-0.0268282,-0.00733968,-0.546417,-0.00327713,-0.00443753,-0.523385,0.0178262,-0.00495594,-0.814578,-0.0438865,-0.113714,-0.744607,-0.00856721,-0.00825341,-0.546417,-0.0398404,-0.111241,-0.0941591,-0.128597,-0.0283194
-0.730956,0.218751,0.0741517,-0.533756,-0.790697,-0.790849,-0.0920219,0.0175349,-0.017428,-0.510176,0.141691,-0.164254,-0.795818,0.00754808,0.0284889,-0.533756,0.00321578,0.029563,-0.0920219,0.0643788,-0.0280043,-0.510176,0.0885888,-0.00211145,-0.795818,-0.535401,-0.535427,-0.730956,0.148128,0.0516167,-0.0920219,0.00507571,-0.0130104,-0.510176,0.110283,-0.108519,-0.795818,0.00224488,-0.00414068,-0.730956,-0.0248568,-0.00719005,-0.533756,-0.000184204,-0.0043181,-0.510176,0.0125998,-0.00480914,-0.795818,-0.0438951,-0.111108,-0.730956,-0.00911527,-0.00804125,-0.533756,-0.0415725,-0.108674,-0.0920219,-0.10599,-0.0276056
-0.717305,0.20111,0.0733117,-0.521094,-0.771952,-0.772087,-0.0898847,0.00142966,-0.0163661,-0.496968,0.180931,-0.159291,-0.777057,0.0102679,0.0280005,-0.521094,0.00595236,0.029047,-0.0898847,0.0536786,-0.0271986,-0.496968,0.0600318,-0.00187652,-0.777057,-0.52315,-0.522805,-0.717305,0.13595,0.0510196,-0.0898847,-0.00399086,-0.0122663,-0.496968,0.134523,-0.105231,-0.777057,0.00384625,-0.00402602,-0.717305,-0.0228853,-0.00704043,-0.521094,0.00290872,-0.00419867,-0.496968,0.00737349,-0.00466235,-0.777057,-0.0439036,-0.108502,-0.717305,-0.00966333,-0.0078291,-0.521094,-0.0433047,-0.106108,-0.0898847,-0.0833836,-0.0268919
-0.703654,0.18347,0.0724717,-0.508433,-0.753208,-0.753325,-0.0877475,-0.0146756,-0.0153042,-0.483759,0.22017,-0.154328,-0.758297,0.0129877,0.0275121,-0.508433,0.00868893,0.028531,-0.0877475,0.0429784,-0.0263929,-0.483759,0.0314749,-0.00164159,-0.758297,-0.5109,-0.510183,-0.703654,0.123772,0.0504226,-0.0877475,-0.0130574,-0.0115222,-0.483759,0.158763,-0.101943,-0.758297,0.00544763,-0.00391136,-0.703654,-0.0209139,-0.0068908,-0.508433,0.00600164,-0.00407924,-0.483759,0.00214716,-0.00451555,-0.758297,-0.0439122,-0.105896,-0.703654,-0.0102114,-0.00761694,-0.508433,-0.0450368,-0.103542,-0.0877475,-0.0607771,-0.0261781
-0.690003,0.165829,0.0716317,-0.495771,-0.734464,-0.734563,-0.0856103,-0.0307809,-0.0142423,-0.470551,0.259409,-0.149365,-0.739537,0.0157075,0.0270238,-0.495771,0.0114255,0.028015,-0.0856103,0.0322782,-0.0255873,-0.470551,0.00291795,-0.00140666,-0.739537,-0.498649,-0.497561,-0.690003,0.111594,0.0498256,-0.0856103,-0.022124,-0.0107781,-0.470551,0.183003,-0.0986546,-0.739537,0.007049,-0.0037967,-0.690003,-0.0189424,-0.00674117,-0.495771,0.00909457,-0.00395981,-0.470551,-0.00307918,-0.00436876,-0.739537,-0.0439208,-0.10329,-0.690003,-0.0107594,-0.00740479,-0.495771,-0.046769,-0.100976,-0.0856103,-0.0381706,-0.0254643
-0.676353,0.148188,0.0707917,-0.483109,-0.71551,-0.7158,-0.0834731,-0.0376881,-0.0131805,-0.457342,0.28171,-0.144401,-0.720777,0.0184273,0.0265354,-0.483109,0.0143154,0.0274991,-0.0834731,0.0251584,-0.0247816,-0.457342,-0.0190437,-0.00117174,-0.720777,-0.486398,-0.484939,-0.676353,0.0994166,0.0492285,-0.0834731,-0.0258293,-0.0100341,-0.457342,0.196028,-0.0953664,-0.720777,0.00865038,-0.00368204,-0.676353,-0.016971,-0.00659154,-0.483109,0.0100854,-0.00384039,-0.457342,-0.00711539,-0.00422196,-0.720777,-0.0439293,-0.100684,-0.676353,-0.0113075,-0.00719263,-0.483109,-0.0440544,-0.0984094,-0.0834731,-0.0298429,-0.0247505
-0.662702,0.130547,0.0699517,-0.470448,-0.696432,-0.697038,-0.0813358,-0.0445348,-0.0121186,-0.444134,0.271054,-0.139438,-0.702016,0.0203424,0.026047,-0.470448,0.0171874,0.0269831,-0.0813358,0.0180621,-0.023976,-0.444134,-0.0276891,-0.00093681,-0.702016,-0.474025,-0.472317,-0.662702,0.0872388,0.0486315,-0.0813358,-0.0294992,-0.00928999,-0.444134,0.187289,-0.0920782,-0.702016,0.00872148,-0.00356738,-0.662702,-0.0149995,-0.00644192,-0.470448,0.00970835,-0.00372096,-0.444134,-0.00879307,-0.00407517,-0.702016,-0.040113,-0.0980784,-0.662702,-0.0118556,-0.00698048,-0.470448,-0.0386348,-0.0958431,-0.0813358,-0.0216092,-0.0240367
-0.649051,0.112906,0.0691116,-0.457786,-0.677317,-0.678276,-0.0791986,-0.0513814,-0.0110567,-0.430926,0.257392,-0.134475,-0.683256,0.0214817,0.0255586,-0.457786,0.0199811,0.0264671,-0.0791986,0.0109658,-0.0231703,-0.430926,-0.0350391,-0.000701882,-0.683256,-0.461534,-0.459695,-0.649051,0.0750611,0.0480344,-0.0791986,-0.0331692,-0.00854591,-0.430926,0.176576,-0.0887901,-0.683256,0.00757168,-0.00345272,-0.649051,-0.0130281,-0.00629229,-0.457786,0.00885696,-0.00360153,-0.430926,-0.0102485,-0.00392837,-0.683256,-0.0335926,-0.0954725,-0.649051,-0.0124036,-0.00676833,-0.457786,-0.0323926,-0.0932768,-0.0791986,-0.0133756,-0.0233229
-0.6354,0.0952656,0.0682716,-0.445125,-0.65816,-0.659514,-0.0770614,-0.0542251,-0.0099948,-0.417717,0.228684,-0.129512,-0.664496,0.0224246,0.0250703,-0.445125,0.022598,0.0259511,-0.0770614,0.00557542,-0.0223647,-0.417717,-0.0344392,-0.000466955,-0.664496,-0.449013,-0.447073,-0.6354,0.0628833,0.0474374,-0.0770614,-0.0345401,-0.00780183,-0.417717,0.156151,-0.0855019,-0.664496,0.00617607,-0.00333806,-0.6354,-0.0110567,-0.00614266,-0.445125,0.00735518,-0.0034821,-0.417717,-0.0104609,-0.00378158,-0.664496,-0.0266323,-0.0928666,-0.6354,-0.0129517,-0.00655617,-0.445125,-0.0251342,-0.0907105,-0.0770614,-0.0102825,-0.0226091
-0.621749,0.0852415,0.0674316,-0.432463,-0.638981,-0.640752,-0.0749242,-0.0555365,-0.00893291,-0.404509,0.192991,-0.124548,-0.645735,0.0231838,0.0245819,-0.432463,0.0249136,0.0254352,-0.0749242,0.000868935,-0.021559,-0.404509,-0.0301483,-0.000232027,-0.645735,-0.436463,-0.434451,-0.621749,0.056014,0.0468404,-0.0749242,-0.0350383,-0.00705775,-0.404509,0.131218,-0.0822137,-0.645735,0.00462397,-0.0032234,-0.621749,-0.00957145,-0.00599304,-0.432463,0.00530711,-0.00336267,-0.404509,-0.0100964,-0.00363478,-0.645735,-0.0195441,-0.0902606,-0.621749,-0.0120786,-0.00634402,-0.432463,-0.0172666,-0.0881443,-0.0749242,-0.00893207,-0.0218954
