initT_abscissa,initT_cdf,dS_abscissa,dS_cdf,lBt0_abscissa,lBt0_cdf,lw_abscissa,lw_cdf,lI50_abscissa,lI50_cdf,split
-4.07149,0,0.0290863,0,-5.11137,0,-0.21521,0,-1.47392,0,All
-3.99599,0.00196078,0.0413902,0.00196078,-4.82959,0.00196078,0.135486,0.00196078,-1.17833,0.00196078,All
-3.89661,0.00392157,0.0416559,0.00392157,-4.81896,0.00392157,0.164985,0.00392157,-1.17406,0.00392157,All
-3.83011,0.00588235,0.0418004,0.00588235,-4.81529,0.00588235,0.167046,0.00588235,-1.17253,0.00588235,All
-3.80555,0.00784314,0.0427067,0.00784314,-4.80284,0.00784314,0.189092,0.00784314,-1.17181,0.00784314,All
-3.74993,0.00980392,0.0431605,0.00980392,-4.7739,0.00980392,0.226548,0.00980392,-1.17175,0.00980392,All
-3.74076,0.0117647,0.0431842,0.0117647,-4.7733,0.0117647,0.2387,0.0117647,-1.16922,0.0117647,All
-3.7203,0.0137255,0.0432626,0.0137255,-4.76634,0.0137255,0.243104,0.0137255,-1.16884,0.0137255,All
-3.66211,0.0156863,0.0437315,0.0156863,-4.76527,0.0156863,0.24506,0.0156863,-1.16587,0.0156863,All
-3.64753,0.0176471,0.043993,0.0176471,-4.76364,0.0176471,0.248181,0.0176471,-1.16578,0.0176471,All
-3.61396,0.0196078,0.0440415,0.0196078,-4.76332,0.0196078,0.276105,0.0196078,-1.16539,0.0196078,All
-3.61392,0.0215686,0.0442794,0.0215686,-4.76153,0.0215686,0.288052,0.0215686,-1.16367,0.0215686,All
-3.60712,0.0235294,0.0442937,0.0235294,-4.75598,0.0235294,0.295763,0.0235294,-1.16323,0.0235294,All
-3.58531,0.0254902,0.0443176,0.0254902,-4.75493,0.0254902,0.310382,0.0254902,-1.15699,0.0254902,All
-3.5795,0.027451,0.0443955,0.027451,-4.75444,0.027451,0.311024,0.027451,-1.15658,0.027451,All
-3.57184,0.0294118,0.0443992,0.0294118,-4.75424,0.0294118,0.315762,0.0294118,-1.15288,0.0294118,All
-3.55318,0.0313725,0.0444886,0.0313725,-4.75406,0.0313725,0.324503,0.0313725,-1.15185,0.0313725,All
-3.55002,0.0333333,0.0445031,0.0333333,-4.75212,0.0333333,0.342237,0.0333333,-1.14978,0.0333333,All
-3.54695,0.0352941,0.0445343,0.0352941,-4.75115,0.0352941,0.347504,0.0352941,-1.14584,0.0352941,All
-3.53962,0.0372549,0.0445866,0.0372549,-4.75095,0.0372549,0.34836,0.0372549,-1.14381,0.0372549,All
-3.5356,0.0392157,0.0446997,0.0392157,-4.75054,0.0392157,0.353299,0.0392157,-1.14139,0.0392157,All
-3.53325,0.0411765,0.0447847,0.0411765,-4.74906,0.0411765,0.367841,0.0411765,-1.14139,0.0411765,All
-3.52777,0.0431373,0.0449822,0.0431373,-4.74897,0.0431373,0.368401,0.0431373,-1.14122,0.0431373,All
-3.51453,0.045098,0.0450275,0.045098,-4.74786,0.045098,0.369944,0.045098,-1.13928,0.045098,All
-3.50964,0.0470588,0.0450483,0.0470588,-4.74696,0.0470588,0.37976,0.0470588,-1.13372,0.0470588,All
-3.50061,0.0490196,0.0450507,0.0490196,-4.74671,0.0490196,0.390093,0.0490196,-1.13361,0.0490196,All
-3.49731,0.0509804,0.0450539,0.0509804,-4.74647,0.0509804,0.391698,0.0509804,-1.13338,0.0509804,All
-3.49312,0.0529412,0.0451815,0.0529412,-4.74586,0.0529412,0.405512,0.0529412,-1.1323,0.0529412,All
-3.48419,0.054902,0.0453216,0.054902,-4.74544,0.054902,0.40688,0.054902,-1.13046,0.054902,All
-3.48373,0.0568627,0.0453236,0.0568627,-4.74461,0.0568627,0.407208,0.0568627,-1.12995,0.0568627,All
-3.44995,0.0588235,0.0453928,0.0588235,-4.74361,0.0588235,0.407656,0.0588235,-1.12789,0.0588235,All
-3.44343,0.0607843,0.0454097,0.0607843,-4.74219,0.0607843,0.407922,0.0607843,-1.12754,0.0607843,All
-3.43643,0.0627451,0.0454355,0.0627451,-4.74209,0.0627451,0.420755,0.0627451,-1.12648,0.0627451,All
-3.434,0.0647059,0.0454703,0.0647059,-4.74201,0.0647059,0.421097,0.0647059,-1.12614,0.0647059,All
-3.43368,0.0666667,0.04559,0.0666667,-4.73965,0.0666667,0.422525,0.0666667,-1.1259,0.0666667,All
-3.41954,0.0686275,0.0456167,0.0686275,-4.73816,0.0686275,0.424632,0.0686275,-1.12577,0.0686275,All
-3.41507,0.0705882,0.0456998,0.0705882,-4.73737,0.0705882,0.427324,0.0705882,-1.12505,0.0705882,All
-3.40511,0.072549,0.0457098,0.072549,-4.73702,0.072549,0.432437,0.072549,-1.12502,0.072549,All
-3.39001,0.0745098,0.0458444,0.0745098,-4.73666,0.0745098,0.433198,0.0745098,-1.12501,0.0745098,All
