initT_abscissa,initT_pdf,dS_abscissa,dS_pdf,lBt0_abscissa,lBt0_pdf,lw_abscissa,lw_pdf,lI50_abscissa,lI50_pdf,split
-3.93285,0.0324042,0.0419034,5.98136,-4.82068,0.344338,0.166084,0.133737,-1.173,1.34249,All
-3.80657,0.0486063,0.0429296,7.97515,-4.80286,0.114779,0.22728,0.167171,-1.16233,0.958921,All
-3.68029,0.0648084,0.0439558,15.9503,-4.78503,0,0.288476,0.200605,-1.15166,0.958921,All
-3.55401,0.291638,0.044982,35.8882,-4.7672,0.803456,0.349672,0.300907,-1.14099,1.1507,All
-3.42773,0.243032,0.0460082,35.8882,-4.74938,2.52515,0.410868,0.601815,-1.13032,2.87676,All
-3.30144,0.405053,0.0470344,53.8323,-4.73155,3.3286,0.472064,1.83888,-1.11966,4.41104,All
-3.17516,0.421255,0.0480606,61.8074,-4.71373,4.24684,0.53326,2.40726,-1.10899,5.17817,All
-3.04888,0.599478,0.0490868,81.7453,-4.6959,6.19809,0.594456,2.07292,-1.09832,7.86315,All
-2.9226,0.955924,0.050113,97.6956,-4.67808,8.3789,0.655652,1.97262,-1.08765,6.52066,All
-2.79631,0.858712,0.0511392,81.7453,-4.66025,7.69022,0.716848,1.70514,-1.07698,9.97278,All
-2.67003,0.631882,0.0521654,105.671,-4.64242,6.54243,0.778044,1.73858,-1.06631,9.97278,All
-2.54375,0.761499,0.0531916,95.7018,-4.6246,4.82074,0.83924,1.40423,-1.05565,8.4385,All
-2.41747,0.745297,0.0542178,85.7328,-4.60677,4.82074,0.900436,0.768986,-1.04498,9.39742,All
-2.29119,0.437457,0.055244,63.8012,-4.58895,3.44338,0.961632,0.40121,-1.03431,6.90423,All
-2.1649,0.567074,0.0562702,53.8323,-4.57112,2.63993,1.02283,0.434644,-1.02364,6.71244,All
-2.03862,0.453659,0.0572964,41.8695,-4.55329,1.26257,1.08402,0.367776,-1.01297,5.36996,All
-1.91234,0.226829,0.0583226,33.8944,-4.53547,0.573897,1.14522,0.300907,-1.0023,4.21925,All
-1.78606,0.226829,0.0593488,15.9503,-4.51764,0.459118,1.20642,0.0668683,-0.991635,2.49319,All
-1.65978,0.145819,0.0603751,19.9379,-4.49982,0.114779,1.26761,0.0334342,-0.980967,1.53427,All
-1.53349,0.0648084,0.0614013,5.98136,-4.48199,0.114779,1.32881,0.100302,-0.970298,0.383568,All
-1.40721,0.0486063,0.0624275,3.98757,-4.46417,0,1.39,0,-0.95963,0.383568,All
-1.28093,0.0162021,0.0634537,1.99379,-4.44634,0,1.4512,0,-0.948962,0.575352,All
-1.15465,0.0162021,0.0644799,9.96894,-4.42851,0.114779,1.5124,0.0334342,-0.938293,0.191784,All
