initT_abscissa,initT_pdf,initT_cdf,dS_abscissa,dS_pdf,dS_cdf,lBt0_abscissa,lBt0_pdf,lBt0_cdf,lw_abscissa,lw_pdf,lw_cdf,lI50_abscissa,lI50_pdf,lI50_cdf,split
-4.07149,0.0171244,0.0027873,0.0290863,3.87404e-08,1.43895e-11,-5.11137,1.87852e-15,0,-0.21521,0.000174804,7.96482e-06,-1.47392,4.57516e-19,0,All
-4.04139,0.0201975,0.00334791,0.0297249,1.94117e-07,7.64404e-11,-5.10221,7.9015e-15,5.55112e-17,-0.197227,0.000253683,1.17761e-05,-1.46569,2.70722e-18,0,All
-4.01129,0.023736,0.00400789,0.0303635,8.84622e-07,3.69334e-10,-5.09306,3.22754e-14,2.22045e-16,-0.179244,0.000365368,1.72849e-05,-1.45746,1.54484e-17,0,All
-3.98119,0.0277934,0.00478206,0.0310021,3.68555e-06,1.63161e-09,-5.0839,1.28027e-13,8.88178e-16,-0.161261,0.000522239,2.51871e-05,-1.44923,8.50135e-17,0,All
-3.95109,0.0324267,0.00568688,0.0316407,1.41057e-05,6.62273e-09,-5.07474,4.9317e-13,3.33067e-15,-0.143277,0.000740809,3.64368e-05,-1.441,4.51163e-16,0,All
-3.92099,0.0376955,0.00674058,0.0322793,4.98182e-05,2.4812e-08,-5.06559,1.84485e-12,1.27676e-14,-0.125294,0.0010429,5.23307e-05,-1.43277,2.30899e-15,0,All
-3.89089,0.0436619,0.00796322,0.0329179,0.000163042,8.61656e-08,-5.05643,6.7018e-12,4.72955e-14,-0.107311,0.00145706,7.46163e-05,-1.42454,1.1396e-14,5.55112e-17,All
-3.86079,0.0503896,0.00937674,0.0335565,0.000496396,2.78471e-07,-5.04728,2.36423e-11,1.70641e-13,-0.0893277,0.00202029,0.000105628,-1.41631,5.42406e-14,2.77556e-16,All
-3.83069,0.0579436,0.0110051,0.0341951,0.0014111,8.40646e-07,-5.03812,8.09946e-11,5.98077e-13,-0.0713445,0.00278002,0.000148454,-1.40808,2.48966e-13,1.33227e-15,All
-3.80059,0.0663891,0.012874,0.0348336,0.00375809,2.37873e-06,-5.02896,2.69457e-10,2.03715e-12,-0.0533613,0.00379648,0.000207151,-1.39985,1.10204e-12,6.10623e-15,All
-3.77049,0.0757903,0.0150114,0.0354722,0.00940693,6.32987e-06,-5.01981,8.70545e-10,6.74155e-12,-0.035378,0.00514534,0.000286989,-1.39161,4.70434e-12,2.65343e-14,All
-3.74038,0.0862097,0.0174469,0.0361108,0.0221972,1.58889e-05,-5.01065,2.73124e-09,2.16778e-11,-0.0173948,0.00692063,0.000394762,-1.38338,1.93661e-11,1.12133e-13,All
-3.71028,0.0977069,0.0202122,0.0367494,0.0495155,3.77312e-05,-5.00149,8.32139e-09,6.7732e-11,0.000588392,0.00923797,0.000539144,-1.37515,7.68824e-11,4.56413e-13,All
-3.68018,0.110337,0.0233404,0.037388,0.104694,8.49954e-05,-4.99234,2.46206e-08,2.05642e-10,0.0185716,0.0122379,0.000731105,-1.36692,2.94344e-10,1.79362e-12,All
-3.65008,0.124148,0.0268665,0.0380266,0.210337,0.000182093,-4.98318,7.07408e-08,6.06713e-10,0.0365548,0.0160893,0.000984395,-1.35869,1.08674e-09,6.80145e-12,All
-3.61998,0.139183,0.0308266,0.0386652,0.402475,0.000371921,-4.97403,1.97383e-07,1.73948e-09,0.0545381,0.0209925,0.00131608,-1.35046,3.86935e-09,2.48896e-11,All
-3.58988,0.155475,0.0352582,0.0393038,0.735103,0.000725881,-4.96487,5.34829e-07,4.84662e-09,0.0725213,0.0271827,0.00174713,-1.34223,1.3286e-08,8.79025e-11,All
-3.55978,0.173045,0.0401993,0.0399424,1.28423,0.0013567,-4.95571,1.4073e-06,1.31237e-08,0.0905045,0.0349316,0.00230308,-1.334,4.39938e-08,2.99616e-10,All
-3.52968,0.191904,0.0456888,0.040581,2.15018,0.00243337,-4.94656,3.59608e-06,3.45371e-08,0.108488,0.0445497,0.00301469,-1.32577,1.40486e-07,9.85667e-10,All
-3.49958,0.212048,0.0517652,0.0412196,3.45658,0.00419654,-4.9374,8.92354e-06,8.83389e-08,0.126471,0.0563858,0.00391866,-1.31754,4.32628e-07,3.1298e-09,All
-3.46948,0.23346,0.0584672,0.0418582,5.34463,0.00697187,-4.92824,2.15037e-05,2.1962e-07,0.144454,0.0708263,0.00505829,-1.30931,1.28481e-06,9.59276e-09,All
-3.43938,0.256103,0.0658323,0.0424968,7.96168,0.0111779,-4.91909,5.03218e-05,5.30725e-07,0.162437,0.0882913,0.00648415,-1.30108,3.67966e-06,2.83816e-08,All
-3.40927,0.279926,0.0738969,0.0431354,11.4443,0.017325,-4.90993,0.000114358,1.24672e-06,0.180421,0.10923,0.00825463,-1.29285,1.01629e-05,8.10631e-08,All
-3.37917,0.304859,0.0826955,0.043774,15.8969,0.0260014,-4.90077,0.000252375,2.84704e-06,0.198404,0.134111,0.0104364,-1.28462,2.70689e-05,2.23526e-07,All
-3.34907,0.330811,0.0922601,0.0444126,21.3693,0.0378461,-4.89162,0.000540868,6.32083e-06,0.216387,0.163412,0.0131046,-1.27639,6.95291e-05,5.9509e-07,All
-3.31897,0.357673,0.10262,0.0450512,27.8355,0.0535064,-4.88246,0.00112565,1.3644e-05,0.23437,0.197608,0.0163431,-1.26815,0.000172228,1.52975e-06,All
-3.28887,0.385318,0.113801,0.0456898,35.1794,0.073585,-4.87331,0.00227502,2.86371e-05,0.252353,0.23715,0.0202439,-1.25992,0.000411419,3.79732e-06,All
-3.25877,0.413598,0.125823,0.0463284,43.1899,0.0985799,-4.86415,0.00446512,5.84483e-05,0.270337,0.282451,0.0249071,-1.25169,0.00094778,9.10321e-06,All
-3.22867,0.442347,0.138705,0.046967,51.5676,0.128826,-4.85499,0.00851038,0.000116015,0.28832,0.333857,0.0304393,-1.24346,0.00210558,2.10773e-05,All
-3.19857,0.471383,0.152456,0.0476056,59.9441,0.164442,-4.84584,0.0157519,0.000223972,0.306303,0.391631,0.0369529,-1.23523,0.00451108,4.71399e-05,All
