initT_abscissa,initT_cdf,dS_abscissa,dS_cdf,lBt0_abscissa,lBt0_cdf,lw_abscissa,lw_cdf,lI50_abscissa,lI50_cdf,split
-4,0,-4,0,-4,0,-4,0,-4,0,All
-3.72304,0.00196078,-2.73986,0.00196078,-2.72423,0.00196078,-2.84019,0.00196078,-2.727,0.00196078,All
-3.14838,0.00392157,-2.40457,0.00392157,-2.45656,0.00392157,-2.51355,0.00392157,-2.47901,0.00392157,All
-3.04537,0.00588235,-2.3947,0.00588235,-2.39164,0.00588235,-2.4671,0.00588235,-2.28561,0.00588235,All
-2.97372,0.00784314,-2.33923,0.00784314,-2.29901,0.00784314,-2.31573,0.00784314,-2.2783,0.00784314,All
-2.4971,0.00980392,-2.18953,0.00980392,-2.22432,0.00980392,-1.97603,0.00980392,-2.26728,0.00980392,All
-2.49244,0.0117647,-2.08772,0.0117647,-2.13071,0.0117647,-1.94653,0.0117647,-2.18144,0.0117647,All
-2.39938,0.0137255,-2.06275,0.0137255,-2.0842,0.0137255,-1.79099,0.0137255,-2.0948,0.0137255,All
-2.37693,0.0156863,-2.03611,0.0156863,-2.05377,0.0156863,-1.72997,0.0156863,-2.07874,0.0156863,All
-2.22748,0.0176471,-2.01056,0.0176471,-2.0087,0.0176471,-1.65531,0.0176471,-2.03824,0.0176471,All
-2.20986,0.0196078,-1.91929,0.0196078,-1.89796,0.0196078,-1.62442,0.0196078,-1.88259,0.0196078,All
-2.18205,0.0215686,-1.79365,0.0215686,-1.78328,0.0215686,-1.60266,0.0215686,-1.87664,0.0215686,All
-2.17288,0.0235294,-1.70985,0.0235294,-1.67444,0.0235294,-1.58154,0.0235294,-1.86505,0.0235294,All
-2.14265,0.0254902,-1.66987,0.0254902,-1.64588,0.0254902,-1.58129,0.0254902,-1.84483,0.0254902,All
-2.0975,0.027451,-1.5816,0.027451,-1.63224,0.027451,-1.57214,0.027451,-1.81374,0.027451,All
