initT_abscissa,initT_pdf,dS_abscissa,dS_pdf,lBt0_abscissa,lBt0_pdf,lw_abscissa,lw_pdf,lI50_abscissa,lI50_pdf,split
-2.49453,0.0162021,-2.47523,0.0271558,-3.03969,0.0184137,-2.46696,0.0275867,-2.46459,0.0580087,All
-2.24196,0.0243032,-2.24919,0.00905193,-2.70634,0.0061379,-2.17029,0.0344834,-2.21769,0.0414348,All
-1.9894,0.0324042,-2.02316,0.0362077,-2.373,0,-1.87362,0.04138,-1.9708,0.0414348,All
-1.73683,0.145819,-1.79713,0.108623,-2.03965,0.0429653,-1.57695,0.06207,-1.7239,0.0497217,All
-1.48427,0.121516,-1.5711,0.135779,-1.70631,0.135034,-1.28028,0.12414,-1.477,0.124304,All
-1.2317,0.202526,-1.34506,0.162935,-1.37297,0.177999,-0.98361,0.379317,-1.2301,0.1906,All
-0.979141,0.210627,-1.11903,0.217246,-1.03962,0.227102,-0.68694,0.49656,-0.983202,0.223748,All
-0.726576,0.299739,-0.892996,0.226298,-0.706276,0.331446,-0.39027,0.427594,-0.736304,0.339765,All
-0.474012,0.477962,-0.666963,0.371129,-0.372931,0.448066,-0.0935995,0.406904,-0.489406,0.281757,All
-0.221448,0.429356,-0.44093,0.407337,-0.039586,0.411239,0.203071,0.35173,-0.242507,0.430922,All
0.0311161,0.315941,-0.214897,0.362077,0.293759,0.34986,0.499741,0.358627,0.00439096,0.430922,All
0.28368,0.38075,0.0111363,0.425441,0.627103,0.257792,0.796411,0.28966,0.251289,0.364626,All
0.536244,0.372648,0.237169,0.506908,0.960448,0.257792,1.09308,0.158623,0.498188,0.406061,All
0.788809,0.218728,0.463202,0.362077,1.29379,0.184137,1.38975,0.0827601,0.745086,0.29833,All
1.04137,0.283537,0.689235,0.371129,1.62714,0.141172,1.68642,0.0896567,0.991984,0.290044,All
1.29394,0.226829,0.915269,0.271558,1.96048,0.0675169,1.98309,0.0758634,1.23888,0.232035,All
1.5465,0.113415,1.1413,0.190091,2.29383,0.0306895,2.27976,0.06207,1.48578,0.182313,All
1.79907,0.113415,1.36733,0.171987,2.62717,0.0245516,2.57643,0.0137933,1.73268,0.10773,All
2.05163,0.0729095,1.59337,0.0814674,2.96052,0.0061379,2.8731,0.00689667,1.97958,0.0662957,All
2.30419,0.0324042,1.8194,0.0724154,3.29386,0.0061379,3.16977,0.02069,2.22648,0.0165739,All
2.55676,0.0243032,2.04543,0.0362077,3.62721,0,3.46644,0,2.47337,0.0165739,All
2.80932,0.00810105,2.27147,0.0181039,3.96055,0,3.76311,0,2.72027,0.0248609,All
3.06189,0.00810105,2.4975,0.0452597,4.2939,0.0061379,4.05978,0.00689667,2.96717,0.00828696,All
