rep,id_var,standEta_initT_simulated,standEta_dS_simulated,standEta_lBt0_simulated,standEta_lw_simulated,standEta_lI50_simulated,filter
1,35,-1.01221,0,0.840619,0,1.62627,0
2,35,-2.28904,0,2.04592,0,1.52771,0
3,35,-0.516045,0,-0.738012,0,0.62735,0
4,35,-2.11034,0,-0.461222,0,1.12461,0
5,35,-2.12868,0,0.455276,0,2.031,0
6,35,-0.840677,0,-1.29527,0,1.81371,0
7,35,-1.07299,0,0.287424,0,0.796031,0
8,35,-1.18145,0,-2.50333,0,0.643195,0
9,35,-0.932222,0,-0.600003,0,1.08594,0
10,35,-0.994654,0,-0.140501,0,1.2157,0
1,36,2.44243,0,2.89944,0,-1.072,0
2,36,-0.0021569,0,0.737422,0,-2.10215,0
3,36,0.552394,0,0.661229,0,-1.74692,0
4,36,0.355396,0,0.630809,0,-0.920949,0
5,36,-0.815066,0,2.35629,0,-1.27662,0
6,36,1.27965,0,0.652349,0,-2.39284,0
7,36,0.211976,0,2.3951,0,-1.97827,0
8,36,-0.167248,0,-0.199386,0,-2.43432,0
9,36,1.94763,0,0.93909,0,0.156072,0
10,36,0.962603,0,2.18406,0,-0.802876,0
1,37,-0.314294,0,-1.02522,0,0.392325,0
2,37,-0.268938,0,0.496685,0,-0.205291,0
3,37,-0.166162,0,-1.71798,0,-0.533235,0
4,37,-0.944066,0,-0.576969,0,-0.684288,0
5,37,0.721983,0,0.479774,0,0.564772,0
6,37,0.671582,0,-0.259687,0,-0.547906,0
7,37,0.635808,0,0.0969574,0,0.225915,0
8,37,1.99902,0,0.317194,0,1.77245,0
9,37,0.64889,0,-0.712167,0,-0.640221,0
10,37,0.484176,0,1.30706,0,0.340223,0
1,38,0.367179,0,1.85181,0,1.48072,0
2,38,-1.73518,0,-1.64166,0,-0.720545,0
3,38,-0.42858,0,0.601507,0,0.696141,0
4,38,-0.715084,0,-1.6876,0,-0.980003,0
5,38,-0.303886,0,-0.451188,0,0.978963,0
6,38,0.02522,0,0.480788,0,1.37175,0
7,38,-1.2454,0,-1.43232,0,-1.19664,0
8,38,-1.46791,0,2.60041,0,1.48899,0
9,38,0.0214677,0,-0.692739,0,1.50474,0
10,38,-0.19102,0,-0.7938,0,0.0950778,0
1,39,1.46558,0,0.225341,0,-2.14816,0
2,39,-0.631738,0,1.4787,0,-0.694018,0
3,39,-1.85674,0,4.16573,0,-0.703247,0
4,39,-0.486347,0,3.54558,0,-0.0532319,0
5,39,0.754301,0,0.248615,0,-2.17506,0
6,39,-0.737525,0,0.279633,0,-1.51464,0
7,39,-1.363,0,1.37869,0,-1.85204,0
8,39,0.963548,0,-0.198099,0,-1.94544,0
9,39,-1.68437,0,1.72304,0,-1.63036,0
10,39,0.0109825,0,0.925229,0,-0.568917,0
1,40,-1.0962,0,-0.78771,0,-0.571774,0
2,40,-1.78781,0,-2.93921,0,-0.780359,0
3,40,-1.52872,0,-0.944066,0,-0.590281,0
4,40,-1.70806,0,-1.9666,0,-0.138019,0
5,40,-1.59628,0,-0.322164,0,0.292073,0
6,40,-1.26582,0,0.256595,0,1.35533,0
7,40,-0.44549,0,-0.0821105,0,1.07284,0
8,40,0.0362721,0,0.128348,0,2.47975,0
9,40,-1.17471,0,-1.37122,0,0.131667,0
10,40,-0.501307,0,0.96606,0,2.52949,0
1,41,0.850408,0,-3.17204,0,-1.64357,0
2,41,-0.57107,0,-1.50766,0,-0.303618,0
3,41,0.214645,0,-0.840742,0,-0.266623,0
4,41,0.0229351,0,-0.861963,0,0.0551506,0
5,41,1.31455,0,-0.245176,0,-0.127112,0
6,41,0.501987,0,0.40212,0,0.201574,0
7,41,-0.826196,0,-1.23275,0,-1.5262,0
8,41,0.431127,0,0.677323,0,0.227906,0
9,41,-0.44422,0,-1.23215,0,0.164905,0
10,41,0.336463,0,-0.960673,0,-0.66149,0
1,42,-0.295742,0,0.180498,0,-0.379527,0
2,42,0.800333,0,0.376049,0,-0.165057,0
3,42,1.01055,0,1.74064,0,0.827646,0
