rep,id_var,initT_simulated,dS_simulated,lBt0_simulated,lw_simulated,lI50_simulated,eta_initT_simulated,eta_dS_simulated,eta_lBt0_simulated,eta_lw_simulated,eta_lI50_simulated,data,split,color,filter
1,35,-3.19169,-0.506103,4.2485,0,-2.91511,0.0449526,-2.99573,0,-4.58786,0.0702707,thai,All,#4682B4,0
2,35,-3.83011,-1.14452,4.2485,0,-2.85065,0.109407,-2.99573,0,-4.59212,0.066012,thai,All,#4682B4,0
3,35,-2.94361,-0.258022,4.2485,0,-2.99953,-0.0394656,-2.99573,0,-4.63102,0.0271077,thai,All,#4682B4,0
4,35,-3.74076,-1.05517,4.2485,0,-2.98472,-0.0246641,-2.99573,0,-4.60954,0.0485943,thai,All,#4682B4,0
5,35,-3.74993,-1.06434,4.2485,0,-2.93571,0.0243461,-2.99573,0,-4.57037,0.0877592,thai,All,#4682B4,0
6,35,-3.10593,-0.420338,4.2485,0,-3.02933,-0.0692656,-2.99573,0,-4.57976,0.0783699,thai,All,#4682B4,0
7,35,-3.22209,-0.536495,4.2485,0,-2.94469,0.0153702,-2.99573,0,-4.62374,0.0343964,thai,All,#4682B4,0
8,35,-3.27632,-0.590727,4.2485,0,-3.09393,-0.133867,-2.99573,0,-4.63034,0.0277924,thai,All,#4682B4,0
9,35,-3.1517,-0.466111,4.2485,0,-2.99215,-0.0320855,-2.99573,0,-4.61121,0.0469231,thai,All,#4682B4,0
10,35,-3.18292,-0.497327,4.2485,0,-2.96757,-0.00751335,-2.99573,0,-4.6056,0.0525304,thai,All,#4682B4,0
1,36,-1.46438,1.22121,4.2485,0,-2.80501,0.155049,-2.99573,0,-4.70445,-0.0463211,thai,All,#4682B4,0
2,36,-2.68667,-0.00107845,4.2485,0,-2.92063,0.0394341,-2.99573,0,-4.74897,-0.0908336,thai,All,#4682B4,0
3,36,-2.40939,0.276197,4.2485,0,-2.9247,0.0353596,-2.99573,0,-4.73362,-0.075484,thai,All,#4682B4,0
4,36,-2.50789,0.177698,4.2485,0,-2.92633,0.0337329,-2.99573,0,-4.69793,-0.039794,thai,All,#4682B4,0
5,36,-3.09312,-0.407533,4.2485,0,-2.83406,0.126004,-2.99573,0,-4.7133,-0.0551624,thai,All,#4682B4,0
6,36,-2.04577,0.639825,4.2485,0,-2.92517,0.0348847,-2.99573,0,-4.76153,-0.103394,thai,All,#4682B4,0
7,36,-2.5796,0.105988,4.2485,0,-2.83198,0.128079,-2.99573,0,-4.74361,-0.0854805,thai,All,#4682B4,0
8,36,-2.76921,-0.0836238,4.2485,0,-2.97072,-0.0106623,-2.99573,0,-4.76332,-0.105187,thai,All,#4682B4,0
9,36,-1.71178,0.973813,4.2485,0,-2.90984,0.0502184,-2.99573,0,-4.65139,0.00674385,thai,All,#4682B4,0
10,36,-2.20429,0.481301,4.2485,0,-2.84327,0.116794,-2.99573,0,-4.69282,-0.0346921,thai,All,#4682B4,0
1,37,-2.84274,-0.157147,4.2485,0,-3.01488,-0.054824,-2.99573,0,-4.64118,0.0169523,thai,All,#4682B4,0
2,37,-2.82006,-0.134469,4.2485,0,-2.9335,0.0265605,-2.99573,0,-4.667,-0.00887059,thai,All,#4682B4,0
3,37,-2.76867,-0.0830809,4.2485,0,-3.05193,-0.09187,-2.99573,0,-4.68117,-0.023041,thai,All,#4682B4,0
4,37,-3.15762,-0.472033,4.2485,0,-2.99091,-0.0308538,-2.99573,0,-4.6877,-0.029568,thai,All,#4682B4,0
5,37,-2.3246,0.360992,4.2485,0,-2.9344,0.0256562,-2.99573,0,-4.63373,0.0244037,thai,All,#4682B4,0
6,37,-2.3498,0.335791,4.2485,0,-2.97395,-0.0138869,-2.99573,0,-4.68181,-0.0236749,thai,All,#4682B4,0
7,37,-2.36769,0.317904,4.2485,0,-2.95487,0.00518485,-2.99573,0,-4.64837,0.00976177,thai,All,#4682B4,0
8,37,-1.68608,0.999508,4.2485,0,-2.9431,0.0169621,-2.99573,0,-4.58155,0.0765874,thai,All,#4682B4,0
9,37,-2.36115,0.324445,4.2485,0,-2.99814,-0.0380835,-2.99573,0,-4.6858,-0.0276638,thai,All,#4682B4,0
10,37,-2.4435,0.242088,4.2485,0,-2.89016,0.0698955,-2.99573,0,-4.64343,0.014701,thai,All,#4682B4,0
1,38,-2.502,0.183589,4.2485,0,-2.86103,0.0990268,-2.99573,0,-4.59415,0.0639817,thai,All,#4682B4,0
2,38,-3.55318,-0.867589,4.2485,0,-3.04785,-0.0877886,-2.99573,0,-4.68927,-0.0311346,thai,All,#4682B4,0
3,38,-2.89988,-0.21429,4.2485,0,-2.92789,0.0321659,-2.99573,0,-4.62805,0.0300801,thai,All,#4682B4,0
4,38,-3.04313,-0.357542,4.2485,0,-3.05031,-0.0902455,-2.99573,0,-4.70048,-0.0423457,thai,All,#4682B4,0
5,38,-2.83753,-0.151943,4.2485,0,-2.98419,-0.0241276,-2.99573,0,-4.61583,0.0423008,thai,All,#4682B4,0
6,38,-2.67298,0.01261,4.2485,0,-2.93435,0.0257104,-2.99573,0,-4.59886,0.059273,thai,All,#4682B4,0
7,38,-3.30829,-0.622699,4.2485,0,-3.03665,-0.0765941,-2.99573,0,-4.70984,-0.0517065,thai,All,#4682B4,0
8,38,-3.41954,-0.733953,4.2485,0,-2.821,0.139058,-2.99573,0,-4.59379,0.0643389,thai,All,#4682B4,0
9,38,-2.67486,0.0107339,4.2485,0,-2.9971,-0.0370446,-2.99573,0,-4.59311,0.0650194,thai,All,#4682B4,0
10,38,-2.7811,-0.0955101,4.2485,0,-3.00251,-0.0424489,-2.99573,0,-4.65402,0.0041083,thai,All,#4682B4,0
1,39,-1.9528,0.73279,4.2485,0,-2.94801,0.0120503,-2.99573,0,-4.75095,-0.0928215,thai,All,#4682B4,0
2,39,-3.00146,-0.315869,4.2485,0,-2.88099,0.0790743,-2.99573,0,-4.68812,-0.0299884,thai,All,#4682B4,0
3,39,-3.61396,-0.92837,4.2485,0,-2.73729,0.222765,-2.99573,0,-4.68852,-0.0303872,thai,All,#4682B4,0
