popPred_spline_abscissa,popPred_spline,popPred_ciAbscissa,popPred_piLower,popPred_piUpper,indivPred_spline_abscissa,indivPred_spline,indivPred_ciAbscissa,indivPred_piLower,indivPred_piUpper,split
1.92807,2.93457,0.238272,-0.859534,1.33608,1.37544,1.57995,0.231961,-0.865845,1.32977,All
1.97764,2.88691,0.254836,-0.84297,1.35264,1.42198,1.59598,0.248501,-0.849305,1.34631,All
2.02674,2.83972,0.272551,-0.825255,1.37036,1.4701,1.61742,0.26622,-0.831585,1.36403,All
2.0285,2.83803,0.291497,-0.806309,1.3893,1.49318,1.63055,0.285203,-0.812602,1.38301,All
2.08065,2.82476,0.311761,-0.786045,1.40957,1.51984,1.64573,0.30554,-0.792266,1.40335,All
2.12541,2.82204,0.333433,-0.764373,1.43124,1.57127,1.675,0.327327,-0.770479,1.42513,All
2.13416,2.82151,0.356611,-0.741195,1.45442,1.61092,1.70331,0.350667,-0.747139,1.44847,All
2.18903,2.81817,0.370738,-0.727068,1.46854,1.62444,1.71309,0.37257,-0.725236,1.47038,All
2.22408,2.81604,0.381401,-0.716405,1.47921,1.67941,1.75741,0.375671,-0.722134,1.47348,All
2.24532,2.82338,0.407914,-0.689891,1.50572,1.72866,1.80031,0.402459,-0.695347,1.50026,All
2.30305,2.85746,0.436271,-0.661535,1.53408,1.73624,1.80726,0.431156,-0.666649,1.52896,All
2.32274,2.87415,0.466598,-0.631208,1.5644,1.79499,1.8636,0.4619,-0.635906,1.55971,All
2.36227,2.90764,0.499034,-0.598772,1.59684,1.8464,1.91602,0.494836,-0.60297,1.59264,All
2.42141,2.9626,0.503203,-0.594603,1.60101,1.85574,1.92584,0.51318,-0.584626,1.61099,All
2.42301,2.96441,0.533724,-0.564082,1.63153,1.91853,1.99405,0.530121,-0.567685,1.62793,All
2.48532,3.0404,0.570826,-0.52698,1.66863,1.96414,2.04564,0.567921,-0.529884,1.66573,All
2.52008,3.0828,0.610507,-0.487299,1.70831,1.98345,2.06791,0.608417,-0.489389,1.70622,All
2.54922,3.11835,0.635668,-0.462138,1.73347,2.05057,2.14699,0.651801,-0.446005,1.74961,All
2.61477,3.20558,0.652947,-0.444859,1.75075,2.08188,2.18465,0.653789,-0.444017,1.75159,All
2.61875,3.211,0.698337,-0.399469,1.79614,2.11996,2.23088,0.698278,-0.399528,1.79608,All
2.68201,3.29715,0.746882,-0.350924,1.84469,2.1917,2.31891,0.748069,-0.349737,1.84587,All
2.71742,3.34539,0.768134,-0.329672,1.86594,2.19962,2.32867,0.794399,-0.303407,1.8922,All
2.75097,3.39109,0.798801,-0.299005,1.89661,2.26586,2.41026,0.80141,-0.296395,1.89922,All
2.81609,3.47979,0.85433,-0.243476,1.95214,2.31736,2.47335,0.858555,-0.23925,1.95636,All
2.82171,3.48744,0.900599,-0.197207,1.9984,2.34253,2.50395,0.919775,-0.178031,2.01758,All
2.89426,3.58197,0.913719,-0.184087,2.01152,2.4218,2.59868,0.935008,-0.162798,2.03281,All
2.91476,3.60465,0.977236,-0.120569,2.07504,2.4351,2.61423,0.98536,-0.112446,2.08317,All
2.96868,3.66431,1.03306,-0.0647414,2.13087,2.50375,2.69293,1.05562,-0.042184,2.15343,All
3.01343,3.70902,1.04517,-0.0526367,2.14297,2.55284,2.74693,1.07562,-0.0221883,2.17342,All
3.04502,3.73401,1.11782,0.0200185,2.21563,2.58848,2.78472,1.13089,0.0330877,2.2287,All
3.1121,3.77499,1.16553,0.067724,2.26334,2.67058,2.86644,1.21153,0.113727,2.30934,All
3.12332,3.78184,1.19553,0.0977243,2.29334,2.67607,2.87161,1.21623,0.118421,2.31403,All
3.20363,3.82671,1.27864,0.180832,2.37644,2.76662,2.95069,1.29792,0.200116,2.39573,All
3.21077,3.82915,1.298,0.200189,2.3958,2.78832,2.96777,1.35684,0.259031,2.45464,All
3.286,3.85484,1.36752,0.269717,2.46533,2.86024,3.01859,1.39047,0.292665,2.48828,All
3.30944,3.86285,1.43046,0.332655,2.52827,2.90606,3.0459,1.48962,0.391813,2.58742,All
3.3705,3.88237,1.46259,0.36478,2.56039,2.95703,3.07126,1.49745,0.39964,2.59525,All
3.40811,3.89432,1.56293,0.46512,2.66073,3.0238,3.09825,1.59584,0.498031,2.69364,All
3.45716,3.9099,1.56426,0.466452,2.66206,3.05709,3.11195,1.63806,0.540249,2.73586,All
3.50678,3.93031,1.673,0.575192,2.7708,3.14154,3.15943,1.70963,0.611823,2.80743,All
3.54606,3.95471,1.69539,0.597585,2.7932,3.16054,3.17437,1.77866,0.680859,2.87647,All
3.60545,3.99159,1.7893,0.691491,2.8871,3.25928,3.28524,1.83153,0.733729,2.92934,All
3.63724,4.01133,1.82786,0.730051,2.92566,3.26749,3.29617,1.91927,0.821468,3.01708,All
3.70412,4.05287,1.91368,0.815874,3.01149,3.37702,3.43838,1.96213,0.864327,3.05994,All
3.73076,4.07386,1.96032,0.862516,3.05813,3.37806,3.4396,2.05988,0.962078,3.15769,All
3.80279,4.15908,2.04671,0.948904,3.14452,3.49237,3.55413,2.10204,1.00424,3.19985,All
3.82669,4.19468,2.09279,0.994982,3.19059,3.49476,3.55627,2.20049,1.10269,3.2983,All
3.90146,4.33298,2.18899,1.09118,3.28679,3.61054,3.67337,2.25193,1.15413,3.34974,All
3.92509,4.36633,2.22525,1.12745,3.32306,3.6125,3.67568,2.3411,1.2433,3.43891,All
4.00013,4.30743,2.34116,1.24335,3.43896,3.73024,3.79241,2.41251,1.3147,3.51031,All
4.02602,4.26438,2.35772,1.25991,3.45552,3.73272,3.79347,2.48171,1.38391,3.57952,All
4.0988,4.33979,2.49018,1.39238,3.58799,3.84798,3.94071,2.58453,1.48673,3.68234,All
4.12954,4.44087,2.5039,1.4061,3.60171,3.85903,3.94262,2.62232,1.52452,3.72013,All
4.19746,4.40844,2.62265,1.52484,3.72045,3.96572,4.06743,2.76293,1.66513,3.86074,All
4.23573,4.36446,2.67796,1.58015,3.77577,3.98962,4.09064,2.76882,1.67102,3.86663,All
4.29613,4.49013,2.75511,1.65731,3.85292,4.08345,4.19498,2.90354,1.80573,4.00135,All
4.34464,4.70482,2.86412,1.76631,3.96193,4.12462,4.24682,2.96626,1.86845,4.06406,All
4.3948,4.53926,2.88758,1.78977,3.98539,4.20119,4.31032,3.04415,1.94634,4.14196,All
4.45636,4.66227,3.02005,1.92224,4.11785,4.26419,4.38464,3.17777,2.07996,4.27557,All
4.49347,4.78082,3.06322,1.96541,4.16102,4.31893,4.45473,3.18476,2.08695,4.28257,All
4.57094,4.7729,3.15251,2.0547,4.25032,4.40849,4.52064,3.32537,2.22756,4.42317,All
4.59214,4.7532,3.27616,2.17835,4.37397,4.43667,4.5427,3.40436,2.30655,4.50216,All
4.68848,4.79384,3.28498,2.18717,4.38278,4.55441,4.66093,3.46598,2.36817,4.56378,All
4.69081,4.79664,3.41744,2.31964,4.51525,4.55767,4.66469,3.60659,2.50878,4.70439,All
4.78948,4.93669,3.5039,2.4061,4.60171,4.67215,4.78197,3.64711,2.5493,4.74491,All
4.80903,4.96061,3.54991,2.4521,4.64771,4.71189,4.81426,3.7472,2.64939,4.845,All
4.88815,5.01907,3.68237,2.58457,4.78018,4.78989,4.89459,3.88781,2.79,4.98561,All
4.93269,5.03778,3.74748,2.64967,4.84528,4.87134,4.97493,3.90717,2.80936,5.00497,All
4.98682,5.06563,3.81484,2.71703,4.91264,4.90763,5.00519,4.02842,2.93061,5.12622,All
5.05953,5.13635,3.9473,2.8495,5.04511,5.02537,5.09384,4.16903,3.07122,5.26683,All
5.08549,5.16831,4.00798,2.91018,5.10579,5.03618,5.10021,4.18577,3.08796,5.28358,All
5.18416,5.2798,4.07977,2.98196,5.17757,5.14311,5.22052,4.30963,3.21183,5.40744,All
5.18962,5.28459,4.21223,3.11443,5.31004,5.2066,5.29616,4.45024,3.35244,5.54805,All
5.28283,5.35033,4.2866,3.18879,5.38441,5.26085,5.35429,4.48424,3.38643,5.58204,All
5.32306,5.37465,4.3447,3.24689,5.4425,5.37859,5.43966,4.59085,3.49305,5.68866,All
5.3815,5.41304,4.47716,3.37936,5.57497,5.38278,5.44448,4.73146,3.63366,5.82927,All
5.45994,5.47216,4.58458,3.48678,5.68239,5.49633,5.5643,4.80399,3.70618,5.9018,All
5.48017,5.48752,4.60963,3.51182,5.70744,5.56493,5.63816,4.87207,3.77427,5.96988,All
5.57884,5.55116,4.74209,3.64429,5.8399,5.61407,5.70242,5.01268,3.91488,6.11049,All
5.60033,5.56115,4.87456,3.77675,5.97237,5.73181,5.79166,5.14654,4.04873,6.24435,All
5.67751,5.58988,4.90328,3.80548,6.00109,5.75324,5.81228,5.15329,4.05549,6.2511,All
5.74433,5.61199,5.00703,3.90922,6.10483,5.84955,5.89644,5.2939,4.1961,6.39171,All
5.77618,5.62426,5.13949,4.04169,6.2373,5.94792,6.00041,5.43451,4.3367,6.53232,All
5.87485,5.67569,5.24413,4.14633,6.34194,5.96729,6.02435,5.51352,4.41571,6.61132,All
5.89204,5.68716,5.27196,4.17415,6.36976,6.08503,6.12555,5.57512,4.47731,6.67293,All
5.97352,5.75494,5.40442,4.30662,6.50223,6.14919,6.1882,5.71573,4.61792,6.81354,All
6.04354,5.82988,5.53689,4.43908,6.63469,6.20277,6.26116,5.85634,4.75853,6.95414,All
6.07219,5.86403,5.60868,4.51088,6.70649,6.32051,6.36994,5.90666,4.80886,7.00447,All
6.17085,5.98632,5.66935,4.57155,6.76716,6.35727,6.41583,5.99695,4.89914,7.09475,All
6.19894,6.02023,5.80182,4.70401,6.89962,6.43825,6.49671,6.13756,5.03975,7.23536,All
6.26952,6.09713,5.93428,4.83648,7.03209,6.55599,6.61767,6.27817,5.18036,7.37597,All
6.35834,6.16907,5.99857,4.90076,7.09638,6.57239,6.63502,6.32784,5.23003,7.42565,All
6.36819,6.17514,6.06675,4.96894,7.16455,6.67373,6.73918,6.41878,5.32097,7.51658,All
6.46686,6.2206,6.19921,5.10141,7.29702,6.79147,6.85214,6.55939,5.46158,7.65719,All
6.52183,6.2382,6.33168,5.23387,7.42949,6.7948,6.85536,6.7,5.60219,7.7978,All
6.56553,6.25075,6.41556,5.31776,7.51337,6.90921,6.97586,6.77905,5.68124,7.87686,All
6.6642,6.28477,6.46414,5.36634,7.56195,7.02472,7.08855,6.8406,5.7428,7.93841,All
6.68953,6.29654,6.59661,5.4988,7.69442,7.02695,7.09031,6.98121,5.88341,8.07902,All
