iteration,convergenceIndicator,phase,a,corr_lBt0_dS,dS_pop,initT_pop,lBt0_pop,lI50_pop,lk_pop,lw_pop,omega_dS,omega_lBt0,omega_lI50,omega_lw
1,939.315,1,0.660164,0,0.0561528,-1.13255,-4.60876,-1.04408,-1.39324,0.645344,0.321802,0.223562,0.0409113,0.209996
2,909.016,1,0.670834,0,0.0559694,-1.15487,-4.54325,-1.04684,-1.39841,0.692629,0.313654,0.217901,0.0400182,0.208171
3,931.738,1,0.663285,0,0.0561042,-1.15941,-4.52928,-1.04352,-1.39267,0.691481,0.318923,0.212384,0.0390049,0.221767
4,907.021,1,0.66845,0,0.0574921,-1.16941,-4.52145,-1.04642,-1.4041,0.69593,0.310848,0.207006,0.038136,0.232863
5,871.446,1,0.667706,0,0.0582249,-1.21714,-4.51784,-1.04392,-1.40955,0.704441,0.302977,0.201765,0.0371703,0.228761
6,872.03,1,0.667787,0,0.0598739,-1.24445,-4.51647,-1.05158,-1.41106,0.697907,0.299686,0.196656,0.0362292,0.222969
7,880.746,1,0.656676,0,0.0606231,-1.25633,-4.5106,-1.04515,-1.41189,0.69936,0.298103,0.191676,0.0353118,0.217323
8,887.555,1,0.663778,0,0.0593496,-1.2473,-4.51677,-1.04982,-1.40575,0.688989,0.310719,0.186823,0.0349593,0.226627
9,934.988,1,0.674532,0,0.0615253,-1.29605,-4.49639,-1.04443,-1.41344,0.705184,0.340007,0.185454,0.0382933,0.231706
10,914.35,1,0.68224,0,0.0636421,-1.31172,-4.48645,-1.0436,-1.3995,0.69886,0.331398,0.190618,0.0380842,0.225839
11,908.351,1,0.67517,0,0.0651873,-1.34635,-4.47855,-1.04883,-1.39103,0.707739,0.323007,0.191364,0.0371199,0.220121
12,913.456,1,0.671975,0,0.0644809,-1.36799,-4.48398,-1.04531,-1.38559,0.687648,0.314828,0.186518,0.0379515,0.214547
13,896.775,1,0.679797,0,0.0626937,-1.3378,-4.49329,-1.05263,-1.38948,0.702598,0.306857,0.181796,0.0389355,0.222379
14,912.604,1,0.68053,0,0.0614415,-1.34431,-4.50448,-1.0569,-1.39383,0.70057,0.299087,0.177193,0.0481199,0.216748
15,897.881,1,0.678682,0,0.0614574,-1.37537,-4.50882,-1.05712,-1.40444,0.696554,0.291514,0.172706,0.0469015,0.21126
16,917.395,1,0.68078,0,0.0598311,-1.40921,-4.5118,-1.06049,-1.40636,0.708988,0.284132,0.168333,0.0457139,0.210858
