parameter,value,se_lin,rse_lin
initT_pop,-1.49348528832599,0.222712116041332,14.9122403670253
aS_pop,70,,
dS_pop,0.0168832181172082,0.00430185002135253,25.4800358053058
tau_pop,0.05,,
lBt0_pop,-4.47697771285334,0.12499490034516,2.79194823745273
lp_pop,4.6,,
dI_pop,0.9,,
lk_pop,-1.58195393478518,0.157172086239757,9.93531371449825
lae_pop,0.202483722365306,0.150016638247873,74.0882459564945
f_pop,0.9,,
dp_pop,0.001,,
lw_pop,-0.868584479295191,0.195460949714063,22.5033896383537
dE_pop,1,,
lI50_pop,0.702817470235084,0.360421287458979,51.2823460888675
omega_initT,0.5,,
omega_aS,2.91479239693482,0.407332396322876,13.9746623722233
omega_dS,0.308631025462748,0.239714190067398,77.6701531247487
omega_lBt0,0.164119772271216,0.231302584837558,140.935233845754
omega_lae,0.640060983486546,1.14710829627731,179.218594145323
omega_lw,0.752451734465034,0.130336798593946,17.3216158092334
omega_lI50,1.47622455142106,0.251894429127306,17.0634222879457
a,0.942605561657179,0.0387363834570722,4.10950083818415
