rep,id,initT,aS,dS,tau,Bt0,p,g,dI,n,V0,eta_initT,eta_aS,eta_dS,eta_tau,eta_Bt0,eta_p,eta_g,eta_dI,eta_n,eta_V0
1,1,1.80351335753606,1.54624968620877,-5.91814767977067,0,-12.1887484727921,9.05968828709515,3.13549421592915,-0.22314355131421,-1.66332506733985,-13.8155105579643,0.386401065694337,0.899080333372888,0.377490579643261,0,-0.383304718311503,0.0782952030630213,0,0,0.268645476418921,0
2,1,1.55526890588627,-0.287192511938228,-5.93576068464429,0,-11.9263293568315,10.5502248902438,3.13549421592915,-0.22314355131421,-1.62808219927489,-13.8155105579643,0.138156614044552,-0.934361864774111,0.359877574769648,0,-0.120885602350876,1.56883180621167,0,0,0.303888344483874,0
3,1,1.47543083459675,1.7998296190594,-6.34470320521916,0,-12.6377171126192,8.79797742605346,3.13549421592915,-0.22314355131421,-1.65306734287413,-13.8155105579643,0.0583185427550272,1.15266026622351,-0.0490649458052221,0,-0.832273358138583,-0.183415657978667,0,0,0.278903200884637,0
1,2,-0.95513891355408,1.55872022064294,-6.02957003777596,0,-12.351127139441,8.9823733005172,3.13549421592915,-0.22314355131421,-1.47400904079316,-13.8155105579643,-2.3722512053958,0.911550867807052,0.266068221637976,0,-0.545683384960387,0.000980216485070073,0,0,0.457961502965611,0
2,2,-1.4969294352057,0.723860553312249,-7.06214406549324,0,-13.0251668824889,9.42386581071169,3.13549421592915,-0.22314355131421,-1.76609566161199,-13.8155105579643,-2.91404172704742,0.0766912004763657,-0.766505806079306,0,-1.21972312800831,0.442472726679561,0,0,0.165874882146779,0
3,2,-2.48010847151561,-0.0578547206235399,-6.43031222906816,0,-12.2182718297354,9.85565429324281,3.13549421592915,-0.22314355131421,-1.34832442004304,-13.8155105579643,-3.89722076335733,-0.705024073459423,-0.134673969654229,0,-0.412828075254854,0.874261209210681,0,0,0.583646123715724,0
1,3,0.607377730622117,1.131938479961,-7.03495267870524,0,-12.2349074383266,8.31314719228977,3.13549421592915,-0.22314355131421,-2.23019114116352,-13.8155105579643,-0.809734561219604,0.484769127125115,-0.739314419291304,0,-0.429463683845983,-0.668245891742353,0,0,-0.298220597404753,0
2,3,0.884323863900977,1.54334717204876,-6.30530146352955,0,-12.2615476913719,8.66934485855719,3.13549421592915,-0.22314355131421,-2.40995165570344,-13.8155105579643,-0.532788427940744,0.896177819212875,-0.00966320411561838,0,-0.456103936891273,-0.312048225474937,0,0,-0.477981111944671,0
3,3,0.422077251014043,0.682208807907808,-7.29998896219681,0,-11.7324487570248,7.95553839993432,3.13549421592915,-0.22314355131421,-2.17588508925344,-13.8155105579643,-0.995035040827678,0.0350394550719243,-1.00435070278287,0,0.0729949974557496,-1.02585468409781,0,0,-0.243914545494669,0
1,4,1.68827094406342,-0.982955503605837,-7.3112184436201,0,-11.8257070683747,9.61518391989915,3.13549421592915,-0.22314355131421,-1.65127972702797,-13.8155105579643,0.271158652221702,-1.63012485644172,-1.01558018420616,0,-0.0202633138940627,0.633790835867023,0,0,0.280690816730798,0
2,4,0.548885447912542,1.3440008238702,-6.32775035574113,0,-12.4247689332644,8.79288126186087,3.13549421592915,-0.22314355131421,-1.94547673948463,-13.8155105579643,-0.868226843929179,0.696831471034313,-0.0321120963271975,0,-0.619325178783761,-0.188511822171259,0,0,-0.0135061957258598,0
3,4,1.14793911369073,-0.279884142264265,-6.62893949615056,0,-11.3723340580563,9.1332642203248,3.13549421592915,-0.22314355131421,-1.59302186320683,-13.8155105579643,-0.269173178150996,-0.927053495100148,-0.33330123673663,0,0.433109696424326,0.151871136292675,0,0,0.338948680551943,0
1,5,2.70234484502769,0.206297908021346,-6.33805106017078,0,-10.8462984645104,8.50341444975559,3.13549421592915,-0.22314355131421,-1.8716429516724,-13.8155105579643,1.28523255318597,-0.440871444814537,-0.042412800756841,0,0.959145289970211,-0.477978634276537,0,0,0.0603275920863713,0
2,5,2.76353076142219,0.257459199722329,-6.33611290935629,0,-10.9919080625243,8.67899947163879,3.13549421592915,-0.22314355131421,-1.8972812467593,-13.8155105579643,1.34641846958047,-0.389710153113555,-0.0404746499423538,0,0.813535691956334,-0.302393612393336,0,0,0.0346892969994717,0
3,5,2.11966795411729,1.06934281578776,-5.45631352381528,0,-11.1338150258087,8.85367959041907,3.13549421592915,-0.22314355131421,-2.24343737774095,-13.8155105579643,0.702555662275564,0.422173462951877,0.839324735598658,0,0.671628728671852,-0.12771349361306,0,0,-0.311466833982176,0
1,6,-3.19079758777413,1.82205957655599,-3.80093710723829,0,-11.0072615307526,9.2586270274369,3.13549421592915,-0.22314355131421,-2.06527903789961,-13.8155105579643,-4.60790987961585,1.1748902237201,2.49470115217565,0,0.798182223727951,0.277233943404779,0,0,-0.133308494140846,0
2,6,-3.63075238991221,1.30436646107067,-4.19947409320373,0,-11.3680117449725,9.71083470939726,3.13549421592915,-0.22314355131421,-1.90576205382211,-13.8155105579643,-5.04786468175394,0.657197108234787,2.09616416621021,0,0.437432009508068,0.729441625365135,0,0,0.0262084899366626,0
