initT_pop,1,0.1372,-0.091627,-0.061325,-0.13392,-0.017575,-0.043025,0.057067,0.045766,0.018769,-0.11775,-0.055967,-0.0097336
aS_pop,0.1372,1,-0.45462,-0.38641,-0.79747,-0.44973,0.0033881,0.22146,0.33241,0.22451,-0.66283,-0.42078,-0.17494
dS_pop,-0.091627,-0.45462,1,0.3073,0.59813,0.27377,0.0083104,-0.19246,-0.3386,-0.24645,0.49673,0.34345,0.13498
Bt0_pop,-0.061325,-0.38641,0.3073,1,0.39169,0.26893,-0.010312,-0.11978,-0.20865,-0.11742,0.35315,0.27084,0.10928
p_pop,-0.13392,-0.79747,0.59813,0.39169,1,0.42917,0.012955,-0.36143,-0.46917,-0.29426,0.79083,0.44614,0.18591
n_pop,-0.017575,-0.44973,0.27377,0.26893,0.42917,1,-0.0074828,-0.13235,-0.22655,-0.16342,0.36611,0.29745,0.14017
omega_initT,-0.043025,0.0033881,0.0083104,-0.010312,0.012955,-0.0074828,1,-0.024661,-0.025934,-0.043763,0.010229,0.022666,0.00096675
omega_aS,0.057067,0.22146,-0.19246,-0.11978,-0.36143,-0.13235,-0.024661,1,0.24941,0.18115,-0.37368,-0.15016,-0.078342
omega_dS,0.045766,0.33241,-0.3386,-0.20865,-0.46917,-0.22655,-0.025934,0.24941,1,0.22756,-0.38603,-0.25591,-0.11208
omega_Bt0,0.018769,0.22451,-0.24645,-0.11742,-0.29426,-0.16342,-0.043763,0.18115,0.22756,1,-0.23823,-0.20474,-0.12338
omega_p,-0.11775,-0.66283,0.49673,0.35315,0.79083,0.36611,0.010229,-0.37368,-0.38603,-0.23823,1,0.39271,0.16064
omega_n,-0.055967,-0.42078,0.34345,0.27084,0.44614,0.29745,0.022666,-0.15016,-0.25591,-0.20474,0.39271,1,0.15756
a,-0.0097336,-0.17494,0.13498,0.10928,0.18591,0.14017,0.00096675,-0.078342,-0.11208,-0.12338,0.16064,0.15756,1
