id,initT_SAEM,aS_SAEM,dS_SAEM,tau_SAEM,Bt0_SAEM,p_SAEM,g_SAEM,dI_SAEM,n_SAEM,V0_SAEM,initT_mean,aS_mean,dS_mean,tau_mean,Bt0_mean,p_mean,g_mean,dI_mean,n_mean,V0_mean,initT_mode,aS_mode,dS_mode,tau_mode,Bt0_mode,p_mode,g_mode,dI_mode,n_mode,V0_mode,initT_sd,aS_sd,dS_sd,tau_sd,Bt0_sd,p_sd,g_sd,dI_sd,n_sd,V0_sd
U1,1.68657,4.80868,0.00297603,1,3.30091e-6,20802.6,23,0.8,0.161722,1e-6,1.21236,2.94384,0.00338629,1,4.24158e-6,27239.9,23,0.8,0.165917,1e-6,1.30056,3.1599,0.00340997,1,3.3096e-6,23018.5,23,0.8,0.152249,1e-6,0.743739,1.59731,0.00103877,0,1.53454e-6,15237.9,0,0,0.0268872,0
U2,-2.23442,3.38296,0.00148849,1,3.66024e-6,15157.8,23,0.8,0.202079,1e-6,-1.92635,4.96864,0.00185909,1,3.78118e-6,6906.91,23,0.8,0.199359,1e-6,-2.05258,2.86357,0.00129249,1,3.44261e-6,7832.82,23,0.8,0.190957,1e-6,0.792211,4.07331,0.00150538,0,1.07674e-6,2913.52,0,0,0.0341926,0
U3,0.369979,4.11191,0.00109539,1,6.05191e-6,5994.27,23,0.8,0.107282,1e-6,0.619363,1.86584,0.000882937,1,6.41201e-6,5874.94,23,0.8,0.113784,1e-6,0.406106,1.3215,0.000838829,1,6.4733e-6,6520.55,23,0.8,0.114356,1e-6,0.723321,0.923034,0.000405785,0,1.6502e-6,2517.33,0,0,0.00798202,0
U4,1.02528,1.87656,0.00107407,1,5.83573e-6,9460.45,23,0.8,0.174056,1e-6,1.11917,1.88202,0.0017289,1,6.56636e-6,9494.69,23,0.8,0.174627,1e-6,1.05326,2.22028,0.00196539,1,5.76759e-6,9007.13,23,0.8,0.16035,1e-6,0.846561,0.845287,0.00126365,0,2.27531e-6,5836.05,0,0,0.0258338,0
U5,2.38508,1.63106,0.00281859,1,2.1823e-5,6322.23,23,0.8,0.143182,1e-6,2.25329,2.1892,0.00336446,1,1.77064e-5,8283.69,23,0.8,0.128693,1e-6,2.12322,1.73106,0.003313,1,1.86997e-5,6875.7,23,0.8,0.128859,1e-6,0.774585,1.54165,0.000873035,0,5.16953e-6,3920.25,0,0,0.0165554,0
U6,-2.84877,3.43348,0.0156003,1,1.59895e-5,17371.4,23,0.8,0.12787,1e-6,-2.95754,3.45719,0.0165964,1,1.45766e-5,22931.6,23,0.8,0.12644,1e-6,-2.86023,3.01207,0.014339,1,1.19219e-5,19898.2,23,0.8,0.120995,1e-6,0.642965,2.32792,0.00399398,0,4.41076e-6,10582,0,0,0.0231552,0
U7,2.10593,1.27253,0.00111557,1,8.72699e-6,7690.91,23,0.8,0.151001,1e-6,1.93509,1.11643,0.00105604,1,9.32166e-6,8506.93,23,0.8,0.154316,1e-6,2.00688,1.51995,0.00111994,1,7.48704e-6,6389.75,23,0.8,0.142588,1e-6,0.732394,0.663591,0.000532873,0,3.38747e-6,4832.47,0,0,0.0169843,0
U8,-2.85262,3.90845,0.00214546,1,2.19175e-6,19335.4,23,0.8,0.149192,1e-6,-2.34585,1.9427,0.00107685,1,2.50532e-6,11115.8,23,0.8,0.166036,1e-6,-2.45748,2.47422,0.00132764,1,2.20655e-6,11279.9,23,0.8,0.151073,1e-6,1.16807,0.957254,0.000820862,0,8.16271e-7,7384.42,0,0,0.0314275,0
U9,5.62171,2.33662,0.00187106,1,3.9716e-6,11884.9,23,0.8,0.154803,1e-6,5.74864,3.06764,0.0028422,1,5.41702e-6,17092.3,23,0.8,0.164464,1e-6,5.40848,2.60249,0.00286085,1,4.38894e-6,15296,23,0.8,0.150564,1e-6,0.937807,2.42732,0.00159228,0,2.0382e-6,12270.3,0,0,0.0236178,0
U10,2.10718,2.77812,0.00184521,1,3.2413e-6,13933.1,23,0.8,0.183579,1e-6,2.69866,4.9332,0.00167301,1,3.31728e-6,8040.4,23,0.8,0.185281,1e-6,1.71871,2.58233,0.00156157,1,3.08813e-6,10950.8,23,0.8,0.175481,1e-6,1.61887,2.68156,0.00103943,0,7.90739e-7,5515.15,0,0,0.02965,0
