id,eta_initT_SAEM,eta_aS_SAEM,eta_dS_SAEM,eta_tau_SAEM,eta_Bt0_SAEM,eta_p_SAEM,eta_g_SAEM,eta_dI_SAEM,eta_n_SAEM,eta_V0_SAEM,eta_initT_mean,eta_aS_mean,eta_dS_mean,eta_tau_mean,eta_Bt0_mean,eta_p_mean,eta_g_mean,eta_dI_mean,eta_n_mean,eta_V0_mean,eta_initT_mode,eta_aS_mode,eta_dS_mode,eta_tau_mode,eta_Bt0_mode,eta_p_mode,eta_g_mode,eta_dI_mode,eta_n_mode,eta_V0_mode,eta_initT_sd,eta_aS_sd,eta_dS_sd,eta_tau_sd,eta_Bt0_sd,eta_p_sd,eta_g_sd,eta_dI_sd,eta_n_sd,eta_V0_sd
U1,0.251778,0.772632,0.364308,0,-0.916815,0.709364,0,0,0.100042,0,-0.204755,0.233298,0.557888,0,-0.621482,1.07423,0,0,0.123268,0,-0.116553,0.50337,0.614586,0,-0.813241,1.06266,0,0,0.0497303,0,0.743739,0.693395,0.323767,0,0.328802,0.563474,0,0,0.156103,0
U2,-3.66921,0.126207,-0.311619,0,-0.764583,0.277531,0,0,0.317608,0,-3.34346,0.642444,-0.30345,0,-0.719326,-0.232296,0,0,0.305361,0,-3.46969,0.404901,-0.355546,0,-0.773838,-0.0153153,0,0,0.276264,0,0.792211,0.782445,0.793751,0,0.279639,0.435679,0,0,0.165497,0
U3,-1.06481,0.473756,-0.611265,0,-0.274222,-0.716618,0,0,-0.307052,0,-0.797749,-0.141801,-0.826992,0,-0.184586,-0.391684,0,0,-0.244022,0,-1.01101,-0.368403,-0.787865,0,-0.142381,-0.198679,0,0,-0.236466,0,0.723321,0.487589,0.41515,0,0.257351,0.420977,0,0,0.0719861,0
U4,-0.409504,-0.370289,-0.673279,0,-0.327953,-0.0198537,0,0,0.166201,0,-0.297943,-0.121102,-0.263692,0,-0.183194,0.0036435,0,0,0.176169,0,-0.363849,0.150463,0.0635761,0,-0.257812,0.124379,0,0,0.101577,0,0.846561,0.473869,0.601644,0,0.328837,0.595045,0,0,0.145985,0
U5,0.95029,-0.208414,0.333391,0,1.00896,-0.344057,0,0,-0.0219019,0,0.836175,-0.0541265,0.566063,0,0.820728,-0.0877231,0,0,-0.126771,0,0.70611,-0.0984328,0.585738,0,0.918439,-0.145644,0,0,-0.117066,0,0.774585,0.586149,0.269115,0,0.296866,0.537228,0,0,0.130558,0
U6,-4.28356,0.50687,2.04342,0,0.661533,0.667793,0,0,-0.145151,0,-4.37465,0.374807,2.16944,0,0.629434,0.943136,0,0,-0.152695,0,-4.27734,0.455457,2.05086,0,0.468308,0.916992,0,0,-0.180032,0,0.642965,0.659446,0.233386,0,0.274498,0.493567,0,0,0.183212,0
U7,0.671138,-0.499346,-0.655163,0,0.0992865,-0.192014,0,0,0.0356549,0,0.51798,-0.711718,-0.67239,0,0.166147,-0.0874736,0,0,0.057415,0,0.589767,-0.228495,-0.498838,0,0.00310702,-0.218943,0,0,-0.0158234,0,0.732394,0.613425,0.471491,0,0.325108,0.565293,0,0,0.106721,0
U8,-4.28741,0.564468,0.0111871,0,-1.25891,0.408616,0,0,0.0130615,0,-3.76296,-0.116797,-0.805606,0,-1.13433,0.176881,0,0,0.120477,0,-3.87459,0.258755,-0.328716,0,-1.21863,0.349386,0,0,0.0419767,0,1.16807,0.555219,0.729539,0,0.282164,0.535834,0,0,0.174665,0
U9,4.18692,0.038216,-0.482439,0,-0.688584,0.198294,0,0,0.0579259,0,4.33152,0.19624,0.188893,0,-0.394247,0.419821,0,0,0.116837,0,3.99137,0.309301,0.439002,0,-0.530979,0.653956,0,0,0.0386024,0,0.937807,0.761966,0.839362,0,0.390259,0.933643,0,0,0.141368,0
U10,0.672386,0.18521,-0.248143,0,-0.897301,0.397754,0,0,0.220647,0,1.28155,0.73413,-0.295644,0,-0.838685,-0.184499,0,0,0.233723,0,0.301593,0.301523,-0.166428,0,-0.882503,0.319775,0,0,0.191748,0,1.61887,0.745615,0.652519,0,0.235963,0.616835,0,0,0.15623,0
U11,4.06705,-0.304957,0.178206,0,1.13143,-0.620106,0,0,0.00282215,0,4.19893,-0.232738,0.280643,0,1.31386,-0.767523,0,0,0.0396137,0,4.13078,-0.29024,0.244278,0,1.19061,-0.628195,0,0,0.000562421,0,1.00838,0.627131,0.332485,0,0.406118,0.665667,0,0,0.100885,0
U12,-3.68333,0.536416,0.48407,0,-0.491846,0.474966,0,0,-0.0315875,0,-3.78395,0.859917,0.64095,0,-0.232773,0.0367962,0,0,-0.0076114,0,-3.54769,0.363303,0.393982,0,-0.485861,0.556723,0,0,-0.00353279,0,0.663524,0.570438,0.378319,0,0.370762,0.509298,0,0,0.116034,0
U13,-2.97394,-0.517372,-1.03608,0,0.626222,-1.24511,0,0,-0.631659,0,-2.88926,-0.251142,-0.893787,0,0.369821,-1.10049,0,0,-0.670722,0,-2.78535,-0.660264,-0.703692,0,0.46967,-0.610175,0,0,-0.644785,0,0.914693,0.43022,0.376965,0,0.250881,0.368826,0,0,0.0747313,0
U14,-2.07504,-0.479996,0.322893,0,-0.721708,1.36725,0,0,0.12453,0,-1.29761,0.585297,-0.274995,0,-0.956225,0.0414035,0,0,0.0751719,0,-1.42991,0.273893,-0.224265,0,-0.963025,0.385315,0,0,0.0766079,0,0.729828,0.656067,0.654429,0,0.348125,0.768092,0,0,0.131832,0
U15,4.09405,-0.0506274,-0.20043,0,0.427318,-0.45983,0,0,-0.236843,0,4.33232,0.347902,-0.310776,0,0.177833,-0.679358,0,0,-0.260014,0,4.14479,-0.244291,-0.283373,0,0.427064,-0.349248,0,0,-0.205356,0,0.751311,0.557324,0.356453,0,0.286301,0.533459,0,0,0.0745544,0
