rep,id,initT,aS,dS,tau,Bt0,p,g,dI,n,V0
1,U1,0.889731686820771,3.49028001715898,0.00293825870445621,1,3.96019810982318e-6,14516.1605351518,23,0.8,0.159280947699738,1e-6
2,U1,0.806005707611382,1.5581315988472,0.00444448027684517,1,4.13045110559846e-6,45533.6200845086,23,0.8,0.157854305599449,1e-6
3,U1,-0.130595393138996,5.36687626752107,0.00448286962834588,1,2.48480167496206e-6,20877.1446328074,23,0.8,0.116414859668341,1e-6
4,U1,1.93227953595296,3.52345958414561,0.00356643737364056,1,3.08908852270073e-6,24121.9744259548,23,0.8,0.14932543105538,1e-6
5,U1,-0.0819557838720678,1.14933167774456,0.00527748529865955,1,5.78445031580375e-6,48363.7513014365,23,0.8,0.157635493166224,1e-6
6,U1,0.528749602319711,4.22765652214176,0.00388650668103694,1,2.11312713598043e-6,28632.3715774925,23,0.8,0.125558174517599,1e-6
7,U1,2.19801931480044,2.81392382820421,0.00236782798152183,1,3.27588837213924e-6,20021.3820398174,23,0.8,0.160092801869861,1e-6
8,U1,0.332724652151446,1.08480902209364,0.0032881762718919,1,5.06789556526669e-6,36106.4549345415,23,0.8,0.164154815252306,1e-6
9,U1,0.882634607851846,5.91800015420953,0.00347530820740224,1,2.03740895835285e-6,19678.1980363585,23,0.8,0.137284238416028,1e-6
10,U1,2.09540792299884,2.95356949908964,0.002800958842912,1,3.37516978554717e-6,21918.7500276945,23,0.8,0.166857731826131,1e-6
1,U2,-2.51544329018739,12.6830325799765,0.0021042383600256,1,2.00690039780245e-6,4704.42969961193,23,0.8,0.135568698534606,1e-6
2,U2,-1.74358286409496,1.43030353448249,0.00120360335975691,1,5.05814272336951e-6,10148.1839240958,23,0.8,0.253443475069293,1e-6
3,U2,-0.908300771747976,2.62923994024796,0.00137642875664486,1,5.17395712564228e-6,6402.65429401711,23,0.8,0.245369151289116,1e-6
4,U2,-3.07454229980183,12.2568059671818,0.00313022348316625,1,3.51428375901072e-6,4029.88782140927,23,0.8,0.171162401782844,1e-6
5,U2,-1.72558670524855,1.19366016682423,0.000922590777178152,1,3.57776096267304e-6,12380.8363413933,23,0.8,0.252378852869579,1e-6
6,U2,-1.65661637948545,4.1256251349809,0.00194445448589636,1,3.37601294693149e-6,9060.14996014065,23,0.8,0.226041868473059,1e-6
7,U2,-1.53126006848291,11.0026162225527,0.00238644068288455,1,4.08491203998561e-6,3375.06242408793,23,0.8,0.169914440056654,1e-6
8,U2,-0.300675610870665,1.43583963283464,0.00124470207005718,1,4.47702006779472e-6,14065.6172909125,23,0.8,0.226938965949402,1e-6
9,U2,-2.09598562898925,3.5051724562176,0.00120002946636943,1,2.51891310215469e-6,8564.72879320513,23,0.8,0.178610446186195,1e-6
10,U2,-2.7544398607105,8.51622333214151,0.00251907083848526,1,3.90395678476935e-6,4274.21151963729,23,0.8,0.168984162926707,1e-6
1,U3,1.48653364609955,2.8701156870868,0.0011146100699582,1,7.19648344187807e-6,3835.35033180507,23,0.8,0.112472026857782,1e-6
2,U3,1.59931644803687,0.903142366419957,0.00083832322200043,1,7.9192258265827e-6,9225.50662345504,23,0.8,0.12528389415098,1e-6
3,U3,1.34125586186092,1.22479513246063,0.000623843230951443,1,6.61185592264299e-6,5710.26935998728,23,0.8,0.117394070582032,1e-6
4,U3,1.07826616375075,3.61781651323335,0.000832933118218162,1,6.15038671430665e-6,2871.65185434314,23,0.8,0.115964003676388,1e-6
5,U3,0.898538117376122,0.924860398487629,0.000664489232207886,1,6.61028520597121e-6,7364.30185182897,23,0.8,0.115629862504276,1e-6
6,U3,0.902420547403816,0.773607468558782,0.000484865559697581,1,8.25532860923967e-6,5219.20276464963,23,0.8,0.122538848528881,1e-6
7,U3,1.4560252728131,3.27012198514669,0.000983770718074487,1,5.48078040240057e-6,4128.3776901407,23,0.8,0.112393893415455,1e-6
8,U3,1.40663199329746,0.856217660302023,0.00056610461843409,1,4.14071300373563e-6,12152.4085765663,23,0.8,0.12064166435317,1e-6
9,U3,-0.1487257101176,0.695628143899719,0.00065527368049109,1,7.38747592082363e-6,8092.48921592965,23,0.8,0.11463622505967,1e-6
10,U3,0.992602923721387,3.63079149525381,0.00152222668105062,1,7.56673746962793e-6,4072.98344908537,23,0.8,0.109443281059983,1e-6
