rep,id,eta_initT,eta_aS,eta_dS,eta_tau,eta_Bt0,eta_p,eta_g,eta_dI,eta_n,eta_V0
1,U1,-0.52738060502095,0.602812614302844,0.465700108921,0,-0.633772751735517,0.601624743426224,0,0,0.0948848744127742,0
2,U1,-0.611106584230339,-0.203681942428619,0.879545919467185,0,-0.591680175938374,1.74481315100873,0,0,0.0858877559334967,0
3,U1,-1.54770768498071,1.03307668578358,0.888146363840698,0,-1.09987395598837,0.965017197310802,0,0,-0.218624547692985,0
4,U1,0.515167244111238,0.612273990511658,0.659450143400673,0,-0.882190732560411,1.10948542191461,0,0,0.0303432900834843,0
5,U1,-1.49906807571379,-0.507988729181059,1.05133269550451,0,-0.254893466228385,1.80511278802389,0,0,0.0845006272899317,0
6,U1,-0.888362689522008,0.794478473021949,0.745393709155373,0,-1.26189789818824,1.28090014602903,0,0,-0.143015542081017,0
7,U1,0.780907022958717,0.38741053662151,0.24985605187652,0,-0.823477712511983,0.92316299941233,0,0,0.0999689235553294,0
8,U1,-1.08438763969027,-0.565765397839742,0.578216066861453,0,-0.387141147932719,1.51283385135575,0,0,0.125025242758235,0
9,U1,-0.534477683989873,1.13082922719984,0.63356614829321,0,-1.29838792136612,0.905873519188779,0,0,-0.0537312257176904,0
10,U1,0.678295631157119,0.435845085747609,0.417844782889575,0,-0.793621173595744,1.01370463111987,0,0,0.141356808883161,0
1,U2,-3.93255558202911,1.89309573003713,0.131836557876099,0,-1.31347536230384,-0.525133250918984,0,0,-0.0663062231294224,0
2,U2,-3.16069515593668,-0.289282669212563,-0.426797162375188,0,-0.389067438281405,0.243656960694643,0,0,0.55935608491417,0
3,U2,-2.32541306358969,0.319525455482932,-0.292624732194249,0,-0.366429006255482,-0.216925167222337,0,0,0.526979081283235,0
4,U2,-4.49165459164356,1.85891201903004,0.52898738280758,0,-0.753231065979903,-0.679899265357409,0,0,0.166828088610783,0
5,U2,-3.14269899709028,-0.470144995776831,-0.692686524031808,0,-0.735329628154586,0.442512015772264,0,0,0.555146607740167,0
6,U2,-3.07372867132716,0.770048203342701,0.0528644481869766,0,-0.793371391765772,0.130247866759817,0,0,0.444935505620991,0
7,U2,-2.94837236032463,1.7509637300973,0.257685982311017,0,-0.602766607842811,-0.857223984870489,0,0,0.159510281347675,0
8,U2,-1.71778790271239,-0.285419564745114,-0.393220819447512,0,-0.511109141814821,0.570095524369036,0,0,0.448896373635755,0
9,U2,-3.51309792083096,0.607070369355396,-0.429770907767868,0,-1.08623930366946,0.0740146616836162,0,0,0.209422420793009,0
10,U2,-4.17155215255223,1.49480361885636,0.311773099076281,0,-0.648076204469173,-0.621038159523307,0,0,0.15402026481574,0
1,U3,0.069421354257829,0.407182985212736,-0.503612388861968,0,-0.0364743076233716,-0.729377023215278,0,0,-0.253080194650518,0
2,U3,0.182204156195147,-0.749044431448172,-0.788468565989436,0,0.0592266483960323,0.148334301900339,0,0,-0.14520241988334,0
3,U3,-0.0758564299808017,-0.444395761632814,-1.08397319419468,0,-0.121202414046197,-0.331371609116895,0,0,-0.210248335220414,0
4,U3,-0.338846128090974,0.638701317879738,-0.794918949861243,0,-0.193551843267079,-1.01875038184444,0,0,-0.22250490540867,0
5,U3,-0.518574174465599,-0.725281826249162,-1.02085362488065,0,-0.121440002900211,-0.0769935523197612,0,0,-0.225390486183997,0
6,U3,-0.514691744437907,-0.903860033435488,-1.33600064253874,0,0.100792080393472,-0.421293141898024,0,0,-0.167356624665933,0
