parameter,value,se_sa,rse_sa
initT_pop,1.41711229184172,0.85292283729176,60.1873854458827
aS_pop,1.91012627575878,0.940426075163559,49.2337122994648
dS_pop,0.00184433175517549,0.000604448759086318,32.7733206019003
tau_pop,1,,
Bt0_pop,7.4638159395715e-6,2.04552243307633e-6,27.4058531137058
p_pop,7953.70458012199,5499.68152551387,69.1461628994714
g_pop,23,,
dI_pop,0.8,,
n_pop,0.144862459230318,0.0121412938512608,8.38125620382938
V0_pop,1e-6,,
omega_initT,3.34269430048723,0.635566574179981,19.0136015156199
omega_aS,0.811127490222446,0.257022651798402,31.6870843235649
omega_dS,0.854888029336962,0.19836449293073,23.2035642240281
omega_Bt0,0.967433395205485,0.201077897267523,20.7846760577056
omega_p,0.992903632972323,0.371643412906424,37.4299580105155
omega_n,0.26343252528256,0.0660790489316117,25.0838611749763
a,0.334909315648743,0.019445933790651,5.80632812586382
