rep,id,initT,aS,dS,tau,Bt0,p,g,dI,n,V0,doseTCID50
1,J440,0,4.72737009679339,2.02642862439801e-5,1,0.000404194715005174,1.89703591223852,23,0.08,0.0102781111541716,3.79894428410929e-6,600
2,J440,0,5.27408739114068,1.22809501033225e-5,1,0.000255155950155427,1.81774221307482,23,0.08,0.032070129261398,6.2590871267041e-6,600
3,J440,0,4.07248608019615,1.19266049096624e-5,1,0.00030267908582218,1.79518273914825,23,0.08,0.0550874195940718,3.71430674467525e-6,600
4,J440,0,2.79584871875363,1.12794423154614e-5,1,0.000399186489886443,1.76678817898958,23,0.08,0.00597083029108542,5.1255643986405e-6,600
5,J440,0,3.12728408974799,7.14314454437012e-6,1,0.000280984715587622,1.7433760847678,23,0.08,0.0106119360207996,6.34697346994307e-6,600
6,J440,0,12.7994628816645,5.34574571521205e-6,1,0.000281653676637655,1.82369523153756,23,0.08,0.072283697092694,3.6735825932104e-6,600
7,J440,0,15.1638275538625,1.69765532141528e-5,1,0.000318960405003431,1.79723927345311,23,0.08,0.0162973858059816,4.10177159188196e-6,600
8,J440,0,7.19549268064347,3.60816926761497e-5,1,0.000344795858729728,1.77116628065595,23,0.08,0.014593763072507,1.02037674846187e-5,600
9,J440,0,4.21543902560326,1.15457451090036e-5,1,0.000326679651875619,1.80283642287718,23,0.08,0.0418222882670863,5.72124790158393e-6,600
10,J440,0,16.9267355576486,6.81355959595692e-6,1,0.000151303574964728,1.76387853444503,23,0.08,0.0117476277428704,5.17855432138228e-6,600
1,N083,0,3.73307526122073,1.24982928857897e-5,1,0.000455572703625567,1.78285027968878,23,0.08,0.093019309039887,4.31616840093284e-6,600
2,N083,0,6.15050509150817,1.08934991780411e-5,1,0.000381529921685814,1.83867195784707,23,0.08,0.0899304056040378,6.65901034812881e-6,600
3,N083,0,5.28826662144681,1.2569591522941e-5,1,0.000354907178332719,1.86601368173817,23,0.08,0.0923917159419575,7.75501811193949e-6,600
4,N083,0,15.6758552362508,7.92317772940511e-6,1,0.0002085235693995,1.80266905263129,23,0.08,0.168915235163141,4.85684523927046e-6,600
5,N083,0,3.00496831336439,7.67381597151303e-6,1,0.00041115462237009,1.84084822743186,23,0.08,0.0856209561495107,7.52136315873579e-6,600
6,N083,0,1.61203498385512,7.69685029789389e-6,1,0.000405054775258493,1.81848933712745,23,0.08,0.0770664159097038,4.58479186999011e-6,600
7,N083,0,9.43546744761384,3.73985961200678e-5,1,0.000368687986275193,1.84029569658376,23,0.08,0.0979258567766704,4.91590301421695e-6,600
8,N083,0,6.45017407051086,6.83104532433189e-6,1,0.000435560171443931,1.84732801737717,23,0.08,0.182967864428334,4.48512659076641e-6,600
9,N083,0,5.87393395357964,7.61568102135349e-6,1,0.000332895084735149,1.8188031444386,23,0.08,0.0833362797979777,8.14603959340074e-6,600
10,N083,0,5.84779524150064,9.7788427102864e-6,1,0.000359794196241939,1.81599714486766,23,0.08,0.0825331890562895,6.64655243964912e-6,600
1,I806,0,3.47720676497427,7.51921569007645e-6,1,0.000304068121483887,1.77438227492317,23,0.08,0.227961028098687,2.75391989849256e-6,600
2,I806,0,3.15231930967131,9.9578644690645e-6,1,0.000296783911107891,1.83782730767407,23,0.08,0.115274650744622,5.06494860991677e-6,600
3,I806,0,3.53562007337983,1.30262794890271e-5,1,0.000415633095168195,1.84206532437995,23,0.08,0.141289472118,4.74635444337426e-6,600
4,I806,0,1.4152051028426,1.14123581759863e-5,1,0.00038256861942732,1.78575905272573,23,0.08,0.109623948702473,7.1267115043828e-6,600
5,I806,0,2.08069289543943,1.19197100585645e-5,1,0.000304856213117603,1.89450864458095,23,0.08,0.0818714773866583,9.8071184596675e-6,600
6,I806,0,5.38839303944517,1.42512502749252e-5,1,0.000349107240625967,1.85834986739339,23,0.08,0.189073366666169,5.07200247858988e-6,600
7,I806,0,4.74531722847436,2.47654930707028e-5,1,0.000291072832629402,1.87858131454991,23,0.08,0.194258618254826,8.30000227612776e-6,600
8,I806,0,3.3637558440673,1.87896722204993e-5,1,0.000381712481987011,1.75692199094403,23,0.08,0.168601553102753,5.4611340963738e-6,600
9,I806,0,23.3541049674594,7.44918305692148e-6,1,0.000202895269028623,1.79450275727242,23,0.08,0.137536281096892,4.1206352439065e-6,600
10,I806,0,6.37376981573268,1.25921900490018e-5,1,0.000377169444655785,1.80990144471651,23,0.08,0.139206399367258,4.0779139609846e-6,600
1,N462,0,2.86004380317206,1.41874838417375e-5,1,0.000215266485491279,1.86392730619402,23,0.08,0.0563698014857653,1.807083647567e-5,300
2,N462,0,3.57115570018114,2.08782792276008e-5,1,0.000280624923242611,1.88574599775654,23,0.08,0.133202361436662,2.16612802405641e-5,300
3,N462,0,8.72724602136971,1.02530965895335e-5,1,0.000420568803938488,1.84729568833558,23,0.08,0.240766299611202,2.27016342464856e-5,300
