rep,id,eta_initT,eta_aS,eta_dS,eta_tau,eta_Bt0,eta_p,eta_g,eta_dI,eta_n,eta_V0,doseTCID50
1,J440,0,-0.515527333151977,0.463700047988423,0,0.290910115500645,0.0445249540993888,0,0,-2.01885713159403,-0.375444493330682,600
2,J440,0,-0.406090718145546,-0.0371107006469347,0,-0.169111686722763,0.00182752096896382,0,0,-0.880948590573556,0.123866646580543,600
3,J440,0,-0.664642732633008,-0.0663883790121007,0,0.0016865073576048,-0.0106608464457056,0,0,-0.339952264309073,-0.397975650514574,600
4,J440,0,-1.04076065952504,-0.122178185621397,0,0.278442086708885,-0.0266043576587968,0,0,-2.56198763990434,-0.0759270559676808,600
5,J440,0,-0.928731451197483,-0.579006898575241,0,-0.0726863392581222,-0.0399441558242293,0,0,-1.98689422756332,0.137810378886438,600
6,J440,0,0.480506831553657,-0.86885893919482,0,-0.0703083950065251,0.00509712197492952,0,0,-0.0682750208617626,-0.409000332147307,600
7,J440,0,0.650016449393431,0.286673179005815,0,0.0540803586488379,-0.00951591719056857,0,0,-1.5578689199229,-0.298748725527849,600
8,J440,0,-0.0954415627069907,1.04062561827097,0,0.131965913886864,-0.024129422522649,0,0,-1.66827938424282,0.612589311837615,600
9,J440,0,-0.63014263217876,-0.0988430100853238,0,0.0779934186602192,-0.00640645260927053,0,0,-0.615444225317356,0.0340192447171775,600
10,J440,0,0.759997981446054,-0.626245305434498,0,-0.691698365351324,-0.0282525705542132,0,0,-1.88522230888926,-0.0656417727099691,600
1,N083,0,-0.751664015336649,-0.0195679245054145,0,0.410568702566734,-0.0175543033986055,0,0,0.183933460814921,-0.24779963703292,600
2,N083,0,-0.252362168974947,-0.156993784720252,0,0.233202665142728,0.013275881242005,0,0,0.150162465263489,0.18580317564104,600
3,N083,0,-0.403405854751116,-0.0138794644623647,0,0.160869671615106,0.0280367667758501,0,0,0.177163685448388,0.338172430650774,600
4,N083,0,0.683225269435472,-0.475367636534475,0,-0.37093453665244,-0.00649929409690327,0,0,0.780523387141978,-0.129778602077008,600
5,N083,0,-0.968629352827409,-0.507345979590769,0,0.307982739707243,0.0144587908220467,0,0,0.101056433143925,0.307579691149944,600
6,N083,0,-1.59139903012919,-0.50434879739705,0,0.293035691327342,0.0022384541303042,0,0,-0.00420604051424361,-0.187422990491744,600
7,N083,0,0.175579345468967,1.07647317646894,0,0.198964106512458,0.0141585956307396,0,0,0.235336993956366,-0.117692238580532,600
8,N083,0,-0.204789258001889,-0.623682279528033,0,0.365646338909134,0.0179726123871436,0,0,0.860436898332197,-0.209400981014256,600
9,N083,0,-0.298371787266034,-0.514950576438909,0,0.0968407652970322,0.00241100407701362,0,0,0.0740103512725622,0.38736416819323,600
10,N083,0,-0.302831667710301,-0.264938845587079,0,0.174545576688867,0.000867040224794571,0,0,0.0643268691622128,0.183930588615782,600
1,I806,0,-0.822667058377142,-0.527698154360334,0,0.00626514594586086,-0.0223153195150112,0,0,1.08030105008038,-0.697142387123876,600
2,I806,0,-0.920757905427035,-0.246797352479691,0,-0.0179823122194892,0.0128163951239056,0,0,0.39844391345772,-0.0878237099606143,600
3,I806,0,-0.80600768242991,0.0218088257870417,0,0.318816274130948,0.015119733293422,0,0,0.601937144738824,-0.15279086371939,600
4,I806,0,-1.72162190652503,-0.110463171583337,0,0.235921420186542,-0.0159241032785137,0,0,0.348182225830891,0.253682206957418,600
5,I806,0,-1.33619541507395,-0.0669666529549878,0,0.00885361886101477,0.0431918467105748,0,0,0.0562770338725123,0.572940793937818,600
6,I806,0,-0.38464917304661,0.11168465110666,0,0.144392540546341,0.0239212581469083,0,0,0.893261488282591,-0.0864319956768893,600
7,I806,0,-0.511738090978349,0.664291285473513,0,-0.0374130943803814,0.0347492043090342,0,0,0.920316720211545,0.406088087542106,600
8,I806,0,-0.855838215697323,0.388147378564048,0,0.233681046070725,-0.0322042585317175,0,0,0.778664622413182,-0.0125112233460016,600
9,I806,0,1.08187639414636,-0.537055620760774,0,-0.398296684389786,-0.0110396996263755,0,0,0.575014109951638,-0.29416036460238,600
