parameter,value,se_sa,rse_sa
initT_pop,0,,
aS_pop,7.91608191820937,5.20631861731373,65.7688825242905
dS_pop,1.2745267042695e-5,8.67151725696974e-6,68.0371562864965
tau_pop,1,,
Bt0_pop,0.00034461962123395,0.000275389617360297,79.9111833430241
beta_Bt0_doseTCID50,-0.000219091079075417,0.00162637674189477,742.329057284401
p_pop,1.81442328469358,0.118370785907446,6.52387934535557
g_pop,23,,
dI_pop,0.08,,
n_pop,0.0773912430164228,0.0344288653577728,44.4867713915214
V0_pop,8.01500181763091e-5,nan,nan
beta_V0_doseTCID50,-0.00445622067390254,0.00181270042500256,40.677977094323
omega_aS,1.44819189654516,0.538184994651918,37.1625470309441
omega_dS,0.454418867402458,0.54160744786627,119.186831075523
omega_Bt0,0.262211786344946,0.327798734663046,125.012967278221
omega_p,0.0266452038411701,nan,nan
omega_n,0.997139469886146,0.453738736816094,45.5040393564906
omega_V0,0.375917397913356,0.50882461581963,135.355431444252
a,1.0026005112953,0.137344993967186,13.6988753167246
