parameter,value,se_lin,rse_lin
initT_pop,4.52064241817942e-13,nan,nan
aS_pop,9,,
dS_pop,2.47091008797062e-05,1.79121170191066e-05,72.4919822307984
tau_pop,0.05,,
lBt0_pop,-3.46851324294861,0.131198076040894,3.78254505176291
lp_pop,3,,
dI_pop,1.87071517218559,0.702973074012655,37.5777715637683
n_pop,0.599212305899842,0.0861995810423772,14.3854824398058
V0_pop,1,,
omega_initT,10,,
omega_dS,0.404379279477749,3.8705452918449,957.157176016454
omega_lBt0,0.368362907644011,0.130889569323433,35.5327766741178
omega_dI,0.162044080740267,1.60008497685035,987.438090635999
omega_n,0.265225361315575,0.112829988681061,42.5411763495767
a,1.47822377918693,0.0446342649249732,3.01945250464876
