parameter,value,se_lin,rse_lin
initT_pop,8.59393125613269,1.08868440489106,12.6680604305994
aS_pop,1.00809207808265,0.298727802667168,29.6329878154915
dS_pop,0.000666269341185929,0.000210369682010258,31.5742701946647
tau_pop,1,,
lBt0_pop,-4.49884450867836,0.113984227106375,2.53363340045421
lp_pop,3,,
dI_pop,0.876656900530578,0.137329327267277,15.6651167844753
n_pop,0.106999534464602,0.0130869938117945,12.2308885522525
V0_pop,1,,
omega_initT,0.800923757891564,0.0896897262516478,11.1982851511056
omega_aS,1.2849254267511,0.179733868470427,13.9878832443125
omega_dS,1.84041919469057,0.250016432987693,13.5847546965912
omega_lBt0,0.627356683171407,0.0755599061566445,12.0441701162208
omega_dI,0.108098637537107,0.139095045736152,128.674189522885
omega_n,0.329608652139583,0.0566009267134381,17.1721604836601
corr_dS_aS,0.545843437264285,0.133281652554326,24.41756068779
corr_lBt0_aS,-0.163131316314113,0.189118549830696,115.930254290687
corr_lBt0_dS,0.735799817607048,0.0879331942995559,11.9506953107885
a,0.321098125299874,0.0109028206552335,3.39547938657423
