initT_pop,1,-0.069677,0.020617,0.027789,-0.10158,0.021457,0,0,0,0,0,0,0,0,0
aS_pop,-0.069677,1,0.23621,-0.37462,0.74881,-0.71214,0,0,0,0,0,0,0,0,0
dS_pop,0.020617,0.23621,1,0.80124,0.025615,-0.03295,0,0,0,0,0,0,0,0,0
lBt0_pop,0.027789,-0.37462,0.80124,1,-0.37426,0.35446,0,0,0,0,0,0,0,0,0
dI_pop,-0.10158,0.74881,0.025615,-0.37426,1,-0.69066,0,0,0,0,0,0,0,0,0
n_pop,0.021457,-0.71214,-0.03295,0.35446,-0.69066,1,0,0,0,0,0,0,0,0,0
omega_initT,0,0,0,0,0,0,1,-0.0035044,-0.0052753,-0.003403,0.010623,-0.002731,0.007767,-0.0040084,-0.0085139
omega_aS,0,0,0,0,0,0,-0.0035044,1,0.9789,-0.013134,0.92541,-0.0068903,-0.45268,0.16372,0.0331
corr_n_aS,0,0,0,0,0,0,-0.0052753,0.9789,1,-0.017056,0.95262,-0.0063135,-0.39931,0.090072,0.027601
omega_dS,0,0,0,0,0,0,-0.003403,-0.013134,-0.017056,1,0.029952,0.98434,-0.030049,-0.024667,-0.025065
corr_lBt0_dS,0,0,0,0,0,0,0.010623,0.92541,0.95262,0.029952,1,0.050602,-0.31136,0.082373,0.055518
omega_lBt0,0,0,0,0,0,0,-0.002731,-0.0068903,-0.0063135,0.98434,0.050602,1,-0.012968,-0.027968,-0.023507
omega_dI,0,0,0,0,0,0,0.007767,-0.45268,-0.39931,-0.030049,-0.31136,-0.012968,1,-0.18924,-0.038895
omega_n,0,0,0,0,0,0,-0.0040084,0.16372,0.090072,-0.024667,0.082373,-0.027968,-0.18924,1,-0.023089
a,0,0,0,0,0,0,-0.0085139,0.0331,0.027601,-0.025065,0.055518,-0.023507,-0.038895,-0.023089,1
