parameter,value,se_lin,rse_lin
initT_pop,8.31992400782705,1.03515890389484,12.4419273892526
aS_pop,0.771254243302008,0.154060407500734,19.9753076029959
dS_pop,0.000466522719389003,0.000123637924243064,26.5020156799632
tau_pop,1,,
lBt0_pop,-4.53233665621883,0.108379028630809,2.39123959342476
lp_pop,3,,
dI_pop,0.843087095953576,0.123409665459206,14.6378311388603
n_pop,0.115789273718412,0.0132873731571639,11.4754784536239
V0_pop,1,,
omega_initT,0.775852162691239,0.0874220824512545,11.2678789407519
omega_aS,0.079054134725722,0.193519361678274,244.793472662359
omega_dS,1.51034966126487,0.189757925007248,12.5638406704002
omega_lBt0,0.6160645958591,0.0751474348727661,12.19797978619
omega_dI,0.429428534890988,0.0841474338002885,19.5952124657132
omega_n,0.439245983874938,0.0666754736720245,15.1795294936626
corr_lBt0_dS,0.998642611066991,0.00552946876301289,0.553698460463747
corr_n_aS,-0.997324106276595,2.15779361722121,216.358313575424
a,0.348954571755513,0.0116231474077317,3.33084829617167
